onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9453125,0.140625,63,92,1,0,n0,-10.0,-10.0
0.94921875,0.1015625,51,91,1,0,n1,-10.0,-10.0
1.0442709,1.3789062,54,94,1,0,n2,-10.0,-10.0
1.046875,1.3763021,42,87,1,0,n3,1.045573,0.0
2.0885417,0.3346354,75,96,1,0,n4,1.045573,0.0
2.0911458,0.33203125,63,96,1,0,n5,1.045573,0.0
2.0963542,0.3268229,72,84,1,0,n6,1.045573,0.0
2.0976562,0.32552084,69,79,1,0,n7,1.045573,0.0
2.108073,0.31510416,42,79,1,0,n8,1.045573,0.0
2.157552,0.265625,30,10,1,0,n9,1.045573,0.0
2.3567708,2.4817708,63,99,1,0,n10,1.045573,0.0
2.3567708,2.4817708,75,96,1,0,n11,1.045573,0.0
2.3619792,2.4765625,69,69,1,0,n12,1.045573,0.0
2.3645833,2.4739583,54,76,1,0,n13,2.363281,1.0
2.3645833,2.4739583,72,84,1,0,n14,2.363281,1.0
2.3710938,2.467448,42,71,1,0,n15,2.363281,1.0
4.6914062,0.14713542,72,84,1,0,n16,3.5891924,2.0
4.6992188,0.13932292,69,74,1,0,n17,3.5891924,2.0
4.703125,0.13541667,54,65,1,0,n18,3.5891924,2.0
4.7044272,0.13411458,63,67,1,0,n19,3.5891924,2.0
4.8072915,0.20963542,72,88,1,0,n20,3.5891924,2.0
4.8125,1.8684896,69,81,1,0,n21,3.5891924,2.0
4.8177085,1.8632812,63,61,1,0,n22,4.815104,3.0
4.84375,1.8372396,54,68,1,0,n23,4.815104,3.0
5.0390625,1.6419271,74,72,1,0,n24,4.815104,3.0
5.1575522,1.5234375,72,65,1,0,n25,4.815104,3.0
5.2486978,1.4322916,74,60,1,0,n26,4.815104,3.0
5.3242188,1.3567709,72,57,1,0,n27,4.815104,3.0
5.4049478,1.2760416,74,66,1,0,n28,4.815104,3.0
5.4895835,1.1914062,72,57,1,0,n29,4.815104,3.0
5.5703125,1.1106771,74,59,1,0,n30,4.815104,3.0
5.6393228,1.0416666,72,57,1,0,n31,4.815104,3.0
5.7200522,0.9609375,74,62,1,0,n32,4.815104,3.0
5.8020835,0.87890625,72,52,1,0,n33,4.815104,3.0
5.890625,0.79036456,74,56,1,0,n34,4.815104,3.0
5.966146,0.71484375,72,58,1,0,n35,4.815104,3.0
6.1367188,0.5442708,71,59,1,0,n36,4.815104,3.0
6.3320312,0.3763021,72,64,1,0,n37,4.815104,3.0
6.690104,0.7135417,71,53,1,0,n38,4.815104,3.0
6.7018228,0.421875,62,30,1,0,n39,4.815104,3.0
6.7018228,0.70182294,67,42,1,0,n40,4.815104,3.0
6.7096353,0.69401044,55,39,1,0,n41,6.701823,4.0
8.050781,0.74869794,72,50,1,0,n42,6.701823,4.0
8.0703125,0.7291667,63,43,1,0,n43,6.701823,4.0
8.078125,0.7213542,67,38,1,0,n44,6.701823,4.0
8.0859375,0.7135417,60,29,1,0,n45,8.082031,5.0
8.087239,0.71223956,48,29,1,0,n46,8.082031,5.0
8.088542,0.7109375,55,34,1,0,n47,8.082031,5.0
8.923177,0.89713544,35,43,1,0,n48,8.082031,5.0
9.057292,0.7630208,38,51,1,0,n49,8.082031,5.0
9.145833,0.6744792,43,52,1,0,n50,8.082031,5.0
9.199219,0.62109375,47,68,1,0,n51,8.082031,5.0
9.3203125,0.5,50,66,1,0,n52,8.082031,5.0
9.389323,0.4309896,55,68,1,0,n53,8.082031,5.0
9.446614,0.3736979,59,76,1,0,n54,8.082031,5.0
9.459636,0.3606771,62,77,1,0,n55,8.082031,5.0
9.5442705,0.27604166,67,86,1,0,n56,8.082031,5.0
9.626302,0.26171875,71,86,1,0,n57,8.082031,5.0
9.821614,2.640625,62,84,1,0,n58,8.082031,5.0
9.8255205,2.6367188,67,90,1,0,n59,8.082031,5.0
9.8255205,2.6367188,74,94,1,0,n60,8.082031,5.0
9.826823,2.6354167,47,83,1,0,n61,9.825521,6.0
9.832031,2.6302083,35,73,1,0,n62,9.825521,6.0
12.944011,0.16666667,68,95,1,0,n63,11.453776,7.0
12.947917,0.115885414,56,94,1,0,n64,11.453776,7.0
13.078125,1.4101562,59,91,1,0,n65,11.453776,7.0
13.0859375,1.4023438,47,82,1,0,n66,13.082031,8.5
14.134114,0.35416666,35,70,1,0,n67,13.082031,8.5
14.140625,0.34765625,47,80,1,0,n68,13.082031,8.5
14.145833,0.3424479,68,93,1,0,n69,13.082031,8.5
14.145833,0.3424479,80,95,1,0,n70,13.082031,8.5
14.154948,0.33333334,74,80,1,0,n71,13.082031,8.5
14.15625,0.33203125,77,80,1,0,n72,13.082031,8.5
14.412761,2.6653645,68,95,1,0,n73,13.082031,8.5
14.412761,2.6653645,80,98,1,0,n74,13.082031,8.5
14.415364,2.6627605,47,73,1,0,n75,13.082031,8.5
14.420573,2.657552,74,70,1,0,n76,14.417969,9.5
14.421875,2.65625,59,75,1,0,n77,14.417969,9.5
14.423177,2.654948,77,83,1,0,n78,14.417969,9.5
16.911459,0.16666667,59,62,1,0,n79,15.728516,10.5
16.911459,0.16666667,77,88,1,0,n80,15.728516,10.5
16.914062,0.1640625,74,79,1,0,n81,15.728516,10.5
16.917969,0.16015625,68,64,1,0,n82,15.728516,10.5
17.03125,0.20833333,77,92,1,0,n83,15.728516,10.5
17.035156,1.984375,74,86,1,0,n84,15.728516,10.5
17.042969,1.9765625,68,72,1,0,n85,17.039062,11.5
17.057291,1.9622396,59,60,1,0,n86,17.039062,11.5
17.263021,1.7565104,79,68,1,0,n87,17.039062,11.5
17.376303,1.6432291,77,61,1,0,n88,17.039062,11.5
17.472656,1.546875,79,59,1,0,n89,17.039062,11.5
17.553385,1.4661459,77,63,1,0,n90,17.039062,11.5
17.628906,1.390625,79,68,1,0,n91,17.039062,11.5
17.708334,1.3111979,77,64,1,0,n92,17.039062,11.5
17.78125,1.2382812,79,70,1,0,n93,17.039062,11.5
17.86849,1.1510416,77,67,1,0,n94,17.039062,11.5
17.936197,1.0833334,79,63,1,0,n95,17.039062,11.5
18.018229,1.0013021,77,67,1,0,n96,17.039062,11.5
18.097656,0.921875,79,70,1,0,n97,17.039062,11.5
18.199219,0.8203125,77,65,1,0,n98,17.039062,11.5
18.354166,0.66536456,76,64,1,0,n99,17.039062,11.5
18.548178,0.47135416,77,65,1,0,n100,17.039062,11.5
18.972656,0.73828125,67,52,1,0,n101,17.039062,11.5
18.976562,0.734375,76,55,1,0,n102,17.039062,11.5
19.016928,0.69401044,58,34,1,0,n103,18.996744,12.5
19.018229,0.6927083,61,31,1,0,n104,18.996744,12.5
20.34375,0.79296875,77,48,1,0,n105,18.996744,12.5
20.359375,0.77734375,65,33,1,0,n106,18.996744,12.5
20.363281,0.7734375,72,38,1,0,n107,20.363281,13.5
20.372396,0.76432294,60,32,1,0,n108,20.363281,13.5
20.375,0.76171875,56,30,1,0,n109,20.363281,13.5
21.236979,0.17317708,40,44,1,0,n110,20.363281,13.5
21.376303,0.8203125,43,54,1,0,n111,20.363281,13.5
21.476562,0.72005206,48,58,1,0,n112,20.363281,13.5
21.542969,0.6536458,52,66,1,0,n113,20.363281,13.5
21.664062,0.53255206,55,69,1,0,n114,20.363281,13.5
21.727865,0.46875,60,70,1,0,n115,20.363281,13.5
21.802084,0.39453125,64,73,1,0,n116,20.363281,13.5
21.824219,0.37239584,67,85,1,0,n117,20.363281,13.5
21.920572,0.27604166,72,87,1,0,n118,20.363281,13.5
22.007812,0.24609375,76,89,1,0,n119,20.363281,13.5
22.196615,2.8216145,79,91,1,0,n120,20.363281,13.5
22.197916,2.8203125,40,72,1,0,n121,20.363281,13.5
22.197916,2.8203125,67,92,1,0,n122,20.363281,13.5
22.200521,2.8177083,52,79,1,0,n123,22.197918,14.5
22.200521,2.8177083,72,87,1,0,n124,22.197918,14.5
25.515625,0.18098958,61,93,1,0,n125,23.932943,15.5
25.520834,0.13541667,49,95,1,0,n126,23.932943,15.5
25.661459,1.53125,52,87,1,0,n127,23.932943,15.5
25.674479,1.5182291,40,79,1,0,n128,25.667969,17.0
26.917969,0.2747396,85,92,1,0,n129,25.667969,17.0
26.919271,0.2734375,73,102,1,0,n130,25.667969,17.0
26.921875,0.27083334,77,82,1,0,n131,25.667969,17.0
26.928385,0.2643229,53,70,1,0,n132,25.667969,17.0
26.93099,0.26171875,41,72,1,0,n133,25.667969,17.0
26.93099,0.26171875,82,79,1,0,n134,25.667969,17.0
27.117188,2.860677,85,92,1,0,n135,25.667969,17.0
27.122396,2.8554688,73,91,1,0,n136,25.667969,17.0
27.123697,2.8541667,77,73,1,0,n137,25.667969,17.0
27.134115,2.84375,82,85,1,0,n138,27.128906,18.0
27.136719,2.8411458,53,70,1,0,n139,27.128906,18.0
27.141928,2.8359375,41,74,1,0,n140,27.128906,18.0
29.795572,0.18229167,82,90,1,0,n141,28.54362,19.0
29.808594,0.16927083,73,78,1,0,n142,28.54362,19.0
29.817709,0.16015625,53,55,1,0,n143,28.54362,19.0
29.81901,0.15885417,58,63,1,0,n144,28.54362,19.0
29.824219,0.15364583,61,58,1,0,n145,28.54362,19.0
29.940104,0.21354167,82,97,1,0,n146,28.54362,19.0
29.945312,2.4648438,73,90,1,0,n147,28.54362,19.0
29.958334,2.451823,61,71,1,0,n148,29.958332,20.0
29.966146,2.4440105,58,59,1,0,n149,29.958332,20.0
29.970053,2.4479167,53,57,1,0,n150,29.958332,20.0
30.152344,2.2578125,84,72,1,0,n151,29.958332,20.0
30.298178,2.1119792,82,66,1,0,n152,29.958332,20.0
30.397135,2.0130208,84,70,1,0,n153,29.958332,20.0
30.509115,1.9010416,82,64,1,0,n154,29.958332,20.0
30.583334,1.8268229,84,64,1,0,n155,29.958332,20.0
30.670572,1.7395834,82,62,1,0,n156,29.958332,20.0
30.738281,1.671875,84,64,1,0,n157,29.958332,20.0
30.832031,1.578125,82,71,1,0,n158,29.958332,20.0
30.90625,1.5039062,84,65,1,0,n159,29.958332,20.0
31.018229,1.3919271,82,72,1,0,n160,29.958332,20.0
31.104166,1.3059896,84,65,1,0,n161,29.958332,20.0
31.204428,1.2057291,82,75,1,0,n162,29.958332,20.0
31.424479,0.98567706,81,82,1,0,n163,29.958332,20.0
31.695312,0.71484375,82,81,1,0,n164,29.958332,20.0
32.35026,1.9023438,82,78,1,0,n165,29.958332,20.0
32.367188,1.8854166,73,44,1,0,n166,29.958332,20.0
32.378906,1.8736979,54,45,1,0,n167,32.378906,21.0
32.378906,1.8736979,75,51,1,0,n168,32.378906,21.0
32.38151,1.8710938,61,35,1,0,n169,32.378906,21.0
32.395832,1.8567709,58,40,1,0,n170,32.378906,21.0
33.910156,0.3424479,82,75,1,0,n171,32.378906,21.0
33.929688,0.32291666,55,39,1,0,n172,32.378906,21.0
33.934895,0.31770834,61,37,1,0,n173,32.378906,21.0
33.9375,0.31510416,58,42,1,0,n174,32.378906,21.0
