idx,matchtype,partid,ppartid
0,0,n4-1,n3
1,0,n5-1,n4
2,0,n6-1,n5
3,0,n7-1,n6
4,0,n1-1,n1
5,0,n2-1,n2
6,0,n3-1,n0
7,0,n9-1,n7
8,0,n16-1,n8
9,1,n8-1,undefined
10,0,n10-1,n9
11,0,n11-1,n11
12,0,n12-1,n10
13,0,n17-1,n12
14,0,n18-1,n13
15,0,n19-1,n14
16,0,n26-1,n17
17,0,n20-1,n15
18,0,n21-1,n16
19,0,n22-1,n20
20,0,n23-1,n21
21,0,n24-1,n19
22,0,n25-1,n18
23,0,n27-1,n22
24,0,n28-1,n23
25,0,n29-1,n24
26,0,n30-1,n25
27,0,n31-1,n26
28,0,n39-1,n28
29,0,n32-1,n30
30,0,n33-1,n31
31,0,n34-1,n29
32,0,n35-1,n27
33,0,n40-1,n32
34,0,n41-1,n33
35,0,n42-1,n34
36,0,n43-1,n35
37,0,n44-1,n36
38,0,n52-1,n39
39,0,n53-1,n38
40,0,n51-1,n41
41,0,n38-1,n37
42,0,n45-1,n40
43,0,n54-1,n45
44,0,n55-1,n44
45,0,n46-1,n42
46,0,n48-1,n46
47,0,n47-1,n43
48,0,n66-1,n50
49,0,n67-1,n49
50,0,n49-1,n47
51,0,n56-1,n51
52,0,n50-1,n48
53,0,n57-1,n52
54,0,n59-1,n54
55,0,n58-1,n53
56,0,n75-1,n58
57,0,n76-1,n57
58,0,n74-1,n59
59,0,n61-1,n56
60,0,n60-1,n55
61,0,n68-1,n60
62,0,n77-1,n64
63,0,n78-1,n65
64,0,n69-1,n61
65,0,n71-1,n63
66,0,n70-1,n62
67,0,n89-1,n69
68,0,n90-1,n68
69,0,n72-1,n66
70,0,n79-1,n70
71,0,n73-1,n67
72,0,n80-1,n71
73,0,n82-1,n73
74,0,n81-1,n72
75,0,n98-1,n77
76,0,n99-1,n76
77,0,n97-1,n79
78,0,n84-1,n75
79,0,n83-1,n74
80,0,n91-1,n78
81,0,n100-1,n84
82,0,n101-1,n82
83,0,n92-1,n80
84,0,n94-1,n83
85,0,n93-1,n81
86,0,n113-1,n88
87,0,n114-1,n89
88,0,n95-1,n85
89,0,n102-1,n87
90,0,n96-1,n86
91,0,n109-1,n92
92,0,n110-1,n95
93,0,n111-1,n93
94,0,n112-1,n94
95,0,n103-1,n90
96,0,n105-1,n96
97,0,n104-1,n91
98,0,n121-1,n101
99,0,n122-1,n100
100,1,n123-1,undefined
101,0,n115-1,n99
102,0,n107-1,n98
103,0,n106-1,n97
104,0,n118-1,n104
105,0,n117-1,n103
106,0,n116-1,n102
107,0,n133-1,n109
108,0,n134-1,n107
109,0,n135-1,n108
110,0,n127-1,n110
111,0,n120-1,n106
112,0,n119-1,n105
113,0,n137-1,n115
114,0,n138-1,n113
115,0,n139-1,n114
116,0,n128-1,n111
117,0,n129-1,n112
118,0,n130-1,n116
119,0,n146-1,n120
120,0,n132-1,n118
121,0,n141-1,n119
122,0,n131-1,n117
123,0,n147-1,n121
124,0,n149-1,n124
125,0,n148-1,n122
126,0,n143-1,n125
127,0,n144-1,n126
128,0,n145-1,n123
129,0,n150-1,n127
130,0,n158-1,n129
131,0,n151-1,n128
132,0,n159-1,n130
133,0,n161-1,n135
134,0,n160-1,n131
135,0,n155-1,n134
136,0,n156-1,n133
137,0,n157-1,n132
138,0,n168-1,n139
139,0,n163-1,n137
140,0,n162-1,n136
141,0,n164-1,n142
142,0,n165-1,n141
143,0,n166-1,n140
144,0,n167-1,n138
145,0,n169-1,n143
146,0,n171-1,n145
147,0,n170-1,n144
148,0,n184-1,n148
149,0,n178-1,n150
150,0,n173-1,n147
151,0,n172-1,n146
152,0,n174-1,n151
153,0,n175-1,n153
154,0,n176-1,n152
155,0,n177-1,n149
156,0,n179-1,n154
157,0,n180-1,n155
158,0,n181-1,n156
159,0,n198-1,n162
160,0,n182-1,n157
161,0,n192-1,n159
162,0,n183-1,n158
163,0,n185-1,n163
164,0,n186-1,n161
165,0,n187-1,n164
166,0,n188-1,n160
167,0,n193-1,n165
168,0,n194-1,n166
169,0,n195-1,n167
170,0,n196-1,n168
171,0,n197-1,n169
172,0,n202-1,n170
173,0,n203-1,n171
174,0,n204-1,n172
175,0,n205-1,n173
176,0,n199-1,n174
177,0,n206-1,n175
178,0,n214-1,n180
179,0,n207-1,n177
180,0,n200-1,n176
181,0,n208-1,n179
182,0,n201-1,n178
183,0,n217-1,n186
184,0,n216-1,n184
185,0,n215-1,n181
186,0,n211-1,n185
187,0,n210-1,n183
188,0,n209-1,n182
189,0,n226-1,n192
190,0,n219-1,n190
191,0,n218-1,n188
192,0,n220-1,n191
193,0,n213-1,n189
194,0,n212-1,n187
195,0,n229-1,n198
196,0,n228-1,n196
197,0,n227-1,n194
198,0,n223-1,n197
199,0,n222-1,n195
200,0,n221-1,n193
201,0,n238-1,n203
202,0,n231-1,n202
203,0,n230-1,n200
204,0,n225-1,n201
205,0,n224-1,n199
206,0,n232-1,n204
207,0,n233-1,n205
208,0,n234-1,n206
209,0,n235-1,n207
210,0,n236-1,n208
211,0,n237-1,n209
212,0,n242-1,n210
213,0,n250-1,n213
214,0,n243-1,n211
215,0,n244-1,n212
216,0,n245-1,n214
217,0,n251-1,n216
218,0,n259-1,n219
219,0,n252-1,n217
220,0,n246-1,n215
221,0,n253-1,n220
222,0,n247-1,n218
223,0,n262-1,n225
224,0,n261-1,n223
225,0,n260-1,n221
226,0,n256-1,n226
227,0,n255-1,n224
228,0,n254-1,n222
229,0,n271-1,n231
230,0,n264-1,n229
231,0,n263-1,n227
232,0,n265-1,n232
233,0,n258-1,n230
234,0,n257-1,n228
235,0,n274-1,n237
236,0,n273-1,n235
237,0,n272-1,n234
238,0,n268-1,n238
239,0,n267-1,n236
240,0,n266-1,n233
241,0,n281-1,n249
242,0,n282-1,n248
243,0,n283-1,n246
244,0,n276-1,n241
245,0,n275-1,n240
246,0,n279-1,n243
247,0,n280-1,n244
248,0,n277-1,n247
249,0,n270-1,n242
250,0,n269-1,n239
251,0,n278-1,n245
252,0,n290-1,n252
253,0,n291-1,n251
254,0,n284-1,n253
255,0,n285-1,n250
256,0,n307-1,n259
257,0,n297-1,n255
258,0,n298-1,n257
259,0,n308-1,n258
260,0,n288-1,n256
261,0,n299-1,n261
262,0,n289-1,n254
263,0,n300-1,n260
264,0,n309-1,n263
265,0,n311-1,n269
266,0,n310-1,n264
267,0,n312-1,n268
268,0,n301-1,n265
269,0,n303-1,n267
270,0,n302-1,n262
271,0,n304-1,n266
272,0,n313-1,n272
273,0,n321-1,n278
274,0,n314-1,n274
275,0,n322-1,n279
276,0,n315-1,n271
277,0,n323-1,n276
278,0,n305-1,n273
279,0,n316-1,n277
280,0,n306-1,n270
281,0,n317-1,n275
282,0,n331-1,n285
283,0,n332-1,n284
284,0,n327-1,n281
285,0,n328-1,n280
286,0,n329-1,n283
287,0,n330-1,n282
288,0,n333-1,n288
289,0,n334-1,n287
290,0,n335-1,n286
291,0,n354-1,n295
292,0,n344-1,n290
293,0,n355-1,n294
294,0,n345-1,n289
295,0,n338-1,n291
296,0,n346-1,n296
297,0,n339-1,n292
298,0,n347-1,n293
299,0,n356-1,n299
300,0,n358-1,n304
301,0,n357-1,n297
302,0,n359-1,n302
303,0,n348-1,n300
304,0,n350-1,n303
305,0,n349-1,n298
306,0,n351-1,n301
307,0,n360-1,n308
308,0,n368-1,n312
309,0,n361-1,n306
310,0,n369-1,n313
311,0,n362-1,n307
312,0,n370-1,n310
313,1,n352-1,undefined
314,0,n363-1,n311
315,0,n353-1,n305
316,0,n364-1,n309
317,0,n377-1,n316
318,0,n378-1,n317
319,0,n374-1,n318
320,0,n375-1,n314
321,0,n376-1,n315
322,0,n382-1,n322
323,0,n383-1,n320
324,0,n379-1,n321
325,0,n380-1,n323
326,0,n381-1,n319
327,0,n392-1,n324
328,0,n388-1,n326
329,0,n384-1,n325
330,0,n389-1,n327
331,0,n390-1,n330
332,0,n386-1,n329
333,0,n385-1,n328
334,0,n397-1,n333
335,0,n391-1,n331
336,0,n387-1,n332
337,0,n393-1,n334
338,0,n398-1,n336
339,0,n399-1,n337
340,0,n395-1,n338
341,0,n394-1,n335
342,0,n410-1,n343
343,0,n400-1,n339
344,0,n406-1,n341
345,0,n402-1,n342
346,0,n396-1,n340
347,0,n407-1,n344
348,0,n408-1,n347
349,0,n404-1,n348
350,0,n403-1,n345
351,0,n415-1,n351
352,0,n409-1,n349
353,0,n405-1,n346
354,0,n411-1,n350
355,0,n416-1,n353
356,0,n417-1,n355
357,0,n413-1,n354
358,0,n412-1,n352
359,0,n430-1,n359
360,0,n418-1,n356
361,0,n426-1,n360
362,0,n420-1,n358
363,0,n414-1,n357
364,0,n423-1,n363
365,0,n421-1,n361
366,0,n422-1,n362
367,0,n431-1,n366
368,0,n424-1,n364
369,0,n425-1,n365
370,0,n434-1,n369
371,0,n432-1,n367
372,0,n433-1,n368
373,0,n444-1,n372
374,0,n438-1,n373
375,0,n435-1,n370
376,0,n436-1,n371
377,0,n445-1,n374
378,0,n439-1,n375
379,0,n440-1,n376
380,0,n441-1,n377
381,0,n447-1,n380
382,0,n442-1,n378
383,0,n443-1,n379
384,0,n454-1,n383
385,0,n449-1,n382
386,0,n450-1,n384
387,0,n448-1,n381
388,0,n463-1,n389
389,0,n456-1,n387
390,0,n455-1,n385
391,0,n457-1,n390
392,0,n451-1,n386
393,0,n452-1,n388
394,0,n464-1,n391
395,0,n458-1,n392
396,0,n459-1,n393
397,0,n460-1,n394
398,0,n466-1,n397
399,0,n461-1,n395
400,0,n462-1,n396
401,0,n473-1,n400
402,0,n468-1,n399
403,0,n469-1,n401
404,0,n467-1,n398
405,0,n475-1,n404
406,0,n474-1,n402
407,0,n482-1,n406
408,0,n476-1,n407
409,0,n470-1,n403
410,0,n471-1,n405
411,0,n483-1,n408
412,0,n485-1,n413
413,0,n484-1,n411
414,0,n478-1,n410
415,0,n479-1,n412
416,0,n477-1,n409
417,0,n487-1,n417
418,0,n494-1,n419
419,0,n486-1,n415
420,0,n488-1,n418
421,0,n480-1,n414
422,0,n481-1,n416
423,0,n495-1,n421
424,0,n497-1,n425
425,0,n496-1,n423
426,0,n490-1,n422
427,0,n491-1,n424
428,0,n489-1,n420
429,0,n499-1,n429
430,0,n498-1,n427
431,0,n506-1,n431
432,0,n500-1,n430
433,0,n492-1,n426
434,0,n493-1,n428
435,0,n507-1,n432
436,0,n509-1,n437
437,0,n508-1,n435
438,0,n502-1,n434
439,0,n503-1,n436
440,0,n501-1,n433
441,0,n524-1,n442
442,0,n511-1,n440
443,0,n510-1,n439
444,0,n518-1,n443
445,0,n512-1,n444
446,0,n504-1,n438
447,0,n505-1,n441
448,0,n525-1,n450
449,0,n520-1,n447
450,0,n519-1,n446
451,0,n521-1,n449
452,0,n513-1,n445
453,0,n515-1,n451
454,0,n514-1,n448
455,0,n530-1,n456
456,0,n523-1,n454
457,0,n522-1,n452
458,0,n517-1,n455
459,0,n526-1,n457
460,0,n516-1,n453
461,0,n531-1,n458
462,0,n532-1,n459
463,0,n533-1,n460
464,0,n534-1,n461
465,0,n535-1,n462
466,0,n537-1,n463
467,0,n540-1,n466
468,0,n539-1,n465
469,0,n538-1,n464
470,0,n542-1,n468
471,0,n541-1,n467
472,0,n546-1,n470
473,0,n543-1,n469
474,0,n549-1,n474
475,0,n548-1,n473
476,0,n547-1,n472
477,0,n544-1,n471
478,0,n557-1,n477
479,0,n551-1,n476
480,0,n550-1,n475
481,0,n560-1,n481
482,0,n559-1,n480
483,0,n558-1,n478
484,0,n553-1,n479
485,0,n554-1,n482
486,0,n562-1,n485
487,0,n561-1,n484
488,0,n566-1,n487
489,0,n563-1,n488
490,0,n555-1,n483
491,0,n556-1,n486
492,0,n569-1,n492
493,0,n568-1,n491
494,0,n567-1,n490
495,0,n564-1,n489
496,0,n577-1,n495
497,0,n571-1,n494
498,0,n570-1,n493
499,0,n580-1,n499
500,0,n579-1,n497
501,0,n578-1,n496
502,0,n573-1,n498
503,0,n574-1,n500
504,0,n589-1,n505
505,0,n582-1,n504
506,0,n581-1,n501
507,0,n583-1,n506
508,0,n575-1,n502
509,0,n576-1,n503
510,0,n591-1,n509
511,0,n592-1,n512
512,0,n590-1,n508
513,0,n585-1,n510
514,0,n586-1,n511
515,0,n584-1,n507
516,0,n594-1,n515
517,0,n601-1,n518
518,0,n593-1,n514
519,0,n595-1,n517
520,0,n587-1,n513
521,0,n588-1,n516
522,0,n602-1,n519
523,0,n604-1,n523
524,0,n603-1,n522
525,0,n597-1,n521
526,0,n598-1,n524
527,0,n596-1,n520
528,0,n606-1,n527
529,0,n605-1,n525
530,0,n613-1,n529
531,0,n607-1,n530
532,0,n599-1,n526
533,0,n600-1,n528
534,0,n614-1,n531
535,0,n616-1,n535
536,0,n615-1,n534
537,0,n609-1,n533
538,0,n610-1,n536
539,0,n608-1,n532
540,0,n618-1,n539
541,0,n617-1,n537
542,0,n625-1,n541
543,0,n619-1,n542
544,0,n611-1,n538
545,0,n612-1,n540
546,0,n627-1,n545
547,0,n626-1,n543
548,0,n628-1,n548
549,0,n622-1,n547
550,0,n620-1,n544
551,0,n621-1,n546
552,0,n636-1,n556
553,0,n630-1,n551
554,0,n637-1,n554
555,0,n629-1,n550
556,0,n631-1,n555
557,0,n623-1,n549
558,0,n624-1,n552
559,0,n632-1,n553
560,0,n641-1,n559
561,0,n639-1,n557
562,1,n640-1,undefined
563,0,n634-1,n560
564,0,n635-1,n558
565,0,n649-1,n561
566,0,n646-1,n563
567,0,n642-1,n564
568,0,n643-1,n562
569,0,n650-1,n567
570,0,n647-1,n568
571,0,n644-1,n565
572,0,n645-1,n566
573,0,n658-1,n571
574,0,n655-1,n570
575,0,n651-1,n569
576,0,n660-1,n574
577,0,n657-1,n573
578,1,n659-1,undefined
579,0,n653-1,n575
580,0,n654-1,n572
581,0,n668-1,n579
582,0,n665-1,n578
583,0,n661-1,n577
584,0,n662-1,n576
585,0,n669-1,n581
586,0,n666-1,n582
587,0,n663-1,n583
588,0,n664-1,n580
589,0,n678-1,n585
590,0,n670-1,n584
591,0,n676-1,n588
592,0,n677-1,n587
593,0,n672-1,n589
594,0,n673-1,n586
595,0,n683-1,n591
596,0,n684-1,n593
597,0,n679-1,n592
598,0,n680-1,n590
599,0,n685-1,n594
600,0,n686-1,n596
601,0,n681-1,n597
602,0,n682-1,n595
603,0,n691-1,n599
604,0,n692-1,n600
605,0,n687-1,n601
606,0,n688-1,n598
607,0,n693-1,n603
608,0,n694-1,n605
609,0,n690-1,n604
610,0,n689-1,n602
611,0,n704-1,n606
612,0,n705-1,n607
613,0,n706-1,n613
614,0,n707-1,n611
615,0,n703-1,n614
616,0,n702-1,n609
617,0,n701-1,n608
618,0,n697-1,n612
619,0,n696-1,n610
620,0,n714-1,n618
621,0,n715-1,n619
622,0,n712-1,n620
623,0,n698-1,n615
624,0,n699-1,n616
625,0,n708-1,n617
626,0,n719-1,n622
627,0,n718-1,n621
628,1,n717-1,undefined
629,0,n713-1,n624
630,0,n730-1,n628
631,0,n727-1,n629
632,0,n725-1,n630
633,0,n710-1,n625
634,0,n711-1,n626
635,0,n720-1,n627
636,0,n731-1,n633
637,0,n728-1,n634
638,0,n726-1,n635
639,0,n721-1,n631
640,0,n722-1,n632
641,0,n742-1,n638
642,0,n739-1,n639
643,0,n732-1,n640
644,0,n723-1,n636
645,0,n724-1,n637
646,0,n744-1,n644
647,0,n743-1,n643
648,1,n741-1,undefined
649,0,n738-1,n645
650,0,n733-1,n641
651,0,n734-1,n642
652,0,n756-1,n650
653,0,n753-1,n649
654,0,n751-1,n651
655,0,n736-1,n646
656,0,n737-1,n647
657,0,n745-1,n648
658,0,n757-1,n654
659,0,n754-1,n655
660,0,n752-1,n656
661,0,n746-1,n652
662,0,n747-1,n653
663,0,n769-1,n659
664,0,n758-1,n660
665,0,n749-1,n657
666,0,n750-1,n658
667,0,n759-1,n661
668,0,n760-1,n662
669,0,n761-1,n665
670,0,n762-1,n664
671,0,n763-1,n663
672,0,n767-1,n666
673,0,n768-1,n667
674,0,n776-1,n669
675,0,n770-1,n671
676,0,n771-1,n668
677,0,n772-1,n670
678,1,n777-1,undefined
679,1,n778-1,undefined
680,0,n773-1,n675
681,0,n774-1,n676
682,0,n775-1,n674
683,0,n780-1,n677
684,0,n781-1,n678
685,0,n791-1,n682
686,0,n782-1,n679
687,0,n783-1,n680
688,0,n784-1,n681
689,0,n798-1,n685
690,0,n792-1,n683
691,0,n793-1,n684
692,0,n819-1,n692
693,0,n794-1,n688
694,0,n796-1,n689
695,1,n795-1,undefined
696,1,n797-1,undefined
697,0,n787-1,n687
698,0,n789-1,n691
699,0,n800-1,n694
700,0,n788-1,n686
701,0,n790-1,n690
702,0,n801-1,n693
703,0,n820-1,n703
704,0,n811-1,n698
705,0,n813-1,n700
706,0,n812-1,n697
707,0,n814-1,n699
708,0,n802-1,n696
709,0,n804-1,n702
710,0,n803-1,n695
711,0,n805-1,n701
712,1,n841-1,undefined
713,0,n815-1,n706
714,1,n817-1,undefined
715,0,n816-1,n707
716,0,n818-1,n708
717,0,n807-1,n705
718,0,n809-1,n710
719,1,n822-1,undefined
720,0,n808-1,n704
721,0,n810-1,n709
722,0,n823-1,n712
723,0,n842-1,n722
724,0,n833-1,n717
725,0,n835-1,n718
726,0,n834-1,n715
727,0,n836-1,n721
728,0,n824-1,n716
729,0,n826-1,n720
730,0,n825-1,n714
731,0,n827-1,n719
732,0,n865-1,n729
733,0,n837-1,n725
734,1,n839-1,undefined
735,1,n838-1,undefined
736,1,n840-1,undefined
737,0,n829-1,n724
738,0,n831-1,n726
739,0,n844-1,n730
740,0,n830-1,n723
741,0,n832-1,n727
742,0,n845-1,n728
743,0,n867-1,n739
744,0,n856-1,n734
745,0,n858-1,n736
746,0,n857-1,n733
747,0,n859-1,n735
748,0,n846-1,n732
749,0,n848-1,n738
750,0,n847-1,n731
751,0,n849-1,n737
752,0,n891-1,n749
753,0,n861-1,n742
754,0,n863-1,n747
755,0,n862-1,n743
756,0,n864-1,n746
757,0,n851-1,n741
758,0,n853-1,n745
759,0,n869-1,n750
760,0,n852-1,n740
761,0,n854-1,n744
762,0,n870-1,n748
763,0,n893-1,n760
764,0,n882-1,n752
765,0,n884-1,n755
766,0,n883-1,n751
767,0,n885-1,n756
768,0,n871-1,n754
769,0,n873-1,n757
770,0,n875-1,n761
771,0,n872-1,n753
772,0,n874-1,n758
773,0,n876-1,n759
774,0,n917-1,n774
775,0,n887-1,n764
776,0,n889-1,n768
777,0,n888-1,n765
778,0,n890-1,n767
779,0,n877-1,n762
780,0,n879-1,n770
781,0,n895-1,n772
782,0,n878-1,n763
783,0,n880-1,n769
784,0,n896-1,n771
785,0,n918-1,n784
786,0,n908-1,n778
787,0,n910-1,n782
788,0,n909-1,n775
789,0,n911-1,n783
790,0,n897-1,n776
791,0,n899-1,n780
792,0,n901-1,n786
793,0,n898-1,n777
794,0,n900-1,n781
795,0,n902-1,n785
796,0,n941-1,n799
797,0,n942-1,n801
798,0,n943-1,n800
799,0,n913-1,n788
800,0,n915-1,n793
801,0,n914-1,n789
802,0,n916-1,n796
803,0,n903-1,n790
804,0,n905-1,n794
805,0,n930-1,n797
806,0,n904-1,n791
807,0,n906-1,n795
808,0,n919-1,n798
809,0,n944-1,n805
810,0,n947-1,n812
811,0,n950-1,n816
812,0,n945-1,n806
813,0,n948-1,n808
814,0,n951-1,n818
815,0,n946-1,n802
816,0,n949-1,n811
817,0,n952-1,n815
818,0,n931-1,n804
819,0,n933-1,n809
820,0,n935-1,n817
821,0,n932-1,n814
822,0,n936-1,n820
823,0,n938-1,n825
824,1,n934-1,undefined
825,0,n920-1,n807
826,0,n922-1,n813
827,0,n924-1,n821
828,0,n921-1,n810
829,0,n925-1,n819
830,0,n927-1,n823
831,1,n923-1,undefined
832,0,n953-1,n828
833,0,n956-1,n835
834,0,n983-1,n842
835,0,n954-1,n826
836,0,n957-1,n834
837,0,n984-1,n839
838,0,n955-1,n824
839,0,n958-1,n829
840,0,n985-1,n836
841,0,n937-1,n822
842,0,n939-1,n830
843,0,n971-1,n837
844,0,n940-1,n833
845,0,n972-1,n840
846,0,n926-1,n827
847,0,n928-1,n831
848,0,n959-1,n841
849,0,n929-1,n832
850,0,n960-1,n838
851,0,n986-1,n849
852,0,n989-1,n852
853,0,n992-1,n859
854,0,n987-1,n846
855,0,n990-1,n853
856,0,n993-1,n860
857,0,n988-1,n843
858,0,n991-1,n850
859,0,n994-1,n857
860,0,n973-1,n844
861,0,n975-1,n851
862,0,n977-1,n858
863,0,n974-1,n848
864,0,n976-1,n855
865,0,n978-1,n863
866,0,n961-1,n845
867,0,n963-1,n856
868,0,n965-1,n861
869,0,n962-1,n847
870,0,n964-1,n854
871,0,n966-1,n862
872,0,n995-1,n867
873,0,n998-1,n871
874,0,n1008-1,n884
875,0,n996-1,n866
876,0,n999-1,n876
877,0,n1009-1,n883
878,0,n997-1,n864
879,0,n1000-1,n872
880,0,n1010-1,n882
881,0,n979-1,n865
882,0,n981-1,n874
883,0,n1005-1,n878
884,0,n1006-1,n880
885,0,n980-1,n869
886,0,n982-1,n875
887,0,n967-1,n870
888,0,n969-1,n877
889,0,n1001-1,n881
