onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9614583,1.2177083,67,82,1,0,n0,-10.0,-10.0
0.97083336,0.05,39,57,1,0,n1,0.970833,0.0
0.97083336,0.33333334,58,66,1,0,n2,0.970833,0.0
0.97083336,0.42916667,63,72,1,0,n3,0.970833,0.0
1.128125,0.046875,51,61,1,0,n4,0.970833,0.0
1.2677083,0.04375,51,61,1,0,n5,0.970833,0.0
1.4260417,0.035416666,51,54,1,0,n6,0.970833,0.0
1.565625,0.041666668,51,63,1,0,n7,1.426042,3.0
1.7197917,0.032291666,51,55,1,0,n8,1.426042,3.0
1.8604167,0.044791665,51,65,1,0,n9,1.426042,3.0
1.8697916,0.27604166,55,54,1,0,n10,1.426042,3.0
1.8729167,0.38958332,63,62,1,0,n11,1.8713545,6.0
1.8770833,0.34375,58,53,1,0,n12,1.8713545,6.0
2.028125,0.039583333,51,59,1,0,n13,1.8713545,6.0
2.1677084,0.039583333,51,64,1,0,n14,1.8713545,6.0
2.3135417,0.0375,51,69,1,0,n15,1.8713545,6.0
2.4541667,0.044791665,51,64,1,0,n16,2.313542,9.0
2.5958333,0.054166667,51,66,1,0,n17,2.313542,9.0
2.7375,0.9604167,67,85,1,0,n18,2.313542,9.0
2.7375,0.9604167,70,94,1,0,n19,2.313542,9.0
2.7510417,0.025,58,66,1,0,n20,2.313542,9.0
2.753125,0.0375,63,60,1,0,n21,2.751042,12.0
2.7604167,0.040625,39,58,1,0,n22,2.751042,12.0
2.9333334,0.76458335,51,54,1,0,n23,2.751042,12.0
3.05,0.6479167,51,72,1,0,n24,2.751042,12.0
3.2072916,0.490625,51,61,1,0,n25,2.751042,12.0
3.35625,0.34166667,51,65,1,0,n26,3.207292,15.0
3.50625,0.19166666,51,67,1,0,n27,3.207292,15.0
3.6416667,0.05625,51,68,1,0,n28,3.207292,15.0
3.6604166,0.41875,63,64,1,0,n29,3.207292,15.0
3.6604166,0.45416668,67,71,1,0,n30,3.207292,15.0
3.6645834,0.33958334,55,53,1,0,n31,3.660417,18.0
3.6645834,0.38333333,58,56,1,0,n32,3.660417,18.0
3.8,0.040625,51,66,1,0,n33,3.660417,18.0
3.9479167,0.044791665,51,66,1,0,n34,3.660417,18.0
4.09375,0.041666668,51,67,1,0,n35,4.09375,21.0
4.233333,0.038541667,51,68,1,0,n36,4.09375,21.0
