onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.5,0.0,1.5,0,144,48,5,n8-1,0.0,1.014583
0.0,1.5,0.0,1.5,0,144,51,5,n9-1,0.0,1.014583
0.0,1.5,0.0,1.5,0,144,55,5,n10-1,0.0,1.014583
0.0,1.5,0.0,1.5,0,144,60,5,n11-1,0.0,1.014583
0.0,1.5,0.0,1.5,0,144,63,1,n1-1,0.0,1.014583
0.0,1.5,0.0,1.5,0,144,67,1,n2-1,0.0,1.014583
0.0,1.5,0.0,1.5,0,144,72,1,n3-1,0.0,1.014583
1.75,0.25,1.75,0.25,168,24,67,1,n5-1,1.0,1.2567705
2.0,0.75,2.0,0.75,192,72,75,1,n6-1,2.0,1.498958
2.75,0.25,2.75,0.25,264,24,72,1,n7-1,2.0,1.498958
3.0,0.75,3.0,0.75,288,72,79,1,n14-1,3.0,1.767708
3.75,0.25,3.75,0.25,360,24,75,1,n15-1,3.0,1.767708
4.0,0.75,4.0,0.75,384,72,84,1,n16-1,4.0,2.028125
4.75,0.25,4.75,0.25,456,24,79,1,n17-1,4.0,2.028125
5.0,1.0,5.0,1.0,480,96,87,1,n18-1,5.0,2.275
6.0,1.0,6.0,1.0,576,96,87,1,n20-1,6.0,2.561458
8.0,1.0,8.0,1.0,768,96,60,5,n26-1,8.0,3.096875
8.0,1.0,8.0,1.0,768,96,63,5,n27-1,8.0,3.096875
8.0,1.0,8.0,1.0,768,96,67,1,n22-1,8.0,3.096875
8.0,1.0,8.0,1.0,768,96,72,1,n23-1,8.0,3.096875
9.0,2.0,9.0,2.0,864,192,60,5,n32-1,9.0,3.446875
9.0,2.0,9.0,2.0,864,192,63,5,n33-1,9.0,3.446875
9.0,2.0,9.0,2.0,864,192,67,1,n28-1,9.0,3.446875
9.0,2.0,9.0,2.0,864,192,72,1,n29-1,9.0,3.446875
11.0,1.0,11.0,1.0,1056,96,62,5,n34-1,11.0,3.9671874
11.0,1.0,11.0,1.0,1056,96,65,5,n35-1,11.0,3.9671874
11.0,1.0,11.0,1.0,1056,96,67,1,n30-1,11.0,3.9671874
11.0,1.0,11.0,1.0,1056,96,71,1,n31-1,11.0,3.9671874
12.0,1.5,12.0,1.5,1152,144,50,5,n43-1,12.0,4.277083
12.0,1.5,12.0,1.5,1152,144,53,5,n44-1,12.0,4.277083
12.0,1.5,12.0,1.5,1152,144,56,5,n45-1,12.0,4.277083
12.0,1.5,12.0,1.5,1152,144,59,5,n46-1,12.0,4.277083
12.0,1.5,12.0,1.5,1152,144,62,5,n47-1,12.0,4.277083
12.0,1.5,12.0,1.5,1152,144,65,1,n36-1,12.0,4.277083
12.0,1.5,12.0,1.5,1152,144,68,1,n37-1,12.0,4.277083
12.0,1.5,12.0,1.5,1152,144,71,1,n38-1,12.0,4.277083
13.75,0.25,13.75,0.25,1320,24,71,1,n40-1,13.0,4.525
14.0,0.75,14.0,0.75,1344,72,77,1,n41-1,14.0,4.772917
14.75,0.25,14.75,0.25,1416,24,74,1,n42-1,14.0,4.772917
15.0,0.75,15.0,0.75,1440,72,83,1,n50-1,15.0,5.026042
15.75,0.25,15.75,0.25,1512,24,77,1,n51-1,15.0,5.026042
16.0,0.75,16.0,0.75,1536,72,86,1,n52-1,16.0,5.259375
16.75,0.25,16.75,0.25,1608,24,83,1,n53-1,16.0,5.259375
17.0,1.0,17.0,1.0,1632,96,89,1,n54-1,17.0,5.503125
18.0,1.0,18.0,1.0,1728,96,89,1,n56-1,18.0,5.813542
20.0,1.0,20.0,1.0,1920,96,62,5,n62-1,20.0,6.398958
20.0,1.0,20.0,1.0,1920,96,65,5,n63-1,20.0,6.398958
20.0,1.0,20.0,1.0,1920,96,68,5,n64-1,20.0,6.398958
20.0,1.0,20.0,1.0,1920,96,71,1,n58-1,20.0,6.398958
20.0,1.0,20.0,1.0,1920,96,74,1,n59-1,20.0,6.398958
21.0,2.0,21.0,2.0,2016,192,62,5,n68-1,21.0,6.752083
21.0,2.0,21.0,2.0,2016,192,65,5,n69-1,21.0,6.752083
21.0,2.0,21.0,2.0,2016,192,68,5,n70-1,21.0,6.752083
21.0,2.0,21.0,2.0,2016,192,71,1,n65-1,21.0,6.752083
21.0,2.0,21.0,2.0,2016,192,74,1,n66-1,21.0,6.752083
23.0,1.0,23.0,1.0,2208,96,63,5,n71-1,23.0,7.257292
23.0,1.0,23.0,1.0,2208,96,67,5,n72-1,23.0,7.257292
23.0,1.0,23.0,1.0,2208,96,72,1,n67-1,23.0,7.257292
24.0,0.0,24.0,0.0,2304,0,72,1,n73-1,24.0,7.457292
24.0,0.0,24.0,0.0,2304,0,75,1,n74-1,24.0,7.457292
24.0,1.5,24.0,1.5,2304,144,79,1,n75-1,24.0,7.457292
25.5,0.5,25.5,0.5,2448,48,77,1,n76-1,25.0,7.586458
26.0,1.0,26.0,1.0,2496,96,51,5,n80-1,26.0,8.048959
26.0,1.0,26.0,1.0,2496,96,55,5,n81-1,26.0,8.048959
26.0,1.0,26.0,1.0,2496,96,60,5,n82-1,26.0,8.048959
26.0,1.0,26.0,1.0,2496,96,75,1,n77-1,26.0,8.048959
27.0,2.0,27.0,2.0,2592,192,53,5,n85-1,27.0,8.342188
27.0,2.0,27.0,2.0,2592,192,56,5,n86-1,27.0,8.342188
27.0,2.0,27.0,2.0,2592,192,59,5,n87-1,27.0,8.342188
27.0,2.0,27.0,2.0,2592,192,74,1,n83-1,27.0,8.342188
29.0,1.0,29.0,1.0,2784,96,51,5,n88-1,29.0,8.842188
29.0,1.0,29.0,1.0,2784,96,55,5,n89-1,29.0,8.842188
29.0,1.0,29.0,1.0,2784,96,60,5,n90-1,29.0,8.842188
29.0,1.0,29.0,1.0,2784,96,72,1,n84-1,29.0,8.842188
30.0,0.0,30.0,0.0,2880,0,67,1,n91-1,30.0,9.004167
30.0,0.0,30.0,0.0,2880,0,72,1,n92-1,30.0,9.004167
30.0,0.0,30.0,0.0,2880,0,75,1,n93-1,30.0,9.004167
30.0,1.5,30.0,1.5,2880,144,79,1,n94-1,30.0,9.004167
31.5,0.5,31.5,0.5,3024,48,77,1,n95-1,31.0,9.171875
32.0,1.0,32.0,1.0,3072,96,63,5,n100-1,32.0,9.621354
32.0,1.0,32.0,1.0,3072,96,67,5,n101-1,32.0,9.621354
