xml_id	midi_id	track	channel	pitch	onset
n10-1	n8	1	0	33	1.608072916666667
n9-1	n6	1	0	35	1.4283854166666667
n8-1	n4	1	0	37	1.23046875
n11-1	n9	1	0	37	1.7747395833333337
n3-1	n2	1	0	38	1.01953125
n2-1	n1	1	0	50	1.0104166666666667
n6-1	n7	1	0	57	1.604166666666667
n5-1	n5	1	0	59	1.42578125
n4-1	n3	1	0	61	1.2278645833333333
n7-1	n10	1	0	61	1.783854166666667
n1-1	n0	1	0	62	1.0
n18-1	n11	1	0	38	1.983072916666667
n19-1	n13	1	0	42	2.158854166666667
n12-1	n12	1	0	62	1.986979166666667
n13-1	n14	1	0	66	2.170572916666667
n20-1	n17	1	0	33	2.3528645833333335
n22-1	n21	1	0	37	2.544270833333334
n21-1	n15	1	0	45	2.3489583333333335
n23-1	n19	1	0	49	2.540364583333334
n14-1	n18	1	0	57	2.3606770833333335
n16-1	n22	1	0	61	2.5468750000000004
n15-1	n16	1	0	69	2.3489583333333335
n17-1	n20	1	0	73	2.5416666666666674
n32-1	n26	1	0	38	2.7382812500000004
n34-1	n28	1	0	40	2.9179687500000004
n33-1	n23	1	0	50	2.7265625000000004
n35-1	n27	1	0	52	2.9062500000000004
n24-1	n25	1	0	62	2.733072916666667
n26-1	n30	1	0	64	2.9218750000000004
n25-1	n24	1	0	74	2.7304687500000004
n27-1	n29	1	0	76	2.920572916666667
n36-1	n32	1	0	42	3.1158854166666674
n38-1	n36	1	0	43	3.2903645833333344
n37-1	n31	1	0	54	3.1080729166666674
n39-1	n35	1	0	55	3.283854166666668
n28-1	n34	1	0	66	3.1184895833333344
n30-1	n37	1	0	67	3.299479166666668
n29-1	n33	1	0	78	3.117187500000001
n31-1	n38	1	0	79	3.3020833333333344
n43-1	n41	1	0	45	3.516927083333335
n44-1	n39	1	0	57	3.513020833333335
n40-1	n40	1	0	69	3.5143229166666683
n41-1	n42	1	0	81	3.516927083333335
n45-1	n45	1	0	66	5.408854166666667
n46-1	n44	1	0	69	5.407552083333334
n42-1	n43	1	0	74	5.402343750000001
n54-1	n51	1	0	62	5.807291666666666
n58-1	n57	1	0	62	6.178385416666666
n52-1	n47	1	0	64	5.619791666666667
n55-1	n50	1	0	66	5.802083333333333
n59-1	n55	1	0	66	6.170572916666666
n53-1	n48	1	0	67	5.64453125
n48-1	n49	1	0	71	5.799479166666666
n50-1	n58	1	0	71	6.184895833333332
n47-1	n46	1	0	73	5.610677083333334
n56-1	n54	1	0	61	6.002604166666666
n57-1	n52	1	0	64	5.981770833333332
n49-1	n53	1	0	69	5.999999999999999
n51-1	n56	1	0	81	6.174479166666666
n67-1	n65	1	0	59	6.587239583333331
n65-1	n59	1	0	61	6.364583333333331
n68-1	n64	1	0	62	6.576822916666664
n66-1	n61	1	0	64	6.378906249999997
n61-1	n63	1	0	67	6.57161458333333
n60-1	n62	1	0	69	6.386718749999997
n64-1	n60	1	0	81	6.377604166666664
n69-1	n67	1	0	57	6.757812499999998
n71-1	n70	1	0	59	6.957031249999999
n70-1	n66	1	0	61	6.749999999999998
n72-1	n71	1	0	62	6.962239583333332
n62-1	n68	1	0	66	6.772135416666665
n63-1	n69	1	0	67	6.954427083333332
n80-1	n76	1	0	55	7.342447916666664
n78-1	n73	1	0	57	7.156249999999998
n81-1	n77	1	0	59	7.350260416666664
n79-1	n72	1	0	61	7.124999999999998
n74-1	n75	1	0	64	7.333333333333331
n73-1	n74	1	0	66	7.164062499999998
n82-1	n80	1	0	54	7.535156249999997
n84-1	n84	1	0	55	7.717447916666664
n83-1	n79	1	0	57	7.522135416666664
n85-1	n83	1	0	59	7.710937499999997
n75-1	n78	1	0	62	7.520833333333331
n76-1	n82	1	0	64	7.709635416666664
n77-1	n81	1	0	74	7.695312499999997
n96-1	n89	1	0	52	8.07421875
n94-1	n87	1	0	54	7.911458333333332
n97-1	n92	1	0	55	8.101562499999998
n95-1	n86	1	0	57	7.901041666666665
n88-1	n91	1	0	61	8.095052083333332
n86-1	n88	1	0	62	7.929687499999999
n89-1	n90	1	0	73	8.092447916666666
n87-1	n85	1	0	74	7.899739583333332
n98-1	n96	1	0	50	8.307291666666666
n99-1	n93	1	0	54	8.292968749999998
n90-1	n95	1	0	62	8.298177083333332
n92-1	n98	1	0	63	8.501302083333332
n91-1	n94	1	0	74	8.296874999999998
n93-1	n97	1	0	75	8.499999999999998
n108-1	n100	1	0	43	8.696614583333332
n109-1	n99	1	0	55	8.683593749999998
n103-1	n102	1	0	64	8.880208333333332
n104-1	n101	1	0	76	8.876302083333332
n111-1	n106	1	0	45	9.08984375
n112-1	n103	1	0	57	9.083333333333332
n107-1	n104	1	0	67	9.084635416666666
n106-1	n107	1	0	69	9.265625
n105-1	n105	1	0	73	9.0859375
n118-1	n110	1	0	38	9.484375
n119-1	n111	1	0	50	9.48828125
n117-1	n109	1	0	66	9.477864583333334
n114-1	n108	1	0	74	9.47265625
n115-1	n112	1	0	78	10.093749999999996
n116-1	n113	1	0	86	10.182291666666664
n124-1	n116	1	0	74	10.444010416666664
n122-1	n114	1	0	76	10.264322916666664
n125-1	n117	1	0	83	10.531249999999998
n123-1	n115	1	0	85	10.351562499999998
n132-1	n122	1	0	33	10.802083333333332
n133-1	n120	1	0	45	10.794270833333332
n126-1	n118	1	0	73	10.609374999999998
n128-1	n121	1	0	74	10.799479166666666
n127-1	n119	1	0	81	10.696614583333332
n129-1	n123	1	0	83	10.8828125
n142-1	n126	1	0	33	11.013020833333332
n143-1	n124	1	0	45	11.0078125
n136-1	n128	1	0	71	11.235677083333332
n134-1	n125	1	0	73	11.010416666666666
n137-1	n129	1	0	79	11.325520833333332
n135-1	n127	1	0	81	11.108072916666666
n138-1	n130	1	0	69	11.416666666666666
n140-1	n132	1	0	71	11.595052083333332
n139-1	n131	1	0	78	11.510416666666666
n141-1	n133	1	0	79	11.692708333333332
n146-1	n136	1	0	67	11.984374999999998
n144-1	n134	1	0	69	11.790364583333332
n147-1	n137	1	0	76	12.075520833333332
n145-1	n135	1	0	78	11.876302083333332
n154-1	n142	1	0	34	12.34505208333333
n155-1	n140	1	0	46	12.334635416666664
n148-1	n138	1	0	66	12.156249999999998
n150-1	n141	1	0	67	12.342447916666664
n149-1	n139	1	0	74	12.236979166666664
n151-1	n143	1	0	76	12.42317708333333
n166-1	n150	1	0	33	12.733072916666664
n164-1	n145	1	0	35	12.536458333333329
n167-1	n148	1	0	45	12.72395833333333
n165-1	n144	1	0	47	12.526041666666663
n156-1	n146	1	0	66	12.536458333333329
n158-1	n149	1	0	66	12.729166666666664
n157-1	n147	1	0	74	12.639322916666663
n159-1	n151	1	0	75	12.822916666666663
n170-1	n157	1	0	30	13.102864583333329
n168-1	n153	1	0	31	12.915364583333329
n171-1	n156	1	0	42	13.098958333333329
n169-1	n152	1	0	43	12.907552083333329
n160-1	n154	1	0	67	12.919270833333329
n162-1	n158	1	0	69	13.105468749999995
n161-1	n155	1	0	76	13.016927083333329
n163-1	n159	1	0	78	13.196614583333329
n181-1	n162	1	0	28	13.299479166666663
n182-1	n161	1	0	40	13.294270833333329
n172-1	n160	1	0	71	13.291666666666663
n174-1	n164	1	0	78	13.445312499999996
n173-1	n163	1	0	79	13.361979166666663
n175-1	n165	1	0	81	13.539062499999996
n184-1	n168	1	0	33	13.656249999999996
n185-1	n167	1	0	45	13.652343749999996
n178-1	n172	1	0	64	13.84114583333333
n179-1	n170	1	0	67	13.83333333333333
n180-1	n171	1	0	73	13.83723958333333
n176-1	n166	1	0	79	13.61458333333333
n177-1	n169	1	0	83	13.691406249999996
n195-1	n177	1	0	38	14.062499999999996
n196-1	n176	1	0	50	14.05989583333333
n187-1	n175	1	0	62	14.057291666666664
n188-1	n174	1	0	66	14.05598958333333
n189-1	n173	1	0	74	14.05208333333333
n197-1	n178	1	0	38	14.665364583333329
n194-1	n179	1	0	50	14.759114583333329
n193-1	n180	1	0	62	14.774739583333329
n209-1	n184	1	0	35	15.036458333333327
n208-1	n181	1	0	37	14.847656249999995
n206-1	n182	1	0	49	14.958333333333329
n201-1	n186	1	0	59	15.148437499999995
n199-1	n183	1	0	61	14.962239583333329
n210-1	n187	1	0	33	15.213541666666663
n211-1	n190	1	0	37	15.380208333333327
n207-1	n191	1	0	49	15.477864583333327
n203-1	n189	1	0	57	15.316406249999995
n205-1	n192	1	0	61	15.480468749999993
n224-1	n193	1	0	38	15.563802083333325
n225-1	n196	1	0	42	15.731770833333325
n221-1	n194	1	0	50	15.644531249999991
n222-1	n197	1	0	54	15.819010416666657
n213-1	n195	1	0	62	15.649739583333325
n215-1	n198	1	0	66	15.822916666666657
