onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9270833,0.2109375,62,48,1,0,n0,-10.0,-10.0
0.93880206,0.17578125,38,40,1,0,n1,-10.0,-10.0
0.95703125,0.20442708,50,36,1,0,n2,-10.0,-10.0
1.1419271,0.04296875,37,44,1,0,n3,-10.0,-10.0
1.1497396,0.048177082,61,53,1,0,n4,1.145834,0.0
1.3268229,0.0390625,35,50,1,0,n5,1.145834,0.0
1.3359375,0.040364582,59,60,1,0,n6,1.145834,0.0
1.5078125,0.048177082,33,49,1,0,n7,1.145834,0.0
1.5234375,0.036458332,57,65,1,0,n8,1.515625,1.0
1.7109375,0.044270832,37,48,1,0,n9,1.515625,1.0
1.7200521,0.033854168,61,67,1,0,n10,1.515625,1.0
1.9010416,0.040364582,38,51,1,0,n11,1.515625,1.0
1.90625,0.040364582,62,66,1,0,n12,1.903646,2.0
2.0703125,0.041666668,42,54,1,0,n13,1.903646,2.0
2.0820312,0.033854168,66,68,1,0,n14,1.903646,2.0
2.248698,0.036458332,33,62,1,0,n15,1.903646,2.0
2.2617188,0.029947916,69,70,1,0,n16,1.903646,2.0
2.2682292,0.029947916,57,53,1,0,n17,2.261719,3.0
2.4375,0.045572918,37,57,1,0,n18,2.261719,3.0
2.4453125,0.03125,73,73,1,0,n19,2.261719,3.0
2.4505208,0.041666668,49,49,1,0,n20,2.261719,3.0
2.4934895,0.057291668,61,16,1,0,n21,2.261719,3.0
2.6354167,0.041666668,74,71,1,0,n22,2.261719,3.0
2.640625,0.044270832,38,53,1,0,n23,2.640625,4.0
2.65625,0.029947916,62,53,1,0,n24,2.640625,4.0
2.8020833,0.041666668,40,64,1,0,n25,2.640625,4.0
2.813802,0.029947916,76,70,1,0,n26,2.640625,4.0
2.828125,0.049479168,52,40,1,0,n27,2.640625,4.0
2.8411458,0.041666668,64,40,1,0,n28,2.640625,4.0
2.9752605,0.053385418,42,64,1,0,n29,2.640625,4.0
2.9869792,0.059895832,78,78,1,0,n30,2.640625,4.0
3.0,0.0390625,54,46,1,0,n31,2.993489,5.0
3.0078125,0.03125,66,58,1,0,n32,2.993489,5.0
3.1757812,0.036458332,43,66,1,0,n33,2.993489,5.0
3.1835938,0.032552082,79,83,1,0,n34,2.993489,5.0
3.1966145,0.026041666,67,66,1,0,n35,2.993489,5.0
3.217448,0.052083332,55,30,1,0,n36,2.993489,5.0
3.483073,1.9388021,81,93,1,0,n37,2.993489,5.0
3.4908855,1.9309896,45,65,1,0,n38,2.993489,5.0
3.4921875,1.9296875,69,84,1,0,n39,3.491536,6.0
3.5026042,1.9192709,57,63,1,0,n40,3.491536,6.0
5.2356772,0.29296875,74,49,1,0,n41,4.496419,7.0
5.2721353,0.20182292,66,40,1,0,n42,4.496419,7.0
5.278646,0.14322917,69,31,1,0,n43,4.496419,7.0
5.4804688,0.2643229,73,52,1,0,n44,4.496419,7.0
5.5013022,0.16666667,64,41,1,0,n45,5.501302,8.0
5.502604,0.21354167,67,43,1,0,n46,5.501302,8.0
5.6809897,0.16015625,71,65,1,0,n47,5.501302,8.0
5.684896,0.16536458,66,55,1,0,n48,5.501302,8.0
5.6966147,0.6067708,62,54,1,0,n49,5.501302,8.0
5.8580728,0.4453125,64,47,1,0,n50,5.501302,8.0
5.8789062,0.42447916,69,60,1,0,n51,5.878906,9.0
5.8841147,0.41927084,61,64,1,0,n52,5.878906,9.0
6.0455728,0.2578125,81,68,1,0,n53,5.878906,9.0
6.0559897,0.24739583,66,52,1,0,n54,5.878906,9.0
6.0559897,0.24739583,71,62,1,0,n55,5.878906,9.0
