onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0502076,0.17521316,62,64,1,0,n0,-10.0,-10.0
2.063028,0.15598245,38,51,1,0,n1,-10.0,-10.0
2.063028,0.16880292,50,53,1,0,n2,-10.0,-10.0
2.2222157,0.03632468,37,63,1,0,n3,-10.0,-10.0
2.240378,0.04380329,61,56,1,0,n4,2.231297,0.0
2.4337535,0.04700841,35,61,1,0,n5,2.231297,0.0
2.4604628,0.029914442,59,37,1,0,n6,2.231297,0.0
2.621787,0.074786104,33,57,1,0,n7,2.231297,0.0
2.6346076,0.027777696,57,56,1,0,n8,2.6281974,1.0
2.8258464,0.042734917,37,61,1,0,n9,2.6281974,1.0
2.8354616,0.039529797,61,64,1,0,n10,2.6281974,1.0
3.0405893,0.045940034,38,56,1,0,n11,2.6281974,1.0
3.042726,0.040598173,62,67,1,0,n12,3.0416574,2.0
3.2222128,0.038461424,42,65,1,0,n13,3.0416574,2.0
3.228623,0.040598173,66,65,1,0,n14,3.0416574,2.0
3.4177248,0.029914442,45,62,1,0,n15,3.0416574,2.0
3.4219985,0.04487166,69,65,1,0,n16,3.421998,3.0
3.431614,0.03418793,57,50,1,0,n17,3.421998,3.0
3.6078954,0.037393052,49,71,1,0,n18,3.421998,3.0
3.6132371,0.039529797,73,70,1,0,n19,3.421998,3.0
3.6281943,0.030982815,61,57,1,0,n20,3.421998,3.0
3.64422,0.05448702,37,29,1,0,n21,3.421998,3.0
3.8108861,0.03311956,50,73,1,0,n22,3.421998,3.0
3.8172965,0.029914442,74,79,1,0,n23,3.817296,4.0
3.8237066,0.04380329,62,69,1,0,n24,3.817296,4.0
4.0042615,0.029914442,52,76,1,0,n25,3.817296,4.0
4.0042615,0.023504205,76,82,1,0,n26,3.817296,4.0
4.013877,0.01816234,64,67,1,0,n27,3.817296,4.0
4.185885,0.035256308,54,82,1,0,n28,3.817296,4.0
4.1933637,0.028846068,78,82,1,0,n29,3.817296,4.0
4.1944323,0.032051187,66,77,1,0,n30,4.193898,5.0
4.2072525,0.03311956,42,56,1,0,n31,4.193898,5.0
4.3760552,0.026709324,79,91,1,0,n32,4.193898,5.0
4.3846025,0.035256308,55,72,1,0,n33,4.193898,5.0
4.3856707,0.019230712,67,77,1,0,n34,4.193898,5.0
4.7254133,2.0395238,81,90,1,0,n35,4.193898,5.0
4.726482,2.0384555,69,85,1,0,n36,4.193898,5.0
4.741439,2.0234983,57,61,1,0,n37,4.7339606,6.0
4.7574644,2.0074728,45,56,1,0,n38,4.7339606,6.0
6.6057496,0.15918757,69,42,1,0,n39,5.785239,7.0
6.623912,0.32478538,74,60,1,0,n40,5.785239,7.0
6.6281857,0.20299086,66,41,1,0,n41,5.785239,7.0
6.8354497,0.30448627,73,70,1,0,n42,5.785239,7.0
6.8365183,0.22863181,67,45,1,0,n43,6.836518,8.0
6.8546805,0.22328994,64,51,1,0,n44,6.836518,8.0
7.017073,0.22328994,71,82,1,0,n45,6.836518,8.0
7.021347,0.13568336,66,46,1,0,n46,6.836518,8.0
7.056603,0.14102523,62,54,1,0,n47,6.836518,8.0
7.194423,0.21901645,69,81,1,0,n48,6.836518,8.0
7.213654,0.1613243,61,56,1,0,n49,7.2040386,9.0
7.3707047,0.118589394,81,82,1,0,n50,7.2040386,9.0
7.385662,0.056623764,71,57,1,0,n51,7.2040386,9.0
7.3899355,0.16666618,62,55,1,0,n52,7.2040386,9.0
7.4027557,0.064102374,66,46,1,0,n53,7.2040386,9.0
7.571559,0.7061945,61,42,1,0,n54,7.2040386,9.0
7.576901,0.70085263,81,85,1,0,n55,7.2040386,9.0
7.5929265,0.684827,64,57,1,0,n56,7.5849137,10.0
7.6004047,0.048076782,69,67,1,0,n57,7.5849137,10.0
7.7863016,0.49145153,67,69,1,0,n58,7.5849137,10.0
7.806601,0.47115245,59,50,1,0,n59,7.5849137,10.0
7.8087378,0.46901572,62,47,1,0,n60,7.5849137,10.0
7.9764724,0.30128115,61,52,1,0,n61,7.5849137,10.0
7.979677,0.29807603,66,66,1,0,n62,7.979677,11.0
7.9882245,0.28952906,57,47,1,0,n63,7.979677,11.0
8.153822,0.25747788,67,74,1,0,n64,7.979677,11.0
8.167711,0.17521316,59,54,1,0,n65,7.979677,11.0
8.174121,0.103632174,62,57,1,0,n66,7.979677,11.0
8.349335,0.25854623,66,64,1,0,n67,7.979677,11.0
8.362155,0.21153784,57,50,1,0,n68,8.362155,12.0
8.369634,0.19230713,61,53,1,0,n69,8.362155,12.0
8.5341625,0.21153784,59,54,1,0,n70,8.362155,12.0
8.54271,0.18803364,64,62,1,0,n71,8.362155,12.0
8.5651455,0.1933755,55,50,1,0,n72,8.362155,12.0
8.735017,0.09188007,62,65,1,0,n73,8.362155,12.0
8.749974,0.10576892,54,53,1,0,n74,8.742496,13.0
8.91023,0.06944424,74,74,1,0,n75,8.742496,13.0
8.911299,0.08333309,59,63,1,0,n76,8.742496,13.0
8.931598,0.026709324,64,55,1,0,n77,8.742496,13.0
8.948691,0.15491407,55,47,1,0,n78,8.742496,13.0
9.112153,0.1655978,54,54,1,0,n79,8.742496,13.0
9.115357,0.12713638,74,76,1,0,n80,8.742496,13.0
9.129247,0.039529797,62,69,1,0,n81,9.122302,14.0
9.140999,0.15811919,57,58,1,0,n82,9.122302,14.0
9.30446,0.21581133,73,68,1,0,n83,9.122302,14.0
9.307665,0.19978574,55,44,1,0,n84,9.122302,14.0
9.308733,0.1816234,52,44,1,0,n85,9.122302,14.0
9.319417,0.04380329,61,63,1,0,n86,9.122302,14.0
9.489288,0.048076782,54,48,1,0,n87,9.122302,14.0
9.489288,0.03418793,74,68,1,0,n88,9.122302,14.0
9.493562,0.029914442,62,54,1,0,n89,9.491425,15.0
9.499972,0.041666545,50,49,1,0,n90,9.491425,15.0
