xml_id	midi_id	track	channel	pitch	onset
n8-1	n2	0	0	50	6.77885259375
n9-1	n3	0	0	57	6.789536364583333
n4-1	n1	0	0	66	6.756416675
n2-1	n0	0	0	69	6.370732547916667
n6-1	n4	0	0	78	7.0448784875
n7-1	n5	0	0	76	7.300220610416666
n14-1	n7	0	0	52	7.597229439583333
n15-1	n9	0	0	57	7.622870489583333
n10-1	n8	0	0	67	7.607913210416666
n11-1	n6	0	0	74	7.585477291666666
n12-1	n10	0	0	73	7.864323710416666
n13-1	n11	0	0	76	8.128212849999999
n18-1	n15	0	0	54	8.500008074999997
n19-1	n13	0	0	57	8.486119172916663
n16-1	n14	0	0	69	8.489324304166663
n17-1	n12	0	0	74	8.461546499999995
n24-1	n17	0	0	50	9.362188381249991
n25-1	n18	0	0	57	9.367530266666657
n20-1	n16	0	0	66	9.353641364583325
n22-1	n19	0	0	69	9.620735635416656
n23-1	n20	0	0	71	9.854710216666655
n32-1	n24	0	0	49	10.137830143749987
n31-1	n23	0	0	57	10.134625012499987
n26-1	n22	0	0	64	10.12607799583332
n28-1	n21	0	0	69	10.111120716666655
n29-1	n25	0	0	67	10.346163674999985
n33-1	n28	0	0	45	10.571591239583318
n27-1	n26	0	0	61	10.567317731249984
n30-1	n27	0	0	69	10.570522862499985
n42-1	n30	0	0	50	10.850437658333318
n34-1	n32	0	0	57	10.860053052083318
n36-1	n31	0	0	64	10.852574412499985
n37-1	n29	0	0	67	10.841890641666652
n38-1	n34	0	0	62	11.087617370833318
n39-1	n33	0	0	66	11.073728468749984
n43-1	n35	0	0	43	11.309839804166648
n35-1	n37	0	0	59	11.32052357499998
n40-1	n38	0	0	64	11.329070591666646
n41-1	n36	0	0	67	11.309839804166648
n47-1	n42	0	0	45	11.629284552083313
n44-1	n41	0	0	57	11.62180591249998
n45-1	n40	0	0	62	11.61860078124998
n46-1	n39	0	0	66	11.601506747916646
n48-1	n43	0	0	57	12.146379060416642
n50-1	n45	0	0	61	12.41561008541664
n51-1	n44	0	0	64	12.41240495416664
n55-1	n46	0	0	55	12.629285502083304
n56-1	n48	0	0	54	12.880354116666636
n53-1	n47	0	0	71	12.867533591666636
n61-1	n52	0	0	52	13.182704831249966
n62-1	n51	0	0	55	13.178431322916632
n63-1	n50	0	0	59	13.170952683333299
n57-1	n49	0	0	67	13.163474043749966
n59-1	n53	0	0	79	13.405995641666632
n60-1	n54	0	0	78	13.637833468749964
n70-1	n60	0	0	54	13.991466283333297
n71-1	n59	0	0	57	13.988261152083297
n68-1	n58	0	0	59	13.983987643749963
n69-1	n56	0	0	63	13.977577381249962
n64-1	n57	0	0	69	13.979714135416629
n65-1	n55	0	0	76	13.95407308541663
n66-1	n61	0	0	75	14.204073322916628
n67-1	n62	0	0	78	14.431637641666628
n76-1	n66	0	0	55	14.773518308333292
n74-1	n64	0	0	59	14.769244799999958
n75-1	n65	0	0	64	14.770313177083292
n72-1	n67	0	0	71	14.773518308333292
n73-1	n63	0	0	76	14.738261864583292
n83-1	n71	0	0	52	15.548091693749955
n84-1	n70	0	0	55	15.544886562499954
n81-1	n72	0	0	57	15.55343357916662
n82-1	n69	0	0	61	15.528860906249953
n77-1	n68	0	0	67	15.523519020833287
n79-1	n73	0	0	71	15.786339783333284
n80-1	n74	0	0	73	16.005357085416616
n90-1	n78	0	0	54	16.290613766666617
n91-1	n76	0	0	57	16.283135127083284
n92-1	n77	0	0	62	16.283135127083284
n85-1	n75	0	0	69	16.260699208333286
n88-1	n79	0	0	74	16.50215242916662
n93-1	n81	0	0	50	16.750015912499958
n86-1	n82	0	0	66	16.76604156874996
n89-1	n80	0	0	69	16.74681078124996
n100-1	n83	0	0	57	17.033135839583302
n94-1	deletion
n96-1	n84	0	0	69	17.033135839583302
n97-1	n85	0	0	67	17.25749502708331
n101-1	n87	0	0	45	17.510700395833318
n95-1	n89	0	0	55	17.519247412499983
n98-1	n88	0	0	61	17.51497390416665
n99-1	n86	0	0	64	17.49787987083332
n108-1	n92	0	0	38	17.879290489583315
n106-1	deletion
n103-1	n93	0	0	55	17.895316145833313
n104-1	n91	0	0	61	17.87394860416665
n105-1	n90	0	0	64	17.863264833333318
n107-1	n94	0	0	45	18.448735475000003
n113-1	n97	0	0	50	18.806641797916683
n110-1	n96	0	0	54	18.80236828958335
n111-1	n95	0	0	62	18.774590485416685
n2-2	n98	0	0	69	19.450873179166692
n8-2	n99	0	0	50	19.839762437500035
n9-2	n100	0	0	57	19.842967568750034
n4-2	n101	0	0	66	19.8675402416667
n6-2	n102	0	0	78	20.19766876041671
n7-2	n103	0	0	76	20.453010883333384
n14-2	n105	0	0	52	20.726515416666718
n15-2	n106	0	0	57	20.730788925000052
n10-2	n107	0	0	67	20.743609450000047
n11-2	n104	0	0	74	20.715831645833386
n12-2	n108	0	0	73	20.970105391666714
n13-2	n109	0	0	76	21.208353481250054
n18-2	n111	0	0	54	21.52245634375005
n19-2	n112	0	0	57	21.52245634375005
n16-2	n113	0	0	69	21.533140114583382
n17-2	n110	0	0	74	21.507499064583385
n24-2	n115	0	0	50	22.375021256250076
n25-2	n116	0	0	57	22.376089633333407
n20-2	n114	0	0	66	22.371816125000077
n22-2	n117	0	0	69	22.644252281250083
n23-2	n118	0	0	71	22.88891063333342
n32-2	n120	0	0	49	23.167757052083427
n31-2	n121	0	0	57	23.16882542916676
n26-2	n122	0	0	64	23.17844082291676
n28-2	n119	0	0	69	23.15600490416676
n29-2	n123	0	0	67	23.398526502083428
n33-2	n124	0	0	45	23.633569460416773
n27-2	n125	0	0	61	23.63891134583344
n30-2	n126	0	0	69	23.65280024791677
n42-2	n130	0	0	50	23.935920175000106
n34-2	n129	0	0	57	23.934851797916775
n36-2	n128	0	0	64	23.92737315833344
n37-2	n127	0	0	67	23.91989451875011
n38-2	n132	0	0	62	24.17096313333344
n39-2	n131	0	0	66	24.154937477083443
n43-2	n134	0	0	43	24.381433418750117
n35-2	n135	0	0	59	24.383570172916784
n40-2	n136	0	0	64	24.392117189583452
n41-2	n133	0	0	67	24.378228287500118
n47-2	n138	0	0	45	24.68485251041679
n44-2	n139	0	0	57	24.69446790416679
n45-2	n140	0	0	62	24.69446790416679
n46-2	n137	0	0	66	24.672031985416787
n48-2	n141	0	0	57	25.192331625000136
n50-2	n143	0	0	61	25.460494272916815
n51-2	n142	0	0	64	25.45515238750015
n55-2	n144	0	0	55	25.673101312500158
n56-2	n146	0	0	54	25.93805882916683
n53-2	n145	0	0	71	25.914554533333497
n61-2	n150	0	0	52	26.272460856250174
n62-2	n148	0	0	55	26.269255725000175
n63-2	n149	0	0	59	26.271392479166842
n57-2	n147	0	0	67	26.266050593750176
n59-2	n151	0	0	79	26.51070894583352
n60-2	n152	0	0	78	26.76391431458352
n70-2	n156	0	0	54	27.08442743958352
n71-2	n158	0	0	57	27.104726604166853
n68-2	n157	0	0	59	27.091906079166854
n69-2	n155	0	0	63	27.079085554166856
n64-2	n154	0	0	69	27.07694880000019
n65-2	n153	0	0	76	27.054512881250186
n66-2	n159	0	0	75	27.31306013541686
n67-2	n160	0	0	78	27.535282568750194
n76-2	n163	0	0	55	27.857932447916866
n74-2	n162	0	0	59	27.8557956937502
n75-2	n165	0	0	64	27.86647946458353
n72-2	n164	0	0	71	27.861137579166865
n73-2	n161	0	0	76	27.835496529166864
n83-2	n169	0	0	52	28.66242039166688
n84-2	n170	0	0	55	28.664557145833548
n81-2	n168	0	0	57	28.65494175208355
n82-2	n166	0	0	61	28.630369079166883
n77-2	n167	0	0	67	28.648531489583547
n79-2	n171	0	0	71	28.88784795625023
n80-2	n172	0	0	73	29.118617406250227
n90-2	n175	0	0	54	29.3739595291669
n91-2	n173	0	0	57	29.36968602083357
n92-2	n174	0	0	62	29.372891152083568
n85-2	n176	0	0	69	29.3739595291669
n88-2	n177	0	0	74	29.60900248750024
n93-2	n178	0	0	50	29.85579759375025
n86-2	n180	0	0	66	29.86648136458358
n89-2	n179	0	0	69	29.86541298750025
n100-2	n182	0	0	57	30.149601291666926
n94-2	n181	0	0	61	30.14532778333359
n96-2	n183	0	0	69	30.156011554166923
n97-2	n184	0	0	67	30.384644250000264
n101-2	n186	0	0	45	30.65067014375027
n95-2	n187	0	0	55	30.6581487833336
n98-2	n188	0	0	61	30.665627422916934
n99-2	n185	0	0	64	30.633576110416936
n106-2	n190	0	0	38	31.02567050000027
n108-2	deletion
n103-2	n191	0	0	55	31.042764533333603
n104-2	n192	0	0	61	31.045969664583602
n105-2	n189	0	0	64	31.023533745833603
n107-2	n193	0	0	45	31.61114114166696
n113-2	n195	0	0	50	31.93165426666697
n110-2	n196	0	0	54	31.93485939791697
n111-2	n194	0	0	62	31.926312381250305
n119-1	n197	0	0	30	32.41883421666699
n122-1	n198	0	0	42	32.73080032500032
n123-1	n199	0	0	41	33.21050163541698
n124-1	n200	0	0	42	33.32054447500032
n128-1	n202	0	0	42	33.525672875000325
n127-1	n201	0	0	43	33.43379244583365
n130-1	n204	0	0	38	33.77033122708366
n129-1	n203	0	0	40	33.66242514166699
n131-1	n205	0	0	37	33.88251082083366
n132-1	n206	0	0	42	33.97973313541699
n137-1	n208	0	0	38	34.09832299166699
n134-1	n207	0	0	59	34.096186237500326
n138-1	n209	0	0	35	34.35793862291699
n135-1	n210	0	0	58	34.591913204166985
n136-1	n211	0	0	59	34.71157143750032
n141-1	n213	0	0	59	34.909221197916985
n140-1	n212	0	0	61	34.816272391666985
n146-1	n215	0	0	56	35.127170122916986
n145-1	n214	0	0	57	35.02994780833365
n147-1	n216	0	0	54	35.234007831250324
n148-1	n217	0	0	59	35.329093391666994
n153-1	n219	0	0	56	35.45836701875032
n150-1	n218	0	0	76	35.44768324791699
n154-1	n220	0	0	52	35.692341600000326
n151-1	n221	0	0	75	35.90174350833366
n152-1	n222	0	0	76	36.02140174166699
n158-1	n224	0	0	76	36.232940404166996
n157-1	n223	0	0	78	36.12823945000033
n160-1	n226	0	0	73	36.44234231250033
n159-1	n225	0	0	74	36.34405162083366
n161-1	n227	0	0	71	36.54811164375033
n162-1	n228	0	0	76	36.660291237500324
n168-1	n229	0	0	69	36.77353920833366
n165-1	n230	0	0	73	36.77781271666699
n166-1	n231	0	0	81	37.008582166667
n169-1	n232	0	0	68	37.23080460000033
n170-1	n234	0	0	69	37.34084743958366
n167-1	n233	0	0	81	37.232941354167
n176-1	n237	0	0	69	37.58123228333367
n175-1	n236	0	0	71	37.478668083333666
n172-1	n235	0	0	81	37.45623216458366
n178-1	n240	0	0	66	37.832300897917
n177-1	n239	0	0	67	37.70943753333367
n173-1	n238	0	0	81	37.692343500000334
n174-1	n241	0	0	81	37.91777106458367
n181-1	n245	0	0	81	38.28849791250035
n196-1	n248	0	0	81	38.52567762500034
n183-1	n250	0	0	81	38.71371199166701
n180-1	n243	0	0	64	38.04811306875035
n179-1	n242	0	0	67	37.937001852083675
n197-1	n246	0	0	62	38.28956628958368
n198-1	n244	0	0	66	38.28529278125035
n182-1	n247	0	0	83	38.419908293750346
n184-1	n251	0	0	83	38.79277189583368
insertion	n249	0	0	83	38.60901103750034
n194-1	n252	0	0	78	38.85580614375035
n185-1	n253	0	0	81	38.88251557083368
n189-1	n255	0	0	81	39.075891822917015
n187-1	deletion
n186-1	n254	0	0	83	38.96478060625035
n192-1	n259	0	0	83	39.31413991250035
n188-1	deletion
n195-1	n256	0	0	76	39.116490152083685
n191-1	n258	0	0	81	39.25751592708368
n190-1	n257	0	0	83	39.13999444791702
n215-1	n262	0	0	64	39.36969552083369
n216-1	n261	0	0	67	39.36542201250035
n212-1	n260	0	0	74	39.362216881250355
n199-1	n263	0	0	81	39.40815709583369
n203-1	n265	0	0	81	39.56734528125036
n201-1	deletion
n200-1	n264	0	0	83	39.476533229167025
n202-1	deletion
n213-1	n266	0	0	73	39.62076413541703
n205-1	n268	0	0	81	39.73401210625037
n204-1	n267	0	0	83	39.6357214145837
n206-1	n269	0	0	83	39.80025148541704
n214-1	n270	0	0	76	39.856875470833714
n207-1	n271	0	0	81	39.89640542291704
n217-1	n273	0	0	81	40.068414133333704
n209-1	deletion
n208-1	n272	0	0	83	39.96691831041704
n210-1	deletion
n233-1	n274	0	0	66	40.12183298750037
n234-1	n275	0	0	69	40.12183298750037
n230-1	n276	0	0	74	40.12183298750037
n219-1	n278	0	0	81	40.23401258125037
n218-1	n277	0	0	83	40.133585135417036
n220-1	n279	0	0	83	40.29704682916704
n231-1	n280	0	0	73	40.38465375000038
n221-1	n281	0	0	81	40.38465375000038
n223-1	n283	0	0	81	40.543841935417056
n225-1	deletion
n222-1	n282	0	0	83	40.45516663750039
n224-1	n284	0	0	83	40.610081314583724
n232-1	n285	0	0	71	40.61328644583372
n227-1	n286	0	0	81	40.71905577708372
n228-1	n287	0	0	83	40.78315840208372
n226-1	deletion
n248-1	n288	0	0	69	40.85473966666706
n235-1	n289	0	0	81	40.87076532291706
n237-1	deletion
n236-1	n290	0	0	83	40.94662009583372
n238-1	deletion
n249-1	n292	0	0	70	41.090851002083724
n242-1	n295	0	0	81	41.276748614583724
n239-1	n291	0	0	82	41.050252672917054
n241-1	n294	0	0	82	41.20089384166706
n246-1	deletion
n243-1	n296	0	0	82	41.34512474791706
n240-1	n293	0	0	83	41.11969718333372
n252-1	n298	0	0	63	41.36115040416706
n250-1	n297	0	0	71	41.35580851875039
n247-1	n299	0	0	83	41.36756066666706
n260-1	n302	0	0	64	41.7147832187504
n257-1	n301	0	0	69	41.6987575625004
n254-1	n300	0	0	81	41.68059515208373
n258-1	n304	0	0	67	41.944484291667074
n255-1	n303	0	0	79	41.92632188125041
n261-1	n307	0	0	61	42.16350159375041
n259-1	n306	0	0	69	42.162433216667075
n256-1	n305	0	0	81	42.151749445833744
n273-1	n308	0	0	62	42.418843716667084
n270-1	n311	0	0	67	42.43700612708375
n263-1	n310	0	0	76	42.429527487500415
n264-1	n309	0	0	79	42.418843716667084
n271-1	n312	0	0	66	42.64961316666708
n265-1	n314	0	0	74	42.670980708333744
n266-1	n313	0	0	78	42.65281829791708
n274-1	n317	0	0	55	42.89427151875041
n272-1	n316	0	0	67	42.88892963333374
n267-1	n319	0	0	71	42.91029717500041
n268-1	n318	0	0	76	42.90922879791707
n269-1	n315	0	0	79	42.88251937083374
n275-1	n322	0	0	69	43.17952820000039
n276-1	n321	0	0	74	43.17739144583373
n277-1	n320	0	0	78	43.161365789583726
n281-1	n323	0	0	45	43.38145146875039
n282-1	n324	0	0	57	43.78316125208373
n278-1	n326	0	0	73	43.81307581041706
n279-1	n325	0	0	76	43.80239203958373
n288-1	n327	0	0	55	44.401751583333734
n289-1	n329	0	0	54	44.679529625000406
n286-1	n328	0	0	71	44.67311936250041
n294-1	n331	0	0	52	45.02141029166708
n295-1	n330	0	0	55	45.01927353750042
n296-1	n332	0	0	59	45.031025685417085
n290-1	n333	0	0	67	45.03529919375042
n292-1	n334	0	0	79	45.30346184166709
n293-1	n335	0	0	78	45.556667210417096
n301-1	n340	0	0	54	45.8771803354171
n302-1	n337	0	0	57	45.87183845000044
n303-1	n341	0	0	59	45.8803854666671
n304-1	n338	0	0	63	45.8739752041671
n297-1	n339	0	0	69	45.876111958333766
n298-1	n336	0	0	76	45.842992268750436
n299-1	n342	0	0	75	46.08444548958377
n300-1	n343	0	0	78	46.32803546458377
n309-1	n348	0	0	55	46.5951297354171
n310-1	n345	0	0	59	46.586582718750435
n311-1	n347	0	0	62	46.59299298125044
n305-1	n346	0	0	71	46.586582718750435
n306-1	n344	0	0	74	46.5823092104171
n307-1	n349	0	0	83	46.84192484166711
n308-1	n350	0	0	81	47.06521565208379
n316-1	n354	0	0	57	47.32483128333381
n317-1	n356	0	0	60	47.33765180833381
n318-1	n355	0	0	62	47.333378300000476
n319-1	n352	0	0	66	47.31948939791714
n312-1	n353	0	0	72	47.32376290625047
n313-1	n351	0	0	79	47.31414751250047
n314-1	n357	0	0	78	47.562010995833816
n315-1	n358	0	0	81	47.802395839583816
n324-1	n362	0	0	59	48.081242258333816
n325-1	n360	0	0	62	48.08017388125048
n326-1	n361	0	0	67	48.08017388125048
n322-1	n359	0	0	79	48.07590037291715
n321-1	n363	0	0	74	48.33658438125049
n323-1	n364	0	0	86	48.590858127083834
n332-1	n366	0	0	58	48.96799523750051
n333-1	n367	0	0	62	48.97333712291718
n334-1	n368	0	0	64	48.974405500000515
n335-1	n365	0	0	68	48.95624308958384
n328-1	n369	0	0	80	48.99470466458385
n330-1	n370	0	0	85	49.25111516458386
n331-1	n371	0	0	88	49.57697017500053
n341-1	n374	0	0	57	50.088722797917214
n342-1	n373	0	0	61	50.08124415833388
n336-1	n375	0	0	76	50.09620143750055
n338-1	n372	0	0	86	50.05453473125055
n339-1	n376	0	0	85	50.34085978958388
n343-1	n380	0	0	59	50.60474892916722
n344-1	n379	0	0	62	50.596201912500554
n337-1	n378	0	0	74	50.592996781250555
n340-1	n377	0	0	83	50.57803950208389
n350-1	n382	0	0	61	50.86970644583389
n351-1	n384	0	0	64	50.885732102083885
n345-1	n383	0	0	69	50.88252697083389
