idx,matchtype,partid,ppartid
0,0,n16-1,n8
1,0,n15-1,n6
2,0,n4-1,n1
3,0,n2-1,n3
4,0,n11-1,n5
5,0,n3-1,n2
6,0,n1-1,n0
7,0,n5-1,n4
8,0,n6-1,n7
9,0,n20-1,n10
10,0,n13-1,n12
11,0,n14-1,n11
12,0,n10-1,n9
13,0,n30-1,n16
14,0,n29-1,n14
15,0,n27-1,n15
16,0,n21-1,n13
17,0,n22-1,n17
18,0,n34-1,n19
19,0,n26-1,n18
20,0,n43-1,n21
21,0,n35-1,n20
22,0,n36-1,n22
23,0,n44-1,n23
24,0,n45-1,n24
25,0,n37-1,n25
26,0,n38-1,n26
27,0,n46-1,n28
28,0,n47-1,n29
29,0,n39-1,n27
30,0,n40-1,n30
31,0,n49-1,n31
32,0,n50-1,n34
33,1,n79-1,undefined
34,0,n48-1,n32
35,0,n41-1,n33
36,0,n42-1,n35
37,0,n74-1,n36
38,0,n75-1,n37
39,0,n54-1,n40
40,0,n53-1,n39
41,0,n52-1,n38
42,0,n57-1,n44
43,0,n70-1,n42
44,0,n56-1,n43
45,0,n58-1,n45
46,0,n55-1,n41
47,0,n77-1,n46
48,0,n64-1,n50
49,0,n59-1,n47
50,0,n63-1,n49
51,0,n65-1,n51
52,0,n62-1,n48
53,0,n66-1,n52
54,0,n73-1,n57
55,0,n67-1,n56
56,0,n81-1,n55
57,0,n68-1,n59
58,0,n97-1,n75
59,1,n82-1,undefined
60,0,n61-1,n58
61,0,n72-1,n54
62,0,n60-1,n53
63,0,n100-1,n64
64,0,n99-1,n62
65,0,n91-1,n60
66,0,n95-1,n71
67,1,n92-1,undefined
68,0,n83-1,n61
69,0,n84-1,n63
70,0,n87-1,n69
71,0,n102-1,n68
72,0,n93-1,n66
73,0,n94-1,n65
74,0,n86-1,n67
75,0,n104-1,n73
76,0,n103-1,n70
77,0,n88-1,n72
78,0,n106-1,n76
79,0,n98-1,n77
80,0,n90-1,n74
81,0,n119-1,n82
82,0,n118-1,n80
83,0,n115-1,n79
84,0,n107-1,n78
85,0,n108-1,n81
86,0,n124-1,n85
87,0,n121-1,n84
88,0,n110-1,n83
89,0,n125-1,n86
90,0,n122-1,n88
91,0,n111-1,n87
92,0,n123-1,n92
93,0,n117-1,n91
94,0,n114-1,n93
95,0,n113-1,n90
96,0,n112-1,n89
97,0,n138-1,n95
