xml_id	midi_id	track	channel	pitch	onset
n21-1	n2	1	0	36	2.01922875
n22-1	n4	1	0	39	2.0232351562499997
n23-1	n5	1	0	43	2.0259060937499997
n24-1	n1	1	0	48	2.01522234375
n31-1	n15	1	0	48	6.328786406250011
n30-1	n11	1	0	50	5.4193321875000064
n1-1	n3	1	0	51	2.0205642187499997
n29-1	n8	1	0	51	5.233702031250006
n2-1	n6	1	0	55	2.0259060937499997
n7-1	n9	1	0	55	5.2377084375000065
n9-1	n12	1	0	55	5.4193321875000064
n12-1	n14	1	0	55	6.326115468750012
n10-1	n13	1	0	59	5.4193321875000064
n3-1	n0	1	0	60	2.00720953125
n8-1	n7	1	0	60	5.231031093750007
n13-1	n17	1	0	60	6.336799218750011
n11-1	n10	1	0	62	5.408648437500006
n14-1	n16	1	0	63	6.332792812500012
n32-1	n20	1	0	54	6.56115796875001
n15-1	n19	1	0	57	6.55982250000001
n16-1	n21	1	0	60	6.563828906250009
n17-1	n18	1	0	63	6.53711953125001
n35-1	n25	1	0	44	11.20458281250005
n33-1	n24	1	0	55	8.892886406250026
n18-1	n23	1	0	59	8.872854375000028
n19-1	n22	1	0	62	8.859499687500028
n58-1	n29	1	0	56	11.483695781250052
n36-1	n28	1	0	59	11.463663750000052
n37-1	n27	1	0	62	11.460992812500052
n38-1	n26	1	0	65	11.452980000000052
n62-1	n41	1	0	53	15.7478475000001
n61-1	n37	1	0	55	14.813019375000087
n60-1	n33	1	0	56	14.596673437500085
n42-1	n30	1	0	59	14.565957656250085
n45-1	n35	1	0	59	14.795658281250086
n48-1	n38	1	0	59	15.7384992187501
n43-1	n32	1	0	62	14.577976875000084
n46-1	n36	1	0	62	14.795658281250086
n49-1	n40	1	0	62	15.7451765625001
n44-1	n31	1	0	65	14.569964062500084
n47-1	n34	1	0	67	14.783639062500086
n50-1	n39	1	0	68	15.7384992187501
n63-1	n45	1	0	51	16.0095993750001
n51-1	n42	1	0	59	15.980219062500103
n52-1	n44	1	0	62	16.0015865625001
n53-1	n43	1	0	68	15.985560937500102
n66-1	n49	1	0	51	20.838654375000157
n54-1	n47	1	0	60	18.477545625000133
n55-1	n48	1	0	63	18.477545625000133
n56-1	n46	1	0	67	18.468197343750134
n97-1	n53	1	0	63	21.132457500000154
n67-1	n52	1	0	66	21.125780156250155
n68-1	n51	1	0	69	21.117767343750156
n69-1	n50	1	0	72	21.105748125000154
n101-1	n63	1	0	60	25.320487500000187
n100-1	n59	1	0	62	24.399014062500175
n99-1	n56	1	0	63	24.194687343750175
n73-1	n55	1	0	66	24.190680937500176
n76-1	n61	1	0	66	24.407026875000174
n79-1	n64	1	0	66	25.327164843750186
n74-1	n57	1	0	69	24.204035625000174
n77-1	n60	1	0	69	24.399014062500175
n80-1	n65	1	0	69	25.333842187500185
n75-1	n54	1	0	72	24.186674531250176
n78-1	n58	1	0	74	24.378982031250175
n81-1	n62	1	0	75	25.304461875000186
n102-1	n69	1	0	60	25.579568437500182
n82-1	n67	1	0	66	25.559536406250185
n83-1	n68	1	0	69	25.576897500000182
n84-1	n66	1	0	75	25.531491562500186
n103-1	n72	1	0	59	27.82582687500021
n106-1	n83	1	0	60	29.911829062500225
n85-1	n73	1	0	62	27.84585890625021
n105-1	n79	1	0	62	29.066477343750215
n104-1	n76	1	0	63	28.85814421875022
n88-1	n74	1	0	66	28.84345406250022
n91-1	n80	1	0	66	29.082502968750212
n94-1	n84	1	0	66	29.914500000000224
n86-1	n71	1	0	67	27.79778203125021
n89-1	n77	1	0	69	28.86215062500022
n92-1	n81	1	0	69	29.083838437500212
n95-1	n85	1	0	69	29.923848281250223
n90-1	n75	1	0	72	28.84879593750022
n87-1	n70	1	0	74	27.77374359375021
n93-1	n78	1	0	74	29.063806406250215
n96-1	n82	1	0	75	29.889126093750225
n140-1	n88	1	0	60	30.28175390625023
n107-1	n87	1	0	66	30.273741093750232
n108-1	n89	1	0	69	30.28175390625023
n109-1	n86	1	0	75	30.25905093750023
n142-1	n98	1	0	58	33.62576765625015
n141-1	n93	1	0	59	32.532018750000226
n143-1	n99	1	0	60	33.62710312500015
n110-1	n92	1	0	62	32.53068328125023
n135-1	n123	1	0	62	39.68478937499983
n144-1	n96	1	0	64	33.61107750000015
n111-1	n91	1	0	67	32.52267046875023
n113-1	n97	1	0	67	33.61107750000015
n114-1	n95	1	0	72	33.60974203125015
n112-1	n90	1	0	74	32.49462562500023
n115-1	n94	1	0	76	33.59104546875015
n145-1	n105	1	0	56	34.75423875000007
n146-1	n104	1	0	60	34.75156781250007
n147-1	n103	1	0	65	34.74622593750007
n116-1	n101	1	0	68	34.73687765625007
n117-1	n102	1	0	72	34.74489046875007
n118-1	n100	1	0	77	34.727529375000074
n119-1	n106	1	0	80	35.98687640625004
n149-1	n107	1	0	34	37.20081749999997
n150-1	n108	1	0	46	37.20482390624997
n139-1	n127	1	0	62	40.43265187499974
n134-1	n122	1	0	63	39.55925531249985
n133-1	n121	1	0	65	39.423037499999865
n138-1	n126	1	0	65	40.22164781249976
n136-1	n124	1	0	65	39.87576140624981
n132-1	n120	1	0	67	39.31085812499988
n131-1	n119	1	0	68	39.190665937499894
n137-1	n125	1	0	68	40.03601765624979
n130-1	n118	1	0	70	39.093176718749895
n129-1	n117	1	0	72	38.9890101562499
n128-1	n116	1	0	74	38.87282437499989
n127-1	n115	1	0	75	38.7753351562499
n126-1	n114	1	0	77	38.681852343749895
n121-1	n109	1	0	79	37.96470562499991
n125-1	n113	1	0	79	38.5790212499999
n161-1	n158	1	0	79	45.52345874999926
n163-1	n160	1	0	79	45.90807374999925
n122-1	n110	1	0	80	38.19039984374991
n124-1	n112	1	0	80	38.46684187499989
n123-1	n111	1	0	82	38.3373014062499
n184-1	n130	1	0	39	40.87602749999969
n185-1	n129	1	0	51	40.85866640624969
n186-1	n132	1	0	51	41.725385624999596
n189-1	n136	1	0	51	42.379765312499536
n192-1	n141	1	0	51	42.96336515624946
