xml_id	midi_id	track	channel	pitch	onset
n6-1	n0	0	0	36	2.00988046875
n1-1	n1	0	0	48	2.013886875
n8-1	n3	0	0	39	4.839738750000001
n3-1	n2	0	0	51	4.809022968750002
n9-1	n5	0	0	44	5.583594843750002
n10-1	n7	0	0	46	6.180549375000005
n4-1	n4	0	0	56	5.578252968750002
n5-1	n6	0	0	58	6.161852812500006
n20-1	n10	0	0	44	6.97248234375001
n19-1	n9	0	0	48	6.6092348437500075
n12-1	n11	0	0	56	6.97381781250001
n11-1	n8	0	0	60	6.607899375000008
n21-1	n13	0	0	51	7.294330312500012
n22-1	n15	0	0	58	7.594810781250015
n13-1	n12	0	0	63	7.286317500000012
n14-1	n14	0	0	70	7.585462500000015
n24-1	n19	0	0	56	8.231829375000016
n23-1	n17	0	0	60	7.930013437500015
n16-1	n18	0	0	68	8.214468281250017
n15-1	n16	0	0	72	7.916658750000015
n25-1	n21	0	0	63	8.56169015625002
n26-1	n23	0	0	70	8.94229875000002
n17-1	n20	0	0	75	8.55901921875002
n18-1	n22	0	0	82	8.938292343750021
n35-1	n27	0	0	67	10.022692968750022
n34-1	n25	0	0	72	9.461796093750024
n28-1	n26	0	0	79	10.016015625000023
n27-1	n24	0	0	84	9.456454218750025
n37-1	n31	0	0	68	10.810619531250028
n36-1	n29	0	0	70	10.417991718750024
n30-1	n30	0	0	80	10.786581093750028
n29-1	n28	0	0	82	10.405972500000024
n38-1	n32	0	0	67	11.362168125000027
n31-1	n33	0	0	79	11.364839062500026
n39-1	n35	0	0	66	12.728352656250038
n32-1	n34	0	0	78	12.704314218750037
n51-1	n37	0	0	66	15.174931406250067
n42-1	n36	0	0	78	15.169589531250068
n53-1	n41	0	0	66	16.456981406250065
n52-1	n39	0	0	67	15.940155000000068
n44-1	n40	0	0	78	16.450304062500066
n43-1	n38	0	0	79	15.905432812500068
n54-1	n43	0	0	65	16.820228906250065
n55-1	n44	0	0	66	17.156767031250066
n45-1	n42	0	0	77	16.808209687500064
n46-1	n45	0	0	78	17.158102500000066
n58-1	n50	0	0	63	18.36269531250007
n57-1	n49	0	0	67	18.127652812500067
n56-1	n46	0	0	69	17.668251562500068
n49-1	n51	0	0	75	18.374714531250067
n48-1	n48	0	0	79	18.118304531250068
n47-1	n47	0	0	81	17.690954531250068
n67-1	n54	0	0	62	19.817020781250072
n66-1	n53	0	0	63	18.89020546875007
n60-1	n55	0	0	74	19.82102718750007
n59-1	n52	0	0	75	18.883528125000073
n70-1	n61	0	0	62	20.896079531250074
n69-1	n59	0	0	63	20.47941328125007
n68-1	n57	0	0	65	20.10681750000007
n63-1	n60	0	0	74	20.893408593750074
n62-1	n58	0	0	75	20.44202015625007
n61-1	n56	0	0	77	20.10147562500007
n71-1	n63	0	0	62	21.70136718750008
n64-1	n62	0	0	74	21.68801250000008
n77-1	n65	0	0	51	26.01359578125008
n78-1	n67	0	0	55	26.03095687500008
n79-1	n66	0	0	60	26.02695046875008
n74-1	n64	0	0	72	25.994899218750078
n75-1	n68	0	0	67	28.1009334375001
n81-1	n69	0	0	50	29.105205937500102
n82-1	n71	0	0	55	29.48982093750011
n83-1	n72	0	0	63	29.931861093750115
n80-1	n70	0	0	70	29.241423750000102
n95-1	n73	0	0	38	34.33490156250009
n85-1	n74	0	0	60	35.10680250000006
n90-1	deletion
n86-1	n75	0	0	62	35.437998750000055
n101-1	n80	0	0	62	36.82287984374998
n93-1	deletion
n87-1	n76	0	0	66	35.68372500000006
n92-1	deletion
n98-1	n79	0	0	67	36.30204703125
n89-1	n78	0	0	69	36.08035921875003
n88-1	n77	0	0	70	35.901406406250054
n109-1	n81	0	0	43	36.83756999999998
n110-1	n83	0	0	43	37.28628749999995
n100-1	n82	0	0	58	36.83756999999998
n102-1	n85	0	0	58	37.32902249999995
n103-1	n84	0	0	62	37.29296484374995
n99-1	n86	0	0	74	37.95001546874993
n112-1	n87	0	0	58	38.396062031249876
n113-1	n90	0	0	58	38.83008937499985
n104-1	n89	0	0	62	38.41342312499987
n106-1	n91	0	0	62	38.83676671874985
n105-1	n88	0	0	67	38.409416718749874
n107-1	n92	0	0	67	38.84077312499985
n114-1	n93	0	0	72	39.32287734374984
n129-1	n96	0	0	57	39.81165890624981
n131-1	deletion
n130-1	n97	0	0	60	39.82634906249981
n124-1	n100	0	0	60	41.271326249999774
n132-1	deletion
n115-1	deletion
n120-1	n95	0	0	63	39.80765249999981
n122-1	n98	0	0	63	40.40327156249979
n121-1	n94	0	0	67	39.80231062499981
n123-1	n99	0	0	67	40.420632656249786
n134-1	n101	0	0	38	41.57714859374977
n135-1	n104	0	0	38	42.053910937499744
n116-1	n102	0	0	62	41.62255453124976
n139-1	n108	0	0	62	42.91662374999973
