xml_id	midi_id	track	channel	pitch	onset
n6-1	n1	0	0	36	7.941231375000008
n1-1	n0	0	0	48	7.935889500000008
n8-1	n3	0	0	39	10.891014750000005
n3-1	n2	0	0	51	10.889946375000006
n9-1	n5	0	0	44	11.364304874999997
n10-1	n7	0	0	46	11.674133624999994
n4-1	n4	0	0	56	11.353621124999998
n5-1	n6	0	0	58	11.673065249999995
n20-1	n11	0	0	44	12.18268012499999
n19-1	n9	0	0	48	11.932680374999991
n12-1	n10	0	0	56	12.17199637499999
n11-1	n8	0	0	60	11.928406874999991
n21-1	n12	0	0	51	12.423064499999988
n22-1	n15	0	0	58	12.747850499999986
n13-1	n13	0	0	63	12.426269624999987
n14-1	n14	0	0	70	12.704047124999986
n24-1	n19	0	0	56	13.280969624999985
n23-1	n17	0	0	60	13.005328874999986
n16-1	n18	0	0	68	13.264943999999986
n15-1	n16	0	0	72	12.983961374999986
n25-1	n20	0	0	63	13.613234249999984
n26-1	n23	0	0	70	14.030968874999981
n17-1	n21	0	0	75	13.614302624999983
n18-1	n22	0	0	82	14.028832124999981
n35-1	n27	0	0	67	15.158104499999975
n34-1	n25	0	0	72	14.638874249999976
n28-1	n26	0	0	79	15.122848124999976
n27-1	n24	0	0	84	14.618575124999976
n37-1	n30	0	0	68	15.646351874999974
n36-1	n29	0	0	70	15.411309374999975
n30-1	n31	0	0	80	15.653830499999973
n29-1	n28	0	0	82	15.401693999999976
n38-1	n32	0	0	67	16.056607874999973
n31-1	n33	0	0	79	16.060881374999973
n39-1	n35	0	0	66	17.32370062499997
n32-1	n34	0	0	78	17.29164937499997
n51-1	n37	0	0	66	19.482886499999957
n42-1	n36	0	0	78	19.46365574999996
n53-1	n41	0	0	66	20.308740374999957
n55-1	n45	0	0	66	20.817286874999944
n52-1	n39	0	0	67	19.972202249999956
n44-1	n40	0	0	78	20.296988249999956
n46-1	n44	0	0	78	20.790577499999944
n43-1	n38	0	0	79	19.964723624999955
n54-1	n43	0	0	65	20.557671749999948
n45-1	n42	0	0	77	20.55126149999995
n58-1	n51	0	0	63	21.57049124999994
n57-1	n49	0	0	67	21.368568374999942
n56-1	n47	0	0	69	21.16450874999994
n49-1	n50	0	0	75	21.56301262499994
n48-1	n48	0	0	79	21.347200874999942
n47-1	n46	0	0	81	21.15382499999994
n67-1	n55	0	0	62	22.951900124999927
n66-1	n53	0	0	63	21.94869599999993
n60-1	n54	0	0	74	22.934806124999927
n59-1	n52	0	0	75	21.899550749999936
n70-1	n61	0	0	62	23.900617124999922
n69-1	n59	0	0	63	23.581172999999925
n68-1	n56	0	0	65	23.319421124999927
n63-1	n60	0	0	74	23.877112874999924
n64-1	n62	0	0	74	24.600402749999922
n62-1	n58	0	0	75	23.579036249999927
n61-1	n57	0	0	77	23.322626249999928
n71-1	n63	0	0	62	24.63031724999992
n77-1	n66	0	0	51	28.486082624999895
n78-1	n67	0	0	55	28.488219374999893
n79-1	n65	0	0	60	28.474330499999898
n74-1	n64	0	0	72	28.4636467499999
n75-1	n68	0	0	67	30.315140624999895
n81-1	n69	0	0	50	30.468986624999893
n82-1	n70	0	0	55	30.59184974999989
n83-1	n71	0	0	63	30.752105999999888
n80-1	n72	0	0	70	30.883516124999876
n95-1	n73	0	0	38	35.76278474999987
n85-1	n74	0	0	60	36.25316887499985
n90-1	deletion
n86-1	n75	0	0	62	36.49889512499986
n101-1	n81	0	0	62	37.821543374999834
n93-1	deletion
n87-1	n76	0	0	66	36.70295474999986
n92-1	deletion
n98-1	n79	0	0	67	37.33543274999984
n89-1	n78	0	0	69	37.083296249999854
n88-1	n77	0	0	70	36.89098874999986
n109-1	n80	0	0	43	37.81726987499984
n110-1	n85	0	0	43	38.23820962499984
n100-1	n82	0	0	58	37.827953624999836
n102-1	n83	0	0	58	38.22432074999984
n103-1	n84	0	0	62	38.22752587499984
n99-1	n86	0	0	74	38.637781874999824
n112-1	n87	0	0	58	39.13564462499983
n113-1	n90	0	0	58	39.544832249999814
n104-1	n89	0	0	62	39.15060187499982
n106-1	n92	0	0	62	39.57260999999981
n105-1	n88	0	0	67	39.146328374999825
n107-1	n91	0	0	67	39.559789499999816
n114-1	n93	0	0	72	39.94440449999981
n129-1	n95	0	0	57	40.44654074999982
n131-1	n99	0	0	57	40.937993249999835
n130-1	n96	0	0	60	40.45829287499982
n132-1	n100	0	0	60	40.93906162499984
n124-1	n102	0	0	60	41.54376187499986
n115-1	deletion
n120-1	n94	0	0	63	40.43799374999982
n122-1	n98	0	0	63	40.92730949999983
n121-1	n97	0	0	67	40.47004499999982
n123-1	n101	0	0	67	40.94226674999984
n134-1	n104	0	0	38	41.76277874999985
n135-1	n107	0	0	38	42.09504337499985
n116-1	n103	0	0	62	41.746753124999856
