onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491433,5.0010633,48,90,0,0,n0,-10.0,-10.0
2.0534167,4.99679,36,87,0,0,n1,2.05128,0.0
5.162388,1.8878186,51,59,0,0,n2,4.681619,2.0
5.1944394,1.8557674,39,46,0,0,n3,4.681619,2.0
5.965806,1.0844007,56,62,0,0,n4,4.681619,2.0
6.027772,1.0224348,44,43,0,0,n5,5.996789,3.0
6.5491385,0.67734975,58,70,0,0,n6,5.996789,3.0
6.5972157,0.7446574,46,49,0,0,n7,5.996789,3.0
7.1100354,1.9593997,60,58,0,0,n8,5.996789,3.0
7.1837535,1.8856819,48,37,0,0,n9,7.146895,4.0
7.78418,1.2852551,56,55,0,0,n10,7.146895,4.0
7.8023424,1.2670927,44,38,0,0,n11,7.146895,4.0
8.240376,0.829059,63,65,0,0,n12,7.146895,4.0
8.271359,0.79807615,51,49,0,0,n13,8.255868,5.0
8.62606,0.44337562,70,76,0,0,n14,8.255868,5.0
8.644222,0.43482864,58,52,0,0,n15,8.255868,5.0
8.9903755,2.4465787,72,72,0,0,n16,8.255868,5.0
9.034179,2.4027753,60,51,0,0,n17,9.012278,6.0
9.408111,2.028844,68,63,0,0,n18,9.012278,6.0
9.448709,1.9882458,56,42,0,0,n19,9.012278,6.0
9.772426,1.6645283,75,73,0,0,n20,9.012278,6.0
9.81623,1.6207249,63,46,0,0,n21,9.794328,7.0
10.240375,1.19658,82,71,0,0,n22,9.794328,7.0
10.290588,1.1463664,70,41,0,0,n23,9.794328,7.0
10.792725,1.1036314,84,63,0,0,n24,9.794328,7.0
10.865374,0.73290527,72,37,0,0,n25,10.829049,8.0
11.35469,0.8942299,79,60,0,0,n26,10.829049,8.0
11.402766,0.777777,67,34,0,0,n27,10.829049,8.0
11.868578,0.75106764,82,56,0,0,n28,10.829049,8.0
11.925201,0.7051275,70,33,0,0,n29,11.89689,9.0
12.434816,1.0790588,80,50,0,0,n30,11.89689,9.0
12.463663,1.0502126,68,31,0,0,n31,11.89689,9.0
13.1752,2.039528,79,47,0,0,n32,11.89689,9.0
13.205115,2.0096133,67,33,0,0,n33,13.190158,10.0
14.899558,1.4925199,78,36,0,0,n34,13.190158,10.0
14.9454975,1.4465797,66,21,0,0,n35,14.922528,11.0
16.987162,2.1346133,78,42,0,0,n36,16.310347,12.0
17.010666,2.111109,66,29,0,0,n37,16.310347,12.0
17.671991,1.4497849,79,48,0,0,n38,16.310347,12.0
17.72434,1.3974345,67,26,0,0,n39,17.698166,13.0
18.189085,0.9326914,78,62,0,0,n40,17.698166,13.0
18.228615,0.8931615,66,40,0,0,n41,17.698166,13.0
18.582247,0.666666,77,61,0,0,n42,17.698166,13.0
18.61964,0.50213623,65,39,0,0,n43,18.600943,14.0
18.977545,0.7136745,78,65,0,0,n44,18.600943,14.0
19.01921,0.658119,66,32,0,0,n45,18.600943,14.0
19.44122,0.60149515,69,35,0,0,n46,18.600943,14.0
19.529896,0.5769225,81,46,0,0,n47,19.485558,15.0
19.870707,0.4487175,79,63,0,0,n48,19.485558,15.0
19.917715,0.4198714,67,33,0,0,n49,19.485558,15.0
20.214724,2.0021348,75,55,0,0,n50,19.485558,15.0
20.264936,1.9519211,63,34,0,0,n51,19.485558,15.0
20.811945,1.4049131,75,44,0,0,n52,19.485558,15.0
20.8878,1.3290585,63,29,0,0,n53,20.849873,16.0
21.874979,0.675213,74,40,0,0,n54,20.849873,16.0
21.91237,0.54914474,62,32,0,0,n55,20.849873,16.0
22.290577,0.63461477,77,43,0,0,n56,20.849873,16.0
22.32049,0.56623876,65,34,0,0,n57,22.305534,17.0
22.683739,0.5865379,75,46,0,0,n58,22.305534,17.0
22.707243,0.589743,63,33,0,0,n59,22.305534,17.0
23.171986,2.73504,74,40,0,0,n60,22.305534,17.0
23.199762,2.7072623,62,35,0,0,n61,22.305534,17.0
23.921984,1.9850408,74,32,0,0,n62,22.305534,17.0
23.980745,1.9262801,62,17,0,0,n63,23.951365,18.0
27.987152,3.8931584,72,55,0,0,n64,27.034294,21.0
28.04057,3.8397398,60,28,0,0,n65,27.034294,21.0
28.083305,3.7970047,51,28,0,0,n66,28.061937,22.0
28.090784,3.7895262,55,17,0,0,n67,28.061937,22.0
30.353601,1.7126051,67,60,0,0,n68,29.333303,23.0
30.60467,3.658116,50,38,0,0,n69,30.60467,24.0
30.785225,3.4775605,55,58,0,0,n70,30.60467,24.0
30.949755,3.313031,63,63,0,0,n71,30.60467,24.0
31.510653,5.7286267,70,65,0,0,n72,30.60467,24.0
36.863213,2.128203,38,27,0,0,n73,36.863213,31.0
37.54804,1.4433746,60,36,0,0,n74,36.863213,31.0
37.93052,1.2200843,62,28,0,0,n75,36.863213,31.0
38.24569,0.74572575,66,32,0,0,n76,36.863213,31.0
38.485004,0.66132414,70,39,0,0,n77,36.863213,31.0
38.714706,0.37393126,69,53,0,0,n78,36.863213,31.0
38.972183,1.2318363,67,48,0,0,n79,38.972183,34.0
39.61214,0.49679437,62,27,0,0,n80,38.972183,34.0
39.620686,0.48824736,58,39,0,0,n81,38.972183,34.0
39.627098,0.48183712,43,33,0,0,n82,38.972183,34.0
40.121754,0.9070504,62,38,0,0,n83,38.972183,34.0
40.128166,0.90064013,43,38,0,0,n84,38.972183,34.0
40.149532,0.87927264,58,36,0,0,n85,38.972183,34.0
40.681583,1.8771349,74,67,0,0,n86,40.681583,37.0
41.277737,1.2339731,67,37,0,0,n87,40.681583,37.0
41.31513,1.19658,62,37,0,0,n88,40.681583,37.0
41.324745,1.1869646,58,33,0,0,n89,40.681583,37.0
41.943333,0.5683755,67,31,0,0,n90,40.681583,37.0
41.968975,0.5427345,58,31,0,0,n91,40.681583,37.0
41.977524,0.5341875,62,34,0,0,n92,40.681583,37.0
42.46577,2.2403824,72,57,0,0,n93,42.46577,40.0
42.996754,0.23824762,67,34,0,0,n94,42.46577,40.0
43.027733,0.22863226,57,29,0,0,n95,42.46577,40.0
43.043762,0.21260662,60,30,0,0,n96,42.46577,40.0
43.052307,0.1923075,63,27,0,0,n97,42.46577,40.0
43.710426,0.9957255,67,26,0,0,n98,42.46577,40.0
43.737137,0.96901613,60,20,0,0,n99,42.46577,40.0
43.742477,0.96367425,63,22,0,0,n100,42.46577,40.0
43.749958,0.95619565,57,28,0,0,n101,42.46577,40.0
44.975384,1.0021358,60,39,0,0,n102,44.348248,43.0
45.282005,1.0480759,62,48,0,0,n103,44.348248,43.0
45.300167,0.67734975,38,34,0,0,n104,44.348248,43.0
45.505295,0.47222176,66,57,0,0,n105,44.348248,43.0
45.711494,0.31410226,70,59,0,0,n106,44.348248,43.0
45.72431,0.25320488,38,37,0,0,n107,44.348248,43.0
45.93051,0.4049141,69,69,0,0,n108,44.348248,43.0
46.230724,1.8643143,67,52,0,0,n109,46.230724,46.0
