idx,matchtype,partid,ppartid
0,1,n6-1,undefined
1,0,n1-1,n7
2,1,n8-1,undefined
3,0,n3-1,n11
4,0,n9-1,n9
5,1,n10-1,undefined
6,0,n4-1,n17
7,1,n12-1,undefined
8,0,n5-1,n13
9,1,n20-1,undefined
10,1,n19-1,undefined
11,0,n11-1,n15
12,1,n21-1,undefined
13,1,n22-1,undefined
14,0,n13-1,n19
15,0,n14-1,n21
16,0,n26-1,n27
17,1,n24-1,undefined
18,1,n23-1,undefined
19,0,n16-1,n29
20,0,n15-1,n23
21,1,n25-1,undefined
22,1,n17-1,undefined
23,0,n18-1,n26
24,0,n35-1,n31
25,1,n34-1,undefined
26,0,n28-1,n30
27,1,n27-1,undefined
28,1,n37-1,undefined
29,1,n36-1,undefined
30,1,n30-1,undefined
31,1,n29-1,undefined
32,0,n38-1,n37
33,0,n31-1,n36
34,0,n39-1,n39
35,0,n51-1,n43
36,0,n32-1,n38
37,0,n42-1,n42
38,1,n53-1,undefined
39,0,n52-1,n47
40,1,n44-1,undefined
41,0,n43-1,n46
42,0,n54-1,n55
43,1,n55-1,undefined
44,0,n45-1,n54
45,1,n46-1,undefined
46,0,n58-1,n57
47,1,n57-1,undefined
48,1,n56-1,undefined
49,0,n49-1,n56
50,1,n48-1,undefined
51,1,n47-1,undefined
52,0,n67-1,n61
53,1,n66-1,undefined
54,0,n60-1,n60
55,1,n59-1,undefined
56,1,n70-1,undefined
57,1,n69-1,undefined
58,1,n68-1,undefined
59,1,n63-1,undefined
60,1,n62-1,undefined
61,1,n61-1,undefined
62,1,n71-1,undefined
63,1,n64-1,undefined
64,1,n77-1,undefined
65,0,n78-1,n68
66,1,n79-1,undefined
67,1,n74-1,undefined
68,1,n75-1,undefined
69,1,n81-1,undefined
70,1,n82-1,undefined
71,1,n83-1,undefined
72,1,n80-1,undefined
73,1,n95-1,undefined
74,0,n85-1,n95
75,0,n90-1,n99
76,0,n86-1,n88
77,1,n93-1,undefined
78,1,n87-1,undefined
79,1,n92-1,undefined
80,0,n98-1,n96
81,0,n105-1,n107
82,0,n89-1,n106
83,1,n88-1,undefined
84,0,n110-1,n109
85,1,n109-1,undefined
86,0,n112-1,n110
87,1,n102-1,undefined
88,1,n100-1,undefined
89,0,n101-1,n102
90,0,n104-1,n108
91,1,n103-1,undefined
92,1,n99-1,undefined
93,0,n113-1,n112
94,0,n106-1,n111
95,1,n107-1,undefined
96,1,n114-1,undefined
97,0,n129-1,n118
98,0,n131-1,n122
99,1,n130-1,undefined
100,1,n132-1,undefined
101,1,n124-1,undefined
102,1,n115-1,undefined
103,1,n120-1,undefined
104,1,n122-1,undefined
105,1,n121-1,undefined
106,1,n123-1,undefined
107,0,n134-1,n127
108,0,n135-1,n131
109,0,n116-1,n126
110,0,n127-1,n128
111,0,n126-1,n123
112,1,n117-1,undefined
113,0,n136-1,n140
114,0,n119-1,n139
115,1,n118-1,undefined
