onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.93645835,1.846875,51,70,1,0,n0,-10.0,-10.0
0.98541665,1.7979167,39,51,1,0,n1,-10.0,-10.0
1.584375,1.1989583,56,75,1,0,n2,-10.0,-10.0
1.6385417,1.1447917,44,54,1,0,n3,1.611458,0.0
2.08125,0.70208335,58,77,1,0,n4,1.611458,0.0
2.1239583,0.659375,46,52,1,0,n5,1.611458,0.0
2.578125,0.40729168,60,70,1,0,n6,1.611458,0.0
2.5854166,1.65625,48,48,1,0,n7,2.581771,1.0
3.0,1.2416667,56,62,1,0,n8,2.581771,1.0
3.028125,1.2135416,44,52,1,0,n9,2.581771,1.0
3.3885417,0.853125,63,75,1,0,n10,2.581771,1.0
3.4114583,0.83020836,51,58,1,0,n11,3.4,2.0
3.7697916,0.471875,70,81,1,0,n12,3.4,2.0
3.8,0.44166666,58,58,1,0,n13,3.4,2.0
4.2010417,0.36458334,72,71,1,0,n14,3.4,2.0
4.2239585,1.6145834,60,48,1,0,n15,4.2125,3.0
4.5802083,1.2583333,68,68,1,0,n16,4.2125,3.0
4.610417,1.228125,56,56,1,0,n17,4.2125,3.0
4.9802084,0.85833335,75,76,1,0,n18,4.2125,3.0
5.021875,0.81666666,63,52,1,0,n19,5.001041,4.0
5.40625,0.57395834,82,79,1,0,n20,5.001041,4.0
5.430208,0.6197917,70,56,1,0,n21,5.001041,4.0
5.920833,0.49791667,84,66,1,0,n22,5.001041,4.0
5.946875,0.640625,72,41,1,0,n23,5.933854,5.0
6.3458333,0.65416664,79,74,1,0,n24,5.933854,5.0
6.384375,0.59583336,67,44,1,0,n25,5.933854,5.0
6.844792,0.65833336,82,63,1,0,n26,5.933854,5.0
6.873958,0.58229166,70,42,1,0,n27,6.859375,6.0
7.336458,0.76458335,80,64,1,0,n28,6.859375,6.0
7.360417,0.80104166,68,45,1,0,n29,6.859375,6.0
8.008333,1.4958333,79,60,1,0,n30,6.859375,6.0
8.019792,1.6895833,67,26,1,0,n31,8.014063,7.0
9.334375,1.5572916,78,42,1,0,n32,8.014063,7.0
9.3875,1.5854167,66,28,1,0,n33,9.360937,8.0
12.089583,0.58229166,78,50,1,0,n34,11.000781,9.0
12.139584,0.65729165,66,24,1,0,n35,11.000781,9.0
12.627084,0.46354166,79,60,1,0,n36,11.000781,9.0
12.654166,0.44791666,67,34,1,0,n37,12.640625,10.0
13.0375,0.35104167,78,72,1,0,n38,12.640625,10.0
13.065625,0.35208333,66,51,1,0,n39,12.640625,10.0
13.391666,0.36145833,77,78,1,0,n40,12.640625,10.0
13.432292,0.38020834,65,47,1,0,n41,13.41198,11.0
13.714583,0.4375,78,80,1,0,n42,13.41198,11.0
13.74375,0.44895834,66,53,1,0,n43,13.41198,11.0
14.109375,0.35520834,81,61,1,0,n44,13.41198,11.0
14.132292,0.2875,69,41,1,0,n45,14.120833,12.0
14.389584,0.84583336,79,79,1,0,n46,14.120833,12.0
14.419791,0.815625,67,48,1,0,n47,14.120833,12.0
14.647917,0.5875,75,78,1,0,n48,14.120833,12.0
14.698958,0.5364583,63,52,1,0,n49,14.120833,12.0
15.110416,0.98645836,75,66,1,0,n50,14.120833,12.0
15.145833,1.084375,63,47,1,0,n51,15.128125,13.0
16.076042,0.603125,74,58,1,0,n52,15.128125,13.0
16.10625,0.5572917,62,42,1,0,n53,15.128125,13.0
16.557291,0.34270832,77,55,1,0,n54,15.128125,13.0
16.594791,0.28645834,65,25,1,0,n55,16.576042,14.0
16.877083,0.28854167,75,49,1,0,n56,16.576042,14.0
16.904167,0.29375,63,32,1,0,n57,16.576042,14.0
17.15625,0.5385417,74,54,1,0,n58,16.576042,14.0
17.165625,0.52916664,62,39,1,0,n59,16.576042,14.0
17.566668,1.8791667,74,47,1,0,n60,16.576042,14.0
17.577084,1.8020834,62,41,1,0,n61,17.571875,15.0
22.030209,2.30625,72,70,1,0,n62,20.93672,18.0
22.05625,2.2802083,55,35,1,0,n63,20.93672,18.0
22.060417,2.2760417,60,43,1,0,n64,22.058332,19.0
22.078125,2.2583334,51,36,1,0,n65,22.058332,19.0
23.533333,0.803125,67,67,1,0,n66,23.001823,20.0
23.785418,4.7302084,50,57,1,0,n67,23.001823,20.0
23.99375,4.521875,55,61,1,0,n68,23.945312,21.0
