onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.0,1.5453125,63,39,1,0,n0,0.0,0.0
1.0234375,0.521875,65,53,1,0,n1,0.0,0.0
1.03125,0.5140625,62,37,1,0,n2,0.0,0.0
1.3270833,0.30833334,67,61,1,0,n3,0.0,0.0
1.3401042,0.25520834,61,47,1,0,n4,1.339844,3.0
1.359375,0.1859375,63,39,1,0,n5,1.339844,3.0
1.5875,0.3015625,68,71,1,0,n6,1.339844,3.0
1.5979167,0.25989583,60,46,1,0,n7,1.339844,3.0
1.6057292,0.24583334,63,56,1,0,n8,1.339844,3.0
1.8515625,0.57447916,70,72,1,0,n9,1.339844,3.0
1.8791667,0.546875,55,46,1,0,n10,1.339844,3.0
1.9010416,0.525,63,43,1,0,n11,1.339844,3.0
2.2604167,0.9713542,72,71,1,0,n12,1.339844,3.0
2.2838542,0.9427083,63,54,1,0,n13,2.283854,6.0
2.2942708,0.9322917,56,43,1,0,n14,2.283854,6.0
3.09375,0.8645833,77,73,1,0,n15,2.283854,6.0
3.1015625,0.75,65,45,1,0,n16,2.283854,6.0
3.1171875,0.734375,68,46,1,0,n17,2.283854,6.0
3.125,0.7265625,59,44,1,0,n18,2.283854,6.0
3.1291666,0.72239584,62,46,1,0,n19,2.283854,6.0
3.1390624,2.2671876,51,45,1,0,n20,2.283854,6.0
3.683854,2.5234375,75,64,1,0,n21,2.283854,6.0
3.696875,1.5885416,68,50,1,0,n22,2.283854,6.0
3.709375,1.5760417,63,41,1,0,n23,3.703125,9.0
3.7109375,1.5744792,60,42,1,0,n24,3.703125,9.0
5.152604,1.0546875,67,47,1,0,n25,3.703125,9.0
5.155208,1.0520834,61,50,1,0,n26,5.154948,12.0
5.155208,1.0520834,63,38,1,0,n27,5.154948,12.0
5.5197916,0.6875,60,58,1,0,n28,5.154948,12.0
5.748958,0.45833334,58,62,1,0,n29,5.154948,12.0
5.955729,0.2515625,58,52,1,0,n30,5.154948,12.0
6.030208,0.17708333,60,59,1,0,n31,5.154948,12.0
6.033854,1.0276042,73,57,1,0,n32,6.031527,15.0
6.045833,0.59375,67,50,1,0,n33,6.031527,15.0
6.0546875,0.70416665,63,37,1,0,n34,6.031527,15.0
6.110417,0.30364582,58,66,1,0,n35,6.031527,15.0
6.3828125,0.34895834,57,67,1,0,n36,6.031527,15.0
6.668229,0.39427084,58,67,1,0,n37,6.031527,15.0
7.0052085,3.2265625,72,51,1,0,n38,6.031527,15.0
7.0067706,0.49583334,60,49,1,0,n39,6.031527,15.0
7.0364585,3.1953125,63,38,1,0,n40,7.021484,18.0
7.0416665,3.1901042,68,36,1,0,n41,7.021484,18.0
7.4427085,1.1916667,56,45,1,0,n42,7.021484,18.0
8.2317705,0.40260416,51,41,1,0,n43,7.021484,18.0
8.510417,1.7213541,51,55,1,0,n44,8.510417,21.0
9.982813,1.4875,63,43,1,0,n45,8.510417,21.0
10.0,1.4703125,39,44,1,0,n46,8.510417,21.0
10.004167,1.4661459,61,47,1,0,n47,10.001953,24.0
10.009375,1.4609375,55,37,1,0,n48,10.001953,24.0
10.8411455,0.62916666,41,50,1,0,n49,10.001953,24.0
10.842188,0.628125,56,49,1,0,n50,10.001953,24.0
11.1432295,0.32708332,58,59,1,0,n51,10.001953,24.0
11.151042,0.31927082,43,55,1,0,n52,11.147135,27.0
11.395833,0.37135416,60,65,1,0,n53,11.147135,27.0
11.404688,0.35833332,44,61,1,0,n54,11.147135,27.0
11.660417,0.4359375,55,58,1,0,n55,11.147135,27.0
11.670313,0.4328125,46,65,1,0,n56,11.147135,27.0
12.021875,0.8140625,56,58,1,0,n57,11.147135,27.0
12.041667,0.7942708,48,59,1,0,n58,12.031901,30.0
12.740625,0.690625,62,59,1,0,n59,12.031901,30.0
12.75625,0.675,59,52,1,0,n60,12.031901,30.0
12.7630205,0.66822916,56,45,1,0,n61,12.031901,30.0
12.7734375,0.6614583,53,50,1,0,n62,12.031901,30.0
13.2942705,2.2942708,56,41,1,0,n63,12.031901,30.0
13.2942705,2.2942708,60,51,1,0,n64,12.031901,30.0
13.296875,2.2916667,63,53,1,0,n65,13.295573,33.0
13.316667,2.9375,51,45,1,0,n66,13.295573,33.0
14.81875,0.76979166,68,51,1,0,n67,14.412109,36.0
14.840104,0.7484375,60,38,1,0,n68,14.412109,36.0
14.859375,0.7291667,63,33,1,0,n69,14.412109,36.0
15.126562,0.46197918,70,62,1,0,n70,14.412109,36.0
15.15,0.43854168,63,33,1,0,n71,14.412109,36.0
15.161458,0.42708334,61,48,1,0,n72,14.412109,36.0
15.510417,0.7421875,72,57,1,0,n73,14.412109,36.0
15.5286455,0.7239583,68,51,1,0,n74,14.412109,36.0
15.529688,0.72291666,63,47,1,0,n75,15.528646,39.0
