xml_id	midi_id	track	channel	pitch	onset
n21-1	n8	0	0	64	3.376064999999999
n1-1	n0	0	0	67	1.5130860937500001
n3-1	n2	0	0	67	2.216878125
n5-1	n5	0	0	67	2.78178140625
n13-1	n7	0	0	67	3.3747295312499994
n7-1	deletion
n14-1	n9	0	0	72	3.697912968749999
n2-1	n1	0	0	79	1.5157570312500002
n4-1	n3	0	0	79	2.216878125
n6-1	n4	0	0	79	2.7737685937500003
n8-1	n6	0	0	79	3.3506910937499996
n23-1	n15	0	0	62	4.3990340625
n54-1	n19	0	0	62	4.8223776562500005
n22-1	n11	0	0	64	3.9516520312499996
n9-1	n12	0	0	67	3.9716840624999996
n17-1	n16	0	0	67	4.4257434374999995
n36-1	n20	0	0	67	4.84641609375
n24-1	deletion
n15-1	deletion
n11-1	deletion
n37-1	n22	0	0	70	5.060091093750001
n16-1	n13	0	0	72	4.18135265625
n18-1	n17	0	0	72	4.604696250000001
n38-1	n21	0	0	72	5.041394531250002
n10-1	n10	0	0	79	3.9356264062499995
n12-1	n14	0	0	79	4.38968578125
n25-1	n18	0	0	79	4.819706718750001
n57-1	n34	0	0	41	6.486371718750005
n55-1	n25	0	0	60	5.331191250000003
n58-1	n36	0	0	60	6.781510312500007
n39-1	n24	0	0	67	5.320507500000003
n28-1	n29	0	0	67	5.814630937500006
n45-1	n33	0	0	67	6.471681562500006
n26-1	deletion
n42-1	deletion
n30-1	deletion
n46-1	n37	0	0	69	6.781510312500007
n40-1	n27	0	0	70	5.560891875000006
n43-1	n31	0	0	70	6.065699062500006
n41-1	n26	0	0	72	5.543530781250006
n44-1	n30	0	0	72	6.064363593750006
n47-1	n35	0	0	72	6.765484687500007
n27-1	n23	0	0	79	5.315165625000003
n29-1	n28	0	0	79	5.8106245312500056
n31-1	n32	0	0	79	6.455655937500006
n87-1	n51	0	0	43	7.8605690625000095
n61-1	n46	0	0	50	7.406509687500007
n88-1	n56	0	0	55	8.116979062500011
n59-1	n39	0	0	57	6.992514375000006
n60-1	n42	0	0	60	7.195505625000006
n62-1	n49	0	0	60	7.593475312500009
n34-1	n45	0	0	64	7.399832343750007
n63-1	n53	0	0	64	7.88861390625001
n70-1	deletion
n51-1	deletion
n48-1	n40	0	0	65	6.993849843750006
n32-1	deletion
n71-1	n54	0	0	67	8.09694703125001
n49-1	n41	0	0	69	7.187492812500007
n52-1	n47	0	0	69	7.582791562500009
n72-1	n55	0	0	71	8.09961796875001
n50-1	n43	0	0	72	7.196841093750006
n53-1	n48	0	0	72	7.5894689062500085
n35-1	n44	0	0	76	7.394490468750007
n64-1	n52	0	0	76	7.861904531250009
n33-1	n38	0	0	77	6.979159687500006
n94-1	n70	0	0	48	9.436422187500016
n92-1	n64	0	0	52	8.811422812500012
n89-1	n60	0	0	53	8.334660468750009
n91-1	n61	0	0	55	8.522961562500011
n93-1	n67	0	0	55	9.042458906250017
n95-1	n73	0	0	55	9.750257343750016
n90-1	n58	0	0	59	8.322641250000009
n76-1	n65	0	0	60	8.811422812500012
n67-1	deletion
n73-1	n59	0	0	62	8.323976718750009
n65-1	deletion
n78-1	n69	0	0	64	9.425738437500016
n74-1	n62	0	0	67	8.525632500000011
n77-1	n66	0	0	67	9.023762343750017
n79-1	n72	0	0	67	9.748921875000017
n75-1	deletion
n68-1	n63	0	0	72	8.791390781250012
n80-1	n71	0	0	72	9.735567187500017
