xml_id	midi_id	track	channel	pitch	onset
n21-1	n7	1	0	64	2.7682291666666665
n1-1	n1	1	0	67	0.9830729166666666
n3-1	n3	1	0	67	1.7122395833333333
n5-1	n5	1	0	67	2.2669270833333335
n13-1	n8	1	0	67	2.80078125
n7-1	deletion
n14-1	n9	1	0	72	3.0924479166666665
n2-1	n0	1	0	79	0.9713541666666666
n4-1	n2	1	0	79	1.6927083333333333
n6-1	n4	1	0	79	2.20703125
n8-1	n6	1	0	79	2.75
n23-1	n15	1	0	62	3.91015625
n54-1	n19	1	0	62	4.412760416666666
n22-1	n11	1	0	64	3.4296875
n9-1	n12	1	0	67	3.4375
n17-1	n16	1	0	67	3.9231770833333335
n36-1	n20	1	0	67	4.429687499999999
n39-1	n23	1	0	67	4.925781249999998
n24-1	deletion
n15-1	deletion
n11-1	deletion
n37-1	deletion
n16-1	n13	1	0	72	3.6510416666666665
n18-1	n17	1	0	72	4.123697916666667
n38-1	n21	1	0	72	4.666666666666665
n10-1	n10	1	0	79	3.4049479166666665
n12-1	n14	1	0	79	3.890625
n25-1	n18	1	0	79	4.381510416666666
n57-1	n32	1	0	41	6.076822916666664
n55-1	n24	1	0	60	4.928385416666664
n58-1	deletion
n28-1	n28	1	0	67	5.424479166666665
n45-1	n33	1	0	67	6.105468749999997
n26-1	deletion
n42-1	deletion
n30-1	deletion
n46-1	n35	1	0	69	6.467447916666662
n40-1	n25	1	0	70	5.165364583333331
n43-1	n30	1	0	70	5.709635416666664
n41-1	n26	1	0	72	5.173177083333331
n44-1	n29	1	0	72	5.704427083333331
n47-1	n34	1	0	72	6.432291666666662
n27-1	n22	1	0	79	4.899739583333331
n29-1	n27	1	0	79	5.419270833333332
n31-1	n31	1	0	79	6.071614583333331
n87-1	n50	1	0	43	7.630208333333327
n61-1	n44	1	0	50	7.161458333333328
n88-1	n53	1	0	55	7.86979166666666
n59-1	n37	1	0	57	6.690104166666662
n60-1	n40	1	0	60	6.937499999999995
n62-1	n45	1	0	60	7.343749999999994
n34-1	n43	1	0	64	7.152343749999994
n63-1	n49	1	0	64	7.624999999999994
n70-1	deletion
n51-1	deletion
n48-1	n38	1	0	65	6.710937499999995
n32-1	deletion
n71-1	n52	1	0	67	7.855468749999993
n49-1	n41	1	0	69	6.937499999999995
n52-1	n46	1	0	69	7.355468749999994
n72-1	n51	1	0	71	7.848958333333326
n50-1	n39	1	0	72	6.910156249999995
n53-1	n47	1	0	72	7.356770833333327
n35-1	n42	1	0	76	7.127604166666661
n64-1	n48	1	0	76	7.595052083333327
n33-1	n36	1	0	77	6.673177083333329
n94-1	n67	1	0	48	9.170572916666664
n92-1	n62	1	0	52	8.589843749999993
n89-1	n57	1	0	53	8.118489583333327
n91-1	n59	1	0	55	8.341145833333327
n93-1	n64	1	0	55	8.825520833333329
