onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.6848958,3.360677,79,30,1,0,n0,-10.0,-10.0
1.3033854,2.7421875,79,29,1,0,n1,0.684896,0.0
1.3046875,2.7408855,67,15,1,0,n2,0.684896,0.0
1.9192709,2.126302,64,22,1,0,n3,0.684896,0.0
1.9388021,2.1067708,79,37,1,0,n4,1.938802,3.0
1.9635416,2.0820312,67,15,1,0,n5,1.938802,3.0
2.203125,1.8424479,72,33,1,0,n6,1.938802,3.0
2.451823,1.59375,79,48,1,0,n7,1.938802,3.0
2.485677,1.5598959,67,27,1,0,n8,1.938802,3.0
2.514323,1.53125,64,19,1,0,n9,1.938802,3.0
2.7148438,1.3307291,72,45,1,0,n10,1.938802,3.0
2.9570312,1.0885416,62,41,1,0,n11,1.938802,3.0
2.9648438,1.0807291,79,56,1,0,n12,1.938802,3.0
2.9908855,1.0546875,67,29,1,0,n13,1.938802,3.0
3.186198,0.859375,72,55,1,0,n14,1.938802,3.0
3.436198,0.609375,79,64,1,0,n15,1.938802,3.0
3.4661458,0.57942706,62,45,1,0,n16,1.938802,3.0
3.470052,0.5755208,67,44,1,0,n17,3.466146,6.0
3.670573,0.375,72,53,1,0,n18,3.466146,6.0
3.6927083,0.3528646,70,58,1,0,n19,3.466146,6.0
3.9557292,1.3463541,79,77,1,0,n20,3.466146,6.0
3.9726562,1.3294271,60,43,1,0,n21,3.466146,6.0
3.983073,1.3190104,67,49,1,0,n22,3.466146,6.0
4.1992188,1.1028646,70,59,1,0,n23,3.466146,6.0
4.200521,1.1015625,72,52,1,0,n24,3.466146,6.0
4.497396,0.8046875,79,75,1,0,n25,3.466146,6.0
4.5247397,0.77734375,67,50,1,0,n26,3.466146,6.0
4.7903647,1.5911459,70,53,1,0,n27,3.466146,6.0
4.8072915,1.5742188,72,54,1,0,n28,3.466146,6.0
5.2291665,1.1523438,41,28,1,0,n29,3.466146,6.0
5.2539062,1.1276041,79,61,1,0,n30,5.253906,9.0
5.2799478,1.1015625,67,29,1,0,n31,5.253906,9.0
5.6888022,0.6927083,72,51,1,0,n32,5.253906,9.0
5.6927085,0.68880206,69,40,1,0,n33,5.253906,9.0
5.7278647,0.6536458,60,31,1,0,n34,5.253906,9.0
5.9440103,0.4375,77,68,1,0,n35,5.253906,9.0
5.9609375,0.4205729,57,45,1,0,n36,5.253906,9.0
5.9674478,0.4140625,65,51,1,0,n37,5.253906,9.0
6.1705728,0.2109375,60,38,1,0,n38,5.253906,9.0
6.1809897,0.66536456,72,48,1,0,n39,5.253906,9.0
6.1835938,0.27604166,69,51,1,0,n40,5.253906,9.0
6.3815103,0.46484375,76,61,1,0,n41,5.253906,9.0
6.4101562,0.4361979,50,38,1,0,n42,5.253906,9.0
6.4179688,0.4283854,64,41,1,0,n43,5.253906,9.0
6.638021,0.27083334,69,49,1,0,n44,5.253906,9.0
6.638021,0.2643229,72,37,1,0,n45,5.253906,9.0
