xml_id	midi_id	track	channel	pitch	onset
n21-1	n7	1	0	64	3.6346046625
n1-1	n0	1	0	67	2.049139254166666
n3-1	n3	1	0	67	2.6132401541666663
n5-1	n4	1	0	67	3.0961447125
n13-1	n8	1	0	67	3.6399465270833335
n9-1	n11	1	0	67	4.117509220833334
n7-1	deletion
n14-1	n9	1	0	72	3.9102448750000005
n2-1	n1	1	0	79	2.052344372916666
n4-1	n2	1	0	79	2.611103408333333
n6-1	n5	1	0	79	3.0972130854166666
n8-1	n6	1	0	79	3.6111004583333335
n23-1	n14	1	0	62	4.571567710416667
n54-1	n19	1	0	62	5.0523355229166675
n22-1	n10	1	0	64	4.106825491666667
n17-1	n16	1	0	67	4.584388185416667
n36-1	n20	1	0	67	5.065155997916668
n24-1	deletion
n15-1	deletion
n11-1	deletion
n37-1	n22	1	0	70	5.310881768750001
n16-1	n13	1	0	72	4.353619635416667
n18-1	n17	1	0	72	4.80447300625
n38-1	n21	1	0	72	5.309813395833334
n10-1	n12	1	0	79	4.117509220833334
n12-1	n15	1	0	79	4.571567710416667
n25-1	n18	1	0	79	5.048062031250001
n57-1	n32	1	0	41	6.603612997916666
n55-1	n25	1	0	60	5.540581945833332
n58-1	n36	1	0	60	7.131389218749997
n39-1	n24	1	0	67	5.533103335416666
n28-1	n29	1	0	67	6.066221420833331
n45-1	n34	1	0	67	6.6890828312499995
n26-1	deletion
n42-1	deletion
n30-1	deletion
n46-1	n35	1	0	69	7.12711572708333
n40-1	n27	1	0	70	5.816222158333331
n43-1	n31	1	0	70	6.363229091666665
n41-1	n26	1	0	72	5.811948666666664
n44-1	n30	1	0	72	6.3621607187499984
n47-1	n37	1	0	72	7.141004574999997
n27-1	n23	1	0	79	5.530966589583333
n29-1	n28	1	0	79	6.0619479291666645
n31-1	n33	1	0	79	6.674125610416666
n87-1	n49	1	0	43	8.24890728958333
n61-1	n45	1	0	50	7.818353004166662
n88-1	n52	1	0	55	8.518137264583334
n59-1	n39	1	0	57	7.374978243749996
n60-1	n43	1	0	60	7.6345928624999955
n62-1	deletion
n34-1	n46	1	0	64	7.831173479166662
n63-1	n51	1	0	64	8.295915697916666
n51-1	deletion
n70-1	deletion
n48-1	n40	1	0	65	7.383525227083329
n32-1	deletion
