xml_id	midi_id	track	channel	pitch	onset
n21-1	n6	1	0	64	4.0731796875
n1-1	n1	1	0	67	2.0512799999999998
n3-1	n3	1	0	67	2.7056596874999994
n5-1	n4	1	0	67	3.3239817187499994
n13-1	n7	1	0	67	4.0745151562499995
n7-1	deletion
n14-1	n9	1	0	72	4.48583953125
n2-1	n0	1	0	79	2.0205642187499997
n4-1	n2	1	0	79	2.6882985937499995
n6-1	n5	1	0	79	3.3293235937499994
n8-1	n8	1	0	79	4.0785215625
n23-1	n14	1	0	62	5.353894218750001
n54-1	n20	1	0	62	5.906778281250001
n22-1	n11	1	0	64	4.802345625
n9-1	n12	1	0	67	4.802345625
n17-1	n15	1	0	67	5.3779326562500005
n36-1	n19	1	0	67	5.905442812500001
n24-1	deletion
n15-1	deletion
n11-1	deletion
n37-1	n21	1	0	70	6.192568593750001
n16-1	n13	1	0	72	5.11751625
n18-1	n17	1	0	72	5.626329843750001
n38-1	n22	1	0	72	6.201916875000001
n10-1	n10	1	0	79	4.79566828125
n12-1	n16	1	0	79	5.387280937500001
n25-1	n18	1	0	79	5.885410781250001
n57-1	n32	1	0	41	8.10629531250001
n55-1	n24	1	0	60	6.519758437500001
n58-1	n37	1	0	60	8.673869531250013
n39-1	n23	1	0	67	6.515752031250001
n28-1	n29	1	0	67	7.223550468750007
n45-1	n34	1	0	67	8.17974609375001
n26-1	deletion
n42-1	deletion
n30-1	deletion
n46-1	n36	1	0	69	8.671198593750013
n40-1	n27	1	0	70	6.838935468750005
n43-1	n31	1	0	70	7.618849218750007
n41-1	n26	1	0	72	6.834929062500005
n44-1	n30	1	0	72	7.598817187500007
n47-1	n35	1	0	72	8.657843906250013
n27-1	n25	1	0	79	6.522429375000001
n29-1	n28	1	0	79	7.222215000000007
n31-1	n33	1	0	79	8.16906234375001
n87-1	n52	1	0	43	10.336528125000015
n61-1	n46	1	0	50	9.758270156250017
n88-1	n57	1	0	55	10.683750000000018
n59-1	n41	1	0	57	9.114574218750015
n60-1	n44	1	0	60	9.460460625000016
n62-1	n50	1	0	60	10.057415156250016
n34-1	n48	1	0	64	9.762276562500016
n63-1	n54	1	0	64	10.367243906250016
n70-1	deletion
n51-1	deletion
n48-1	n39	1	0	65	9.101219531250015
n32-1	deletion
n71-1	n55	1	0	67	10.658376093750018
n49-1	n42	1	0	69	9.443099531250015
n52-1	n49	1	0	69	10.056079687500016
n72-1	n56	1	0	71	10.658376093750018
n50-1	n43	1	0	72	9.451112343750015
n53-1	n51	1	0	72	10.069434375000016
n35-1	n47	1	0	76	9.758270156250017
n64-1	n53	1	0	76	10.361902031250017
n33-1	n40	1	0	77	9.103890468750015
n94-1	n70	1	0	48	12.294325312500032
n92-1	n65	1	0	52	11.534443593750025
n89-1	n59	1	0	53	10.93348265625002
n91-1	n64	1	0	55	11.251324218750023
n93-1	n69	1	0	55	11.912381250000031
n95-1	n73	1	0	55	12.69630140625004
n90-1	n61	1	0	59	10.944166406250018
n76-1	n67	1	0	60	11.538450000000024
n67-1	deletion
n73-1	n60	1	0	62	10.938824531250019
n65-1	deletion
n78-1	n72	1	0	64	12.315692812500032
n74-1	n62	1	0	67	11.227285781250023
n77-1	n68	1	0	67	11.880330000000031
n79-1	n75	1	0	67	12.755062031250038
n75-1	n63	1	0	71	11.241975937500023
n68-1	n66	1	0	72	11.534443593750025
n80-1	n74	1	0	72	12.716333437500039
n83-1	deletion
n66-1	n58	1	0	74	10.92814078125002
n69-1	n71	1	0	76	12.313021875000032
n129-1	n86	1	0	36	15.053403750000063
n98-1	n82	1	0	55	13.790050312500044
n130-1	n89	1	0	55	15.687751406250062
n97-1	n79	1	0	57	13.37739046875004
n96-1	n77	1	0	60	13.042187812500039
n81-1	n76	1	0	64	13.019484843750039
n84-1	n81	1	0	64	13.776695625000045
n100-1	n85	1	0	64	14.539248281250057
n112-1	deletion
n82-1	n80	1	0	65	13.37872593750004
n85-1	n84	1	0	67	14.296192968750056
n86-1	n83	1	0	72	14.274825468750056
n113-1	n88	1	0	72	15.682409531250062
insertion	n78	1	0	72	13.37338406250004
n101-1	n87	1	0	79	15.121512656250063
n134-1	n101	1	0	41	17.45190562500006
n131-1	n91	1	0	60	16.10174671875006
n135-1	n104	1	0	60	17.86323000000006
n132-1	n94	1	0	62	16.442291250000057
n133-1	n98	1	0	64	16.808209687500057
n102-1	n92	1	0	67	16.13246250000006
n104-1	n97	1	0	67	16.804203281250057
n120-1	n103	1	0	67	17.510666250000057
n114-1	deletion
n117-1	deletion
n106-1	deletion
n121-1	n106	1	0	69	17.907300468750055
n115-1	n95	1	0	70	16.446297656250056
n118-1	n99	1	0	70	17.12872218750006
n116-1	n93	1	0	72	16.436949375000058
n119-1	n100	1	0	72	17.143412343750057
n122-1	n105	1	0	72	17.877920156250056
n103-1	n90	1	0	79	16.09640484375006
n105-1	n96	1	0	79	16.785506718750057
n107-1	n102	1	0	79	17.505324375000058
n164-1	n119	1	0	43	19.396348125000063
n138-1	n114	1	0	50	18.80473546875006
n165-1	n123	1	0	55	19.71686062500006
n136-1	n109	1	0	57	18.230483906250058
n137-1	n111	1	0	60	18.520280625000062
n139-1	n117	1	0	60	19.09853859375006
n126-1	n115	1	0	64	18.80607093750006
n140-1	n121	1	0	64	19.42305750000006
n147-1	deletion
n110-1	deletion
n108-1	n107	1	0	65	18.203774531250055
n123-1	deletion
n148-1	n124	1	0	67	19.726208906250058
n124-1	n110	1	0	69	18.512267812500063
n127-1	n118	1	0	69	19.10388046875006
n149-1	n122	1	0	71	19.70751234375006
n125-1	n112	1	0	72	18.520280625000062
n128-1	n116	1	0	72	19.09586765625006
n111-1	n113	1	0	76	18.79405171875006
n141-1	n120	1	0	76	19.41237375000006
n109-1	n108	1	0	77	18.215793750000056
n171-1	n137	1	0	48	21.33811968750006
n169-1	n132	1	0	52	20.58625078125005
n166-1	n128	1	0	53	20.001315468750054
n168-1	n131	1	0	55	20.301795937500053
n170-1	n136	1	0	55	20.953504687500057
n172-1	n142	1	0	55	21.809540156250062
n167-1	n127	1	0	59	19.998644531250054
n153-1	n134	1	0	60	20.60094093750005
n144-1	deletion
n150-1	n126	1	0	62	19.997309062500054
n142-1	deletion
n155-1	n139	1	0	64	21.408899531250054
n151-1	n129	1	0	67	20.289776718750055
n154-1	n135	1	0	67	20.932137187500057
n156-1	n141	1	0	67	21.806869218750062
n152-1	n130	1	0	71	20.296454062500054
n145-1	n133	1	0	72	20.59159265625005
n157-1	n140	1	0	72	21.800191875000063
n143-1	n125	1	0	74	19.987960781250056
n146-1	n138	1	0	76	21.399551250000055
n201-1	n152	1	0	43	23.86215562500007
n175-1	n148	1	0	55	22.74436828125006
n202-1	n155	1	0	55	24.455103750000074
n174-1	n147	1	0	57	22.39314000000006
n173-1	n144	1	0	60	22.107349687500054
n158-1	n143	1	0	64	22.104678750000055
n161-1	n149	1	0	64	22.756387500000063
n184-1	n154	1	0	64	23.938277343750073
n177-1	deletion
n159-1	n146	1	0	65	22.38913359375006
n162-1	n150	1	0	67	23.198427656250065
n185-1	n157	1	0	67	24.472464843750075
n186-1	n156	1	0	71	24.457774687500073
n160-1	n145	1	0	72	22.37978531250006
n163-1	n151	1	0	72	23.198427656250065
n178-1	n153	1	0	76	23.916909843750073
n208-1	n170	1	0	48	26.75344546875008
n206-1	n166	1	0	52	25.61429062500007
n203-1	n160	1	0	53	24.85173796875007
n205-1	n163	1	0	55	25.264397812500075
n207-1	n169	1	0	55	26.116426875000077
n209-1	n174	1	0	55	27.44521828125008
n204-1	n158	1	0	59	24.84105421875007
n181-1	n167	1	0	60	25.62230343750007
n190-1	deletion
n187-1	n161	1	0	62	24.862421718750067
n179-1	deletion
n192-1	n171	1	0	64	26.80285781250008
n188-1	n164	1	0	67	25.280423437500076
n191-1	n168	1	0	67	26.112420468750077
n193-1	n175	1	0	67	27.459908437500083
n189-1	n162	1	0	71	25.260391406250076
n182-1	n165	1	0	72	25.61028421875007
n194-1	n173	1	0	72	27.43052812500008
n180-1	n159	1	0	74	24.84506062500007
n183-1	n172	1	0	76	26.80419328125008
n212-1	n181	1	0	55	28.45750359375009
n211-1	n179	1	0	57	28.161029531250087
n233-1	n190	1	0	57	29.316210000000087
n210-1	n176	1	0	60	27.824491406250086
n232-1	n187	1	0	60	29.003710312500086
n195-1	n177	1	0	64	27.840517031250087
n198-1	n182	1	0	64	28.46151000000009
n217-1	n186	1	0	64	29.002374843750086
n196-1	n178	1	0	65	28.154352187500088
n218-1	n189	1	0	65	29.30151984375009
n199-1	n183	1	0	67	28.711242656250093
n197-1	n180	1	0	72	28.182397031250087
n200-1	n184	1	0	72	28.72593281250009
n219-1	n188	1	0	72	29.29617796875009
n228-1	n185	1	0	48	28.73394562500009
n235-1	n195	1	0	48	30.026679375000093
n234-1	n191	1	0	55	29.63538703125009
n230-1	n201	1	0	55	31.916367656250117
n237-1	n199	1	0	57	30.980204062500103
n236-1	n196	1	0	60	30.451358437500097
n220-1	n192	1	0	64	29.63939343750009
n223-1	n197	1	0	64	30.451358437500097
n226-1	n202	1	0	64	31.928386875000115
n224-1	n200	1	0	65	30.998900625000104
n221-1	n193	1	0	67	29.995963593750098
n222-1	n194	1	0	72	30.009318281250096
n225-1	n198	1	0	72	30.973526718750104
n238-1	n203	1	0	72	36.39018796874995
n216-1	deletion
n246-1	n206	1	0	41	40.13350687499982
n240-1	n205	1	0	71	39.18665953124988
n239-1	n204	1	0	73	38.31994031249988
n258-1	n214	1	0	53	42.370417031249794
n250-1	n212	1	0	56	41.8335585937498
n247-1	n207	1	0	60	41.18719171874981
n251-1	deletion
n248-1	n208	1	0	65	41.18852718749981
