xml_id	midi_id	track	channel	pitch	onset
n14-1	n1	1	0	25	0.98125
n15-1	n0	1	0	37	0.9791666666666666
n17-1	n4	1	0	71	2.983333333333332
n8-1	n3	1	0	75	2.971874999999999
n4-1	n2	1	0	80	2.946874999999999
n20-1	n7	1	0	61	5.995833333333333
n19-1	n5	1	0	68	5.477083333333332
n21-1	n8	1	0	70	6.362499999999999
n11-1	n9	1	0	73	6.371874999999999
n10-1	n6	1	0	77	5.986458333333332
n23-1	n14	1	0	61	6.961458333333332
n22-1	n11	1	0	66	6.706249999999999
n47-1	n17	1	0	68	7.217708333333332
n13-1	n15	1	0	70	6.966666666666665
n35-1	n18	1	0	71	7.227083333333332
n12-1	n12	1	0	75	6.711458333333332
n6-1	n10	1	0	78	6.674999999999999
n24-1	n16	1	0	78	7.191666666666665
n7-1	n13	1	0	80	6.946874999999999
n49-1	n23	1	0	49	7.6999999999999975
n48-1	n20	1	0	65	7.459374999999998
n50-1	n27	1	0	66	7.97083333333333
n37-1	n24	1	0	68	7.714583333333331
n38-1	n26	1	0	70	7.9687499999999964
n36-1	n21	1	0	73	7.474999999999998
n27-1	n25	1	0	75	7.932291666666663
n25-1	n19	1	0	77	7.446874999999998
n26-1	n22	1	0	78	7.688541666666664
n52-1	n30	1	0	49	8.427083333333329
n51-1	n28	1	0	63	8.165624999999995
n53-1	n34	1	0	65	8.722916666666665
n40-1	n32	1	0	66	8.474999999999996
n41-1	n35	1	0	68	8.741666666666665
n39-1	n29	1	0	71	8.170833333333329
n29-1	n33	1	0	75	8.712499999999999
n28-1	n31	1	0	77	8.436458333333329
n55-1	n40	1	0	49	9.227083333333331
n54-1	n36	1	0	61	8.961458333333333
n56-1	n44	1	0	63	9.527083333333335
n43-1	n41	1	0	65	9.237499999999997
n44-1	n43	1	0	66	9.520833333333334
n42-1	n38	1	0	70	8.982291666666665
n32-1	n42	1	0	71	9.497916666666667
n30-1	n37	1	0	73	8.969791666666666
n31-1	n39	1	0	75	9.209374999999998
n58-1	n48	1	0	49	10.033333333333342
n57-1	n47	1	0	59	9.810416666666674
n72-1	n52	1	0	61	10.396875000000012
n46-1	n50	1	0	63	10.078125000000009
n66-1	n53	1	0	65	10.402083333333346
n45-1	n46	1	0	68	9.796875000000007
n59-1	n51	1	0	71	10.373958333333345
n34-1	n49	1	0	73	10.051041666666675
n33-1	n45	1	0	75	9.775000000000006
n74-1	n59	1	0	37	11.023958333333349
n73-1	n54	1	0	58	10.671875000000014
n75-1	n61	1	0	59	11.404166666666681
n68-1	n58	1	0	61	11.022916666666681
n69-1	n62	1	0	63	11.417708333333348
n67-1	n56	1	0	66	10.688541666666682
