xml_id	midi_id	track	channel	pitch	onset
n14-1	n1	1	0	25	0.9921875
n15-1	n0	1	0	37	0.9869791666666666
n17-1	n3	1	0	71	2.723958333333333
n8-1	n4	1	0	75	2.7265624999999996
n4-1	n2	1	0	80	2.716145833333333
n20-1	n6	1	0	61	5.279947916666667
n19-1	n5	1	0	68	4.69140625
n21-1	n8	1	0	70	5.78125
n11-1	n9	1	0	73	5.80859375
n10-1	n7	1	0	77	5.303385416666667
n23-1	n13	1	0	61	6.798177083333333
n22-1	n11	1	0	66	6.334635416666667
n47-1	n18	1	0	68	7.205729166666664
n13-1	n15	1	0	70	6.820312499999999
n35-1	n17	1	0	71	7.204427083333331
n12-1	n12	1	0	75	6.359375
n6-1	n10	1	0	78	6.326822916666667
n24-1	n16	1	0	78	7.190104166666665
n7-1	n14	1	0	80	6.799479166666666
n49-1	n22	1	0	49	7.912760416666664
n48-1	n20	1	0	65	7.575520833333331
n50-1	n27	1	0	66	8.311197916666666
n37-1	n24	1	0	68	7.941406249999997
n38-1	n26	1	0	70	8.309895833333332
n36-1	n21	1	0	73	7.576822916666664
n27-1	n25	1	0	75	8.285156249999998
n25-1	n19	1	0	77	7.566406249999998
n26-1	n23	1	0	78	7.919270833333331
n52-1	n31	1	0	49	8.9921875
n51-1	n28	1	0	63	8.639322916666668
n53-1	n35	1	0	65	9.332031249999998
n40-1	n32	1	0	66	8.994791666666666
n41-1	n34	1	0	68	9.299479166666666
n39-1	n29	1	0	71	8.640625000000002
n29-1	n33	1	0	75	9.2890625
n28-1	n30	1	0	77	8.96484375
n55-1	n41	1	0	49	9.953124999999998
n54-1	n38	1	0	61	9.643229166666666
n56-1	n44	1	0	63	10.30338541666666
n43-1	n40	1	0	65	9.942708333333332
n44-1	n43	1	0	66	10.274739583333329
n42-1	n37	1	0	70	9.631510416666666
n32-1	n42	1	0	71	10.256510416666663
n30-1	n36	1	0	73	9.618489583333332
n31-1	n39	1	0	75	9.92578125
n58-1	n50	1	0	49	10.930989583333327
n57-1	n47	1	0	59	10.60416666666666
n72-1	n53	1	0	61	11.274739583333327
n46-1	n49	1	0	63	10.929687499999993
n66-1	n52	1	0	65	11.255208333333327
n45-1	n46	1	0	68	10.598958333333327
n59-1	n51	1	0	71	11.216145833333327
n34-1	n48	1	0	73	10.910156249999993
n33-1	n45	1	0	75	10.58463541666666
n74-1	n60	1	0	37	11.994791666666663
n73-1	n57	1	0	58	11.584635416666663
n75-1	n63	1	0	59	12.489583333333334
n68-1	n59	1	0	61	11.973958333333329
n69-1	n62	1	0	63	12.45703125
n67-1	n56	1	0	66	11.575520833333329
n62-1	n61	1	0	68	12.427083333333332
n60-1	n55	1	0	70	11.571614583333329
n61-1	n58	1	0	71	11.957031249999995
n77-1	n68	1	0	37	14.167968750000004
n76-1	n65	1	0	56	12.98307291666667
n71-1	n69	1	0	59	14.180989583333337
n70-1	n66	1	0	65	12.984375000000004
n64-1	n67	1	0	70	14.161458333333337
n63-1	n64	1	0	71	12.953125000000004
n80-1	n70	1	0	42	17.945312500000004
n81-1	n71	1	0	49	18.398437500000004
n83-1	n73	1	0	54	19.106770833333332
n82-1	n72	1	0	56	18.755208333333336
n84-1	n74	1	0	56	19.261718749999996
