xml_id	midi_id	track	channel	pitch	onset
n14-1	n1	0	0	25	1.5077442187500003
n15-1	n0	0	0	37	1.5064087500000003
n17-1	n3	0	0	71	2.8378710937500005
n8-1	n4	0	0	75	2.8378710937500005
n4-1	n2	0	0	80	2.8138326562500007
n20-1	n7	0	0	61	4.48049765625
n19-1	n5	0	0	68	4.083863437500001
n21-1	n9	0	0	70	4.855764375000001
n11-1	n8	0	0	73	4.8317259375
n10-1	n6	0	0	77	4.47782671875
n23-1	n13	0	0	61	5.6543746875000025
n22-1	n11	0	0	66	5.26575328125
n47-1	n18	0	0	68	6.010944843750003
n13-1	n15	0	0	70	5.683755000000003
n35-1	n17	0	0	71	6.009609375000003
n12-1	n12	0	0	75	5.26575328125
n6-1	n10	0	0	78	5.245721250000001
n24-1	n16	0	0	78	6.002932031250003
n7-1	n14	0	0	80	5.674406718750003
n49-1	n23	0	0	49	6.6466279687500025
n48-1	n19	0	0	65	6.319438125000002
n50-1	n25	0	0	66	7.032578437500005
n37-1	n24	0	0	68	6.650634375000003
n38-1	n27	0	0	70	7.051275000000004
n36-1	n21	0	0	73	6.344812031250003
n27-1	n26	0	0	75	7.035249375000005
n25-1	n20	0	0	77	6.3287864062500025
n26-1	n22	0	0	78	6.637279687500002
n52-1	n31	0	0	49	7.6882935937500045
n51-1	n29	0	0	63	7.383806718750005
n53-1	n34	0	0	65	8.063560312500005
n40-1	n32	0	0	66	7.694970937500004
n41-1	n35	0	0	68	8.063560312500005
n39-1	n28	0	0	71	7.378464843750005
n29-1	n33	0	0	75	8.042192812500005
n28-1	n30	0	0	77	7.6829517187500045
n55-1	n41	0	0	49	8.751326718750008
n54-1	n38	0	0	61	8.456188125000008
n56-1	n43	0	0	63	9.123922500000006
n43-1	n40	0	0	65	8.735301093750008
n44-1	n44	0	0	66	9.142619062500007
n42-1	n37	0	0	70	8.440162500000008
n32-1	n42	0	0	71	9.109232343750007
n30-1	n36	0	0	73	8.416124062500009
n31-1	n39	0	0	75	8.732630156250009
n58-1	n49	0	0	49	9.841069218750013
n57-1	n46	0	0	59	9.500524687500011
n72-1	n51	0	0	61	10.247051718750015
n46-1	n50	0	0	63	9.850417500000013
n66-1	n53	0	0	65	10.285780312500012
n45-1	n47	0	0	68	9.51655031250001
n59-1	n52	0	0	71	10.249722656250015
n34-1	n48	0	0	73	9.830385468750013
n33-1	n45	0	0	75	9.476486250000011
n74-1	n57	0	0	37	11.056345781250018
n73-1	n55	0	0	58	10.639679531250017
n75-1	n60	0	0	59	11.510405156250018
n68-1	n58	0	0	61	11.057681250000018
n69-1	n62	0	0	63	11.559817500000019
n67-1	n56	0	0	66	10.643685937500017
n62-1	n61	0	0	68	11.551804687500018
n60-1	n54	0	0	70	10.627660312500018
n61-1	n59	0	0	71	11.073706875000017
n77-1	n66	0	0	37	12.845873906250025
n76-1	n64	0	0	56	12.069966562500023
n71-1	deletion
n70-1	n65	0	0	65	12.079314843750023
n64-1	n67	0	0	70	12.944698593750024
n63-1	n63	0	0	71	12.060618281250024
n80-1	n68	0	0	42	15.093467812500037
n81-1	n69	0	0	49	15.628990781250044
n83-1	n71	0	0	54	16.31675718750005
n82-1	n70	0	0	56	15.980219062500042
n84-1	n72	0	0	56	16.45297500000005
n87-1	n75	0	0	42	17.35174546875005
n86-1	n74	0	0	49	17.037910312500053
n85-1	n73	0	0	58	16.654630781250045
n88-1	n76	0	0	49	17.697631875000052
n90-1	n78	0	0	54	18.346669687500057
n89-1	n77	0	0	56	18.028828125000054
n91-1	n79	0	0	56	18.496242187500055
n95-1	n82	0	0	42	19.34560031250006
n92-1	n80	0	0	58	18.685878750000057
n93-1	n81	0	0	61	19.019745937500065
n96-1	n83	0	0	49	19.67946750000006
n98-1	n85	0	0	54	20.329840781250063
n97-1	n84	0	0	56	20.001315468750064
n99-1	n86	0	0	56	20.471400468750062
n102-1	n89	0	0	42	21.308739375000073
n101-1	n88	0	0	49	21.00158156250007
n100-1	n87	0	0	58	20.651688750000062
n103-1	n90	0	0	49	21.645277500000077
n105-1	n92	0	0	54	22.310340937500087
n104-1	n91	0	0	56	21.96579000000008
n106-1	n93	0	0	56	22.455907031250085
n126-1	n96	0	0	42	23.319955312500092
n107-1	n94	0	0	58	22.63085343750009
n108-1	n95	0	0	61	22.947359531250093
n127-1	n97	0	0	49	23.651151562500097
n129-1	n100	0	0	54	24.4657875000001
n128-1	n98	0	0	56	23.9930315625001
n130-1	n102	0	0	56	24.6914817187501
n111-1	n101	0	0	70	24.4684584375001
n112-1	n99	0	0	73	24.4470909375001
n133-1	n105	0	0	42	25.491427500000103
n132-1	n104	0	0	49	25.1896115625001
n131-1	n103	0	0	58	24.843725156250102
n134-1	n108	0	0	49	25.88672625000011
n136-1	n113	0	0	54	26.639930625000105
n135-1	n110	0	0	56	26.31274078125011
n137-1	n116	0	0	56	26.806864218750103
n115-1	n106	0	0	69	25.86802968750011
n117-1	n111	0	0	70	26.32075359375011
n120-1	n115	0	0	71	26.713381406250104
n116-1	n107	0	0	72	25.870700625000108
n118-1	n109	0	0	73	26.30472796875011
n121-1	n114	0	0	75	26.654620781250102
n119-1	n112	0	0	77	26.595860156250104
n155-1	n123	0	0	42	27.6548868750001
n138-1	n118	0	0	58	26.9764687500001
n139-1	n120	0	0	61	27.2408915625001
n124-1	n122	0	0	66	27.302323125000097
n122-1	n119	0	0	70	26.9965007812501
n125-1	n121	0	0	70	27.295645781250098
n123-1	n117	0	0	73	26.956436718750105
n140-1	n125	0	0	75	27.7603889062501
n141-1	n124	0	0	78	27.7510406250001
n156-1	n128	0	0	49	28.1997581250001
n158-1	n132	0	0	54	28.7900353125001
n159-1	n135	0	0	56	28.954297968750097
n157-1	deletion
n142-1	n127	0	0	66	28.1877389062501
n143-1	n126	0	0	70	28.1850679687501
n146-1	n133	0	0	70	28.8087318750001
n144-1	n129	0	0	71	28.490890312500103
n147-1	n134	0	0	73	28.8100673437501
n145-1	n130	0	0	75	28.490890312500103
n162-1	n142	0	0	42	29.83570734375011
n161-1	n139	0	0	49	29.489820937500106
n160-1	n136	0	0	58	29.106541406250102
n148-1	n137	0	0	61	29.147940937500103
n149-1	n138	0	0	66	29.147940937500103
n153-1	n144	0	0	66	29.905151718750105
