xml_id	midi_id	track	channel	pitch	onset
n16-1	n1	1	0	36	2.0502076270833327
n17-1	n0	1	0	48	2.049139254166666
n1-1	n2	1	0	48	2.1506346812499997
n2-1	n3	1	0	55	2.2435831249999993
n3-1	n4	1	0	60	2.3194376020833327
n5-1	n8	1	0	60	2.533112185416666
n4-1	n6	1	0	64	2.3749929937499994
n6-1	n9	1	0	67	2.590804322916666
n7-1	n10	1	0	72	2.675205783333333
n9-1	n13	1	0	72	2.8322566020833326
n8-1	n12	1	0	76	2.725419310416666
n10-1	n14	1	0	79	2.9059743333333325
n11-1	n15	1	0	84	2.975418572916666
n13-1	n18	1	0	84	3.090802847916666
n12-1	n16	1	0	88	3.013879997916666
n14-1	n19	1	0	91	3.166657324999999
n15-1	n20	1	0	96	3.2414434291666656
n21-1	n26	1	0	84	3.5662287958333314
n20-1	n25	1	0	91	3.4903743187499985
n19-1	n23	1	0	96	3.408109604166665
n18-1	n22	1	0	100	3.3002039395833322
n25-1	n30	1	0	72	3.8771253145833313
n24-1	n29	1	0	79	3.801270837499998
n23-1	n28	1	0	84	3.7446470729166648
n22-1	n27	1	0	88	3.663450731249998
n29-1	n35	1	0	60	4.202979054166665
n28-1	n34	1	0	67	4.117509220833331
n27-1	n33	1	0	72	4.049133354166664
n26-1	n31	1	0	76	3.989304470833331
n33-1	n39	1	0	48	4.527764420833331
n32-1	n38	1	0	55	4.456183435416664
n31-1	n37	1	0	60	4.39314943333333
n30-1	n36	1	0	64	4.317294956249997
n51-1	n40	1	0	29	4.632464966666664
n52-1	n41	1	0	41	4.634601712499997
n36-1	n42	1	0	48	4.72968690208333
n37-1	n43	1	0	57	4.838660939583329
n38-1	n44	1	0	60	4.89955819583333
n40-1	n46	1	0	60	5.064087624999996
n39-1	n45	1	0	65	4.966865689583329
n41-1	n47	1	0	69	5.1548993229166635
n42-1	n48	1	0	72	5.233958918749996
n44-1	n51	1	0	72	5.4241292979166635
n43-1	n49	1	0	77	5.2916510562499965
n45-1	n52	1	0	81	5.479684689583331
n46-1	n53	1	0	84	5.543787064583331
n48-1	n55	1	0	84	5.682675543749998
n47-1	n54	1	0	89	5.597205710416664
n49-1	n57	1	0	93	5.728615579166664
n50-1	n58	1	0	96	5.7948546999999975
n69-1	n61	1	0	30	5.881392906249998
n70-1	n60	1	0	42	5.876051041666664
n56-1	n66	1	0	84	6.102546099999998
n55-1	n64	1	0	93	6.024554877083331
n54-1	n63	1	0	96	5.965794366666664
n53-1	n59	1	0	100	5.857888702083331
n60-1	n70	1	0	72	6.415579364583329
n59-1	n69	1	0	81	6.332246277083329
n58-1	n68	1	0	84	6.263870410416663
n57-1	n67	1	0	88	6.194426170833331
n64-1	n75	1	0	60	6.724339137499996
n63-1	n73	1	0	69	6.644211168749996
n62-1	n72	1	0	72	6.585450658333329
n61-1	n71	1	0	76	6.511732927083329
n68-1	n81	1	0	48	7.07583382708333
n67-1	n79	1	0	57	6.982885383333329
n66-1	n78	1	0	60	6.887800193749996
n65-1	n77	1	0	62	6.827971310416663
n86-1	n83	1	0	31	7.189081356249997
n87-1	n82	1	0	43	7.1805343729166635
n71-1	n84	1	0	47	7.394208956249997
n72-1	n85	1	0	55	7.499977874999998
n73-1	n86	1	0	59	7.5907895729166635
insertion	n80	1	0	59	7.004252841666663
n75-1	n88	1	0	59	7.776686460416664
n74-1	n87	1	0	62	7.660233812499997
n76-1	n89	1	0	67	7.868566531249997
n77-1	n90	1	0	71	7.932668906249996
n79-1	n95	1	0	71	8.098266708333329
n88-1	n92	1	0	30	7.949762872916663
n89-1	n91	1	0	42	7.940147516666663
n78-1	n94	1	0	74	7.990361043749997
n80-1	n96	1	0	79	8.17198443958333
n81-1	n98	1	0	83	8.241428679166663
n90-1	n101	1	0	28	8.272411493749999
n91-1	n100	1	0	40	8.264932883333332
n83-1	n104	1	0	83	8.4102316
n82-1	n102	1	0	86	8.298052443749999
n84-1	n105	1	0	91	8.466855364583333
n85-1	n107	1	0	93	8.581171266666667
n108-1	n109	1	0	26	8.607880589583333
n109-1	n108	1	0	38	8.595060114583333
n95-1	n113	1	0	84	8.81728168125
n94-1	n112	1	0	90	8.761726289583333
n93-1	n111	1	0	93	8.686940185416667
n92-1	n110	1	0	98	8.607880589583333
n99-1	n117	1	0	72	9.124973081249996
n98-1	n116	1	0	78	9.053392095833331
n97-1	n115	1	0	81	8.989289720833332
n96-1	n114	1	0	86	8.918777108333332
n103-1	n121	1	0	60	9.428390989583328
n102-1	n120	1	0	66	9.34719464791666
n101-1	n119	1	0	69	9.280955527083327
n100-1	n118	1	0	74	9.220058270833327
n107-1	n125	1	0	48	9.736082389583329
n106-1	n124	1	0	54	9.670911641666663
n105-1	n123	1	0	57	9.605740893749996
n104-1	n122	1	0	62	9.551253874999995
n125-1	n127	1	0	31	9.854671783333329
n126-1	n126	1	0	43	9.843988054166662
n110-1	n128	1	0	48	9.961509074999995
n111-1	n129	1	0	53	10.038431924999994
n112-1	n130	1	0	56	10.091850570833326
n114-1	n132	1	0	60	10.251038135416657
n113-1	n131	1	0	62	10.143132470833326
n115-1	n133	1	0	65	10.334371222916658
n116-1	n134	1	0	68	10.402747089583325
n118-1	n136	1	0	72	10.554456043749994
n117-1	n135	1	0	74	10.459370854166659
n119-1	n137	1	0	77	10.633515639583328
n120-1	n138	1	0	80	10.689071031249993
n122-1	n140	1	0	84	10.83757486666666
n121-1	n139	1	0	86	10.723258964583327
n123-1	n141	1	0	89	10.90488236041666
n124-1	n142	1	0	92	10.970053108333328
n130-1	n146	1	0	83	11.269197524999992
n129-1	n145	1	0	89	11.206163522916658
n128-1	n144	1	0	91	11.130309045833325
n127-1	n143	1	0	98	11.043770839583326
n134-1	n150	1	0	71	11.60573499374999
n133-1	n149	1	0	77	11.523470279166656
n132-1	n148	1	0	79	11.441205564583322
n131-1	n147	1	0	86	11.39099203749999
n138-1	n154	1	0	59	11.930520360416654
n137-1	n153	1	0	65	11.834366797916655
n136-1	n152	1	0	67	11.770264422916656
n135-1	n151	1	0	74	11.694409945833323
n142-1	n158	1	0	47	12.430518885416653
n141-1	n157	1	0	53	12.323681593749987
n140-1	n156	1	0	55	12.179451249999987
n139-1	n155	1	0	63	12.074750704166654
n160-1	n159	1	0	36	12.565133872916654
n145-1	n160	1	0	48	12.649535333333322
n161-1	deletion
n146-1	n161	1	0	55	12.744620522916655
n147-1	n162	1	0	60	12.840774085416657
n149-1	n164	1	0	60	13.027739345833327
n148-1	n163	1	0	64	12.917696935416659
n150-1	n165	1	0	67	13.10359382291666
n151-1	n166	1	0	72	13.178379927083325
n153-1	n169	1	0	72	13.318336779166659
n152-1	n168	1	0	76	13.217909724999991
n154-1	n170	1	0	79	13.397396374999992
n155-1	n171	1	0	84	13.45295176666666
n157-1	n172	1	0	84	13.568336041666658
n156-1	deletion
n158-1	n173	1	0	91	13.640985399999991
n159-1	n175	1	0	96	13.697609164583325
n165-1	n181	1	0	84	14.005300564583326
n164-1	n180	1	0	91	13.926240968749992
n163-1	n178	1	0	96	13.837566016666658
n162-1	n176	1	0	100	13.762779912499992
n169-1	n187	1	0	72	14.316197083333325
n168-1	n186	1	0	79	14.246752843749992
n167-1	n184	1	0	84	14.16769324791666
n166-1	n183	1	0	88	14.101454127083326
n173-1	n191	1	0	60	14.658076416666656
n172-1	n190	1	0	67	14.584358685416657
n171-1	n189	1	0	72	14.515982818749992
n170-1	n188	1	0	76	14.436923222916658
n177-1	n195	1	0	48	14.96790456249999
n176-1	n194	1	0	55	14.90380218749999
n175-1	n193	1	0	60	14.84611004999999
n174-1	n192	1	0	64	14.771323945833323
n195-1	n197	1	0	33	15.043759039583321
n196-1	n196	1	0	45	15.029870191666655
n180-1	n198	1	0	48	15.133502364583322
n181-1	n199	1	0	53	15.228587554166655
n182-1	n200	1	0	60	15.31085226874999
n184-1	n202	1	0	60	15.484997054166655
n183-1	n201	1	0	65	15.398458847916658
n185-1	n203	1	0	65	15.554441293749989
n186-1	n204	1	0	72	15.645252991666654
n188-1	n207	1	0	72	15.783073097916654
n187-1	deletion
n189-1	deletion
n190-1	n208	1	0	84	15.926235068749989
n192-1	n210	1	0	84	16.042687716666656
n193-1	n211	1	0	89	16.12067893958332
n191-1	deletion
n194-1	n212	1	0	96	16.200806908333323
n200-1	n217	1	0	84	16.502088070833324
n199-1	n216	1	0	90	16.44012244166666
n198-1	n214	1	0	96	16.345037252083326
n197-1	n213	1	0	100	16.26277253749999
n204-1	n221	1	0	72	16.81725808124999
n203-1	n220	1	0	78	16.74995058749999
n202-1	n219	1	0	84	16.675164483333326
n201-1	n218	1	0	88	16.602515124999993
n208-1	n225	1	0	60	17.138838329166653
n207-1	n224	1	0	66	17.073667581249985
n206-1	n223	1	0	72	16.993539612499987
n205-1	n222	1	0	76	16.926232118749986
n212-1	n229	1	0	48	17.479649289583318
n211-1	n228	1	0	54	17.416615287499983
n210-1	n227	1	0	60	17.33755569166665
n209-1	n226	1	0	64	17.262769587499985
n230-1	n231	1	0	31	17.58434983541665
n231-1	n230	1	0	43	17.575802852083317
n215-1	n232	1	0	48	17.66020431249998
n216-1	n233	1	0	55	17.757426247916648
n217-1	n234	1	0	60	17.83007560624998
n219-1	n237	1	0	60	17.98712642499998
n218-1	n236	1	0	62	17.897383099999985
n220-1	n238	1	0	67	18.065117647916644
n221-1	n239	1	0	72	18.158066091666644
n223-1	n242	1	0	72	18.28947596041664
n222-1	n240	1	0	74	18.185843787499977
n224-1	n243	1	0	79	18.37708253958331
n225-1	n244	1	0	84	18.440116541666644
n227-1	n247	1	0	84	18.572594783333304
n226-1	n246	1	0	86	18.497808679166642
n228-1	n248	1	0	91	18.64417576874997
n229-1	n249	1	0	96	18.708278143749972
n235-1	n255	1	0	83	19.007422560416636
insertion	n245	1	0	83	18.472167729166642
n234-1	n254	1	0	91	18.941183439583305
n233-1	n252	1	0	95	18.871739199999972
insertion	n251	1	0	95	18.75101306041664
n232-1	n250	1	0	98	18.718961872916637
n239-1	n260	1	0	71	19.331139554166636
n238-1	n258	1	0	79	19.254216704166637
n237-1	n257	1	0	83	19.191182702083303
n236-1	n256	1	0	86	19.112123106249967
n243-1	n264	1	0	59	19.64630956458331
n242-1	n263	1	0	67	19.577933697916638
n241-1	n262	1	0	71	19.527720170833305
n240-1	n261	1	0	74	19.450797320833306
n247-1	n268	1	0	47	19.987120524999973
n246-1	n267	1	0	55	19.921949777083306
n245-1	n266	1	0	59	19.846095299999973
n244-1	n265	1	0	62	19.778787806249976
n265-1	n269	1	0	36	20.111051783333306
n266-1	n270	1	0	48	20.123872258333307
n250-1	n271	1	0	50	20.20293185416664
n251-1	n272	1	0	55	20.294811924999973
n252-1	n273	1	0	62	20.396307352083305
n254-1	n275	1	0	62	20.557631662499972
n253-1	n274	1	0	64	20.447589252083304
n255-1	n276	1	0	67	20.627075902083305
n256-1	n277	1	0	74	20.717887599999973
n258-1	n279	1	0	74	20.84929746874997
n257-1	n278	1	0	76	20.755280652083304
n259-1	n280	1	0	79	20.936904047916638
n260-1	n281	1	0	86	21.005279914583305
n262-1	n284	1	0	86	21.129211172916637
n261-1	n283	1	0	88	21.07472415416664
n263-1	n285	1	0	91	21.20186053124997
n264-1	n286	1	0	98	21.280920127083302
n270-1	n291	1	0	84	21.648440410416647
n269-1	n290	1	0	91	21.57579105208331
n268-1	n289	1	0	96	21.479637489583308
n267-1	n288	1	0	100	21.39203091041664
n274-1	n295	1	0	72	21.976430895833317
n273-1	n294	1	0	79	21.913396893749987
n272-1	n293	1	0	84	21.824721941666652
n271-1	n292	1	0	88	21.745662345833317
n278-1	n299	1	0	60	22.332199077083313
n277-1	n298	1	0	67	22.246729243749982
n276-1	n297	1	0	72	22.17407988541665
n275-1	n296	1	0	76	22.09074679791665
n282-1	n303	1	0	48	22.768095227083307
n281-1	n302	1	0	55	22.682625393749976
n280-1	n301	1	0	60	22.58540345833331
n279-1	n300	1	0	64	22.50313874374998
n300-1	n305	1	0	33	22.91339394374997
n301-1	n304	1	0	45	22.899505095833305
n285-1	n306	1	0	52	23.012752624999973
n286-1	n307	1	0	60	23.12279503541664
n287-1	n308	1	0	64	23.194376020833307
n289-1	n310	1	0	64	23.37920453541664
n288-1	n309	1	0	65	23.275572362499975
n290-1	n311	1	0	72	23.466811114583308
n291-1	n312	1	0	76	23.533050235416642
n293-1	n314	1	0	76	23.687964308333306
n292-1	n313	1	0	77	23.59074237291664
n294-1	n315	1	0	84	23.764887158333305
n295-1	n316	1	0	88	23.830057906249973
n297-1	n319	1	0	88	23.970014758333303
n296-1	n318	1	0	89	23.899502145833306
n298-1	n320	1	0	96	24.03839062499997
n299-1	n321	1	0	100	24.103561372916637
n318-1	n325	1	0	35	24.1751423583333
n319-1	n323	1	0	47	24.1687321208333
n305-1	n329	1	0	86	24.424073247916635
n304-1	n327	1	0	95	24.328988058333298
n303-1	n326	1	0	98	24.265954056249964
n302-1	n324	1	0	101	24.1719372395833
n309-1	n334	1	0	74	24.74672186874997
n308-1	n332	1	0	83	24.66979901874997
n307-1	n331	1	0	86	24.593944541666637
n306-1	n330	1	0	89	24.524500302083304
n320-1	n337	1	0	33	24.863174516666632
n321-1	n336	1	0	45	24.856764279166633
n313-1	n341	1	0	62	25.0853960833333
n312-1	n339	1	0	71	25.000994622916632
n311-1	n338	1	0	74	24.937960620833298
n310-1	n335	1	0	77	24.8482172958333
n317-1	n347	1	0	50	25.47855731666663
n316-1	n344	1	0	59	25.3770618895833
n315-1	n343	1	0	62	25.283045072916632
n314-1	n342	1	0	65	25.19971198541663
n337-1	n349	1	0	32	25.590736472916632
n338-1	n348	1	0	44	25.581121116666633
n322-1	n351	1	0	50	25.726419833333303
n323-1	n353	1	0	59	25.81082129374997
n324-1	n354	1	0	62	25.88133390624997
n326-1	n356	1	0	62	26.05975218333331
n325-1	n355	1	0	64	25.95932512916664
n327-1	n357	1	0	71	26.144153643749977
n328-1	n359	1	0	74	26.214666256249977
n330-1	n362	1	0	74	26.375990566666648
n329-1	n361	1	0	76	26.278768631249978
n331-1	n363	1	0	83	26.45932365416665
n332-1	n364	1	0	86	26.522357656249984
n334-1	n367	1	0	86	26.67086149166665
n333-1	n366	1	0	88	26.599280506249983
n335-1	n369	1	0	95	26.73389549374998
n336-1	n370	1	0	98	26.809749970833312
n355-1	n372	1	0	33	26.870647227083314
n356-1	n371	1	0	45	26.869578854166647
n342-1	n378	1	0	84	27.11209950624998
n341-1	n376	1	0	93	27.030903164583314
n340-1	n375	1	0	96	26.96466404374998
n339-1	n373	1	0	100	26.87492071874998
n346-1	n383	1	0	72	27.44543185624998
n345-1	n381	1	0	81	27.357825277083315
n344-1	n380	1	0	84	27.286244291666648
n343-1	n379	1	0	88	27.21359493333331
n357-1	n386	1	0	31	27.564021249999975
n358-1	n385	1	0	43	27.557611012499976
n350-1	n390	1	0	60	27.791584681249972
n349-1	n388	1	0	69	27.70718322083331
n348-1	n387	1	0	72	27.637738981249978
n347-1	n384	1	0	76	27.551200774999977
n354-1	n395	1	0	48	28.203976627083303
n353-1	n393	1	0	57	28.087523979166637
n352-1	n392	1	0	60	28.00953275624997
n351-1	n391	1	0	64	27.90803732916664
n374-1	n397	1	0	29	28.349275343749973
n375-1	n396	1	0	41	28.34393347916664
n359-1	n398	1	0	48	28.590727622916635
n360-1	n400	1	0	57	28.699701660416636
n361-1	n401	1	0	60	28.783034747916638
n363-1	n403	1	0	60	28.9475641770833
n362-1	n402	1	0	64	28.837521766666637
n364-1	n404	1	0	69	29.030897264583302
n365-1	n405	1	0	72	29.097136385416636
n367-1	n407	1	0	72	29.248845339583305
n366-1	n406	1	0	76	29.149486658333306
n368-1	n408	1	0	81	29.325768189583304
n369-1	n409	1	0	84	29.38559707291664
n371-1	n411	1	0	84	29.536237654166637
n370-1	n410	1	0	88	29.440084091666638
n372-1	n412	1	0	93	29.60888701249997
n373-1	n413	1	0	96	29.666579149999972
n379-1	n420	1	0	83	29.98815939791664
n378-1	n417	1	0	93	29.874911868749976
n377-1	n416	1	0	95	29.823629968749973
n376-1	n414	1	0	99	29.74350199999997
n383-1	n426	1	0	71	30.31721825624997
n382-1	n423	1	0	81	30.23388516874997
n381-1	n422	1	0	83	30.15803069166664
n380-1	n421	1	0	87	30.091791570833305
n387-1	n431	1	0	59	30.642003622916636
n386-1	n429	1	0	69	30.546918433333303
n385-1	n428	1	0	71	30.49349978749997
n384-1	n427	1	0	75	30.425123920833304
n391-1	n437	1	0	47	30.94328478541664
n390-1	n434	1	0	57	30.873840545833303
n389-1	n433	1	0	59	30.803327933333303
n388-1	n432	1	0	63	30.754182779166637
n409-1	n440	1	0	28	31.069352789583306
n410-1	n439	1	0	40	31.06828441666664
n394-1	n442	1	0	47	31.18687381041664
n395-1	n443	1	0	57	31.268070152083308
n396-1	n444	1	0	59	31.338582764583307
n398-1	n447	1	0	59	31.512727549999976
n397-1	n445	1	0	64	31.40268513958331
n399-1	n448	1	0	69	31.584308535416646
n400-1	n449	1	0	71	31.670846741666647
n402-1	n452	1	0	71	31.81614545833331
n401-1	n451	1	0	76	31.70823979374998
n403-1	n454	1	0	81	31.88986318958331
n404-1	n455	1	0	83	31.95610231041664
n406-1	n457	1	0	83	32.11635824791664
n405-1	n456	1	0	88	31.993495362499974
n407-1	n459	1	0	93	32.175118758333305
n408-1	n460	1	0	95	32.24669974374997
n414-1	n466	1	0	83	32.56080138124997
n413-1	n465	1	0	92	32.47746829374997
n412-1	n463	1	0	95	32.39413520624997
n411-1	n461	1	0	100	32.300118389583304
n418-1	n470	1	0	71	32.872766272916635
n417-1	n469	1	0	80	32.789433185416634
n416-1	n468	1	0	83	32.74028803124997
n415-1	n467	1	0	88	32.65481819791664
n422-1	n474	1	0	59	33.18900465624998
n421-1	n473	1	0	68	33.09819295833331
n420-1	n472	1	0	71	33.044774312499975
n419-1	n471	1	0	76	32.963577970833306
n426-1	n479	1	0	47	33.54263609166665
n425-1	n478	1	0	56	33.44007229166665
n424-1	n477	1	0	59	33.38772201874998
n423-1	n475	1	0	64	33.300115439583315
n444-1	n481	1	0	33	33.74455857291666
n445-1	n480	1	0	45	33.732806470833324
n429-1	n482	1	0	52	33.89733589999999
n430-1	n483	1	0	57	34.00417319166665
n431-1	n484	1	0	61	34.10032675416665
n433-1	n486	1	0	64	34.258445945833316
n432-1	n485	1	0	67	34.14413004374998
n434-1	n487	1	0	69	34.338573914583314
n435-1	n488	1	0	73	34.42083862916665
n437-1	n490	1	0	76	34.57254758333332
n436-1	n489	1	0	79	34.473188902083315
n438-1	n491	1	0	81	34.64733368749999
n439-1	n492	1	0	85	34.73066677499999
n443-1	n496	1	0	76	35.016990716666655
n442-1	n495	1	0	81	34.99028139374999
n441-1	n494	1	0	85	34.88771759374998
n440-1	n493	1	0	91	34.79156403124998
n462-1	n499	1	0	38	35.132374991666666
n463-1	n497	1	0	50	35.113144279166654
n449-1	n502	1	0	76	35.38771611874999
n448-1	n501	1	0	81	35.306519777083324
n447-1	n500	1	0	84	35.23921228333333
n446-1	n498	1	0	91	35.12169126249999
n453-1	n506	1	0	64	35.72211684166666
n452-1	n505	1	0	69	35.66869819583333
n451-1	n504	1	0	72	35.59604883749999
n450-1	n503	1	0	79	35.51271574999999
n457-1	n511	1	0	52	36.0704064125
n456-1	n510	1	0	57	36.012714275
n455-1	n508	1	0	60	35.92083420416667
n454-1	n507	1	0	67	35.84070623541667
n461-1	n515	1	0	50	36.48600347708333
n460-1	n514	1	0	57	36.38023455833333
n459-1	n513	1	0	60	36.296901470833326
n458-1	n512	1	0	66	36.18899580624999
n479-1	n517	1	0	31	36.630233820833325
n480-1	n516	1	0	43	36.62489195624999
n464-1	n518	1	0	50	36.734934366666664
n465-1	n519	1	0	55	36.8204042
n466-1	n520	1	0	60	36.9037372875
n468-1	n523	1	0	62	37.06185647916667
n467-1	n522	1	0	65	36.960361052083336
n469-1	n524	1	0	67	37.146257939583336
n470-1	n525	1	0	72	37.23386451875
n472-1	n528	1	0	74	37.37595811666667
n471-1	n527	1	0	77	37.27446268958334
n473-1	n529	1	0	79	37.45715445833334
n474-1	n530	1	0	84	37.52446195208334
n476-1	n533	1	0	86	37.65694019375
