onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5064087,2.6014931,48,102,0,0,n0,-10.0,-10.0
1.5197635,2.5881383,36,86,0,0,n1,1.513086,0.0
1.6626586,2.4452434,48,78,0,0,n2,1.513086,0.0
1.7614833,2.3464186,55,70,0,0,n3,1.513086,0.0
1.8362695,2.2716324,60,69,0,0,n4,1.513086,0.0
1.8843464,2.2235556,64,75,0,0,n5,1.884346,1.0
1.925746,2.1821558,48,83,0,0,n6,1.884346,1.0
1.9297523,2.1781495,36,69,0,0,n7,1.884346,1.0
1.9778292,2.1300726,60,74,0,0,n8,1.884346,1.0
2.073983,2.0339189,67,74,0,0,n9,1.884346,1.0
2.1327436,1.9751583,72,71,0,0,n10,1.884346,1.0
2.1901689,1.9177331,76,78,0,0,n11,1.884346,1.0
2.2996771,1.8082247,72,66,0,0,n12,2.190169,2.0
2.3637798,1.7441221,79,74,0,0,n13,2.190169,2.0
2.413192,1.6947099,84,65,0,0,n14,2.190169,2.0
2.4692817,1.6386201,88,82,0,0,n15,2.190169,2.0
2.5707774,1.5371245,84,75,0,0,n16,2.469282,3.0
2.6575828,1.450319,91,80,0,0,n17,2.469282,3.0
2.7003179,1.4075841,96,76,0,0,n18,2.469282,3.0
2.7817814,1.3261205,100,65,0,0,n19,2.781781,4.0
2.7938006,1.3141012,101,54,0,0,n20,2.781781,4.0
2.8472195,1.2606825,96,73,0,0,n21,2.781781,4.0
2.913993,1.193909,91,73,0,0,n22,2.781781,4.0
3.0021338,1.1057681,84,70,0,0,n23,2.781781,4.0
3.0889392,1.0189626,88,82,0,0,n24,3.088939,5.0
3.1663964,0.9415055,84,71,0,0,n25,3.088939,5.0
3.2184796,0.8894222,79,73,0,0,n26,3.088939,5.0
3.313298,0.7946039,72,76,0,0,n27,3.088939,5.0
3.3907552,0.7171467,76,81,0,0,n28,3.390755,6.0
3.4815671,0.62633485,72,77,0,0,n29,3.390755,6.0
3.5229666,0.5849353,67,74,0,0,n30,3.390755,6.0
3.6217914,0.48611063,60,72,0,0,n31,3.390755,6.0
3.7059257,0.4019761,64,84,0,0,n32,3.390755,6.0
3.7713637,0.33653814,60,66,0,0,n33,3.705926,7.0
3.8408082,0.26709375,55,66,0,0,n34,3.705926,7.0
3.9449747,0.16292718,48,74,0,0,n35,3.705926,7.0
4.0611606,1.3034174,41,102,0,0,n36,3.705926,7.0
4.071844,1.2927338,29,82,0,0,n37,4.066502,8.0
4.145295,0.036057655,48,70,0,0,n38,4.066502,8.0
4.2521324,1.1124455,57,74,0,0,n39,4.066502,8.0
4.322912,1.0416657,60,74,0,0,n40,4.066502,8.0
4.411053,0.9535247,65,69,0,0,n41,4.411053,9.0
4.5085425,0.8560355,60,77,0,0,n42,4.411053,9.0
4.6140447,0.75053346,69,76,0,0,n43,4.411053,9.0
4.6768117,0.68776643,72,73,0,0,n44,4.411053,9.0
4.75694,0.6076383,77,61,0,0,n45,4.75694,10.0
4.839739,0.5248392,72,75,0,0,n46,4.75694,10.0
4.9158607,0.4487175,81,78,0,0,n47,4.75694,10.0
4.9679437,0.39663422,84,71,0,0,n48,4.75694,10.0
5.034717,0.32986078,89,75,0,0,n49,5.034717,11.0
5.117516,0.24706171,84,75,0,0,n50,5.034717,11.0
5.19898,0.16559812,93,84,0,0,n51,5.034717,11.0
5.2697597,0.09481828,96,79,0,0,n52,5.034717,11.0
5.281779,0.10016016,36,13,0,0,n53,5.034717,11.0
5.349888,0.084134534,100,88,0,0,n54,5.034717,11.0
5.3525586,1.4382999,42,100,0,0,n55,5.034717,11.0
5.36992,1.4209387,30,80,0,0,n56,5.352559,12.0
5.442035,1.3488234,96,72,0,0,n57,5.352559,12.0
5.512815,1.2780436,93,77,0,0,n58,5.352559,12.0
5.6290007,1.1618578,84,76,0,0,n59,5.352559,12.0
5.7158065,1.0750524,88,85,0,0,n60,5.715806,13.0
5.8052826,0.9855759,84,70,0,0,n61,5.715806,13.0
5.854695,0.9361636,81,68,0,0,n62,5.715806,13.0
5.9495134,0.8413453,72,73,0,0,n63,5.715806,13.0
6.0510087,0.7398497,76,81,0,0,n64,5.715806,13.0
6.141821,0.64903784,72,77,0,0,n65,6.051009,14.0
6.193904,0.5969545,69,64,0,0,n66,6.051009,14.0
6.2780385,0.51282,60,71,0,0,n67,6.051009,14.0
6.375528,0.41533077,62,80,0,0,n68,6.375528,15.0
6.4463077,0.34455094,60,57,0,0,n69,6.375528,15.0
6.5291066,0.26175186,57,72,0,0,n70,6.375528,15.0
6.6492987,0.14155969,48,72,0,0,n71,6.375528,15.0
6.769491,1.4369644,43,95,0,0,n72,6.375528,15.0
6.782846,1.4236097,31,75,0,0,n73,6.776169,16.0
6.845613,0.036057655,47,69,0,0,n74,6.776169,16.0
6.953786,1.2526697,55,69,0,0,n75,6.776169,16.0
7.036585,1.1698706,59,74,0,0,n76,6.776169,16.0
7.1273966,1.0790588,62,70,0,0,n77,6.776169,16.0
7.2462535,0.96020204,59,73,0,0,n78,7.127397,17.0
7.3290524,0.87740296,67,75,0,0,n79,7.127397,17.0
7.3998322,0.8066231,71,73,0,0,n80,7.127397,17.0
7.482631,0.7238241,74,71,0,0,n81,7.127397,17.0
7.487973,0.7184822,42,96,0,0,n82,7.487973,18.0
7.4999924,0.706463,30,82,0,0,n83,7.487973,18.0
7.6028237,0.60363185,71,80,0,0,n84,7.487973,18.0
7.7003126,0.5061427,79,68,0,0,n85,7.487973,18.0
7.755067,0.45138845,83,72,0,0,n86,7.487973,18.0
7.8271823,0.37927312,40,95,0,0,n87,7.487973,18.0
7.8325243,0.37393126,86,70,0,0,n88,7.832524,19.0
7.8418727,0.36458296,28,76,0,0,n89,7.832524,19.0
7.936691,0.2697647,83,81,0,0,n90,7.832524,19.0
8.035516,0.17094,91,81,0,0,n91,7.832524,19.0
8.116979,0.08947641,93,78,0,0,n92,7.832524,19.0
8.183752,1.5264407,38,95,0,0,n93,7.832524,19.0
8.187758,1.5224344,26,76,0,0,n94,7.832524,19.0
8.191766,0.11485031,98,90,0,0,n95,8.187759,20.0
8.29059,1.4196032,93,74,0,0,n96,8.187759,20.0
8.374724,1.3354688,90,80,0,0,n97,8.187759,20.0
8.464201,1.2459923,84,74,0,0,n98,8.187759,20.0
8.542994,1.1671997,86,82,0,0,n99,8.542994,21.0
8.63247,1.0777233,81,73,0,0,n100,8.542994,21.0
8.705921,1.0042725,78,76,0,0,n101,8.542994,21.0
8.786049,0.9241444,72,77,0,0,n102,8.542994,21.0
8.868848,0.8413453,74,77,0,0,n103,8.868848,22.0
8.94497,0.7652236,69,74,0,0,n104,8.868848,22.0
9.019756,0.6904373,66,70,0,0,n105,8.868848,22.0
9.106562,0.60363185,60,72,0,0,n106,8.868848,22.0
