xml_id	midi_id	track	channel	pitch	onset
n16-1	n0	0	0	36	1.5104151562500003
n17-1	n1	0	0	48	1.72676109375
n1-1	n3	0	0	48	1.8563015625
n2-1	n2	0	0	55	1.8215793749999998
n3-1	n4	0	0	60	1.8936946874999998
n5-1	n6	0	0	60	2.0392607812499994
n4-1	n5	0	0	64	1.9965257812499997
n6-1	n7	0	0	67	2.13007265625
n7-1	n8	0	0	72	2.2008525
n9-1	n10	0	0	72	2.3464185937499997
n8-1	n9	0	0	76	2.27163234375
n10-1	n11	0	0	79	2.42521125
n11-1	n12	0	0	84	2.48931375
n13-1	n14	0	0	84	2.6268670312499998
n12-1	n13	0	0	88	2.5667709375
n14-1	n15	0	0	91	2.69631140625
n15-1	n16	0	0	96	2.761749375
n21-1	n21	0	0	84	3.0675717187499996
n20-1	n20	0	0	91	2.996791874999999
n19-1	n19	0	0	96	2.9326893749999994
n18-1	n17	0	0	100	2.8405420312499996
n25-1	n25	0	0	72	3.3880842187499995
n24-1	n24	0	0	79	3.3146334374999995
n23-1	n23	0	0	84	3.2158087499999994
n22-1	n22	0	0	88	3.1637254687499996
n29-1	n30	0	0	60	3.712603125
n28-1	n29	0	0	67	3.6418232812499998
n27-1	n27	0	0	72	3.5389921875
n26-1	n26	0	0	76	3.4802315624999998
n33-1	n35	0	0	48	4.04914125
n32-1	n33	0	0	55	3.9716840625
n31-1	n32	0	0	60	3.8755303124999996
n30-1	n31	0	0	64	3.8341307812499994
n51-1	n37	0	0	29	4.1426240624999995
n52-1	n36	0	0	41	4.14128859375
n36-1	n38	0	0	48	4.23744234375
n37-1	n39	0	0	57	4.33893796875
n38-1	n40	0	0	60	4.417730625
n40-1	n42	0	0	60	4.564632187500002
n39-1	n41	0	0	65	4.503200625000002
n41-1	n43	0	0	69	4.650102187500002
n42-1	n44	0	0	72	4.731565781250002
n44-1	n46	0	0	72	4.873125468750002
n43-1	n45	0	0	77	4.8036810937500025
n45-1	n47	0	0	81	4.942569843750003
n46-1	n48	0	0	84	5.025368906250002
n48-1	n50	0	0	84	5.174941406250003
n47-1	n49	0	0	89	5.102826093750003
n49-1	n51	0	0	93	5.259075937500003
n50-1	n52	0	0	96	5.340539531250003
n69-1	n54	0	0	30	5.464738125000002
n70-1	n55	0	0	42	5.467409062500002
n56-1	n58	0	0	84	5.678413125000002
n55-1	n57	0	0	93	5.615646093750002
n54-1	n56	0	0	96	5.5248342187500015
n53-1	n53	0	0	100	5.436693281250002
n60-1	n62	0	0	72	5.997590156250004
n59-1	n61	0	0	81	5.925474843750004
n58-1	n60	0	0	84	5.857365937500004
n57-1	n59	0	0	88	5.779908750000002
n64-1	n66	0	0	60	6.319438125000004
n63-1	n65	0	0	69	6.244651875000004
n62-1	n64	0	0	72	6.172536562500004
n61-1	n63	0	0	76	6.093743906250004
n68-1	n70	0	0	48	6.654640781250002
n67-1	n69	0	0	57	6.569170781250002
n66-1	n68	0	0	60	6.479694375000003
n65-1	n67	0	0	62	6.431617500000003
n86-1	n73	0	0	31	6.797535937500002
n87-1	n72	0	0	43	6.793529531250002
n71-1	n74	0	0	47	6.923070000000004
n72-1	n75	0	0	55	7.016552812500003
n73-1	n76	0	0	59	7.092674531250004
n75-1	n78	0	0	59	7.239576093750004
n74-1	n77	0	0	62	7.168796250000004
n76-1	n79	0	0	67	7.319704218750004
n77-1	n80	0	0	71	7.410516093750004
n88-1	n83	0	0	30	7.526701875000002
n89-1	n82	0	0	42	7.518689062500003
n79-1	n84	0	0	71	7.574778750000002
n78-1	n81	0	0	74	7.491979687500003
n80-1	n85	0	0	79	7.6615842187500025
n81-1	n86	0	0	83	7.744383281250003
n90-1	n88	0	0	28	7.831188750000003
n91-1	n89	0	0	40	7.833859687500002
n83-1	n90	0	0	83	7.909981406250003
n82-1	n87	0	0	86	7.816498593750003
n84-1	n91	0	0	91	7.996786875000002
n85-1	n92	0	0	93	8.079585937500003
n108-1	n94	0	0	26	8.191765312500003
n109-1	n95	0	0	38	8.191765312500003
n95-1	n98	0	0	84	8.414788593750002
n94-1	n97	0	0	90	8.350686093750001
n93-1	n96	0	0	93	8.266551562500002
n92-1	n93	0	0	98	8.175739687500002
n99-1	n102	0	0	72	8.729959218749999
n98-1	n101	0	0	78	8.675205
n97-1	n100	0	0	81	8.597747812500002
n96-1	n99	0	0	86	8.512277812500002
n103-1	n106	0	0	60	9.04913625
n102-1	n105	0	0	66	8.979691875
n101-1	n104	0	0	69	8.90357015625
n100-1	n103	0	0	74	8.820771093749999
n107-1	n110	0	0	48	9.389680781249998
n106-1	n109	0	0	54	9.2975334375
n105-1	n108	0	0	57	9.22942453125
n104-1	n107	0	0	62	9.14395453125
n125-1	n112	0	0	31	9.503195624999998
n126-1	n111	0	0	43	9.499189218749999
n110-1	n113	0	0	48	9.6073621875
n111-1	n114	0	0	53	9.679477499999999
n112-1	n115	0	0	56	9.751592812499998
n114-1	n117	0	0	60	9.910513593749997
n113-1	n116	0	0	62	9.831720937499998
n115-1	n118	0	0	65	9.985299843749996
n116-1	n119	0	0	68	10.069434374999997
n118-1	n121	0	0	72	10.209658593749998
n117-1	n120	0	0	74	10.129530468749998
n119-1	n122	0	0	77	10.284444843749998
n120-1	n123	0	0	80	10.36991484375
n122-1	n125	0	0	84	10.522158281250002
n121-1	n124	0	0	86	10.43134640625
