xml_id	midi_id	track	channel	pitch	onset
n16-1	n0	0	0	36	1.50640875
n17-1	n1	0	0	48	1.5104151562500001
n1-1	n2	0	0	48	1.83894046875
n2-1	n3	0	0	55	1.9230749999999999
n3-1	n4	0	0	60	2.013886875
n5-1	n6	0	0	60	2.21554265625
n4-1	n5	0	0	64	2.1127115624999995
n6-1	n7	0	0	67	2.2929998437499997
n7-1	n8	0	0	72	2.3744634374999998
n9-1	n10	0	0	72	2.549409843749999
n8-1	n9	0	0	76	2.4572624999999992
n10-1	n11	0	0	79	2.630873437499999
n11-1	n12	0	0	84	2.6923049999999993
n13-1	n14	0	0	84	2.857903124999999
n12-1	n13	0	0	88	2.7657557812499993
n14-1	n15	0	0	91	2.939366718749999
n15-1	n16	0	0	96	3.002133749999999
n21-1	n20	0	0	84	3.357368437499999
n20-1	n19	0	0	91	3.266556562499999
n19-1	n18	0	0	96	3.1717382812499992
n18-1	n17	0	0	100	3.082261874999999
n25-1	n24	0	0	72	3.7045903124999997
n24-1	n23	0	0	79	3.6311395312499997
n23-1	n22	0	0	84	3.5283084374999993
n22-1	n21	0	0	88	3.446844843749999
n29-1	n28	0	0	60	4.0678378125
n28-1	n27	0	0	67	3.986374218749999
n27-1	n26	0	0	72	3.8822076562499994
n26-1	n25	0	0	76	3.7994085937499995
n33-1	n32	0	0	48	4.45111734375
n32-1	n31	0	0	55	4.3616409375
n31-1	n30	0	0	60	4.2334359374999995
n30-1	n29	0	0	64	4.15731421875
n51-1	n33	0	0	29	4.56596765625
n52-1	n34	0	0	41	4.56596765625
n36-1	n35	0	0	48	4.6915017187500005
n37-1	n36	0	0	57	4.780978125000001
n38-1	n37	0	0	60	4.863777187500002
n40-1	n39	0	0	60	5.049407343750002
n39-1	n38	0	0	65	4.946576250000002
n41-1	n40	0	0	69	5.132206406250002
n42-1	n41	0	0	72	5.205657187500002
n44-1	n43	0	0	72	5.395293750000001
n43-1	n42	0	0	77	5.287120781250001
n45-1	n44	0	0	81	5.478092812500002
n46-1	n45	0	0	84	5.5475371875000015
n48-1	n47	0	0	84	5.709128906250001
n47-1	n46	0	0	89	5.626329843750002
n49-1	n48	0	0	93	5.795934375000001
n50-1	n49	0	0	96	5.873391562500001
n69-1	n52	0	0	30	5.9962546875000005
n70-1	n51	0	0	42	5.989577343750001
n56-1	n55	0	0	84	6.2513292187500005
n55-1	n54	0	0	93	6.165859218750001
n54-1	n53	0	0	96	6.064363593750001
n53-1	n50	0	0	100	5.965538906250001
n60-1	n59	0	0	72	6.609234843750002
n59-1	n58	0	0	81	6.534448593750001
n58-1	n57	0	0	84	6.442301250000001
n57-1	n56	0	0	88	6.3541603125
n64-1	n63	0	0	60	6.988507968750002
n63-1	n62	0	0	69	6.900367031250003
n62-1	n61	0	0	72	6.802877812500003
n61-1	n60	0	0	76	6.713401406250003
n68-1	n67	0	0	48	7.441231875000003
n67-1	n66	0	0	57	7.342407187500003
n66-1	n65	0	0	60	7.218208593750003
n65-1	n64	0	0	62	7.112706562500002
n86-1	n68	0	0	31	7.554746718750004
n87-1	n69	0	0	43	7.554746718750004
n71-1	n70	0	0	47	7.672267968750004
n72-1	n71	0	0	55	7.771092656250004
n73-1	n72	0	0	59	7.847214375000005
n75-1	n74	0	0	59	8.048870156250006
n74-1	n73	0	0	62	7.947374531250006
n76-1	n75	0	0	67	8.142352968750005
n77-1	n76	0	0	71	8.214468281250005
n88-1	n79	0	0	30	8.325312187500003
n89-1	n77	0	0	42	8.319970312500004
n79-1	n80	0	0	71	8.422801406250004
n78-1	n78	0	0	74	8.321305781250004
n80-1	n81	0	0	79	8.508271406250005
n81-1	n82	0	0	83	8.580386718750004
n90-1	n83	0	0	28	8.649831093750004
n91-1	n84	0	0	40	8.660514843750004
n83-1	n86	0	0	83	8.760675000000006
n82-1	n85	0	0	86	8.671198593750004
n84-1	n87	0	0	91	8.856828750000005
n85-1	n88	0	0	93	8.934285937500006
n108-1	n90	0	0	26	9.041123437500005
n109-1	n91	0	0	38	9.045129843750004
n95-1	n94	0	0	84	9.320236406250007
n94-1	n93	0	0	90	9.254798437500007
n93-1	n92	0	0	93	9.139948125000007
n92-1	n89	0	0	98	9.038452500000005
n99-1	n98	0	0	72	9.674135625000007
n98-1	n97	0	0	78	9.604691250000007
n97-1	n96	0	0	81	9.512543906250007
n96-1	n95	0	0	86	9.431080312500008
n103-1	n102	0	0	60	10.049402343750009
n102-1	n101	0	0	66	9.97461609375001
n101-1	n100	0	0	69	9.877126875000009
n100-1	n99	0	0	74	9.778302187500008
n107-1	n106	0	0	48	10.45271390625001
n106-1	n105	0	0	54	10.36056656250001
n105-1	n104	0	0	57	10.24571625000001
n104-1	n103	0	0	62	10.15623984375001
n125-1	n108	0	0	31	10.57157062500001
n126-1	n107	0	0	43	10.567564218750011
n110-1	n109	0	0	48	10.702446562500011
n111-1	n110	0	0	53	10.793258437500011
n112-1	n111	0	0	56	10.88674125000001
n114-1	n113	0	0	60	11.084390625000013
n113-1	n112	0	0	62	10.973546718750013
n115-1	n114	0	0	65	11.168525156250013
n116-1	n115	0	0	68	11.251324218750014
n118-1	n117	0	0	72	11.451644531250015
n117-1	n116	0	0	74	11.350148906250014
n119-1	n119	0	0	77	11.537114531250014
n120-1	n120	0	0	80	11.623920000000012
n122-1	n122	0	0	84	11.806879218750016
n121-1	n121	0	0	86	11.706719062500014
n123-1	n123	0	0	89	11.896355625000016
n124-1	n124	0	0	92	11.976483750000016
n130-1	n128	0	0	83	12.34907953125002
n129-1	n127	0	0	89	12.26494500000002
n128-1	n126	0	0	91	12.168791250000018
n127-1	n125	0	0	98	12.071302031250017
n134-1	n132	0	0	71	12.70164328125002
n133-1	n131	0	0	77	12.62418609375002
n132-1	n130	0	0	79	12.525361406250019
n131-1	n129	0	0	86	12.43054312500002
n138-1	n136	0	0	59	13.09427109375002
n137-1	n135	0	0	65	13.00078828125002
n136-1	n134	0	0	67	12.89929265625002
n135-1	n133	0	0	74	12.79245515625002
n142-1	n141	0	0	47	13.657838906250019
n141-1	n139	0	0	53	13.47354421875002
insertion	n140	0	0	53	13.544324062500019
n140-1	n138	0	0	55	13.45885406250002
n139-1	n137	0	0	63	13.237166250000021
n160-1	n142	0	0	36	13.776695625000018
n145-1	n143	0	0	48	13.92760359375002
n161-1	deletion
n146-1	n144	0	0	55	14.01440906250002
n147-1	n145	0	0	60	14.083853437500021
n149-1	n147	0	0	60	14.289515625000021
n148-1	n146	0	0	64	14.185349062500022
n150-1	n148	0	0	67	14.392346718750021
n151-1	n149	0	0	72	14.46446203125002
n153-1	n151	0	0	72	14.659440468750022
n152-1	n150	0	0	76	14.560615781250021
n154-1	n152	0	0	79	14.748916875000022
n155-1	n153	0	0	84	14.810348437500023
n157-1	n155	0	0	84	14.993307656250025
n156-1	n154	0	0	88	14.906502187500024
n158-1	n156	0	0	91	15.082784062500025
n159-1	n157	0	0	96	15.153563906250024
n165-1	n161	0	0	84	15.532837031250022
n164-1	n160	0	0	91	15.455379843750023
n163-1	n159	0	0	96	15.351213281250024
n162-1	n158	0	0	100	15.248382187500024
