xml_id	midi_id	track	channel	pitch	onset
n11-1	n8	1	0	62	1.45625
n13-1	n10	1	0	62	1.6250000000000002
n12-1	n9	1	0	63	1.5364583333333335
n10-1	n7	1	0	65	1.3739583333333334
n9-1	n6	1	0	67	1.2833333333333334
n8-1	n5	1	0	68	1.1739583333333334
n1-1	n0	1	0	71	0.9604166666666667
n2-1	n2	1	0	74	0.9656250000000001
n3-1	n3	1	0	77	0.9656250000000001
n4-1	n4	1	0	79	0.9697916666666667
n5-1	n1	1	0	83	0.9604166666666667
n15-1	n12	1	0	55	1.810416666666667
n17-1	n14	1	0	55	1.9677083333333336
n16-1	n13	1	0	56	1.885416666666667
n14-1	n11	1	0	59	1.7114583333333335
n19-1	n16	1	0	50	2.142708333333334
n21-1	n18	1	0	50	2.3010416666666678
n20-1	n17	1	0	51	2.2197916666666675
n18-1	n15	1	0	53	2.047916666666667
n31-1	n20	1	0	43	2.489583333333335
n33-1	n22	1	0	43	2.654166666666668
n32-1	n21	1	0	44	2.5791666666666684
n30-1	n19	1	0	47	2.391666666666668
n35-1	n24	1	0	38	2.8250000000000015
n37-1	n26	1	0	38	3.000000000000001
n36-1	n25	1	0	39	2.9104166666666678
n34-1	n23	1	0	41	2.735416666666668
n39-1	n28	1	0	31	3.1729166666666675
n41-1	n30	1	0	31	3.3635416666666678
n38-1	n27	1	0	36	3.087500000000001
n40-1	n29	1	0	36	3.2541666666666678
n43-1	n36	1	0	31	3.5750000000000015
n45-1	n40	1	0	31	3.839583333333335
n42-1	n35	1	0	36	3.464583333333335
n44-1	n37	1	0	36	3.716666666666668
n28-1	n39	1	0	67	3.833333333333335
n24-1	n31	1	0	68	3.447916666666668
n25-1	n33	1	0	75	3.4520833333333347
n26-1	n32	1	0	77	3.447916666666668
n29-1	n38	1	0	79	3.826041666666668
n27-1	n34	1	0	80	3.4520833333333347
n51-1	n41	1	0	35	3.9635416666666683
n53-1	n48	1	0	67	4.390625000000001
n52-1	n47	1	0	68	4.291666666666668
n46-1	n44	1	0	74	3.9916666666666685
n47-1	n42	1	0	77	3.986458333333335
n48-1	n43	1	0	79	3.986458333333335
n49-1	n45	1	0	86	3.9916666666666685
n55-1	n50	1	0	62	4.576041666666668
n57-1	n52	1	0	62	4.7302083333333345
n56-1	n51	1	0	63	4.643750000000001
n54-1	n49	1	0	65	4.4802083333333345
n59-1	n54	1	0	55	4.9125
n61-1	n56	1	0	55	5.069791666666666
n60-1	n55	1	0	56	4.989583333333333
n58-1	n53	1	0	59	4.817708333333333
n63-1	n58	1	0	50	5.240624999999999
n65-1	n60	1	0	50	5.402083333333332
n64-1	n59	1	0	51	5.324999999999998
n62-1	n57	1	0	53	5.158333333333332
n75-1	n62	1	0	43	5.582291666666664
n77-1	n64	1	0	43	5.753124999999996
n76-1	n63	1	0	44	5.6718749999999964
n74-1	n61	1	0	47	5.4916666666666645
n79-1	n66	1	0	38	5.9166666666666625
n81-1	n68	1	0	38	6.097916666666662
n80-1	n67	1	0	39	6.006249999999995
n78-1	n65	1	0	41	5.838541666666663
n83-1	n70	1	0	31	6.265624999999994
n85-1	n72	1	0	31	6.445833333333327
n82-1	n69	1	0	36	6.181249999999994
n84-1	n71	1	0	36	6.353124999999993
n87-1	n79	1	0	31	6.656249999999993
n89-1	n82	1	0	31	6.92291666666666
n86-1	n73	1	0	36	6.55416666666666
n88-1	n80	1	0	36	6.80104166666666
