xml_id	midi_id	track	channel	pitch	onset
n11-1	n8	0	0	62	2.0539509375000002
n13-1	n10	0	0	62	2.21554265625
n12-1	n9	0	0	63	2.142091875
n10-1	n7	0	0	65	1.9671454687500003
n9-1	n6	0	0	67	1.8843464062500002
n8-1	n5	0	0	68	1.78418625
n1-1	n1	0	0	71	1.5104151562500001
n2-1	n2	0	0	74	1.5144215625000002
n3-1	n3	0	0	77	1.5144215625000002
n4-1	n4	0	0	79	1.5157570312500002
n5-1	n0	0	0	83	1.50774421875
n15-1	n12	0	0	55	2.366450625
n17-1	n14	0	0	55	2.5400615625000005
n16-1	n13	0	0	56	2.441236875
n14-1	n11	0	0	59	2.302348125
n19-1	n16	0	0	50	2.676279375
n21-1	n18	0	0	50	2.836535625
n20-1	n17	0	0	51	2.7483946875
n18-1	n15	0	0	53	2.6081704687500005
n31-1	n20	0	0	43	2.986108125
n33-1	n22	0	0	43	3.16105453125
n32-1	n21	0	0	44	3.06222984375
n30-1	n19	0	0	47	2.9193346874999997
n35-1	n24	0	0	38	3.2986078125
n37-1	n26	0	0	38	3.49225078125
n36-1	n25	0	0	39	3.37740046875
n34-1	n23	0	0	41	3.23717625
n39-1	n28	0	0	31	3.7166095312499996
n41-1	n30	0	0	31	3.9342909374999993
n38-1	n27	0	0	36	3.60175921875
n40-1	n29	0	0	36	3.8100923437499996
n43-1	n36	0	0	31	4.095882656249999
n45-1	n38	0	0	31	4.249461562499999
n42-1	n35	0	0	36	3.982367812499999
n44-1	n37	0	0	36	4.146630468749999
n28-1	n40	0	0	67	4.321576874999999
n24-1	n31	0	0	68	3.9650067187499993
n25-1	n32	0	0	75	3.966342187499999
n26-1	n34	0	0	77	3.975690468749999
n29-1	n39	0	0	79	4.300209374999999
n27-1	n33	0	0	80	3.967677656249999
n51-1	n41	0	0	35	4.453788281249999
n53-1	n47	0	0	67	4.901170312499999
n52-1	n46	0	0	68	4.827719531249999
n46-1	n43	0	0	74	4.471149374999998
n47-1	n45	0	0	77	4.481833124999998
n48-1	n42	0	0	79	4.469813906249998
n49-1	n44	0	0	86	4.480497656249998
n55-1	n49	0	0	62	5.037388124999999
n57-1	n51	0	0	62	5.198979843749997
n56-1	n50	0	0	63	5.113509843749998
n54-1	n48	0	0	65	4.979962968749999
n59-1	n53	0	0	55	5.347216874999997
n61-1	n55	0	0	55	5.520827812499998
n60-1	n54	0	0	56	5.424674062499998
n58-1	n52	0	0	59	5.273766093749997
n63-1	n57	0	0	50	5.659716562499999
n65-1	n59	0	0	50	5.825314687499999
n64-1	n58	0	0	51	5.731831874999999
n62-1	n56	0	0	53	5.590272187499998
n75-1	n61	0	0	43	5.960197031250001
n77-1	n63	0	0	43	6.139149843750001
n76-1	n62	0	0	44	6.041660625000001
n74-1	n60	0	0	47	5.902771874999999
n79-1	n65	0	0	38	6.27136125
n81-1	n67	0	0	38	6.499726406250001
n80-1	n66	0	0	39	6.36083765625
n78-1	n64	0	0	41	6.221948906250001
n83-1	n69	0	0	31	6.654640781250001
n85-1	n71	0	0	31	6.842941875000001
n82-1	n68	0	0	36	6.563828906250001
n84-1	n70	0	0	36	6.734768906250001
n87-1	n77	0	0	31	7.013881875
n89-1	n79	0	0	31	7.18615734375
n86-1	n72	0	0	36	6.900367031250001
n88-1	n78	0	0	36	7.07130703125
n72-1	n81	0	0	67	7.242247031249999
n68-1	n73	0	0	68	6.923070000000001
n69-1	n74	0	0	75	6.928411875000001
n70-1	n75	0	0	77	6.931082812500001
n73-1	n80	0	0	79	7.234234218749999
n71-1	n76	0	0	80	6.931082812500001
n108-1	n84	0	0	35	7.433219062499999
n90-1	n87	0	0	77	7.466605781249999
n91-1	n85	0	0	79	7.457257499999999
n110-1	n91	0	0	79	7.89529125
n109-1	n89	0	0	80	7.76842171875
n92-1	n88	0	0	86	7.467941249999999
n93-1	n86	0	0	89	7.457257499999999
n95-1	n92	0	0	91	7.9073104687499995
n94-1	n90	0	0	92	7.77109265625
n112-1	n95	0	0	74	8.06623125
n114-1	n99	0	0	74	8.245184062499998
n113-1	n97	0	0	75	8.151701249999999
n111-1	n93	0	0	77	7.999457812499999
n97-1	n96	0	0	86	8.0902696875
n99-1	n100	0	0	86	8.249190468749998
n98-1	n98	0	0	87	8.178410624999998
n96-1	n94	0	0	89	8.0101415625
n116-1	n103	0	0	67	8.3894146875
n118-1	n107	0	0	67	8.549670937499997
n117-1	n105	0	0	68	8.4642009375
n115-1	n101	0	0	71	8.322641249999998
n101-1	n104	0	0	79	8.41745953125
n103-1	n108	0	0	79	8.567032031249997
n102-1	deletion
n100-1	n102	0	0	83	8.331989531249999
n120-1	n111	0	0	62	8.699243437499996
n122-1	n115	0	0	62	8.850151406249994
n121-1	n113	0	0	63	8.772694218749994
n119-1	n109	0	0	65	8.627128124999997
n105-1	n112	0	0	74	8.733965624999994
n107-1	n116	0	0	74	8.886209062499994
n106-1	n114	0	0	75	8.814093749999994
n104-1	n110	0	0	77	8.660514843749995
n140-1	n120	0	0	55	9.005065781249991
n142-1	n124	0	0	55	9.173334843749993
n141-1	n122	0	0	56	9.07584562499999
n139-1	n118	0	0	59	8.926273124999993
n124-1	n121	0	0	67	9.03578156249999
n126-1	n125	0	0	67	9.186689531249993
n125-1	n123	0	0	68	9.115909687499991
n123-1	n119	0	0	71	8.950311562499992
n144-1	n128	0	0	50	9.308217187499993
n146-1	n132	0	0	50	9.47247984374999
n145-1	n130	0	0	51	9.385674374999992
n143-1	n126	0	0	53	9.238772812499993
n128-1	n129	0	0	62	9.340268437499992
n130-1	n133	0	0	62	9.501860156249991
n129-1	n131	0	0	63	9.42974484374999
n127-1	n127	0	0	65	9.262811249999993
n148-1	n136	0	0	43	9.632736093749994
n150-1	n140	0	0	43	9.790321406249996
n149-1	n138	0	0	44	9.702180468749996
n147-1	n134	0	0	47	9.549937031249993
n132-1	n137	0	0	55	9.658109999999995
n134-1	n141	0	0	55	9.813024374999996
n133-1	n139	0	0	56	9.743579999999996
n131-1	n135	0	0	59	9.571304531249993
n152-1	n144	0	0	38	9.926539218749992
n154-1	n148	0	0	38	10.105492031249995
n153-1	n146	0	0	39	10.044060468749993
n151-1	n142	0	0	41	9.854423906249995
n136-1	n145	0	0	50	9.957254999999993
n138-1	n149	0	0	50	10.112169374999995
n137-1	n147	0	0	51	10.048066874999993
n135-1	n143	0	0	53	9.881133281249994
n172-1	n152	0	0	35	10.260406406249993
n171-1	n150	0	0	36	10.192297499999995
n174-1	n156	0	0	41	10.446036562499996
n173-1	n155	0	0	43	10.383269531249995
n156-1	n153	0	0	47	10.267083749999994
n155-1	n151	0	0	48	10.192297499999995
n158-1	n157	0	0	53	10.488771562499997
n157-1	n154	0	0	55	10.376592187499995
n176-1	n161	0	0	38	10.578247968749995
n178-1	n165	0	0	38	10.763878124999998
n175-1	n158	0	0	39	10.502126249999996
n177-1	n163	0	0	39	10.699775624999997
n160-1	n162	0	0	50	10.615641093749996
n162-1	n166	0	0	50	10.786581093749998
n159-1	n159	0	0	51	10.530171093749995
n161-1	n164	0	0	51	10.706452968749998
n180-1	n169	0	0	35	10.892083125
n179-1	n167	0	0	36	10.84534171875
n182-1	n173	0	0	44	11.079048750000002
n181-1	n172	0	0	46	11.036313750000001
n164-1	n170	0	0	47	10.90810875
n163-1	n168	0	0	48	10.8573609375
n166-1	n174	0	0	56	11.09908078125
n165-1	n171	0	0	58	11.02963640625
n184-1	n177	0	0	41	11.212595625
n186-1	n181	0	0	41	11.399561250000001
n183-1	n175	0	0	43	11.141815781250001
n185-1	n179	0	0	43	11.350148906250002
n168-1	n178	0	0	53	11.243311406250001
n170-1	n182	0	0	53	11.422264218750001
n167-1	n176	0	0	55	11.163183281250001
n169-1	n180	0	0	55	11.362168125000002
n204-1	n185	0	0	38	11.519753437500002
n203-1	n183	0	0	39	11.464999218750002
n188-1	n186	0	0	50	11.550469218750003
n206-1	n189	0	0	50	11.794860000000002
n187-1	n184	0	0	51	11.490373125000003
n205-1	n187	0	0	51	11.726751093750002
n190-1	n190	0	0	62	11.824240312500002
n189-1	n188	0	0	63	11.726751093750002
n208-1	n193	0	0	47	11.928406875000002
n210-1	n197	0	0	47	12.079314843750003
n207-1	n191	0	0	48	11.880330000000002
n209-1	n195	0	0	48	12.037915312500004
n192-1	n194	0	0	59	11.987167500000004
n194-1	n198	0	0	59	12.130062656250002
n191-1	n192	0	0	60	11.900362031250001
n193-1	n196	0	0	60	12.065960156250004
n212-1	n201	0	0	43	12.235564687500004
n214-1	n205	0	0	43	12.40249828125
n211-1	n199	0	0	44	12.162113906250003
n213-1	n203	0	0	44	12.341066718750001
n196-1	n202	0	0	55	12.274293281250001
n198-1	n206	0	0	55	12.441226875000002
n195-1	n200	0	0	56	12.199507031250002
n197-1	n204	0	0	56	12.359763281250002
n216-1	n210	0	0	39	12.572102812500002
n218-1	n214	0	0	39	12.761739375000001
n215-1	n207	0	0	41	12.499987500000003
n217-1	n212	0	0	41	12.66692109375
n200-1	n211	0	0	51	12.613502343750001
n202-1	n215	0	0	51	12.795126093750001
n199-1	n209	0	0	53	12.529367812500002
n201-1	n213	0	0	53	12.717668906250001
n223-1	n216	0	0	36	12.943363125000001
n224-1	n218	0	0	43	13.100948437500001
n219-1	n217	0	0	48	12.94736953125
n225-1	n219	0	0	48	13.217134218750001
n226-1	n220	0	0	50	13.3092815625
n227-1	n221	0	0	51	13.4054353125
n228-1	n222	0	0	55	13.490905312499999
n229-1	n223	0	0	60	13.5683625
n230-1	n224	0	0	62	13.663180781249999
n232-1	n226	0	0	62	13.814088749999998
n234-1	n228	0	0	55	14.014409062499999
n233-1	n227	0	0	60	13.926268124999998
