onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0286459,2.4036458,83,102,1,0,n0,-10.0,-10.0
1.0325521,2.3997395,71,93,1,0,n1,-10.0,-10.0
1.0351562,2.4283855,79,84,1,0,n2,1.035156,0.0
1.0390625,2.423177,74,86,1,0,n3,1.035156,0.0
1.0638021,2.40625,77,65,1,0,n4,1.035156,0.0
1.3971354,0.18489583,68,74,1,0,n5,1.035156,0.0
1.5208334,0.118489586,67,75,1,0,n6,1.035156,0.0
1.6380209,0.30729166,65,82,1,0,n7,1.035156,0.0
1.7695312,0.17578125,62,61,1,0,n8,1.638021,1.0
1.8346354,0.110677086,63,66,1,0,n9,1.638021,1.0
1.9414062,0.06640625,62,59,1,0,n10,1.638021,1.0
2.03125,0.2513021,59,83,1,0,n11,2.03125,2.0
2.1354167,0.14713542,55,60,1,0,n12,2.03125,2.0
2.204427,0.078125,56,66,1,0,n13,2.03125,2.0
2.298177,0.078125,55,61,1,0,n14,2.03125,2.0
2.404948,0.28385416,53,80,1,0,n15,2.404948,3.0
2.5052083,0.18359375,50,67,1,0,n16,2.404948,3.0
2.5677083,0.12109375,51,68,1,0,n17,2.404948,3.0
2.6796875,0.059895832,50,67,1,0,n18,2.404948,3.0
2.766927,0.29947916,47,83,1,0,n19,2.766927,4.0
2.8710938,0.1953125,43,63,1,0,n20,2.766927,4.0
2.9466145,0.119791664,44,75,1,0,n21,2.766927,4.0
3.0494792,0.071614586,43,74,1,0,n22,2.766927,4.0
3.1289062,0.3033854,41,82,1,0,n23,3.128906,5.0
3.2291667,0.203125,38,71,1,0,n24,3.128906,5.0
3.3059895,0.12630208,39,66,1,0,n25,3.128906,5.0
3.3945312,0.092447914,38,70,1,0,n26,3.128906,5.0
3.4817708,0.328125,36,86,1,0,n27,3.128906,5.0
3.5677083,0.2421875,31,77,1,0,n28,3.481771,6.0
3.6484375,0.16145833,36,73,1,0,n29,3.481771,6.0
3.748698,0.08203125,31,57,1,0,n30,3.481771,6.0
3.7942708,0.063802086,68,98,1,0,n31,3.481771,6.0
3.7942708,0.48828125,75,88,1,0,n32,3.481771,6.0
3.795573,0.053385418,77,62,1,0,n33,3.795573,7.0
3.795573,0.48697916,80,99,1,0,n34,3.795573,7.0
3.8007812,0.48177084,36,86,1,0,n35,3.795573,7.0
3.8958333,0.38671875,31,66,1,0,n36,3.795573,7.0
3.9635417,0.3190104,36,63,1,0,n37,3.795573,7.0
4.0742188,0.20833333,79,92,1,0,n38,3.795573,7.0
4.080729,0.20572917,31,66,1,0,n39,3.795573,7.0
4.0833335,0.19921875,67,79,1,0,n40,3.795573,7.0
4.268229,2.3177083,86,103,1,0,n41,3.795573,7.0
4.2747397,0.036458332,35,90,1,0,n42,3.795573,7.0
4.2760415,2.3098958,77,90,1,0,n43,3.795573,7.0
4.278646,2.3072917,74,101,1,0,n44,4.276042,8.0
4.278646,0.00390625,80,43,1,0,n45,4.276042,8.0
4.2825522,2.3033855,79,69,1,0,n46,4.276042,8.0
4.2981772,0.4309896,82,68,1,0,n47,4.276042,8.0
4.606771,0.122395836,68,70,1,0,n48,4.276042,8.0
4.7070312,0.09375,67,80,1,0,n49,4.276042,8.0
4.796875,0.2890625,65,84,1,0,n50,4.796875,9.0
4.908854,0.17708333,62,64,1,0,n51,4.796875,9.0
4.981771,0.104166664,63,65,1,0,n52,4.796875,9.0
5.0690103,0.080729164,62,58,1,0,n53,4.796875,9.0
5.1653647,0.30208334,59,86,1,0,n54,4.796875,9.0
5.2747397,0.19270833,55,68,1,0,n55,5.165365,10.0
5.3541665,0.11328125,56,67,1,0,n56,5.165365,10.0
5.4492188,0.067708336,55,61,1,0,n57,5.165365,10.0
5.5325522,0.30989584,53,84,1,0,n58,5.532552,11.0
5.6367188,0.20572917,50,70,1,0,n59,5.532552,11.0
5.6914062,0.15104167,51,73,1,0,n60,5.532552,11.0
5.8059897,0.057291668,50,60,1,0,n61,5.532552,11.0
5.8867188,0.33333334,47,82,1,0,n62,5.532552,11.0
5.9947915,0.22526042,43,64,1,0,n63,5.886719,12.0
6.065104,0.15494792,44,70,1,0,n64,5.886719,12.0
6.1653647,0.087239586,43,70,1,0,n65,5.886719,12.0
6.247396,0.33854166,41,92,1,0,n66,6.247396,13.0
6.356771,0.22916667,38,74,1,0,n67,6.247396,13.0
6.440104,0.14583333,39,75,1,0,n68,6.247396,13.0
6.53125,0.087239586,38,75,1,0,n69,6.247396,13.0
