onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.040625,0.03125,45,53,1,0,n0,1.040625,0.0
1.040625,0.048958335,60,63,1,0,n1,1.040625,0.0
1.040625,0.053125,69,61,1,0,n2,1.040625,0.0
1.1364583,0.08229167,70,68,1,0,n3,1.040625,0.0
1.240625,0.08645833,71,68,1,0,n4,1.040625,0.0
1.3322917,0.08020833,72,68,1,0,n5,1.040625,0.0
1.4229167,0.047916666,64,67,1,0,n6,1.040625,0.0
1.4270834,0.034375,57,57,1,0,n7,1.040625,0.0
1.4322916,0.029166667,52,50,1,0,n8,1.040625,0.0
1.4322916,0.045833334,69,56,1,0,n9,1.040625,0.0
1.4322916,0.08020833,73,70,1,0,n10,1.040625,0.0
1.453125,0.053125,60,21,1,0,n11,1.432292,1.0
1.5239583,0.07083333,74,63,1,0,n12,1.432292,1.0
1.6260417,0.060416665,75,62,1,0,n13,1.432292,1.0
1.7208333,0.0875,76,66,1,0,n14,1.432292,1.0
1.803125,0.036458332,45,56,1,0,n15,1.432292,1.0
1.8083333,0.06875,77,82,1,0,n16,1.432292,1.0
1.8197917,0.057291668,69,65,1,0,n17,1.8140625,2.0
1.8447917,0.032291666,74,42,1,0,n18,1.8140625,2.0
1.9052083,0.06666667,78,75,1,0,n19,1.8140625,2.0
2.003125,0.071875,79,67,1,0,n20,1.8140625,2.0
2.0916667,0.06875,80,68,1,0,n21,1.8140625,2.0
2.1833334,0.039583333,57,70,1,0,n22,1.8140625,2.0
2.1833334,0.028125,62,64,1,0,n23,1.8140625,2.0
2.1885417,0.040625,53,66,1,0,n24,1.8140625,2.0
2.1885417,0.061458334,81,68,1,0,n25,1.8140625,2.0
2.2,0.08229167,74,70,1,0,n26,2.188542,3.0
2.2072916,0.021875,77,23,1,0,n27,2.188542,3.0
2.2822917,0.07395833,82,73,1,0,n28,2.188542,3.0
2.3729167,0.08958333,83,72,1,0,n29,2.188542,3.0
2.4625,0.094791666,84,69,1,0,n30,2.188542,3.0
2.5614583,0.41979167,85,75,1,0,n31,2.188542,3.0
2.5666666,0.0375,33,65,1,0,n32,2.188542,3.0
2.56875,0.4125,76,71,1,0,n33,2.56875,4.0
2.578125,0.041666668,45,53,1,0,n34,2.56875,4.0
2.5822916,0.39895833,81,42,1,0,n35,2.56875,4.0
2.6604166,0.32083333,86,77,1,0,n36,2.56875,4.0
2.7572916,0.22395833,87,77,1,0,n37,2.56875,4.0
2.853125,0.128125,88,78,1,0,n38,2.56875,4.0
2.94375,0.110416666,89,87,1,0,n39,2.56875,4.0
2.95,0.03125,57,75,1,0,n40,2.56875,4.0
2.9552083,0.03125,52,70,1,0,n41,2.955208,5.0
2.9552083,0.03125,60,77,1,0,n42,2.955208,5.0
2.96875,0.032291666,81,60,1,0,n43,2.955208,5.0
3.0489583,0.09583333,88,80,1,0,n44,2.955208,5.0
3.140625,0.040625,87,75,1,0,n45,2.955208,5.0
3.240625,0.1,86,75,1,0,n46,2.955208,5.0
3.3364584,0.033333335,60,68,1,0,n47,2.955208,5.0
3.3364584,0.061458334,85,78,1,0,n48,2.955208,5.0
3.340625,0.026041666,57,62,1,0,n49,3.340625,6.0
3.340625,0.026041666,64,73,1,0,n50,3.340625,6.0
3.3447917,0.036458332,76,73,1,0,n51,3.340625,6.0
