xml_id	midi_id	track	channel	pitch	onset
n25-1	n0	0	0	45	0.5096148750000001
n27-1	n7	0	0	52	0.8942298750000004
n28-1	n8	0	0	57	0.8963666250000004
n17-1	n1	0	0	60	0.5288456250000001
n29-1	n6	0	0	60	0.8888880000000003
n19-1	n10	0	0	64	0.9572640000000004
n18-1	deletion
n1-1	n2	0	0	69	0.5341875000000001
n20-1	deletion
n2-1	n3	0	0	70	0.6282045000000003
n3-1	n4	0	0	71	0.7403838750000002
n4-1	n5	0	0	72	0.8376060000000003
n5-1	n9	0	0	73	0.9284178750000004
n6-1	n11	0	0	74	1.0224348750000005
n7-1	n12	0	0	75	1.1196570000000006
n8-1	n13	0	0	76	1.2329047500000005
n31-1	n14	0	0	45	1.2938021250000007
n21-1	deletion
n22-1	n16	0	0	74	1.3311952500000008
n9-1	n15	0	0	77	1.3044858750000008
n10-1	n17	0	0	78	1.410255000000001
n11-1	n18	0	0	79	1.4989301250000011
n12-1	n19	0	0	80	1.5950838750000012
n33-1	n22	0	0	53	1.6741436250000012
n34-1	n20	0	0	57	1.6666650000000012
n35-1	n21	0	0	62	1.6666650000000012
n23-1	n25	0	0	74	1.7104683750000014
n24-1	n23	0	0	77	1.6784171250000013
n13-1	n24	0	0	81	1.6794855000000013
n14-1	n26	0	0	82	1.7724341250000013
n15-1	n27	0	0	83	1.8771348750000014
n16-1	n28	0	0	84	1.9754253750000015
n61-1	n29	0	0	33	2.0651688750000017
n62-1	n32	0	0	45	2.095083375000002
n53-1	n31	0	0	76	2.090809875000002
n54-1	n33	0	0	81	2.118587625000002
n37-1	n30	0	0	85	2.076921000000002
n38-1	n34	0	0	86	2.1720063750000027
n39-1	n35	0	0	87	2.2628182500000027
n40-1	n36	0	0	88	2.360040375000003
n64-1	n37	0	0	52	2.4508522500000036
n65-1	n39	0	0	57	2.4540573750000036
n66-1	n38	0	0	60	2.4529890000000036
n55-1	n42	0	0	81	2.473288125000004
n56-1	n41	0	0	84	2.4647411250000038
n44-1	n45	0	0	86	2.7190143750000044
n43-1	n44	0	0	87	2.6249973750000044
n42-1	n43	0	0	88	2.558758125000004
n41-1	n40	0	0	89	2.4540573750000036
n68-1	n46	0	0	57	2.8108946250000044
n69-1	n48	0	0	60	2.8279886250000046
