onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491433,0.051282,60,54,0,0,n0,-10.0,-10.0
2.054485,0.16452976,69,56,0,0,n1,-10.0,-10.0
2.0641005,0.039529875,45,42,0,0,n2,2.059293,0.0
2.0779893,0.1410255,64,17,0,0,n3,2.059293,0.0
2.196579,0.077991374,70,50,0,0,n4,2.059293,0.0
2.2852542,0.07051275,71,58,0,0,n5,2.059293,0.0
2.3579037,0.05769225,72,51,0,0,n6,2.059293,0.0
2.4508522,0.136752,60,57,0,0,n7,2.059293,0.0
2.4583309,0.12927337,52,51,0,0,n8,2.059293,0.0
2.4604676,0.12713662,64,55,0,0,n9,2.059293,0.0
2.4636726,0.1239315,73,62,0,0,n10,2.4620705,1.0
2.4711514,0.11645287,57,44,0,0,n11,2.4620705,1.0
2.4711514,0.11645287,69,30,0,0,n12,2.4620705,1.0
2.547006,0.07371788,74,66,0,0,n13,2.4620705,1.0
2.6634588,0.080128126,75,54,0,0,n14,2.4620705,1.0
2.7243562,0.095085375,76,63,0,0,n15,2.4620705,1.0
2.829057,0.111111,77,61,0,0,n16,2.4620705,1.0
2.8354673,0.10470075,45,50,0,0,n17,2.4620705,1.0
2.8429458,0.09722213,69,51,0,0,n18,2.8392065,2.0
2.851493,0.08867513,74,42,0,0,n19,2.8392065,2.0
2.9433732,0.063034125,78,62,0,0,n20,2.8392065,2.0
3.0384586,0.063034125,79,59,0,0,n21,2.8392065,2.0
3.1143131,0.077991374,80,59,0,0,n22,2.8392065,2.0
3.2040567,0.12606825,77,62,0,0,n23,2.8392065,2.0
3.2093985,0.12072638,81,65,0,0,n24,2.8392065,2.0
3.2115352,0.118589625,53,56,0,0,n25,3.211535,3.0
3.2115352,0.118589625,62,57,0,0,n26,3.211535,3.0
3.2158089,0.11431613,57,47,0,0,n27,3.211535,3.0
3.2371762,0.09294862,74,49,0,0,n28,3.211535,3.0
3.3151677,0.0897435,82,61,0,0,n29,3.211535,3.0
3.3974326,0.08547,83,61,0,0,n30,3.211535,3.0
3.4722188,0.10042725,84,63,0,0,n31,3.211535,3.0
3.5769196,1.0673066,33,60,0,0,n32,3.211535,3.0
3.58974,1.0544862,81,51,0,0,n33,3.211535,3.0
3.5918767,1.0523493,85,64,0,0,n34,3.211535,3.0
3.5940135,1.0502126,45,55,0,0,n35,3.591877,4.0
3.5961502,1.0480759,76,54,0,0,n36,3.591877,4.0
3.6890988,0.95512724,86,69,0,0,n37,3.591877,4.0
3.7905946,0.8536316,87,63,0,0,n38,3.591877,4.0
3.8728595,0.7713668,88,61,0,0,n39,3.591877,4.0
3.9551241,0.6891019,89,68,0,0,n40,3.591877,4.0
3.965808,0.6784181,60,54,0,0,n41,3.591877,4.0
3.9732866,0.6709395,84,46,0,0,n42,3.591877,4.0
3.974355,0.66987115,52,49,0,0,n43,3.973821,5.0
3.97756,0.666666,81,43,0,0,n44,3.973821,5.0
3.9786284,0.6655976,57,49,0,0,n45,3.973821,5.0
4.0437994,0.60042673,88,63,0,0,n46,3.973821,5.0
4.177346,0.46687987,87,54,0,0,n47,3.973821,5.0
4.2446537,0.39957225,86,68,0,0,n48,3.973821,5.0
4.362175,0.282051,64,61,0,0,n49,3.973821,5.0
4.367517,0.27670914,85,64,0,0,n50,3.973821,5.0
4.3782005,0.26602536,60,47,0,0,n51,3.973821,5.0
4.3803377,0.26388863,57,41,0,0,n52,4.3792696,6.0
