onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5117506,0.05074781,69,54,0,0,n0,-10.0,-10.0
1.5157571,0.03071578,45,62,0,0,n1,1.515757,0.0
1.5197635,0.038728595,60,36,0,0,n2,1.515757,0.0
1.6159172,0.093482815,70,67,0,0,n3,1.515757,0.0
1.7200837,0.07612172,71,54,0,0,n4,1.515757,0.0
1.8068892,0.08146359,72,58,0,0,n5,1.515757,0.0
1.8883529,0.060096093,64,58,0,0,n6,1.515757,0.0
1.8963656,0.09481828,73,69,0,0,n7,1.515757,0.0
1.9083848,0.040064063,52,57,0,0,n8,1.515757,0.0
1.9097203,0.029380312,60,46,0,0,n9,1.908385,1.0
1.9163977,0.036057655,57,42,0,0,n10,1.908385,1.0
1.9951903,0.044070467,74,58,0,0,n11,1.908385,1.0
2.0819957,0.13354687,75,71,0,0,n12,1.908385,1.0
2.1674657,0.1322114,76,69,0,0,n13,1.908385,1.0
2.2662904,0.049412344,45,60,0,0,n14,1.908385,1.0
2.2729678,0.07478625,77,74,0,0,n15,1.908385,1.0
2.2863226,0.03205125,69,49,0,0,n16,2.272968,2.0
2.3744633,0.070779845,78,72,0,0,n17,2.272968,2.0
2.4706173,0.06143156,79,64,0,0,n18,2.272968,2.0
2.541397,0.102831095,80,73,0,0,n19,2.272968,2.0
2.6322088,0.049412344,81,73,0,0,n20,2.272968,2.0
2.6362152,0.03205125,53,53,0,0,n21,2.636215,3.0
2.6362152,0.03205125,57,52,0,0,n22,2.636215,3.0
2.6375508,0.03071578,62,51,0,0,n23,2.636215,3.0
2.652241,0.025373906,74,52,0,0,n24,2.636215,3.0
2.7243562,0.097489215,82,74,0,0,n25,2.636215,3.0
2.8138328,0.08547,83,68,0,0,n26,2.636215,3.0
2.9179993,0.093482815,84,70,0,0,n27,2.636215,3.0
3.0194948,0.3538992,85,71,0,0,n28,2.636215,3.0
3.0208304,0.04540594,33,57,0,0,n29,2.636215,3.0
3.0235012,0.057425156,76,58,0,0,n30,3.0221655,4.0
3.0421977,0.042735,81,38,0,0,n31,3.0221655,4.0
3.1116421,0.26175186,86,78,0,0,n32,3.0221655,4.0
3.2104669,0.16292718,87,74,0,0,n33,3.0221655,4.0
3.285253,0.12286312,88,75,0,0,n34,3.0221655,4.0
3.410787,0.16826907,89,68,0,0,n35,3.0221655,4.0
3.413458,0.034722187,52,62,0,0,n36,3.0221655,4.0
3.4174645,0.07478625,84,61,0,0,n37,3.0221655,4.0
3.4188,0.034722187,81,46,0,0,n38,3.4181325,5.0
3.424142,0.036057655,57,53,0,0,n39,3.4181325,5.0
3.4294837,0.026709376,60,51,0,0,n40,3.4181325,5.0
3.5176246,0.09615375,88,71,0,0,n41,3.4181325,5.0
3.6111076,0.034722187,87,69,0,0,n42,3.4181325,5.0
3.700584,0.093482815,86,75,0,0,n43,3.4181325,5.0
3.8074214,0.078792654,85,68,0,0,n44,3.4181325,5.0
