idx,matchtype,partid,ppartid
0,0,n25-1,n2
1,0,n27-1,n11
2,0,n28-1,n9
3,0,n17-1,n1
4,0,n29-1,n10
5,0,n19-1,n7
6,1,n18-1,undefined
7,0,n1-1,n0
8,0,n20-1,n6
9,0,n2-1,n3
10,0,n3-1,n4
11,0,n4-1,n5
12,0,n5-1,n8
13,0,n6-1,n12
14,0,n7-1,n13
15,0,n8-1,n14
16,0,n31-1,n17
17,0,n21-1,n16
18,1,n22-1,undefined
19,0,n9-1,n15
20,0,n10-1,n18
21,0,n11-1,n19
22,0,n12-1,n20
23,0,n33-1,n24
24,0,n34-1,n25
25,0,n35-1,n23
26,0,n23-1,n21
27,1,n24-1,undefined
28,0,n13-1,n22
29,0,n14-1,n26
30,0,n15-1,n27
31,0,n16-1,n28
32,0,n61-1,n29
33,0,n62-1,n32
34,0,n53-1,n30
35,0,n54-1,n33
36,0,n37-1,n31
37,0,n38-1,n34
38,0,n39-1,n35
39,0,n40-1,n36
40,0,n64-1,n38
41,0,n65-1,n40
42,0,n66-1,n41
43,0,n55-1,n39
44,1,n56-1,undefined
45,0,n44-1,n44
46,0,n43-1,n43
47,0,n42-1,n42
48,0,n41-1,n37
49,0,n68-1,n47
50,0,n69-1,n49
51,0,n70-1,n48
52,0,n57-1,n45
53,1,n58-1,undefined
54,0,n48-1,n52
55,0,n47-1,n51
56,0,n46-1,n50
57,0,n45-1,n46
58,0,n59-1,n55
59,0,n60-1,n54
60,1,n90-1,undefined
61,0,n50-1,n56
62,0,n49-1,n53
63,0,n52-1,n58
64,0,n51-1,n57
65,0,n97-1,n59
66,0,n89-1,n61
67,0,n76-1,n64
68,0,n75-1,n63
69,0,n74-1,n62
70,0,n73-1,n60
71,0,n99-1,n66
72,0,n100-1,n67
73,0,n101-1,n69
74,0,n91-1,n68
75,0,n92-1,n70
76,0,n78-1,n71
77,0,n77-1,n65
78,0,n80-1,n73
79,0,n79-1,n72
80,0,n103-1,n76
81,0,n93-1,n74
82,0,n84-1,n79
83,1,n94-1,undefined
84,0,n83-1,n78
85,0,n82-1,n77
86,0,n81-1,n75
87,0,n105-1,n81
88,0,n106-1,n82
89,0,n107-1,n85
90,0,n95-1,n84
91,0,n96-1,n83
92,0,n85-1,n80
93,0,n86-1,n86
94,0,n88-1,n88
95,0,n87-1,n87
96,0,n133-1,n89
97,1,n134-1,undefined
98,0,n125-1,n90
99,0,n126-1,n92
100,0,n109-1,n91
101,0,n111-1,n94
102,0,n110-1,n93
103,0,n112-1,n95
104,0,n136-1,n97
105,0,n137-1,n96
106,0,n127-1,n99
107,0,n128-1,n98
108,0,n113-1,n100
109,0,n115-1,n102
110,0,n114-1,n101
111,0,n116-1,n103
112,0,n138-1,n106
113,0,n129-1,n105
114,0,n130-1,n107
115,0,n117-1,n104
116,0,n120-1,n110
117,0,n119-1,n109
118,0,n118-1,n108
119,0,n131-1,n111
120,0,n132-1,n113
121,0,n124-1,n116
122,0,n123-1,n115
123,0,n122-1,n114
124,0,n121-1,n112
125,0,n166-1,n118
126,0,n158-1,n119
127,0,n159-1,n120
128,0,n142-1,n117
129,0,n143-1,n121
130,0,n144-1,n122
131,0,n145-1,n123
132,0,n168-1,n129
133,0,n169-1,n127
134,0,n170-1,n128
135,0,n160-1,n124
136,0,n161-1,n126
137,0,n146-1,n125
138,0,n147-1,n130
139,0,n148-1,n131
140,0,n149-1,n132
141,0,n172-1,n133
142,0,n162-1,n134
143,1,n163-1,undefined
144,0,n150-1,n135
145,0,n151-1,n136
146,0,n152-1,n137
147,0,n153-1,n138
148,0,n174-1,n142
149,0,n175-1,n143
150,0,n176-1,n141
151,0,n164-1,n140
152,1,n165-1,undefined
153,0,n154-1,n139
154,0,n155-1,n144
155,0,n156-1,n145
156,0,n157-1,n146
157,0,n202-1,n149
158,0,n203-1,n151
159,0,n194-1,n147
160,0,n195-1,n150
161,0,n178-1,n148
162,0,n179-1,n152
163,0,n180-1,n153
164,0,n181-1,n154
165,0,n205-1,n156
166,0,n206-1,n158
167,0,n207-1,n159
168,0,n196-1,n157
169,1,n197-1,undefined
170,0,n185-1,n162
171,0,n184-1,n161
172,0,n183-1,n160
173,0,n182-1,n155
174,0,n209-1,n164
175,0,n210-1,n167
176,0,n211-1,n166
177,0,n198-1,n163
178,1,n199-1,undefined
179,0,n189-1,n170
180,0,n188-1,n169
181,0,n187-1,n168
182,0,n186-1,n165
183,0,n200-1,n173
184,0,n201-1,n172
185,0,n191-1,n174
186,0,n190-1,n171
187,0,n193-1,n176
188,0,n192-1,n175
189,0,n238-1,n178
190,0,n230-1,n179
191,0,n231-1,n180
192,0,n214-1,n177
193,0,n215-1,n181
194,0,n216-1,n182
195,0,n217-1,n183
196,0,n240-1,n186
197,0,n241-1,n187
198,0,n242-1,n188
199,0,n232-1,n185
200,1,n233-1,undefined
201,0,n221-1,n191
202,0,n218-1,n184
203,0,n220-1,n190
204,0,n219-1,n189
205,0,n244-1,n192
206,0,n234-1,n193
207,0,n225-1,n197
208,1,n235-1,undefined
209,0,n224-1,n196
210,0,n223-1,n195
211,0,n222-1,n194
212,0,n246-1,n198
213,0,n247-1,n199
214,0,n236-1,n201
215,0,n248-1,n202
216,1,n237-1,undefined
217,0,n226-1,n200
218,0,n227-1,n203
219,0,n229-1,n205
220,0,n228-1,n204
221,0,n274-1,n208
222,0,n275-1,n210
223,0,n266-1,n207
224,0,n267-1,n209
225,0,n252-1,n212
226,0,n250-1,n206
227,0,n253-1,n213
228,0,n251-1,n211
229,0,n276-1,n217
230,0,n277-1,n216
231,0,n268-1,n218
232,0,n269-1,n215
233,0,n256-1,n220
234,0,n254-1,n214
235,0,n257-1,n221
236,0,n255-1,n219
237,0,n270-1,n222
238,0,n271-1,n224
239,0,n260-1,n226
240,0,n258-1,n223
241,0,n261-1,n227
242,0,n259-1,n225
243,0,n279-1,n228
244,0,n280-1,n232
245,0,n272-1,n229
246,0,n273-1,n230
247,0,n264-1,n234
248,0,n262-1,n231
249,0,n265-1,n235
250,0,n263-1,n233
251,0,n305-1,n238
252,0,n297-1,n236
253,1,n298-1,undefined
254,0,n281-1,n237
255,0,n282-1,n239
256,0,n283-1,n240
257,0,n284-1,n241
