xml_id	midi_id	track	channel	pitch	onset
n25-1	n2	0	0	45	2.0178932812499997
n27-1	deletion
n28-1	n9	0	0	57	2.3918245312499993
n17-1	n0	0	0	60	2.013886875
n29-1	n6	0	0	60	2.3757989062499996
n19-1	n7	0	0	64	2.3878181249999995
n18-1	deletion
n1-1	n1	0	0	69	2.013886875
n20-1	n10	0	0	69	2.398501874999999
n2-1	n3	0	0	70	2.1207243749999996
n3-1	n4	0	0	71	2.2061943749999995
n4-1	n5	0	0	72	2.2876579687499996
n5-1	n8	0	0	73	2.3878181249999995
n6-1	n11	0	0	74	2.4786299999999986
n7-1	n12	0	0	75	2.582796562499999
n8-1	n13	0	0	76	2.6869631249999992
n31-1	n16	0	0	45	2.7924651562499996
n21-1	n14	0	0	69	2.7817814062499995
n22-1	deletion
n9-1	n15	0	0	77	2.7817814062499995
n10-1	n17	0	0	78	2.8926253124999994
n11-1	n18	0	0	79	2.9861081249999994
n12-1	n19	0	0	80	3.0795909375
n33-1	n23	0	0	53	3.167731874999999
n34-1	n24	0	0	57	3.175744687499999
n35-1	n20	0	0	62	3.143693437499999
n23-1	n22	0	0	74	3.161054531249999
n24-1	deletion
n13-1	n21	0	0	81	3.1543771874999993
n14-1	n25	0	0	82	3.2411826562499986
n15-1	n26	0	0	83	3.3360009374999984
n16-1	n27	0	0	84	3.4268128124999984
n61-1	n32	0	0	33	3.534985781249998
n62-1	n28	0	0	45	3.5202956249999984
n53-1	n30	0	0	76	3.525637499999998
n54-1	n31	0	0	81	3.529643906249998
n37-1	n29	0	0	85	3.524302031249998
n38-1	n33	0	0	86	3.6257976562499974
n39-1	n34	0	0	87	3.7366415624999973
n40-1	n35	0	0	88	3.831459843749997
n64-1	n38	0	0	52	3.9262781249999965
n65-1	n39	0	0	57	3.9276135937499963
n66-1	n37	0	0	60	3.9222717187499967
n55-1	n40	0	0	81	3.931619999999996
n56-1	deletion
n44-1	n43	0	0	86	4.216074843749999
n43-1	n42	0	0	87	4.114579218749998
n42-1	n41	0	0	88	4.022431874999997
n41-1	n36	0	0	89	3.914258906249997
n68-1	n45	0	0	57	4.318905937499999
n69-1	n46	0	0	60	4.3242478124999995
n70-1	n48	0	0	64	4.3349315625
n57-1	n47	0	0	76	4.3242478124999995
n49-1	n52	0	0	81	4.696843593750001
n58-1	deletion
n48-1	n51	0	0	82	4.587335156250001
n47-1	n50	0	0	83	4.4991942187500005
n46-1	n49	0	0	84	4.42173703125
n45-1	n44	0	0	85	4.313564062499999
n59-1	n53	0	0	72	4.712869218750001
n60-1	n54	0	0	76	4.7142046875000005
n90-1	deletion
n50-1	n55	0	0	80	4.79566828125
n52-1	n57	0	0	81	4.98797578125
n51-1	n56	0	0	83	4.8958284375000005
n97-1	n58	0	0	40	5.06276203125
n89-1	n60	0	0	71	5.08145859375
n76-1	n63	0	0	77	5.3445459374999995
n75-1	n62	0	0	78	5.265753281249999
n74-1	n61	0	0	79	5.17227046875
n73-1	n59	0	0	80	5.07478125
n99-1	n66	0	0	52	5.463402656249999
n100-1	n67	0	0	59	5.467409062499999
n101-1	n65	0	0	62	5.460731718749999
n91-1	n68	0	0	68	5.4700799999999985
n92-1	n69	0	0	71	5.474086406249999
n78-1	n70	0	0	75	5.552879062499999
n77-1	n64	0	0	76	5.454054374999999
n80-1	n72	0	0	76	5.7478574999999985
n79-1	n71	0	0	77	5.643690937499999
n103-1	n75	0	0	45	5.848017656249999
n93-1	n73	0	0	69	5.846682187499999
n94-1	n76	0	0	72	5.862707812499999
n84-1	n79	0	0	72	6.1338079687499985
n83-1	n78	0	0	73	6.049673437499998
n82-1	n77	0	0	74	5.954855156249998
n81-1	n74	0	0	75	5.846682187499999
n105-1	n81	0	0	52	6.2353035937499985
n106-1	n84	0	0	57	6.2526646874999985
n107-1	n82	0	0	60	6.2353035937499985
n95-1	n83	0	0	64	6.239309999999999
n96-1	n85	0	0	69	6.266019374999998
n85-1	n80	0	0	71	6.224619843749998
n86-1	n86	0	0	72	6.312760781249999
n88-1	n88	0	0	72	6.491713593749998
n87-1	n87	0	0	74	6.4115854687499985
n133-1	n89	0	0	52	6.6038929687499985
n134-1	n92	0	0	59	6.622589531249998
n125-1	n90	0	0	64	6.606563906249998
n126-1	n93	0	0	68	6.631937812499999
n109-1	n91	0	0	71	6.607899374999998
n111-1	n95	0	0	71	6.7962004687499995
n110-1	n94	0	0	72	6.698711249999999
n112-1	n96	0	0	72	6.8923542187499995
n136-1	n101	0	0	53	7.000527187499998
n137-1	n100	0	0	59	6.988507968749998
n127-1	n98	0	0	63	6.983166093749999
n128-1	n99	0	0	69	6.985837031249998
n113-1	n97	0	0	71	6.981830624999999
n115-1	n103	0	0	71	7.180815468749996
n114-1	n102	0	0	72	7.088668124999996
n116-1	n104	0	0	72	7.2689564062499965
n138-1	n108	0	0	52	7.391819531249997
n129-1	n106	0	0	64	7.350419999999997
n130-1	n107	0	0	68	7.379800312499997
n117-1	n105	0	0	71	7.343742656249997
n120-1	n111	0	0	74	7.684287187499996
n119-1	n110	0	0	75	7.557417656249996
n118-1	n109	0	0	76	7.449244687499996
n131-1	n113	0	0	62	7.772428124999997
n132-1	deletion
n124-1	n116	0	0	70	8.040857343749996
n123-1	n115	0	0	71	7.947374531249997
n122-1	n114	0	0	72	7.8699173437499965
n121-1	n112	0	0	73	7.761744374999997
n166-1	n119	0	0	45	8.165055937499996
n158-1	n118	0	0	60	8.155707656249996
n160-1	n124	0	0	64	8.518955156249996
n159-1	deletion
n142-1	n117	0	0	69	8.146359374999996
n143-1	n120	0	0	70	8.243848593749997
n144-1	n121	0	0	71	8.346679687499996
n145-1	n122	0	0	72	8.438827031249996
n168-1	n126	0	0	52	8.533645312499997
n169-1	n127	0	0	57	8.538987187499997
n170-1	n123	0	0	60	8.518955156249996
n161-1	deletion
n146-1	n125	0	0	73	8.525632499999997
n147-1	n128	0	0	74	8.620450781249996
n148-1	n129	0	0	75	8.725952812499996
n149-1	n130	0	0	76	8.828783906249996
n172-1	n131	0	0	45	8.922266718749997
n162-1	n133	0	0	69	8.930279531249997
n163-1	deletion
n150-1	n132	0	0	77	8.923602187499997
n151-1	n134	0	0	78	9.035781562499995
n152-1	n135	0	0	79	9.130599843749994
n153-1	n136	0	0	80	9.217405312499995
n174-1	n139	0	0	53	9.317565468749995
n175-1	n140	0	0	57	9.324242812499996
n176-1	n137	0	0	62	9.293527031249996
n164-1	deletion
n165-1	deletion
n154-1	n138	0	0	81	9.298868906249995
n155-1	n141	0	0	82	9.387009843749995
n156-1	n142	0	0	83	9.484499062499994
n157-1	n143	0	0	84	9.576646406249994
n202-1	n144	0	0	33	9.674135624999995
n203-1	n145	0	0	45	9.678142031249994
n194-1	n147	0	0	76	9.687490312499992
n195-1	n148	0	0	81	9.696838593749993
n178-1	n146	0	0	85	9.683483906249993
n179-1	n149	0	0	86	9.784979531249991
n180-1	n150	0	0	87	9.889146093749991
n181-1	n151	0	0	88	9.987970781249992
n205-1	n152	0	0	52	10.09480828124999
n206-1	n154	0	0	57	10.104156562499991
n207-1	n155	0	0	60	10.105492031249991
n196-1	n156	0	0	81	10.12151765624999
n197-1	deletion
n185-1	n159	0	0	86	10.38861140624999
n184-1	n158	0	0	87	10.292457656249988
n183-1	n157	0	0	88	10.198974843749989
n182-1	n153	0	0	89	10.09480828124999
n209-1	n162	0	0	57	10.524829218749987
n210-1	n161	0	0	60	10.523493749999988
n211-1	n163	0	0	64	10.524829218749987
n198-1	n164	0	0	76	10.530171093749987
n190-1	n168	0	0	81	10.890747656249987
n199-1	deletion
n189-1	n167	0	0	82	10.783910156249986
n188-1	n166	0	0	83	10.703782031249986
n187-1	n165	0	0	84	10.615641093749986
n186-1	n160	0	0	85	10.496784374999988
n200-1	n170	0	0	72	10.904102343749987
n201-1	n169	0	0	76	10.902766874999987
n191-1	n171	0	0	80	10.989572343749987
n193-1	n173	0	0	81	11.184550781249985
n192-1	n172	0	0	83	11.088397031249986
n238-1	n175	0	0	47	11.292723749999984
n230-1	n176	0	0	71	11.292723749999984
n231-1	deletion
n214-1	n174	0	0	79	11.279369062499985
n215-1	n177	0	0	80	11.387542031249984
n216-1	n178	0	0	81	11.477018437499984
n217-1	n179	0	0	82	11.561152968749985
n240-1	n182	0	0	59	11.671996874999984
n241-1	n180	0	0	64	11.662648593749985
n242-1	n183	0	0	67	11.686687031249983
n232-1	n184	0	0	76	11.693364374999984
n233-1	deletion
n221-1	n187	0	0	82	11.933748749999987
n218-1	n181	0	0	83	11.665319531249985
n220-1	n186	0	0	83	11.853620624999987
n219-1	n185	0	0	84	11.766815156249985
n244-1	n190	0	0	47	12.05260546874999
n234-1	n188	0	0	75	12.036579843749989
n225-1	n193	0	0	78	12.32504109374999
n235-1	deletion
n224-1	n192	0	0	79	12.236900156249991
n223-1	n191	0	0	80	12.124720781249989
n222-1	n189	0	0	81	12.036579843749989
n246-1	n195	0	0	59	12.43454953124999
n247-1	n196	0	0	66	12.44523328124999
n236-1	n198	0	0	69	12.46392984374999
n248-1	n197	0	0	71	12.44790421874999
n237-1	n199	0	0	75	12.47461359374999
n226-1	n194	0	0	77	12.42787218749999
n227-1	n200	0	0	78	12.53070328124999
n229-1	n202	0	0	78	12.719004374999992
n228-1	n201	0	0	79	12.642882656249991
n274-1	n203	0	0	52	12.833854687499992
n275-1	n205	0	0	64	12.849880312499991
n266-1	n206	0	0	68	12.857893124999991
n267-1	n207	0	0	71	12.864570468749992
n252-1	n209	0	0	75	13.03684593749999
n250-1	n204	0	0	76	12.843202968749992
n253-1	n210	0	0	76	13.13967703124999
n251-1	n208	0	0	77	12.93134390624999
n276-1	n214	0	0	40	13.254527343749988
n277-1	n215	0	0	52	13.263875624999988
n268-1	n213	0	0	65	13.250520937499989
n269-1	n212	0	0	69	13.247849999999989
n256-1	n217	0	0	73	13.429473749999993
n254-1	n211	0	0	74	13.24517906249999
n257-1	n218	0	0	74	13.522956562499994
n255-1	n216	0	0	76	13.35068109374999
n270-1	n219	0	0	64	13.645819687499996
n271-1	n221	0	0	69	13.647155156249996
n260-1	n223	0	0	71	13.836791718749993
