onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5117506,0.06810891,69,50,0,0,n0,-10.0,-10.0
1.5130861,0.04540594,45,47,0,0,n1,1.5124185,0.0
1.6132462,0.11351484,70,59,0,0,n2,1.5124185,0.0
1.7214192,0.05475422,71,48,0,0,n3,1.5124185,0.0
1.8068892,0.0641025,72,55,0,0,n4,1.5124185,0.0
1.8963656,0.029380312,60,53,0,0,n5,1.5124185,0.0
1.8977011,0.06810891,73,70,0,0,n6,1.5124185,0.0
1.9057139,0.036057655,57,44,0,0,n7,1.5124185,0.0
1.9070494,0.03071578,64,55,0,0,n8,1.905714,1.0
1.9337587,0.049412344,52,21,0,0,n9,1.905714,1.0
1.9978613,0.06276703,74,55,0,0,n10,1.905714,1.0
2.0819957,0.09615375,75,61,0,0,n11,1.905714,1.0
2.179485,0.088140935,76,61,0,0,n12,1.905714,1.0
2.2743032,0.07612172,77,71,0,0,n13,1.905714,1.0
2.2929997,0.034722187,69,58,0,0,n14,1.905714,1.0
2.2943354,0.048076876,45,27,0,0,n15,2.293,2.0
2.387818,0.065437965,78,68,0,0,n16,2.293,2.0
2.4799654,0.05475422,79,64,0,0,n17,2.293,2.0
2.566771,0.070779845,80,68,0,0,n18,2.293,2.0
2.6442282,0.026709376,62,59,0,0,n19,2.293,2.0
2.6509054,0.06143156,81,75,0,0,n20,2.293,2.0
2.6535764,0.03205125,57,51,0,0,n21,2.653576,3.0
2.6589184,0.038728595,53,49,0,0,n22,2.653576,3.0
2.6709375,0.11752125,74,56,0,0,n23,2.653576,3.0
2.7537365,0.12954047,82,68,0,0,n24,2.653576,3.0
2.8552322,0.08146359,83,66,0,0,n25,2.653576,3.0
2.948715,0.46474314,84,68,0,0,n26,2.653576,3.0
3.0208304,0.3926278,33,51,0,0,n27,2.653576,3.0
3.0261722,0.38728595,45,46,0,0,n28,2.653576,3.0
3.048875,0.36458296,76,59,0,0,n29,3.0375235,4.0
3.048875,0.36458296,85,66,0,0,n30,3.0375235,4.0
3.1583836,0.25507453,86,66,0,0,n31,3.0375235,4.0
3.2438536,0.16960452,87,71,0,0,n32,3.0375235,4.0
3.3319945,0.09081188,88,75,0,0,n33,3.0375235,4.0
3.398768,0.07211531,60,76,0,0,n34,3.0375235,4.0
3.4081163,0.03071578,57,46,0,0,n35,3.0375235,4.0
3.426813,0.12954047,89,76,0,0,n36,3.426813,5.0
3.4281483,0.10149562,52,58,0,0,n37,3.426813,5.0
3.438832,0.040064063,81,69,0,0,n38,3.426813,5.0
3.5109472,0.08947641,88,64,0,0,n39,3.426813,5.0
3.6111076,0.042735,87,70,0,0,n40,3.426813,5.0
3.7045903,0.07211531,86,73,0,0,n41,3.426813,5.0
3.7553382,0.05475422,64,79,0,0,n42,3.426813,5.0
3.7686927,0.05074781,60,59,0,0,n43,3.426813,5.0
3.7713637,0.04540594,57,54,0,0,n44,3.426813,5.0
3.7767057,0.03338672,85,68,0,0,n45,3.774035,6.0
3.7847185,0.048076876,76,67,0,0,n46,3.774035,6.0
3.828789,0.040064063,81,30,0,0,n47,3.774035,6.0
3.8688529,0.1322114,84,75,0,0,n48,3.774035,6.0
3.971684,0.060096093,83,56,0,0,n49,3.774035,6.0
4.039793,0.034722187,82,70,0,0,n50,3.774035,6.0
4.1439595,0.06143156,81,77,0,0,n51,3.774035,6.0
4.159985,0.070779845,72,63,0,0,n52,4.1519723,7.0
4.230765,0.06810891,80,70,0,0,n53,4.1519723,7.0
4.321577,0.128205,83,63,0,0,n54,4.1519723,7.0
4.405711,0.08547,81,64,0,0,n55,4.1519723,7.0
4.481833,0.038728595,80,71,0,0,n56,4.1519723,7.0
4.484504,0.04139953,40,58,0,0,n57,4.484504,8.0
4.509878,0.057425156,71,49,0,0,n58,4.484504,8.0
4.5859995,0.065437965,79,65,0,0,n59,4.484504,8.0
4.652773,0.08947641,78,72,0,0,n60,4.484504,8.0
4.783649,0.10416656,77,52,0,0,n61,4.484504,8.0
4.843745,0.05074781,68,62,0,0,n62,4.484504,8.0
4.849087,0.120192185,76,67,0,0,n63,4.484504,8.0
4.8571,0.040064063,62,60,0,0,n64,4.8571,9.0
4.863777,0.026709376,59,52,0,0,n65,4.8571,9.0
4.8731256,0.044070467,52,56,0,0,n66,4.8571,9.0
4.9626017,0.07478625,75,67,0,0,n67,4.8571,9.0
5.0507426,0.10416656,77,67,0,0,n68,4.8571,9.0
