onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0072095,0.0641025,44,84,0,0,n0,-10.0,-10.0
2.0098805,0.04139953,56,74,0,0,n1,-10.0,-10.0
2.013887,0.34722188,80,92,0,0,n2,2.0118835,-1.0
2.0178933,0.34321547,68,79,0,0,n3,2.0118835,-1.0
2.102028,0.25908095,78,76,0,0,n4,2.0118835,-1.0
2.1781495,0.18295921,76,67,0,0,n5,2.0118835,-1.0
2.259613,0.10149562,75,75,0,0,n6,2.0118835,-1.0
2.3317285,0.06944437,49,95,0,0,n7,2.0118835,-1.0
2.3397412,0.057425156,85,90,0,0,n8,2.0118835,-1.0
2.3410766,0.028044844,37,93,0,0,n9,2.340409,0.0
2.3410766,0.0641025,73,88,0,0,n10,2.340409,0.0
2.441237,0.04139953,75,69,0,0,n11,2.340409,0.0
2.5307133,0.04540594,72,68,0,0,n12,2.340409,0.0
2.6201897,0.06810891,73,67,0,0,n13,2.340409,0.0
2.672273,0.034722187,66,70,0,0,n14,2.340409,0.0
2.677615,0.034722187,69,66,0,0,n15,2.677615,1.0
2.6949759,0.0641025,75,64,0,0,n16,2.677615,1.0
2.7911296,0.13087593,76,62,0,0,n17,2.677615,1.0
2.8752642,0.06276703,73,44,0,0,n18,2.677615,1.0
2.9340248,0.057425156,75,60,0,0,n19,2.677615,1.0
3.0101466,0.037393127,68,60,0,0,n20,2.677615,1.0
3.014153,0.036057655,64,52,0,0,n21,3.014153,2.0
3.036856,0.05208328,76,61,0,0,n22,3.014153,2.0
3.1129777,0.09882469,78,61,0,0,n23,3.014153,2.0
3.185093,0.046741407,75,48,0,0,n24,3.014153,2.0
3.278576,0.05341875,76,59,0,0,n25,3.014153,2.0
3.356033,0.04139953,63,60,0,0,n26,3.014153,2.0
3.3627102,0.03071578,66,55,0,0,n27,3.36271,3.0
3.3680522,0.06143156,78,69,0,0,n28,3.36271,3.0
3.4374967,0.049412344,80,64,0,0,n29,3.36271,3.0
3.524302,0.070779845,76,57,0,0,n30,3.36271,3.0
3.584398,0.10950844,78,67,0,0,n31,3.36271,3.0
3.6738746,0.042735,61,55,0,0,n32,3.36271,3.0
3.6765454,0.040064063,64,56,0,0,n33,3.676545,4.0
3.6805518,0.04540594,80,66,0,0,n34,3.676545,4.0
3.7459898,0.07211531,81,64,0,0,n35,3.676545,4.0
3.8341308,0.060096093,80,69,0,0,n36,3.676545,4.0
3.9102526,0.06276703,85,68,0,0,n37,3.676545,4.0
3.9877098,0.065437965,78,75,0,0,n38,3.676545,4.0
3.9890451,0.048076876,66,66,0,0,n39,3.676545,4.0
3.9903805,0.038728595,57,65,0,0,n40,3.989713,5.0
4.0024,0.036057655,61,64,0,0,n41,3.989713,5.0
4.0731797,0.08547,80,72,0,0,n42,3.989713,5.0
4.154643,0.046741407,78,67,0,0,n43,3.989713,5.0
4.2240877,0.08279906,85,69,0,0,n44,3.989713,5.0
4.3148994,0.048076876,56,73,0,0,n45,3.989713,5.0
4.3175707,0.04540594,64,65,0,0,n46,3.989713,5.0
4.3202415,0.057425156,76,71,0,0,n47,4.3189054,6.0
4.322912,0.036057655,61,67,0,0,n48,4.3189054,6.0
4.3803377,0.07478625,78,72,0,0,n49,4.3189054,6.0
4.480498,0.03338672,76,66,0,0,n50,4.3189054,6.0
4.537923,0.078792654,85,71,0,0,n51,4.3189054,6.0
4.6140447,0.048076876,61,55,0,0,n52,4.3189054,6.0
4.61538,0.048076876,63,79,0,0,n53,4.3189054,6.0
4.6220574,0.044070467,54,74,0,0,n54,4.6187186,7.0
4.6420894,0.05475422,75,66,0,0,n55,4.6187186,7.0
4.7021856,0.070779845,76,58,0,0,n56,4.6187186,7.0
4.803681,0.03338672,56,32,0,0,n57,4.6187186,7.0
4.803681,0.037393127,75,70,0,0,n58,4.6187186,7.0
4.854429,0.07345078,85,72,0,0,n59,4.6187186,7.0
4.8557644,0.10817297,49,70,0,0,n60,4.6187186,7.0
4.917196,0.044070467,56,65,0,0,n61,4.894493,8.0
4.92788,0.26175186,64,89,0,0,n62,4.894493,8.0
4.9332213,0.25641,73,83,0,0,n63,4.894493,8.0
5.014685,0.17494641,80,74,0,0,n64,4.894493,8.0
5.0814586,0.10817297,88,73,0,0,n65,4.894493,8.0
5.160251,0.05074781,81,72,0,0,n66,4.894493,8.0
5.173606,0.057425156,44,75,0,0,n67,4.894493,8.0
5.1923027,0.32585436,54,37,0,0,n68,4.894493,8.0
5.231031,0.048076876,46,40,0,0,n69,5.2076607,9.0
5.241715,0.27644202,60,91,0,0,n70,5.2076607,9.0
5.241715,0.27644202,72,83,0,0,n71,5.2076607,9.0
5.3351974,0.18295921,78,80,0,0,n72,5.2076607,9.0
5.401971,0.116185784,87,83,0,0,n73,5.2076607,9.0
5.4660735,0.07345078,80,79,0,0,n74,5.2076607,9.0
5.55555,0.299145,61,95,0,0,n75,5.2076607,9.0
5.560892,0.29380313,68,86,0,0,n76,5.2076607,9.0
5.5648985,0.2897967,52,86,0,0,n77,5.562895,10.0
5.568905,0.28579032,49,86,0,0,n78,5.562895,10.0
5.650368,0.20432672,76,74,0,0,n79,5.562895,10.0
5.7238193,0.13087593,85,83,0,0,n80,5.562895,10.0
5.794599,0.07478625,78,69,0,0,n81,5.562895,10.0
5.865379,0.06143156,56,95,0,0,n82,5.562895,10.0
5.870721,0.30048046,44,93,0,0,n83,5.870721,11.0
5.880069,0.29113218,68,89,0,0,n84,5.870721,11.0
5.9642034,0.20699766,75,77,0,0,n85,5.870721,11.0
6.042996,0.128205,84,76,0,0,n86,5.870721,11.0
6.108434,0.07612172,76,77,0,0,n87,5.870721,11.0
6.2139363,0.4620722,49,80,0,0,n88,5.870721,11.0
6.2232842,0.45272392,85,93,0,0,n89,5.870721,11.0
6.2259555,0.45005298,37,92,0,0,n90,6.2246194,12.0
6.2259555,0.45005298,73,100,0,0,n91,6.2246194,12.0
6.4650044,0.21100406,57,93,0,0,n92,6.2246194,12.0
6.4796944,0.1963139,43,83,0,0,n93,6.2246194,12.0
6.4796944,0.1963139,45,77,0,0,n94,6.2246194,12.0
6.48103,0.19497843,69,83,0,0,n95,6.2246194,12.0
6.553145,0.12286312,81,76,0,0,n96,6.2246194,12.0
6.6399508,0.07745719,44,92,0,0,n97,6.2246194,12.0
6.6399508,0.07211531,56,89,0,0,n98,6.2246194,12.0
6.6533055,0.06944437,68,87,0,0,n99,6.639951,13.0
6.6933694,0.06276703,80,69,0,0,n100,6.639951,13.0
6.7881875,0.44204015,43,93,0,0,n101,6.639951,13.0
6.789523,0.44070467,55,92,0,0,n102,6.639951,13.0
6.802878,0.42735,67,78,0,0,n103,6.639951,13.0
6.857632,0.3725958,79,76,0,0,n104,6.639951,13.0
6.940431,0.2897967,44,92,0,0,n105,6.639951,13.0
6.9417667,0.28846124,56,91,0,0,n106,6.639951,13.0
6.9564567,0.2737711,68,85,0,0,n107,6.941767,14.0
7.00854,0.22168781,80,72,0,0,n108,6.941767,14.0
7.106029,0.12419859,49,90,0,0,n109,6.941767,14.0
7.1100354,0.120192185,37,92,0,0,n110,6.941767,14.0
7.122055,0.10817297,61,90,0,0,n111,6.941767,14.0
7.1981764,0.037393127,73,42,0,0,n112,6.941767,14.0
7.3010077,0.23771344,70,89,0,0,n113,6.941767,14.0
7.3036785,0.2350425,67,85,0,0,n114,6.941767,14.0
7.305014,0.23370703,61,92,0,0,n115,6.941767,14.0
7.3063498,0.23237157,75,90,0,0,n116,7.305682,15.0
7.307685,0.2310361,39,77,0,0,n117,7.305682,15.0
7.3210397,0.21768141,50,64,0,0,n118,7.305682,15.0
7.325046,0.0,51,30,0,0,n119,7.305682,15.0
7.3290524,0.20966859,49,52,0,0,n120,7.305682,15.0
7.413187,0.12553406,49,64,0,0,n121,7.305682,15.0
7.5200243,0.048076876,47,70,0,0,n122,7.305682,15.0
7.594811,0.058760624,46,73,0,0,n123,7.305682,15.0
7.682952,0.038728595,59,70,0,0,n124,7.305682,15.0
7.682952,0.040064063,68,68,0,0,n125,7.305682,15.0
7.689629,0.07612172,44,65,0,0,n126,7.689629,16.0
7.689629,0.03338672,63,67,0,0,n127,7.689629,16.0
7.689629,0.037393127,71,61,0,0,n128,7.689629,16.0
7.780441,0.06810891,46,72,0,0,n129,7.689629,16.0
7.873924,0.0641025,43,56,0,0,n130,7.689629,16.0
7.936691,0.097489215,44,59,0,0,n131,7.689629,16.0
8.03418,0.065437965,46,62,0,0,n132,8.03418,17.0
8.03418,0.048076876,61,63,0,0,n133,8.03418,17.0
8.03418,0.038728595,63,64,0,0,n134,8.03418,17.0
8.038186,0.040064063,67,52,0,0,n135,8.03418,17.0
8.127663,0.06677344,47,60,0,0,n136,8.03418,17.0
8.206455,0.07745719,44,58,0,0,n137,8.03418,17.0
8.303945,0.0641025,46,55,0,0,n138,8.03418,17.0
8.394756,0.065437965,47,65,0,0,n139,8.03418,17.0
8.398763,0.038728595,63,57,0,0,n140,8.398763,18.0
8.398763,0.038728595,68,57,0,0,n141,8.398763,18.0
8.404105,0.036057655,59,50,0,0,n142,8.398763,18.0
8.493581,0.08279906,49,61,0,0,n143,8.398763,18.0
8.581722,0.065437965,46,52,0,0,n144,8.398763,18.0
8.655173,0.06810891,47,58,0,0,n145,8.398763,18.0
8.751327,0.05074781,68,58,0,0,n146,8.398763,18.0
8.756669,0.057425156,49,54,0,0,n147,8.756669,19.0
8.756669,0.044070467,64,51,0,0,n148,8.756669,19.0
8.767352,0.040064063,58,47,0,0,n149,8.756669,19.0
8.850151,0.05208328,51,65,0,0,n150,8.756669,19.0
8.93028,0.07345078,47,62,0,0,n151,8.756669,19.0
9.009072,0.088140935,49,55,0,0,n152,8.756669,19.0
9.0892,0.05208328,51,69,0,0,n153,8.756669,19.0
9.107897,0.040064063,59,58,0,0,n154,9.107897,20.0
