xml_id	midi_id	track	channel	pitch	onset
n25-1	n8	0	0	37	2.3437476562499993
n6-1	n2	0	0	44	2.013886875
n26-1	n7	0	0	49	2.3397412499999994
n7-1	n0	0	0	56	2.00720953125
n5-1	n3	0	0	68	2.0205642187499997
n11-1	n12	0	0	72	2.554751718749998
n8-1	n10	0	0	73	2.354431406249999
n12-1	n13	0	0	73	2.6415571874999983
n4-1	n6	0	0	75	2.2529357812499993
n10-1	n11	0	0	75	2.478629999999998
n3-1	n5	0	0	76	2.1834914062499995
n2-1	n4	0	0	78	2.0739829687499993
n1-1	n1	0	0	80	2.0112159375
n9-1	n9	0	0	85	2.353095937499999
n28-1	n14	0	0	66	2.7176789062499984
n29-1	n16	0	0	69	2.7283626562499985
n15-1	n18	0	0	73	2.9126573437499985
n13-1	n15	0	0	75	2.7230207812499985
n16-1	n19	0	0	75	2.988779062499998
n14-1	n17	0	0	76	2.8231809374999983
n31-1	n22	0	0	64	3.050210624999998
n32-1	n20	0	0	68	3.043533281249998
n19-1	n24	0	0	75	3.2224860937499975
n17-1	n21	0	0	76	3.046204218749998
n20-1	n25	0	0	76	3.2959368749999975
n18-1	n23	0	0	78	3.1436934374999974
n34-1	n26	0	0	63	3.3733940624999974
n35-1	n28	0	0	66	3.3840778124999975
n23-1	n30	0	0	76	3.553682343749998
n21-1	n27	0	0	78	3.3814068749999975
n24-1	n31	0	0	78	3.615113906249998
n22-1	n29	0	0	80	3.474889687499998
n53-1	n32	0	0	61	3.705925781249998
n54-1	n33	0	0	64	3.723286874999998
n37-1	n34	0	0	80	3.723286874999998
n39-1	n36	0	0	80	3.8875495312499986
n38-1	n35	0	0	81	3.774034687499998
n40-1	n37	0	0	85	3.9489810937499987
n56-1	n39	0	0	57	4.038457499999999
n57-1	n40	0	0	61	4.038457499999999
n58-1	n41	0	0	66	4.038457499999999
n41-1	n38	0	0	78	4.029109218749999
n43-1	n43	0	0	78	4.198713749999999
n42-1	n42	0	0	80	4.106566406249999
n44-1	n44	0	0	85	4.2788418749999995
n60-1	n45	0	0	56	4.360305468749999
n61-1	n48	0	0	61	4.374995624999998
n62-1	n47	0	0	64	4.365647343749998
n45-1	n46	0	0	76	4.362976406249999
n47-1	n50	0	0	76	4.501865156249997
n46-1	n49	0	0	78	4.445775468749997
n48-1	n51	0	0	85	4.607367187499998
n64-1	n52	0	0	54	4.6714696874999975
n65-1	n53	0	0	61	4.6768115624999975
