onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491393,0.38995612,80,81,1,0,n0,-10.0,-10.0
2.0523443,0.386751,68,78,1,0,n1,-10.0,-10.0
2.0587547,0.38034075,56,59,1,0,n2,2.0555494,-1.0
2.063028,0.37606728,44,65,1,0,n3,2.0555494,-1.0
2.1538398,0.28525558,78,71,1,0,n4,2.0555494,-1.0
2.2467883,0.19230713,76,59,1,0,n5,2.0555494,-1.0
2.3333263,0.10576892,75,40,1,0,n6,2.0555494,-1.0
2.4487107,0.4262808,85,83,1,0,n7,2.0555494,-1.0
2.4593945,0.41559705,37,83,1,0,n8,2.459394,0.0
2.4593945,0.41559705,49,93,1,0,n9,2.459394,0.0
2.4636679,0.41132358,73,78,1,0,n10,2.459394,0.0
2.5491378,0.32585374,85,41,1,0,n11,2.459394,0.0
2.6025565,0.2724351,75,65,1,0,n12,2.459394,0.0
2.6933682,0.1816234,72,64,1,0,n13,2.459394,0.0
2.7777696,0.09722193,73,66,1,0,n14,2.459394,0.0
2.8664446,0.0865382,75,59,1,0,n15,2.459394,0.0
2.8749914,0.048076782,69,64,1,0,n16,2.459394,0.0
2.8846068,0.048076782,66,56,1,0,n17,2.874992,1.0
2.9647348,0.09722193,76,64,1,0,n18,2.874992,1.0
3.045931,0.08760658,73,55,1,0,n19,2.874992,1.0
3.131401,0.074786104,75,58,1,0,n20,2.874992,1.0
3.2136657,0.04700841,68,60,1,0,n21,2.874992,1.0
3.2232811,0.035256308,64,42,1,0,n22,3.223281,2.0
3.233965,0.08974332,76,64,1,0,n23,3.223281,2.0
3.3343918,0.1025638,78,59,1,0,n24,3.223281,2.0
3.4252036,0.05448702,75,54,1,0,n25,3.223281,2.0
3.5106735,0.08974332,76,53,1,0,n26,3.223281,2.0
3.59828,0.039529797,66,60,1,0,n27,3.223281,2.0
3.606827,0.088674955,78,65,1,0,n28,3.606827,3.0
3.6121688,0.035256308,63,49,1,0,n29,3.606827,3.0
3.7147326,0.059828885,80,55,1,0,n30,3.606827,3.0
3.7937922,0.085469835,76,56,1,0,n31,3.606827,3.0
3.881399,0.10897404,78,61,1,0,n32,3.606827,3.0
3.9828942,0.039529797,61,68,1,0,n33,3.606827,3.0
3.9839625,0.03632468,64,67,1,0,n34,3.606827,3.0
3.993578,0.07264936,80,59,1,0,n35,3.983963,4.0
4.0662274,0.07158098,81,68,1,0,n36,3.983963,4.0
4.1549025,0.053418647,80,59,1,0,n37,3.983963,4.0
4.2638764,0.063034005,85,57,1,0,n38,3.983963,4.0
4.351483,0.055555392,78,68,1,0,n39,3.983963,4.0
4.3589616,0.050213527,66,60,1,0,n40,3.983963,4.0
4.374987,0.041666545,57,42,1,0,n41,4.3669744,5.0
4.3760552,0.050213527,61,43,1,0,n42,4.3669744,5.0
