onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0234375,0.609375,44,75,1,0,n0,-10.0,-10.0
1.0234375,0.609375,56,80,1,0,n1,-10.0,-10.0
1.0351562,0.59765625,80,80,1,0,n2,1.029297,-1.0
1.0416666,0.5911458,68,82,1,0,n3,1.029297,-1.0
1.1028646,0.52994794,78,67,1,0,n4,1.029297,-1.0
1.1770834,0.45572916,76,54,1,0,n5,1.029297,-1.0
1.1979166,0.43489584,77,54,1,0,n6,1.029297,-1.0
1.234375,0.3984375,75,83,1,0,n7,1.029297,-1.0
1.3190104,0.3138021,49,99,1,0,n8,1.029297,-1.0
1.3268229,0.3059896,73,92,1,0,n9,1.029297,-1.0
1.3294271,0.3033854,37,91,1,0,n10,1.328125,0.0
1.3307291,0.30208334,85,87,1,0,n11,1.328125,0.0
1.4479166,0.18489583,75,73,1,0,n12,1.328125,0.0
1.5351562,0.09765625,72,64,1,0,n13,1.328125,0.0
1.6002604,0.095052086,73,60,1,0,n14,1.328125,0.0
1.6471354,0.048177082,69,71,1,0,n15,1.328125,0.0
1.6601562,0.04296875,66,58,1,0,n16,1.660156,1.0
1.6601562,0.0703125,75,61,1,0,n17,1.660156,1.0
1.7291666,0.072916664,76,66,1,0,n18,1.660156,1.0
1.8177084,0.061197918,73,58,1,0,n19,1.660156,1.0
1.8854166,0.079427086,75,65,1,0,n20,1.660156,1.0
1.9388021,0.040364582,64,61,1,0,n21,1.660156,1.0
1.9570312,0.03125,68,54,1,0,n22,1.957031,2.0
1.9583334,0.065104164,76,66,1,0,n23,1.957031,2.0
2.0195312,0.076822914,78,74,1,0,n24,1.957031,2.0
2.1132812,0.119791664,75,64,1,0,n25,1.957031,2.0
2.1822917,0.08203125,76,64,1,0,n26,1.957031,2.0
2.2447917,0.028645834,63,54,1,0,n27,1.957031,2.0
2.25,0.03515625,66,44,1,0,n28,2.25,3.0
2.2565105,0.075520836,78,72,1,0,n29,2.25,3.0
2.3177083,0.072916664,80,71,1,0,n30,2.25,3.0
2.4036458,0.059895832,76,67,1,0,n31,2.25,3.0
2.467448,0.095052086,78,70,1,0,n32,2.25,3.0
2.53125,0.04296875,64,58,1,0,n33,2.25,3.0
2.5338542,0.072916664,80,65,1,0,n34,2.533854,4.0
2.5351562,0.03515625,61,48,1,0,n35,2.533854,4.0
2.5898438,0.040364582,81,64,1,0,n36,2.533854,4.0
2.6783855,0.069010414,80,70,1,0,n37,2.533854,4.0
2.7721355,0.0390625,85,70,1,0,n38,2.533854,4.0
2.8203125,0.04296875,57,66,1,0,n39,2.533854,4.0
2.8255208,0.037760418,66,66,1,0,n40,2.533854,4.0
2.8411458,0.067708336,78,74,1,0,n41,2.8333335,5.0
2.8515625,0.033854168,61,44,1,0,n42,2.8333335,5.0
2.9127605,0.065104164,80,65,1,0,n43,2.8333335,5.0
2.9947917,0.059895832,78,68,1,0,n44,2.8333335,5.0
3.0585938,0.09765625,85,69,1,0,n45,2.8333335,5.0
3.1158855,0.065104164,76,80,1,0,n46,2.8333335,5.0
3.1184895,0.037760418,64,67,1,0,n47,2.8333335,5.0
3.1210938,0.037760418,56,68,1,0,n48,3.119792,6.0
3.125,0.03515625,61,40,1,0,n49,3.119792,6.0
3.2005208,0.06640625,78,71,1,0,n50,3.119792,6.0
3.2578125,0.049479168,76,70,1,0,n51,3.119792,6.0
3.3346355,0.104166664,85,69,1,0,n52,3.119792,6.0
3.3997395,0.037760418,61,20,1,0,n53,3.119792,6.0
3.407552,0.055989582,75,83,1,0,n54,3.119792,6.0
3.4153645,0.036458332,54,46,1,0,n55,3.4114585,7.0
3.4244792,0.045572918,63,39,1,0,n56,3.4114585,7.0
3.498698,0.0546875,76,61,1,0,n57,3.4114585,7.0
3.5559895,0.067708336,75,73,1,0,n58,3.4114585,7.0
3.578125,0.069010414,49,51,1,0,n59,3.4114585,7.0
3.6601562,0.1328125,85,61,1,0,n60,3.4114585,7.0
3.6653645,0.115885414,56,50,1,0,n61,3.6608076,8.0
3.7135417,0.040364582,64,63,1,0,n62,3.6608076,8.0
3.7434895,0.052083332,73,73,1,0,n63,3.6608076,8.0
3.829427,0.08203125,80,66,1,0,n64,3.6608076,8.0
3.8932292,0.046875,44,72,1,0,n65,3.6608076,8.0
3.9023438,0.055989582,88,75,1,0,n66,3.6608076,8.0
3.9570312,0.13932292,81,78,1,0,n67,3.6608076,8.0
3.9570312,0.0013020834,86,33,1,0,n68,3.6608076,8.0
