xml_id	midi_id	track	channel	pitch	onset
n13-1	n2	1	0	54	2.0299125
n17-1	deletion
n21-1	n14	1	0	54	2.5186940624999994
n14-1	n3	1	0	58	2.0379253125
n22-1	n16	1	0	58	2.530713281249999
n18-1	n7	1	0	59	2.2609485937500002
n15-1	n4	1	0	61	2.04727359375
n23-1	n17	1	0	61	2.5427324999999987
n19-1	n9	1	0	63	2.270296875
n16-1	n1	1	0	66	2.0218996875
n20-1	n10	1	0	66	2.2863225000000003
n24-1	n13	1	0	66	2.5173585937499996
n11-1	n21	1	0	78	2.8699223437499977
n9-1	n19	1	0	82	2.6736084374999978
n12-1	n22	1	0	82	2.9700824999999975
n3-1	n6	1	0	85	2.18616234375
n7-1	n15	1	0	85	2.5186940624999994
n10-1	n20	1	0	85	2.763084843749998
n5-1	n11	1	0	87	2.3477540625
n1-1	n0	1	0	90	2.00720953125
n4-1	n8	1	0	90	2.2662904687500003
n6-1	n12	1	0	90	2.4318885937499997
n8-1	n18	1	0	90	2.606834999999998
n2-1	n5	1	0	94	2.09000859375
n38-1	n23	1	0	42	3.0341849999999972
n39-1	n25	1	0	54	3.0622298437499973
n40-1	n29	1	0	59	3.306620624999997
n41-1	n31	1	0	63	3.3199753124999973
n42-1	n30	1	0	66	3.306620624999997
n28-1	n27	1	0	73	3.2037895312499973
n30-1	n32	1	0	75	3.381406874999997
n26-1	n24	1	0	78	3.035520468749997
n29-1	n28	1	0	78	3.303949687499997
n31-1	n33	1	0	78	3.456193124999997
n27-1	n26	1	0	82	3.114313124999997
n43-1	n35	1	0	58	3.573714374999997
n44-1	n37	1	0	61	3.587069062499997
n47-1	n44	1	0	61	4.091876249999997
n62-1	deletion
n45-1	n36	1	0	66	3.577720781249997
n36-1	n41	1	0	66	3.896897812499996
n34-1	n39	1	0	70	3.725957812499996
n37-1	n42	1	0	70	3.990380624999996
n32-1	n34	1	0	73	3.559024218749997
n35-1	n40	1	0	73	3.8100923437499956
n33-1	n38	1	0	78	3.6645262499999958
n59-1	n43	1	0	37	4.091876249999997
n60-1	n45	1	0	49	4.097218124999997
n61-1	n49	1	0	56	4.3816729687499985
n63-1	n48	1	0	65	4.370989218749998
n49-1	n47	1	0	68	4.304215781249997
n51-1	n51	1	0	68	4.4497818749999976
n48-1	n46	1	0	73	4.201384687499997
n50-1	n50	1	0	73	4.384343906249998
n52-1	n52	1	0	80	4.560625781249998
n67-1	n58	1	0	44	4.903841249999995
n64-1	n54	1	0	56	4.647431249999997
n65-1	deletion
n66-1	n53	1	0	63	4.635412031249997
n53-1	n55	1	0	68	4.654108593749997
n55-1	n57	1	0	75	4.8210421874999945
n57-1	n60	1	0	75	5.012014218749995
n54-1	n56	1	0	80	4.743584999999995
n56-1	n59	1	0	80	4.910518593749995
n58-1	deletion
n87-1	n62	1	0	49	5.181618749999995
n80-1	n66	1	0	56	5.426009531249994
n81-1	n68	1	0	59	5.448712499999995
n82-1	n67	1	0	63	5.434022343749994
n68-1	n63	1	0	75	5.182954218749995
n70-1	n65	1	0	80	5.365913437499994
n72-1	n70	1	0	80	5.5355179687499945
n69-1	n64	1	0	87	5.273766093749995
n71-1	n69	1	0	87	5.4500479687499945
n73-1	n71	1	0	92	5.6263298437499945
n83-1	n73	1	0	56	5.707793437499994
n84-1	n75	1	0	59	5.731831874999994
n85-1	n72	1	0	61	5.706457968749994
n74-1	n74	1	0	80	5.709128906249994
n76-1	n77	1	0	85	5.905442812499993
n78-1	n79	1	0	85	6.083060156249993
n75-1	n76	1	0	92	5.805282656249994
n77-1	n78	1	0	92	5.986906406249992
n79-1	n80	1	0	97	6.160517343749993
n100-1	n84	1	0	54	6.258006562499993
n104-1	n91	1	0	54	6.530442187499992
n101-1	n85	1	0	58	6.258006562499993
n105-1	n90	1	0	59	6.525100312499992
n102-1	n82	1	0	61	6.248658281249993
n106-1	n89	1	0	63	6.514416562499992
n103-1	n81	1	0	66	6.245987343749993
n107-1	n88	1	0	66	6.510410156249992
n90-1	n87	1	0	85	6.436959374999992
n92-1	n93	1	0	87	6.6199185937499925
n88-1	n83	1	0	90	6.254000156249993
n91-1	n92	1	0	90	6.531777656249992
n93-1	n94	1	0	90	6.7107304687499925
n89-1	n86	1	0	94	6.351489374999991
n108-1	n96	1	0	54	6.782845781249993
n109-1	n97	1	0	58	6.786852187499992
n110-1	n98	1	0	61	6.786852187499992
n111-1	n95	1	0	66	6.772162031249993
n98-1	n103	1	0	78	7.130067656249991
n96-1	n101	1	0	82	6.957792187499991
n99-1	n104	1	0	82	7.220879531249991
n94-1	n99	1	0	85	6.794864999999992
n97-1	n102	1	0	85	7.0459331249999915
n95-1	n100	1	0	90	6.88300593749999
n125-1	n105	1	0	42	7.301007656249991
n126-1	n106	1	0	54	7.310355937499991
n127-1	n110	1	0	59	7.5681014062499905
n128-1	n111	1	0	63	7.58279156249999
n129-1	n113	1	0	66	7.58679796874999
n115-1	n109	1	0	73	7.49064421874999
n117-1	n114	1	0	75	7.66425515624999
n113-1	n107	1	0	78	7.319704218749991
n116-1	n112	1	0	78	7.58279156249999
n118-1	n115	1	0	78	7.75506703124999
n114-1	n108	1	0	82	7.395825937499991
n130-1	n117	1	0	58	7.86724640624999
n131-1	n119	1	0	61	7.88994937499999
n132-1	n118	1	0	66	7.8752592187499895
n123-1	n123	1	0	66	8.195771718749988
n121-1	n121	1	0	70	8.01815437499999
n124-1	n124	1	0	70	8.287919062499988
n119-1	n116	1	0	73	7.86190453124999
n122-1	n122	1	0	73	8.112972656249989
n120-1	n120	1	0	78	7.94603906249999
n146-1	n126	1	0	47	8.414788593749986
n147-1	n131	1	0	56	8.737972031249985
n134-1	n125	1	0	63	8.406775781249987
n148-1	n130	1	0	63	8.729959218749984
n136-1	n128	1	0	68	8.605760624999984
n138-1	n132	1	0	68	8.786048906249986
n135-1	n127	1	0	75	8.501594062499983
n137-1	n129	1	0	75	8.689895156249985
n139-1	n133	1	0	80	8.899563749999988
n141-1	n135	1	0	80	9.073174687499987
n149-1	n137	1	0	47	9.22408265624999
n140-1	n134	1	0	75	8.999723906249987
n142-1	n136	1	0	75	9.13994812499999
n144-1	n139	1	0	80	9.354958593749993
n143-1	n138	1	0	87	9.240108281249992
n145-1	n141	1	0	92	9.441764062499992
n162-1	n140	1	0	46	9.440428593749992
n163-1	n142	1	0	53	9.497853749999994
n165-1	n147	1	0	58	9.833056406249995
n164-1	n144	1	0	62	9.606026718749996
n166-1	n146	1	0	65	9.826379062499994
n167-1	n150	1	0	74	9.978622499999995
n150-1	n143	1	0	82	9.577981874999995
n152-1	n148	1	0	82	9.851752968749995
n154-1	n151	1	0	82	10.070769843749995
n151-1	n145	1	0	94	9.710193281249994
n153-1	n149	1	0	94	9.957254999999995
n155-1	n152	1	0	94	10.198974843749994
n156-1	n153	1	0	82	10.289786718749994
n158-1	n155	1	0	82	10.514145468749994
n160-1	n157	1	0	82	10.739839687499993
n157-1	n154	1	0	94	10.403301562499994
n159-1	n156	1	0	94	10.637008593749993
n161-1	n158	1	0	94	10.873386562499995
n181-1	n161	1	0	54	11.017617187499996
n185-1	n167	1	0	54	11.270020781249995
n182-1	n163	1	0	58	11.021623593749995
n186-1	n170	1	0	59	11.278033593749994
n183-1	n162	1	0	61	11.020288124999995
n187-1	n166	1	0	63	11.266014374999996
n184-1	n160	1	0	66	11.010939843749997
n188-1	n168	1	0	66	11.275362656249994
n171-1	n165	1	0	85	11.203247343749997
n173-1	n171	1	0	87	11.364839062499994
n169-1	n159	1	0	90	11.006933437499997
n172-1	n169	1	0	90	11.276698124999994
n176-1	n178	1	0	90	11.633268281249993
n174-1	deletion
n170-1	n164	1	0	94	11.104422656249996
n189-1	n175	1	0	54	11.534443593749995
n190-1	n177	1	0	58	11.543791874999995
n191-1	n176	1	0	61	11.542456406249995
n192-1	n173	1	0	66	11.527766249999996
n179-1	n181	1	0	78	11.888342812499996
n177-1	n179	1	0	82	11.720073749999994
n180-1	n182	1	0	82	11.997851249999998
n175-1	n174	1	0	85	11.533108124999995
n178-1	n180	1	0	85	11.806879218749996
n206-1	n183	1	0	42	12.057947343749998
n207-1	n184	1	0	54	12.071302031249997
n208-1	n188	1	0	59	12.342402187500001
n209-1	n191	1	0	63	12.363769687500001
n210-1	n189	1	0	66	12.349079531250002
n196-1	n187	1	0	73	12.26360953125
n198-1	n192	1	0	75	12.441226874999998
n194-1	n185	1	0	78	12.094004999999997
n197-1	n190	1	0	78	12.362434218750002
n199-1	n193	1	0	78	12.520019531249998
n195-1	n186	1	0	82	12.176804062499999
n211-1	n195	1	0	58	12.641547187499997
n212-1	n196	1	0	61	12.646889062499996
n204-1	n200	1	0	66	12.968737031249995
n213-1	deletion
n202-1	n198	1	0	70	12.789784218749997
n205-1	n201	1	0	70	13.052871562499996
n200-1	n194	1	0	73	12.624186093749998
