xml_id	midi_id	track	channel	pitch	onset
n13-1	n1	0	0	54	2.013886875
n17-1	n11	0	0	54	2.278309687499999
n21-1	n17	0	0	54	2.528042343749998
n14-1	n2	0	0	58	2.0152223437499996
n22-1	n18	0	0	58	2.528042343749998
n18-1	n9	0	0	59	2.267625937499999
n15-1	n4	0	0	61	2.0218996874999995
n23-1	n16	0	0	61	2.524035937499998
n19-1	n8	0	0	63	2.2662904687499994
n16-1	n0	0	0	66	2.00720953125
n20-1	n10	0	0	66	2.272967812499999
n24-1	n14	0	0	66	2.510681249999998
n11-1	n22	0	0	78	2.8378710937499974
n9-1	n20	0	0	82	2.6963114062499978
n12-1	n23	0	0	82	2.9059799999999973
n3-1	n6	0	0	85	2.1941751562499996
n7-1	n15	0	0	85	2.516023124999998
n10-1	n21	0	0	85	2.7710976562499976
n5-1	n12	0	0	87	2.350424999999998
n1-1	n3	0	0	90	2.0152223437499996
n4-1	n7	0	0	90	2.2529357812499993
n6-1	n13	0	0	90	2.430553124999998
n8-1	n19	0	0	90	2.6121768749999976
n2-1	n5	0	0	94	2.0940149999999993
n38-1	n25	0	0	42	3.004804687499997
n39-1	deletion
n40-1	n29	0	0	59	3.2678920312499966
n41-1	n30	0	0	63	3.2759048437499967
n42-1	n28	0	0	66	3.2518664062499965
n28-1	n26	0	0	73	3.1396870312499967
n30-1	n31	0	0	75	3.3079560937499966
n26-1	n24	0	0	78	2.992785468749997
n29-1	n27	0	0	78	3.2278279687499967
n31-1	n32	0	0	78	3.382742343749996
n27-1	deletion
n43-1	n35	0	0	58	3.493586249999995
n44-1	n36	0	0	61	3.500263593749995
n45-1	n34	0	0	66	3.489579843749995
n36-1	n40	0	0	66	3.763350937499994
n34-1	n38	0	0	70	3.635145937499994
n37-1	n41	0	0	70	3.848820937499994
n32-1	n33	0	0	73	3.4788960937499955
n35-1	n39	0	0	73	3.689900156249994
n48-1	n45	0	0	73	4.034451093749993
n50-1	deletion
n33-1	n37	0	0	78	3.5750498437499942
n59-1	n43	0	0	37	3.965006718749994
n60-1	n44	0	0	49	3.979696874999994
n61-1	n48	0	0	56	4.212068437499994
n47-1	n42	0	0	61	3.963671249999994
n62-1	n49	0	0	61	4.224087656249994
n63-1	n47	0	0	65	4.1973782812499945
n49-1	n46	0	0	68	4.150636874999995
n51-1	n53	0	0	68	4.464472031249993
n52-1	n52	0	0	80	4.423072499999992
n67-1	n59	0	0	44	4.732901249999991
n64-1	n55	0	0	56	4.487174999999992
n65-1	n56	0	0	59	4.5112134374999915
n66-1	n54	0	0	63	4.477826718749992
n53-1	n58	0	0	68	4.670134218749991
n55-1	deletion
n57-1	deletion
n54-1	n57	0	0	80	4.59668343749999
n56-1	n60	0	0	80	4.752933281249991
n58-1	deletion
n87-1	n63	0	0	49	4.975956562499992
n80-1	n65	0	0	56	5.220347343749995
n81-1	n67	0	0	59	5.267088749999995
n82-1	n66	0	0	63	5.225689218749995
n68-1	n68	0	0	75	5.369919843749995
n70-1	n62	0	0	80	4.9412343749999925
n72-1	n73	0	0	80	5.492782968749993
n69-1	n64	0	0	87	5.196308906249995
n71-1	n69	0	0	87	5.401971093749995
n73-1	deletion
n83-1	n72	0	0	56	5.490112031249994
n84-1	n71	0	0	59	5.482099218749994
n85-1	n70	0	0	61	5.479428281249994
n74-1	n75	0	0	80	5.671735781249993
n76-1	deletion
n90-1	n82	0	0	85	6.221948906249996
n94-1	n92	0	0	85	6.561157968749996
n78-1	deletion
n75-1	n74	0	0	92	5.616981562499992
n77-1	n76	0	0	92	5.787921562499994
n79-1	deletion
n100-1	n80	0	0	54	6.055015312499997
n104-1	n87	0	0	54	6.308754374999996
n101-1	n78	0	0	58	6.0443315624999965
n105-1	n84	0	0	59	6.290057812499996
n102-1	n79	0	0	61	6.048337968749997
n106-1	n83	0	0	63	6.2820449999999965
n103-1	n77	0	0	66	6.040325156249996
n107-1	n85	0	0	66	6.295399687499996
n92-1	n88	0	0	87	6.3902179687499965
n91-1	n86	0	0	90	6.300741562499996
n93-1	n89	0	0	90	6.4863717187499965
n88-1	deletion
n89-1	n81	0	0	94	6.123124218749997
n108-1	n93	0	0	54	6.563828906249996
n126-1	deletion
n109-1	n94	0	0	58	6.5664998437499955
n110-1	n91	0	0	61	6.557151562499996
n111-1	n90	0	0	66	6.5544806249999965
n98-1	n98	0	0	78	6.848283749999995
n96-1	n96	0	0	82	6.7374398437499945
n99-1	n99	0	0	82	6.9297473437499955
n97-1	n97	0	0	85	6.7601428124999945
n95-1	n95	0	0	90	6.661318124999995
n125-1	n100	0	0	42	7.017888281249995
n127-1	n105	0	0	59	7.272962812499996
n128-1	n107	0	0	63	7.297001249999996
n129-1	n106	0	0	66	7.283646562499996
n115-1	n103	0	0	73	7.188828281249996
n117-1	n108	0	0	75	7.325046093749996
n113-1	n101	0	0	78	7.029907499999995
n116-1	n104	0	0	78	7.2529307812499955
n118-1	n109	0	0	78	7.418528906249998
n114-1	n102	0	0	82	7.073977968749994
n130-1	n112	0	0	58	7.517353593749997
n131-1	n113	0	0	61	7.525366406249996
n132-1	n111	0	0	66	7.503998906249997
n123-1	n116	0	0	66	7.7791054687499965
n121-1	n114	0	0	70	7.634874843749997
n124-1	n117	0	0	70	7.8472143749999965
n119-1	n110	0	0	73	7.490644218749997
n122-1	n115	0	0	73	7.7056546874999965
n120-1	deletion
n146-1	n119	0	0	47	7.975419374999998
n147-1	n123	0	0	56	8.253196874999997
n134-1	n118	0	0	63	7.9660710937499974
n148-1	n124	0	0	63	8.253196874999997
n136-1	n121	0	0	68	8.139682031249997
n138-1	n125	0	0	68	8.287919062499997
n135-1	n120	0	0	75	8.054212031249996
n137-1	n122	0	0	75	8.211797343749998
n139-1	n126	0	0	80	8.380066406249995
n141-1	n128	0	0	80	8.518955156249998
n149-1	n130	0	0	47	8.697907968750002
n140-1	n127	0	0	75	8.466871874999997
n142-1	n129	0	0	75	8.612437968750001
n144-1	n132	0	0	80	8.78604890625
n143-1	n131	0	0	87	8.701914375000001
n145-1	n133	0	0	92	8.892886406250001
n162-1	n135	0	0	46	8.920931250000002
n163-1	n136	0	0	53	8.958324375000004
n165-1	n140	0	0	58	9.256133906250005
n164-1	n138	0	0	62	9.062490937500003
n166-1	n142	0	0	65	9.274830468750004
n167-1	n143	0	0	74	9.415054687500001
n150-1	n137	0	0	82	9.039787968750003
n152-1	n141	0	0	82	9.268153125000005
n154-1	n145	0	0	82	9.533911406250004
n151-1	n139	0	0	94	9.154638281250003
