xml_id	midi_id	track	channel	pitch	onset
n13-1	n2	0	0	54	2.0811945000000005
n17-1	n11	0	0	54	2.353630125000001
n21-1	n16	0	0	54	2.5662367500000025
n14-1	n4	0	0	58	2.0993568750000007
n22-1	n17	0	0	58	2.5694418750000025
n18-1	n8	0	0	59	2.318373750000001
n15-1	n3	0	0	61	2.0897415000000006
n23-1	n18	0	0	61	2.5705102500000026
n19-1	n9	0	0	63	2.318373750000001
n16-1	n1	0	0	66	2.0769210000000005
n20-1	n10	0	0	66	2.323715625000001
n24-1	n15	0	0	66	2.5576897500000024
n11-1	n23	0	0	78	2.9006381250000035
n9-1	n20	0	0	82	2.7254246250000036
n12-1	deletion
n3-1	n6	0	0	85	2.211536250000001
n7-1	n14	0	0	85	2.5534162500000024
n10-1	n22	0	0	85	2.8205100000000036
n5-1	n12	0	0	87	2.380339500000001
n1-1	n0	0	0	90	2.050211625
n4-1	n7	0	0	90	2.290596000000001
n6-1	n13	0	0	90	2.4754248750000016
n8-1	n19	0	0	90	2.6452965000000033
n2-1	n5	0	0	94	2.132476500000001
n38-1	n26	0	0	42	3.0918772500000036
n39-1	n27	0	0	54	3.0950823750000036
n40-1	n33	0	0	59	3.3952957500000047
n41-1	n31	0	0	63	3.3664496250000044
n42-1	n32	0	0	66	3.3824752500000046
n28-1	n29	0	0	73	3.2777745000000045
n30-1	deletion
n26-1	n25	0	0	78	3.0865353750000035
n29-1	n30	0	0	78	3.3482872500000043
n31-1	n36	0	0	78	3.517090500000005
n27-1	n28	0	0	82	3.1730737500000044
n43-1	n38	0	0	58	3.6335433750000052
n44-1	n40	0	0	61	3.6431587500000053
n45-1	n37	0	0	66	3.631406625000005
n36-1	n44	0	0	66	3.981833625000006
n34-1	n42	0	0	70	3.8034150000000055
n37-1	n45	0	0	70	4.074782250000006
n32-1	n39	0	0	73	3.6420903750000053
n35-1	n43	0	0	73	3.8963636250000055
n33-1	n41	0	0	78	3.7296971250000053
n59-1	n46	0	0	37	4.165594125000006
n60-1	n47	0	0	49	4.167730875000006
n61-1	n54	0	0	56	4.4764912500000085
n47-1	n48	0	0	61	4.1848248750000065
n62-1	n53	0	0	61	4.469012625000008
n63-1	n51	0	0	65	4.450850250000008
n49-1	n50	0	0	68	4.3749956250000075
n51-1	n55	0	0	68	4.556619375000009
n48-1	n49	0	0	73	4.2841837500000075
n50-1	n52	0	0	73	4.451918625000008
n52-1	n56	0	0	80	4.62606375000001
n67-1	n64	0	0	44	4.969012125000012
n64-1	n58	0	0	56	4.707260250000011
n65-1	n60	0	0	59	4.720080750000011
n66-1	n59	0	0	63	4.709397000000011
n53-1	n57	0	0	68	4.706191875000011
n55-1	n62	0	0	75	4.865379750000012
n57-1	n65	0	0	75	5.037388125000013
n54-1	n61	0	0	80	4.800208875000012
n56-1	n63	0	0	80	4.946576250000012
n58-1	n66	0	0	87	5.133541875000013
n87-1	n68	0	0	49	5.216875125000013
n80-1	n74	0	0	56	5.485037250000015
n81-1	n72	0	0	59	5.4690116250000145
n82-1	n73	0	0	63	5.482900500000015
n68-1	n67	0	0	75	5.207259750000013
n70-1	n70	0	0	80	5.378199750000014
n72-1	n76	0	0	80	5.559823500000015
n69-1	n69	0	0	87	5.309823750000013
n71-1	n71	0	0	87	5.463669750000014
n73-1	n77	0	0	92	5.649567000000016
n83-1	n79	0	0	56	5.755336125000017
n84-1	n81	0	0	59	5.774566875000017
n85-1	n80	0	0	61	5.770293375000017
n74-1	n78	0	0	80	5.743584000000017
n76-1	n83	0	0	85	5.893156500000018
n78-1	n85	0	0	85	6.077985375000018
n75-1	n82	0	0	92	5.819438625000018
n77-1	n84	0	0	92	5.989310250000018
n79-1	n86	0	0	97	6.1570451250000175
n100-1	n90	0	0	54	6.261745875000018
n104-1	n98	0	0	54	6.524566125000019
n101-1	n91	0	0	58	6.266019375000018
n105-1	n96	0	0	59	6.516019125000019
n102-1	n89	0	0	61	6.252130500000018
n106-1	n95	0	0	63	6.508540500000019
n103-1	n88	0	0	66	6.249993750000018
n107-1	n97	0	0	66	6.519224250000019
n90-1	n93	0	0	85	6.429480750000019
n92-1	n99	0	0	87	6.58973700000002
n88-1	n87	0	0	90	6.236104875000017
n91-1	n94	0	0	90	6.501061875000019
n93-1	n100	0	0	90	6.682685625000021
n89-1	n92	0	0	94	6.340805625000018
n108-1	n104	0	0	54	6.791659875000022
n109-1	n103	0	0	58	6.790591500000022
n110-1	n105	0	0	61	6.795933375000022
n111-1	n102	0	0	66	6.783112875000022
n98-1	n109	0	0	78	7.099351875000023
n96-1	n107	0	0	82	6.928411875000022
n99-1	n110	0	0	82	7.190163750000023
n94-1	n101	0	0	85	6.766018875000022
n97-1	n108	0	0	85	7.024565625000022
n95-1	n106	0	0	90	6.834394875000022
n125-1	n112	0	0	42	7.290591000000023
n126-1	n113	0	0	54	7.313026875000023
n127-1	deletion
n128-1	n117	0	0	63	7.583325750000025
n129-1	n118	0	0	66	7.608966750000025
n115-1	n115	0	0	73	7.466872875000025
n117-1	n119	0	0	75	7.655975250000026
n113-1	n111	0	0	78	7.288454250000023
n116-1	n116	0	0	78	7.558753125000025
n118-1	n120	0	0	78	7.7318298750000265
n114-1	n114	0	0	82	7.376061000000024
n130-1	n123	0	0	58	7.865376750000028
n131-1	n124	0	0	61	7.867513500000028
n132-1	n122	0	0	66	7.860034875000028
n123-1	n128	0	0	66	8.174137125000026
n121-1	n126	0	0	70	7.997855250000028
n124-1	n129	0	0	70	8.277769500000026
n119-1	n121	0	0	73	7.827983625000027
n122-1	n127	0	0	73	8.095077375000027
n120-1	n125	0	0	78	7.923069000000028
n146-1	n130	0	0	47	8.385675375000027
n147-1	n135	0	0	56	8.742512625000016
n134-1	n131	0	0	63	8.387812125000027
n148-1	n136	0	0	63	8.762811750000015
n136-1	n133	0	0	68	8.605760625000018
n138-1	n137	0	0	68	8.809820250000016
n135-1	n132	0	0	75	8.501059875000022
n137-1	n134	0	0	75	8.695504125000015
n139-1	n138	0	0	80	8.872854375000015
n141-1	n140	0	0	80	9.026700375000013
n149-1	n142	0	0	47	9.161315625000011
n140-1	n139	0	0	75	8.949777375000014
n142-1	n141	0	0	75	9.116443875000012
n144-1	n144	0	0	80	9.29165737500001
n143-1	n143	0	0	87	9.184819875000011
n145-1	n145	0	0	92	9.35896500000001
n162-1	n146	0	0	46	9.42413587500001
n163-1	n148	0	0	53	9.534178500000008
n165-1	n153	0	0	58	9.887810625000004
n164-1	n151	0	0	62	9.712597125000004
n166-1	n155	0	0	65	9.941229375000002
n167-1	n158	0	0	74	10.099348875
n150-1	n147	0	0	82	9.469007625000009
n152-1	n150	0	0	82	9.691229625000004
n154-1	n154	0	0	82	9.888879000000003
n151-1	n149	0	0	94	9.565161375000008
n153-1	n152	0	0	94	9.777768000000004
n155-1	n156	0	0	94	9.988237875000001
n156-1	n157	0	0	82	10.098280500000001
n158-1	n160	0	0	82	10.324776
n160-1	n162	0	0	82	10.575844125000001
n157-1	n159	0	0	94	10.20725475
n159-1	n161	0	0	94	10.418793
n161-1	n163	0	0	94	10.707254250000002
n181-1	n167	0	0	54	10.873920750000002
n185-1	n175	0	0	54	11.155971749999999
n182-1	n168	0	0	58	10.907040375000001
n186-1	n174	0	0	59	11.136740999999999
n183-1	n166	0	0	61	10.869647250000002
n187-1	n172	0	0	63	11.1239205
n184-1	n165	0	0	66	10.867510500000002
n188-1	n173	0	0	66	11.133535875
n171-1	n170	0	0	85	11.027766750000001
n173-1	n176	0	0	87	11.196569999999998
n169-1	n164	0	0	90	10.856826750000002
n172-1	n171	0	0	90	11.105758125000001
n174-1	n177	0	0	90	11.289518624999998
n176-1	n183	0	0	90	11.448706499999993
n170-1	n169	0	0	94	10.947638625000002
n189-1	n182	0	0	54	11.404903124999995
n190-1	n181	0	0	58	11.399561249999996
n191-1	n180	0	0	61	11.398492874999997
n192-1	n179	0	0	66	11.393150999999998
n179-1	n186	0	0	78	11.724347249999994
n177-1	n184	0	0	82	11.545928624999993
n180-1	n187	0	0	82	11.821569374999994
n175-1	n178	0	0	85	11.377125374999999
n178-1	n185	0	0	85	11.633535374999994
n206-1	n189	0	0	42	11.920928249999994
n207-1	n190	0	0	54	11.942295749999994
n208-1	n196	0	0	59	12.21259462499999
n209-1	n194	0	0	63	12.205115999999991
n210-1	n195	0	0	66	12.20618437499999
n196-1	n192	0	0	73	12.097210124999993
n198-1	n197	0	0	75	12.289517624999988
n194-1	n188	0	0	78	11.917723124999995
n197-1	n193	0	0	78	12.191227124999992
n199-1	n198	0	0	78	12.370714124999989
n195-1	n191	0	0	82	11.989304249999993
n211-1	n200	0	0	58	12.495713999999989
n212-1	n202	0	0	61	12.499987499999989
n213-1	n201	0	0	66	12.495713999999989
n204-1	n206	0	0	66	12.829046999999987
n202-1	n204	0	0	70	12.652765124999986
n205-1	n207	0	0	70	12.919858874999987
n200-1	n199	0	0	73	12.489303749999989
n203-1	n205	0	0	73	12.742508624999987
n201-1	n203	0	0	78	12.543790874999987
n227-1	n208	0	0	37	13.021354499999987
n228-1	n210	0	0	49	13.032038249999987
n229-1	n215	0	0	56	13.320499499999983
n215-1	n209	0	0	61	13.029901499999987
n230-1	n214	0	0	61	13.313020874999983
n231-1	n213	0	0	65	13.311952499999984
n217-1	n212	0	0	68	13.238234624999984
n219-1	n216	0	0	68	13.382465249999981
n216-1	n211	0	0	73	13.133533874999985
n218-1	deletion
n220-1	n217	0	0	80	13.475413874999981
n235-1	n225	0	0	44	13.846139999999977
n232-1	n220	0	0	56	13.57477274999998
n233-1	n221	0	0	59	13.588661624999979
n234-1	n219	0	0	63	13.57370437499998
n221-1	n218	0	0	68	13.56729412499998
n223-1	n223	0	0	75	13.739302499999978
n225-1	n226	0	0	75	13.920926249999978
n222-1	n222	0	0	80	13.663447874999978
n224-1	n224	0	0	80	13.819430624999978
n226-1	n227	0	0	87	14.012806499999979
n255-1	n229	0	0	49	14.11109699999998
n248-1	n235	0	0	56	14.379259124999978
n249-1	n233	0	0	59	14.362165124999978
n250-1	n234	0	0	63	14.372848874999978
n236-1	n228	0	0	75	14.10468674999998
n238-1	n231	0	0	80	14.274558374999978
n240-1	n237	0	0	80	14.450840249999974
n237-1	n230	0	0	87	14.196566999999979
n239-1	n232	0	0	87	14.356823249999978
n241-1	n238	0	0	92	14.540583749999971
n251-1	n240	0	0	56	14.654899874999971
n252-1	n242	0	0	59	14.66558362499997
n253-1	n241	0	0	61	14.661310124999972
n242-1	n239	0	0	80	14.638874249999972
n244-1	n244	0	0	85	14.808745874999968
n246-1	n246	0	0	85	14.987164499999967
n243-1	n243	0	0	92	14.730754499999968
n245-1	n245	0	0	92	14.896352624999967
n247-1	n247	0	0	97	15.063019124999967
n268-1	n251	0	0	54	15.145283999999965
n272-1	n259	0	0	54	15.425198249999957
n269-1	n252	0	0	58	15.151694249999965
n273-1	n258	0	0	59	15.417719624999958
n270-1	n250	0	0	61	15.133531874999965
n274-1	n255	0	0	63	15.39955724999996
n271-1	n248	0	0	66	15.129258374999967
n275-1	n256	0	0	66	15.40489912499996
n258-1	n254	0	0	85	15.32583937499996
n260-1	n260	0	0	87	15.490369124999955
n256-1	n249	0	0	90	15.132463499999966
n259-1	n257	0	0	90	15.405967499999958
n261-1	n261	0	0	90	15.588659624999954
n257-1	n253	0	0	94	15.24357449999996
n276-1	n266	0	0	54	15.694428749999952
n277-1	n264	0	0	58	15.686950124999953
n278-1	n265	0	0	61	15.688018499999952
n279-1	n263	0	0	66	15.678403124999953
n266-1	n270	0	0	78	16.01494124999995
n264-1	n268	0	0	82	15.849343124999951
n267-1	n271	0	0	82	16.10361637499995
n262-1	n262	0	0	85	15.675197999999954
n265-1	n269	0	0	85	15.929471249999951
n263-1	n267	0	0	90	15.754257749999951
n293-1	n273	0	0	42	16.202975249999948
n294-1	n274	0	0	54	16.21900087499995
n295-1	n278	0	0	59	16.480752749999947
n296-1	n279	0	0	63	16.48395787499995
n297-1	n280	0	0	66	16.490368124999947
n283-1	n276	0	0	73	16.386735749999946
n285-1	n281	0	0	75	16.569427874999946
n281-1	n272	0	0	78	16.20083849999995
n284-1	n277	0	0	78	16.475410874999948
n286-1	n282	0	0	78	16.65276112499994
n282-1	n275	0	0	82	16.29165037499995
n298-1	n285	0	0	58	16.761735374999937
n299-1	n284	0	0	61	16.756393499999938
n300-1	n283	0	0	66	16.75425674999994
n291-1	n290	0	0	66	17.07904274999993
n289-1	n288	0	0	70	16.927333499999932
n292-1	n291	0	0	70	17.19763237499993
n287-1	n286	0	0	73	16.761735374999937
n290-1	n289	0	0	73	17.00639324999993
n288-1	n287	0	0	78	16.837589999999935
n314-1	n293	0	0	48	17.29912799999993
n315-1	n298	0	0	56	17.664512249999913
n302-1	n292	0	0	63	17.29485449999993
n316-1	n297	0	0	66	17.653828499999914
n304-1	n295	0	0	68	17.501050874999915
n306-1	n299	0	0	68	17.73609337499991
n303-1	n294	0	0	75	17.400623624999923
n305-1	n296	0	0	75	17.596136249999915
n307-1	n300	0	0	80	17.78951212499991
n317-1	n304	0	0	44	18.124981874999914
n308-1	n301	0	0	75	17.87818724999991
n310-1	n303	0	0	75	18.055537499999915
n309-1	n302	0	0	80	17.957246999999914
n312-1	n306	0	0	80	18.231819374999912
n311-1	n305	0	0	87	18.132460499999915
n313-1	n307	0	0	87	18.331178249999912
n319-1	n310	0	0	87	18.52669087499991
n330-1	n308	0	0	49	18.39634912499991
n331-1	n314	0	0	56	18.733955624999904
n332-1	n313	0	0	65	18.727545374999906
n322-1	n315	0	0	73	18.808741874999903
n318-1	n309	0	0	75	18.41985337499991
n320-1	n311	0	0	80	18.614297624999907
n323-1	n316	0	0	85	18.902758874999904
n321-1	n312	0	0	87	18.701904374999906
n324-1	n317	0	0	80	19.002117749999904
n326-1	n319	0	0	80	19.1869466249999
n325-1	n318	0	0	85	19.081177499999903
n328-1	n321	0	0	85	19.4305361249999
n327-1	n320	0	0	92	19.2905789999999
n329-1	n322	0	0	97	19.535236874999903
n349-1	n329	0	0	56	20.0501936249999
n346-1	n324	0	0	60	19.722202499999902
n347-1	n323	0	0	66	19.7189973749999
n369-1	n346	0	0	66	20.915577374999877
n350-1	deletion
n348-1	n325	0	0	68	19.7232708749999
n351-1	n330	0	0	68	20.0811764999999
n337-1	n331	0	0	87	20.0811764999999
n339-1	n333	0	0	87	20.23502249999989
n334-1	n326	0	0	92	19.7542537499999
n336-1	n328	0	0	92	19.974338999999905
n335-1	n327	0	0	94	19.871774999999904
n338-1	n332	0	0	99	20.143142249999894
n355-1	n341	0	0	56	20.62604774999988
n352-1	n337	0	0	61	20.362159124999884
n353-1	n336	0	0	65	20.352543749999885
n356-1	deletion
n357-1	n342	0	0	68	20.63138962499988
n354-1	n335	0	0	70	20.346133499999887
n343-1	n340	0	0	80	20.602543499999882
n345-1	n344	0	0	80	20.79271424999988
n358-1	n345	0	0	80	20.888867999999878
n340-1	n334	0	0	85	20.340791624999888
n342-1	n339	0	0	85	20.518141874999884
n341-1	n338	0	0	87	20.454039374999883
n344-1	n343	0	0	92	20.689081874999875
n371-1	n353	0	0	56	21.211517249999876
n368-1	n348	0	0	60	20.932671374999874
n372-1	deletion
n373-1	n352	0	0	68	21.204038624999875
n370-1	n347	0	0	70	20.926261124999876
n361-1	n351	0	0	75	21.163440374999873
n363-1	n355	0	0	75	21.357884624999876
n360-1	n350	0	0	80	21.084380624999874
n359-1	n349	0	0	82	20.994637124999873
n362-1	n354	0	0	87	21.257457374999877
n376-1	n361	0	0	56	21.744636374999867
n374-1	n358	0	0	61	21.50638874999987
n375-1	n357	0	0	65	21.499978499999873
n367-1	n362	0	0	68	21.751046624999866
n364-1	n356	0	0	73	21.451901624999874
n366-1	n360	0	0	73	21.649550999999875
n365-1	n359	0	0	75	21.568354499999874
n389-1	n363	0	0	48	22.04164462499986
n390-1	n368	0	0	56	22.309806749999854
n391-1	n369	0	0	63	22.315148624999853
