xml_id	midi_id	track	channel	pitch	onset
n13-1	n4	1	0	54	1.003125
n17-1	n10	1	0	54	1.2395833333333335
n21-1	n18	1	0	54	1.489583333333334
n14-1	n2	1	0	58	0.990625
n22-1	n17	1	0	58	1.4864583333333339
n18-1	n8	1	0	59	1.2322916666666668
n15-1	n3	1	0	61	0.990625
n23-1	n16	1	0	61	1.4822916666666672
n19-1	n7	1	0	63	1.2302083333333333
n16-1	n1	1	0	66	0.984375
n20-1	n9	1	0	66	1.2333333333333334
n24-1	n15	1	0	66	1.4791666666666672
n11-1	n22	1	0	78	1.808333333333334
n9-1	n20	1	0	82	1.6437500000000005
n12-1	n23	1	0	82	1.867708333333334
n3-1	n6	1	0	85	1.1552083333333334
n7-1	n14	1	0	85	1.4760416666666671
n10-1	n21	1	0	85	1.730208333333334
n5-1	n12	1	0	87	1.313541666666667
n1-1	n0	1	0	90	0.9822916666666667
n4-1	n11	1	0	90	1.240625
n6-1	n13	1	0	90	1.401041666666667
n8-1	n19	1	0	90	1.567708333333334
n2-1	n5	1	0	94	1.0718750000000001
n38-1	n25	1	0	42	1.933333333333334
n39-1	n24	1	0	54	1.9312500000000006
n40-1	n29	1	0	59	2.1885416666666675
n41-1	n32	1	0	63	2.2166666666666677
n42-1	n31	1	0	66	2.2041666666666675
n28-1	n28	1	0	73	2.1197916666666674
n30-1	n33	1	0	75	2.2729166666666676
n26-1	n26	1	0	78	1.9604166666666674
n29-1	n30	1	0	78	2.189583333333334
n31-1	n34	1	0	78	2.3510416666666676
n27-1	n27	1	0	82	2.0604166666666672
n43-1	n38	1	0	58	2.4437500000000005
n44-1	n37	1	0	61	2.423958333333334
n45-1	n35	1	0	66	2.421875000000001
n36-1	n42	1	0	66	2.7187500000000013
n34-1	n40	1	0	70	2.583333333333335
n37-1	n43	1	0	70	2.797916666666668
n32-1	n36	1	0	73	2.421875000000001
n35-1	n41	1	0	73	2.657291666666668
n33-1	n39	1	0	78	2.543750000000001
n59-1	n45	1	0	37	2.880208333333335
n60-1	n44	1	0	49	2.8781250000000016
n61-1	n52	1	0	56	3.1552083333333347
n47-1	n46	1	0	61	2.9166666666666683
n62-1	n51	1	0	61	3.138541666666668
n63-1	n49	1	0	65	3.1218750000000015
n49-1	n48	1	0	68	3.0458333333333347
n51-1	n53	1	0	68	3.210416666666668
n48-1	n47	1	0	73	2.966666666666668
n50-1	n50	1	0	73	3.132291666666668
n52-1	n54	1	0	80	3.293750000000001
n67-1	n62	1	0	44	3.6125000000000016
n64-1	n58	1	0	56	3.3843750000000012
n65-1	n55	1	0	59	3.356250000000001
n66-1	n57	1	0	63	3.3739583333333347
n53-1	n56	1	0	68	3.369791666666668
n55-1	n60	1	0	75	3.516666666666668
n57-1	n63	1	0	75	3.673958333333335
n54-1	n59	1	0	80	3.4354166666666677
n56-1	n61	1	0	80	3.580208333333335
n58-1	n64	1	0	87	3.7416666666666685
n87-1	n66	1	0	49	3.8270833333333347
n80-1	n71	1	0	56	4.078125000000001
n81-1	n72	1	0	59	4.0791666666666675
n82-1	n70	1	0	63	4.059375000000001
n68-1	n65	1	0	75	3.8218750000000012
n70-1	n68	1	0	80	3.9781250000000012
n72-1	n73	1	0	80	4.138541666666667
n69-1	n67	1	0	87	3.903125000000001
n71-1	n69	1	0	87	4.052083333333335
n73-1	n74	1	0	92	4.216666666666666
n83-1	n77	1	0	56	4.296874999999998
n84-1	n75	1	0	59	4.287499999999999
n85-1	n76	1	0	61	4.289583333333332
n74-1	n78	1	0	80	4.303124999999998
n78-1	n82	1	0	85	4.602083333333331
n76-1	deletion
n75-1	n79	1	0	92	4.3822916666666645
n77-1	n81	1	0	92	4.529166666666664
n79-1	n83	1	0	97	4.6791666666666645
n100-1	n88	1	0	54	4.776041666666663
n104-1	n97	1	0	54	5.027083333333328
n101-1	n85	1	0	58	4.762499999999997
n105-1	n93	1	0	59	5.001041666666661
n102-1	n86	1	0	61	4.76458333333333
n106-1	n94	1	0	63	5.0083333333333275
n103-1	n84	1	0	66	4.757291666666664
n107-1	n95	1	0	66	5.0083333333333275
n90-1	n92	1	0	85	4.940624999999995
n92-1	n98	1	0	87	5.096874999999994
n88-1	n87	1	0	90	4.772916666666664
n91-1	n96	1	0	90	5.016666666666661
n93-1	n99	1	0	90	5.174999999999994
n89-1	n89	1	0	94	4.859374999999996
n108-1	n103	1	0	54	5.2614583333333265
n109-1	n104	1	0	58	5.264583333333326
n110-1	n102	1	0	61	5.25729166666666
n111-1	n100	1	0	66	5.253124999999994
n98-1	n108	1	0	78	5.571874999999993
n96-1	n106	1	0	82	5.414583333333327
n99-1	n109	1	0	82	5.64166666666666
n94-1	n101	1	0	85	5.256249999999993
n97-1	n107	1	0	85	5.4958333333333265
n95-1	n105	1	0	90	5.340624999999993
n125-1	n110	1	0	42	5.7041666666666595
n126-1	n111	1	0	54	5.7145833333333265
n127-1	n116	1	0	59	5.957291666666658
n128-1	n117	1	0	63	5.970833333333325
n129-1	n118	1	0	66	5.9781249999999915
n115-1	n114	1	0	73	5.8812499999999925
n117-1	n119	1	0	75	6.038541666666657
n113-1	n112	1	0	78	5.739583333333326
n116-1	n115	1	0	78	5.949999999999992
n118-1	n120	1	0	78	6.126041666666658
n114-1	n113	1	0	82	5.833333333333326
n130-1	n124	1	0	58	6.209374999999992
n131-1	n123	1	0	61	6.204166666666659
n132-1	n122	1	0	66	6.191666666666658
n123-1	n128	1	0	66	6.480208333333324
n121-1	n126	1	0	70	6.344791666666658
n124-1	n129	1	0	70	6.56562499999999
n119-1	n121	1	0	73	6.183333333333325
n122-1	n127	1	0	73	6.422916666666658
n120-1	n125	1	0	78	6.281249999999991
n146-1	n130	1	0	47	6.65312499999999
n147-1	n135	1	0	56	6.9062499999999885
n134-1	n131	1	0	63	6.667708333333324
n148-1	n134	1	0	63	6.894791666666655
n136-1	n133	1	0	68	6.833333333333322
n138-1	n137	1	0	68	6.9999999999999885
n135-1	n132	1	0	75	6.742708333333323
n137-1	n136	1	0	75	6.917708333333322
n139-1	n138	1	0	80	7.079166666666654
n141-1	n140	1	0	80	7.232291666666654
n149-1	n142	1	0	47	7.362499999999987
n140-1	n139	1	0	75	7.1614583333333215
n142-1	n141	1	0	75	7.329166666666654
n144-1	n144	1	0	80	7.511458333333322
n143-1	n143	1	0	87	7.407291666666655
n145-1	n146	1	0	92	7.598958333333321
n162-1	n145	1	0	46	7.559374999999988
n163-1	n147	1	0	53	7.624999999999987
n165-1	n151	1	0	58	7.885416666666652
n164-1	n148	1	0	62	7.70520833333332
n166-1	n153	1	0	65	7.940624999999986
n167-1	n155	1	0	74	8.060416666666654
n150-1	n149	1	0	82	7.710416666666653
n152-1	n152	1	0	82	7.936458333333319
n154-1	n156	1	0	82	8.14270833333332
n151-1	n150	1	0	94	7.806249999999985
n153-1	n154	1	0	94	8.032291666666653
n155-1	n157	1	0	94	8.24270833333332
n156-1	n158	1	0	82	8.347916666666654
n158-1	n160	1	0	82	8.584374999999987
n160-1	n162	1	0	82	8.831249999999988
n157-1	n159	1	0	94	8.468749999999988
n159-1	n161	1	0	94	8.70520833333332
n161-1	n163	1	0	94	8.967708333333322
n181-1	n168	1	0	54	9.302083333333325
n185-1	n175	1	0	54	9.520833333333327
n189-1	n181	1	0	54	9.764583333333329
n182-1	n167	1	0	58	9.280208333333325
n186-1	n171	1	0	59	9.507291666666658
n183-1	n165	1	0	61	9.279166666666658
n187-1	n172	1	0	63	9.516666666666659
n184-1	n164	1	0	66	9.272916666666658
n188-1	n173	1	0	66	9.516666666666659
n192-1	n179	1	0	66	9.751041666666662
n171-1	n170	1	0	85	9.438541666666659
n173-1	n176	1	0	87	9.58229166666666
n169-1	n166	1	0	90	9.279166666666658
n172-1	n174	1	0	90	9.51979166666666
n174-1	n177	1	0	90	9.672916666666662
n176-1	n183	1	0	90	9.83645833333333
n170-1	n169	1	0	94	9.358333333333325
n190-1	n182	1	0	58	9.764583333333329
n191-1	n180	1	0	61	9.75833333333333
n179-1	n186	1	0	78	10.059374999999998
n177-1	n184	1	0	82	9.906249999999996
n180-1	n187	1	0	82	10.136458333333332
n175-1	n178	1	0	85	9.748958333333329
n178-1	n185	1	0	85	9.99583333333333
n206-1	n188	1	0	42	10.202083333333334
n207-1	n189	1	0	54	10.204166666666667
n208-1	n195	1	0	59	10.476041666666667
n209-1	deletion
n210-1	n194	1	0	66	10.455208333333333
n196-1	n192	1	0	73	10.364583333333334
n198-1	n196	1	0	75	10.520833333333334
n194-1	n190	1	0	78	10.223958333333334
n197-1	n193	1	0	78	10.43125
n199-1	n197	1	0	78	10.594791666666667
n195-1	n191	1	0	82	10.327083333333334
n211-1	n200	1	0	58	10.682291666666668
n212-1	n201	1	0	61	10.682291666666668
n213-1	n198	1	0	66	10.672916666666667
n204-1	n205	1	0	66	10.961458333333336
n202-1	n203	1	0	70	10.82604166666667
n205-1	n206	1	0	70	11.040625000000002
n200-1	n199	1	0	73	10.679166666666667
n203-1	n204	1	0	73	10.896875000000003
n201-1	n202	1	0	78	10.809375000000003
n227-1	n207	1	0	37	11.128125000000002
n228-1	n209	1	0	49	11.133333333333336
n229-1	n215	1	0	56	11.397916666666672
n215-1	n208	1	0	61	11.12916666666667
n230-1	n214	1	0	61	11.376041666666671
n231-1	n212	1	0	65	11.361458333333339
n217-1	n211	1	0	68	11.285416666666672
n219-1	n216	1	0	68	11.451041666666674
n216-1	n210	1	0	73	11.211458333333338
n218-1	n213	1	0	73	11.361458333333339
n220-1	n217	1	0	80	11.53020833333334
n235-1	n225	1	0	44	11.834375000000009
n232-1	n218	1	0	56	11.605208333333339
n233-1	n220	1	0	59	11.60833333333334
n234-1	n221	1	0	63	11.60833333333334
n221-1	n219	1	0	68	11.607291666666672
n223-1	n223	1	0	75	11.757291666666674
n225-1	n226	1	0	75	11.910416666666677
n222-1	n222	1	0	80	11.67708333333334
n224-1	n224	1	0	80	11.820833333333342
n226-1	n227	1	0	87	11.985416666666678
n255-1	n228	1	0	49	12.061458333333345
n248-1	n235	1	0	56	12.301041666666682
n249-1	n234	1	0	59	12.289583333333349
n250-1	n232	1	0	63	12.280208333333348
n236-1	n229	1	0	75	12.063541666666678
n238-1	n231	1	0	80	12.215625000000015
n240-1	n236	1	0	80	12.373958333333348
n237-1	n230	1	0	87	12.139583333333348
n239-1	n233	1	0	87	12.288541666666681
n241-1	n237	1	0	92	12.452083333333348
n251-1	n240	1	0	56	12.527083333333348
n252-1	n239	1	0	59	12.520833333333348
n253-1	n238	1	0	61	12.516666666666682
n242-1	n241	1	0	80	12.532291666666682
n246-1	n245	1	0	85	12.834375000000017
n244-1	deletion
n243-1	n242	1	0	92	12.612500000000017
n245-1	n244	1	0	92	12.753125000000018
n247-1	n246	1	0	97	12.916666666666684
n268-1	n251	1	0	54	13.01458333333335
n272-1	n258	1	0	54	13.262500000000019
n269-1	n250	1	0	58	13.001041666666683
n273-1	n254	1	0	59	13.23333333333335
n270-1	n248	1	0	61	12.996875000000017
