xml_id	midi_id	track	channel	pitch	onset
n13-1	n0	0	0	54	1.5090796875000003
n17-1	n10	0	0	54	1.7815153125
n21-1	n17	0	0	54	2.07398296875
n14-1	n4	0	0	58	1.5264407812500003
n22-1	n15	0	0	58	2.06597015625
n18-1	n7	0	0	59	1.768160625
n15-1	n2	0	0	61	1.5117506250000003
n23-1	n18	0	0	61	2.0819957812500003
n19-1	n8	0	0	63	1.77483796875
n16-1	n3	0	0	66	1.5117506250000003
n20-1	n9	0	0	66	1.778844375
n24-1	n16	0	0	66	2.07131203125
n11-1	n22	0	0	78	2.4439078125000004
n9-1	n20	0	0	82	2.2462584375000008
n12-1	n23	0	0	82	2.5280423437500006
n3-1	n6	0	0	85	1.71607734375
n7-1	n14	0	0	85	2.06329921875
n10-1	n21	0	0	85	2.3464185937500006
n5-1	n12	0	0	87	1.88434640625
n1-1	n1	0	0	90	1.5104151562500003
n4-1	n11	0	0	90	1.78285078125
n6-1	n13	0	0	90	1.96447453125
n8-1	n19	0	0	90	2.1768140625000005
n2-1	n5	0	0	94	1.6332782812500002
n38-1	n24	0	0	42	2.5841320312500007
n39-1	n25	0	0	54	2.5908093750000005
n40-1	n30	0	0	59	2.89663171875
n41-1	n32	0	0	63	2.8993026562499997
n42-1	n31	0	0	66	2.8979671875
n28-1	n28	0	0	73	2.79513609375
n30-1	n33	0	0	75	2.96073421875
n26-1	n26	0	0	78	2.6095059375000003
n29-1	n29	0	0	78	2.88594796875
n31-1	n34	0	0	78	3.06757171875
n27-1	n27	0	0	82	2.71233703125
n43-1	n37	0	0	58	3.1704028125
n44-1	n35	0	0	61	3.1597190625
n45-1	n38	0	0	66	3.1757446875
n36-1	n42	0	0	66	3.5336503124999994
n34-1	n40	0	0	70	3.3453492187499996
n37-1	n43	0	0	70	3.6044301562499994
n32-1	n36	0	0	73	3.1597190625
n35-1	n41	0	0	73	3.4415029687499996
n33-1	n39	0	0	78	3.2705629687499997
n59-1	n44	0	0	37	3.692571093749999
n60-1	n45	0	0	49	3.703254843749999
n61-1	deletion
n47-1	n46	0	0	61	3.721951406249999
n62-1	deletion
n63-1	n50	0	0	65	4.034451093749999
n49-1	n48	0	0	68	3.9115879687499984
n51-1	n51	0	0	68	4.070508749999998
n48-1	n47	0	0	73	3.826117968749999
n50-1	n49	0	0	73	4.003735312499998
n52-1	n52	0	0	80	4.1599851562499985
n67-1	n59	0	0	44	4.507207031249999
n64-1	n54	0	0	56	4.261480781249999
n65-1	n55	0	0	59	4.264151718749998
n66-1	n53	0	0	63	4.256138906249999
n53-1	n56	0	0	68	4.264151718749998
n55-1	n58	0	0	75	4.4097178124999985
n57-1	n61	0	0	75	4.599354375
n54-1	n57	0	0	80	4.338937968749998
n56-1	n60	0	0	80	4.507207031249999
n58-1	n62	0	0	87	4.68081796875
n87-1	n63	0	0	49	4.77162984375
n80-1	n70	0	0	56	5.04940734375
n81-1	n68	0	0	59	5.0454009375
n82-1	n67	0	0	63	5.04406546875
n68-1	n64	0	0	75	4.7836490625
n70-1	n66	0	0	80	4.951918125
n72-1	n71	0	0	80	5.156244843750001
n69-1	n65	0	0	87	4.874460937499999
n71-1	n69	0	0	87	5.0454009375
n73-1	n72	0	0	92	5.22301828125
n83-1	n75	0	0	56	5.2857853125
n84-1	n74	0	0	59	5.28444984375
n85-1	n73	0	0	61	5.283114375
