onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0041667,0.18125,90,91,1,0,n0,-10.0,-10.0
1.0083333,0.17708333,66,77,1,0,n1,-10.0,-10.0
1.0125,0.17291667,61,80,1,0,n2,1.0125,0.0
1.0135417,0.171875,54,62,1,0,n3,1.0125,0.0
1.0302083,0.15520833,58,57,1,0,n4,1.0125,0.0
1.0895833,0.09583333,94,90,1,0,n5,1.0125,0.0
1.1510416,0.059375,85,87,1,0,n6,1.0125,0.0
1.2177083,0.058333334,66,84,1,0,n7,1.0125,0.0
1.2208333,0.06458333,59,78,1,0,n8,1.0125,0.0
1.2239584,0.061458334,63,73,1,0,n9,1.0125,0.0
1.240625,0.06875,90,89,1,0,n10,1.0125,0.0
1.2885417,0.014583333,54,3,1,0,n11,1.0125,0.0
1.3041667,0.08020833,87,92,1,0,n12,1.0125,0.0
1.3770833,0.052083332,90,84,1,0,n13,1.0125,0.0
1.446875,0.048958335,54,76,1,0,n14,1.0125,0.0
1.4489583,0.034375,66,86,1,0,n15,1.0125,0.0
1.453125,0.041666668,61,82,1,0,n16,1.453125,1.0
1.4552083,0.077083334,85,92,1,0,n17,1.453125,1.0
1.459375,0.0375,58,75,1,0,n18,1.453125,1.0
1.515625,0.07395833,90,86,1,0,n19,1.453125,1.0
1.590625,0.047916666,82,80,1,0,n20,1.453125,1.0
1.6677083,0.072916664,85,86,1,0,n21,1.453125,1.0
1.7635417,0.04375,78,80,1,0,n22,1.453125,1.0
1.85,0.053125,82,68,1,0,n23,1.453125,1.0
1.9166666,0.047916666,78,71,1,0,n24,1.453125,1.0
1.9302083,0.23541667,42,52,1,0,n25,1.930208,2.0
1.95,0.215625,54,49,1,0,n26,1.930208,2.0
2.028125,0.1375,82,66,1,0,n27,1.930208,2.0
2.1166666,0.048958335,73,56,1,0,n28,1.930208,2.0
2.2,0.05,59,60,1,0,n29,1.930208,2.0
2.2052083,0.038541667,78,53,1,0,n30,1.930208,2.0
2.2197917,0.038541667,66,41,1,0,n31,1.930208,2.0
2.2260416,0.0375,63,40,1,0,n32,1.930208,2.0
2.2572916,0.05,75,65,1,0,n33,1.930208,2.0
2.3333333,0.047916666,78,72,1,0,n34,1.930208,2.0
2.421875,0.045833334,61,57,1,0,n35,1.930208,2.0
2.425,0.036458332,66,34,1,0,n36,1.930208,2.0
2.428125,0.047916666,58,52,1,0,n37,2.4265625,3.0
2.4302084,0.053125,73,55,1,0,n38,2.4265625,3.0
2.4895833,0.042708334,78,71,1,0,n39,2.4265625,3.0
2.5802083,0.03125,70,61,1,0,n40,2.4265625,3.0
2.6583333,0.045833334,73,61,1,0,n41,2.4265625,3.0
2.73125,0.047916666,66,68,1,0,n42,2.4265625,3.0
2.8135417,0.053125,70,60,1,0,n43,2.4265625,3.0
2.896875,0.26875,49,59,1,0,n44,2.4265625,3.0
2.9145834,0.25104168,37,51,1,0,n45,2.914583,4.0
2.9177084,0.24791667,61,60,1,0,n46,2.914583,4.0
2.984375,0.18125,73,57,1,0,n47,2.914583,4.0
3.0729167,0.092708334,68,68,1,0,n48,2.914583,4.0
3.1489584,0.038541667,73,61,1,0,n49,2.914583,4.0
3.15625,0.046875,56,65,1,0,n50,2.914583,4.0
3.1635416,0.03125,65,61,1,0,n51,2.914583,4.0
3.18125,0.0375,61,42,1,0,n52,2.914583,4.0
3.2333333,0.06458333,68,77,1,0,n53,2.914583,4.0
3.3239584,0.067708336,80,80,1,0,n54,2.914583,4.0
3.3875,0.078125,59,62,1,0,n55,2.914583,4.0
3.4072917,0.039583333,63,55,1,0,n56,2.914583,4.0
3.4197917,0.038541667,68,72,1,0,n57,3.413542,5.0
3.4229167,0.06875,56,64,1,0,n58,3.413542,5.0
3.4791667,0.22604166,80,73,1,0,n59,3.413542,5.0
3.553125,0.15208334,75,73,1,0,n60,3.413542,5.0
3.634375,0.07083333,80,80,1,0,n61,3.413542,5.0
3.6427083,0.0625,44,76,1,0,n62,3.413542,5.0
3.7125,0.06979167,75,79,1,0,n63,3.413542,5.0
3.7989583,0.078125,87,87,1,0,n64,3.413542,5.0
3.8854167,0.728125,49,65,1,0,n65,3.413542,5.0
3.89375,0.072916664,75,79,1,0,n66,3.8895836,6.0
3.9520833,0.6614583,87,71,1,0,n67,3.8895836,6.0
4.0364585,0.57708335,80,79,1,0,n68,3.8895836,6.0
4.132292,0.48125,87,85,1,0,n69,3.8895836,6.0
4.141667,0.471875,59,51,1,0,n70,3.8895836,6.0
4.15625,0.45729166,63,70,1,0,n71,3.8895836,6.0
4.172917,0.440625,56,63,1,0,n72,3.8895836,6.0
4.2364583,0.37708333,80,85,1,0,n73,3.8895836,6.0
4.319792,0.29375,92,84,1,0,n74,3.8895836,6.0
4.4010415,0.2125,61,65,1,0,n75,3.8895836,6.0
4.4260416,0.1875,80,78,1,0,n76,3.8895836,6.0
4.4270835,0.18645833,56,59,1,0,n77,4.4265623,7.0
4.434375,0.17916666,59,57,1,0,n78,4.4265623,7.0
4.5041666,0.109375,92,77,1,0,n79,4.4265623,7.0
4.5729165,0.08958333,87,78,1,0,n80,4.4265623,7.0
4.647917,0.057291668,92,84,1,0,n81,4.4265623,7.0
4.725,0.079166666,85,91,1,0,n82,4.4265623,7.0
4.805208,0.328125,97,100,1,0,n83,4.4265623,7.0
4.889583,0.24375,66,94,1,0,n84,4.4265623,7.0
4.891667,0.24166666,61,89,1,0,n85,4.4265623,7.0
4.897917,0.23541667,54,73,1,0,n86,4.897917,8.0
4.897917,0.23541667,90,99,1,0,n87,4.897917,8.0
