xml_id	midi_id	track	channel	pitch	onset
n27-1	n2	0	0	36	2.06864109375
n28-1	n1	0	0	48	2.04727359375
n31-1	n16	0	0	55	2.98076625
n30-1	n11	0	0	56	2.7577429687500006
n15-1	deletion
n17-1	deletion
n11-1	n13	0	0	62	2.7724331250000005
n13-1	n14	0	0	62	2.86992234375
n16-1	n17	0	0	62	3.0128174999999997
n3-1	n3	0	0	64	2.10069234375
n5-1	n6	0	0	64	2.33306390625
n7-1	n8	0	0	65	2.5013329687500003
n9-1	n10	0	0	65	2.6228606250000004
n12-1	n12	0	0	65	2.7644203125000004
n4-1	n4	0	0	67	2.1020278125
n18-1	deletion
n8-1	n7	0	0	68	2.47996546875
n14-1	n15	0	0	71	2.88327703125
n6-1	n5	0	0	72	2.3263865625
n10-1	n9	0	0	74	2.6108414062500005
n58-1	n28	0	0	36	3.6671971875
n33-1	n23	0	0	53	3.4495157812499997
n32-1	n19	0	0	54	3.21580875
n19-1	n20	0	0	60	3.21580875
n21-1	n21	0	0	60	3.3333299999999997
n23-1	n24	0	0	62	3.46554140625
n25-1	n27	0	0	62	3.5937464062499997
n20-1	n18	0	0	63	3.210466875
n34-1	n29	0	0	64	3.6792164062499997
n36-1	n31	0	0	64	3.8034149999999993
n35-1	n30	0	0	67	3.6872292187499993
n24-1	n25	0	0	68	3.4722187499999997
n22-1	n22	0	0	69	3.3400073437499995
n26-1	n26	0	0	71	3.5884045312499997
n37-1	n32	0	0	72	3.8060859374999993
n59-1	n33	0	0	48	3.910252499999999
n65-1	deletion
n61-1	n42	0	0	55	4.3990340625
n60-1	n38	0	0	56	4.1586496875
n46-1	n44	0	0	59	4.427078906249999
n48-1	n45	0	0	59	4.528574531249999
n42-1	n40	0	0	62	4.186694531249999
n44-1	n41	0	0	62	4.292196562499999
n47-1	n43	0	0	62	4.401705
n38-1	n35	0	0	65	3.930284531249999
n40-1	n37	0	0	65	4.055818593749999
n43-1	n39	0	0	65	4.177346249999999
n49-1	n46	0	0	67	4.5325809375
n39-1	n34	0	0	68	3.923607187499999
n45-1	deletion
n41-1	n36	0	0	74	4.050476718749999
n91-1	n57	0	0	52	5.0614265624999994
n63-1	n52	0	0	53	4.8424096875
n62-1	n48	0	0	54	4.62739921875
n50-1	n49	0	0	60	4.6367475
n52-1	n50	0	0	60	4.7462559375
n54-1	n54	0	0	62	4.8624417187499995
n56-1	n55	0	0	62	4.94524078125
n51-1	n47	0	0	63	4.6233928125
n67-1	n59	0	0	64	5.070774843749999
n69-1	n61	0	0	64	5.181618749999998
n68-1	n58	0	0	67	5.064097499999999
n55-1	n53	0	0	68	4.845080625
n53-1	n51	0	0	69	4.7462559375
n57-1	n56	0	0	71	4.96660828125
n70-1	n60	0	0	72	5.180283281249999
n93-1	n67	0	0	49	5.515485937499997
n92-1	n62	0	0	50	5.284449843749998
n95-1	n72	0	0	61	5.757205781249999
n71-1	n64	0	0	65	5.3004754687499975
n73-1	n66	0	0	65	5.427344999999997
n75-1	n69	0	0	67	5.551543593749997
n77-1	n70	0	0	67	5.635678124999997
n76-1	n68	0	0	70	5.519492343749997
n81-1	n74	0	0	70	5.894759062499999
n79-1	deletion
n72-1	n63	0	0	71	5.284449843749998
n74-1	n65	0	0	74	5.403306562499997
n78-1	n71	0	0	76	5.639684531249998
n80-1	n73	0	0	76	5.762547656249999
n82-1	n75	0	0	79	5.901436406249998
n96-1	n78	0	0	50	6.0202931249999985
n98-1	n82	0	0	52	6.211265156249999
n124-1	n89	0	0	52	6.41692734375
n99-1	n83	0	0	61	6.211265156249999
n125-1	n88	0	0	61	6.4102500000000004
n97-1	n76	0	0	62	5.996254687499999
n87-1	n85	0	0	67	6.249993749999999
n89-1	n87	0	0	67	6.36350859375
n100-1	n91	0	0	67	6.479694375
n102-1	n92	0	0	67	6.5785190625000025
n83-1	n79	0	0	69	6.028305937499998
n85-1	n81	0	0	69	6.1391498437499985
n88-1	n84	0	0	69	6.232632656249999
n101-1	n90	0	0	69	6.47301703125
n84-1	n77	0	0	74	6.012280312499999
n90-1	n86	0	0	76	6.351489375
n103-1	n93	0	0	76	6.583860937500003
n86-1	n80	0	0	77	6.121788749999999
n126-1	n94	0	0	53	6.659982656250003
n128-1	n100	0	0	54	6.904373437500003
n129-1	n107	0	0	55	7.120719375000001
n127-1	n95	0	0	62	6.682685625000002
n108-1	n102	0	0	63	6.923070000000002
n110-1	n103	0	0	63	7.017888281250002
n112-1	n106	0	0	64	7.119383906250001
n114-1	n109	0	0	64	7.21820859375
n106-1	n97	0	0	65	6.737439843750002
n104-1	deletion
n113-1	n105	0	0	67	7.116712968750002
n105-1	n96	0	0	69	6.693369375000002
n109-1	n101	0	0	69	6.904373437500003
n111-1	n104	0	0	72	7.029907500000002
n115-1	n108	0	0	72	7.21153125
n107-1	deletion
n130-1	n110	0	0	43	7.3210396875
n156-1	n120	0	0	48	7.761744374999999
n131-1	n114	0	0	55	7.5507403125
n120-1	n117	0	0	62	7.56543046875
n122-1	n119	0	0	62	7.676274374999999
n116-1	n112	0	0	63	7.32771703125
n118-1	n113	0	0	63	7.4532510937500005
n132-1	n121	0	0	64	7.773763593749999
n134-1	n124	0	0	64	7.889949375
n121-1	n115	0	0	65	7.5560821875
n117-1	n111	0	0	66	7.3210396875
n133-1	n122	0	0	67	7.779105468749999
n123-1	n118	0	0	71	7.6682615625
n135-1	n123	0	0	72	7.885942968749999
n119-1	deletion
n158-1	n134	0	0	55	8.438827031249996
n157-1	n127	0	0	56	8.00613515625
n144-1	n135	0	0	59	8.464200937499996
n146-1	n138	0	0	59	8.573709374999996
n140-1	n131	0	0	62	8.233164843749996
n142-1	n132	0	0	62	8.337331406249996
n145-1	n136	0	0	62	8.468207343749995
n136-1	n125	0	0	65	7.991445000000001
n138-1	n128	0	0	65	8.103624374999997
n141-1	n130	0	0	65	8.206455468749997
n147-1	n137	0	0	67	8.572373906249997
n137-1	n126	0	0	68	7.991445000000001
n143-1	n133	0	0	71	8.337331406249996
n139-1	n129	0	0	74	8.104959843749997
n185-1	n148	0	0	36	9.094542187499998
n160-1	n145	0	0	53	8.890215468749997
n159-1	n139	0	0	54	8.665856718749996
n148-1	n141	0	0	60	8.679211406249996
n150-1	n142	0	0	60	8.774029687499995
n154-1	n146	0	0	62	8.967672656249997
n152-1	deletion
n149-1	n140	0	0	63	8.667192187499996
n161-1	n150	0	0	64	9.107896874999998
n163-1	n152	0	0	64	9.25346296875
n162-1	n149	0	0	67	9.101219531249997
n153-1	n144	0	0	68	8.876860781249997
n151-1	n143	0	0	69	8.782042499999996
n155-1	n147	0	0	71	8.998388437499997
n164-1	n151	0	0	72	9.2280890625
n192-1	n155	0	0	48	9.35762953125
n186-1	deletion
n188-1	n164	0	0	55	9.82905
n187-1	n158	0	0	56	9.599349375
n173-1	n165	0	0	59	9.8424046875
n175-1	n166	0	0	59	9.929210156249999
n169-1	n160	0	0	62	9.623387812499999
n171-1	n162	0	0	62	9.7302253125
n174-1	n163	0	0	62	9.823708125000001
n165-1	n154	0	0	65	9.35228765625
n167-1	n156	0	0	65	9.47648625
n170-1	n159	0	0	65	9.599349375
n176-1	n167	0	0	67	9.933216562499998
n166-1	n153	0	0	68	9.34427484375
n172-1	n161	0	0	71	9.7222125
n168-1	n157	0	0	74	9.48049265625
n219-1	n178	0	0	52	10.476752343749995
n190-1	n173	0	0	53	10.263077343749996
n189-1	n168	0	0	54	10.036047656249998
n177-1	n170	0	0	60	10.054744218749999
n179-1	n171	0	0	60	10.150897968749998
n183-1	n175	0	0	62	10.351218281249997
n181-1	deletion
n178-1	n169	0	0	63	10.042724999999999
n194-1	n179	0	0	64	10.483429687499996
n196-1	n180	0	0	64	10.586260781249997
n195-1	n177	0	0	67	10.475416874999995
n182-1	n174	0	0	68	10.272425624999997
n180-1	n172	0	0	69	10.152233437499998
n184-1	n176	0	0	71	10.367243906249996
n197-1	n181	0	0	72	10.594273593749998
n222-1	n192	0	0	46	11.151164062499992
n221-1	n187	0	0	47	10.922798906249994
n220-1	n183	0	0	48	10.702446562499997
n198-1	n184	0	0	67	10.707788437499996
n200-1	n185	0	0	67	10.815961406249995
n202-1	n188	0	0	67	10.928140781249994
n204-1	n190	0	0	67	11.032307343749993
n206-1	n194	0	0	67	11.181879843749991
n208-1	n195	0	0	67	11.233963124999992
n199-1	n182	0	0	70	10.686420937499998
n203-1	n189	0	0	71	10.928140781249994
n207-1	n193	0	0	73	11.153834999999992
n201-1	n186	0	0	76	10.818632343749995
n205-1	n191	0	0	76	11.048332968749994
n209-1	n196	0	0	76	11.235298593749992
n223-1	n197	0	0	47	11.351484374999993
n249-1	n207	0	0	52	11.81489203124999
n224-1	n204	0	0	59	11.606558906249989
n225-1	n209	0	0	67	11.83358859374999
n227-1	n211	0	0	67	11.948438906249992
n214-1	n203	0	0	69	11.60255249999999
n216-1	n205	0	0	69	11.71339640624999
n210-1	n199	0	0	71	11.39154843749999
n212-1	n201	0	0	71	11.50639874999999
n226-1	n208	0	0	71	11.82424031249999
n215-1	deletion
n211-1	n198	0	0	76	11.36617453124999
n228-1	n210	0	0	76	11.928406874999991
n217-1	n206	0	0	78	11.72274468749999
n213-1	n200	0	0	79	11.47701843749999
n252-1	n221	0	0	64	12.517348593749992
n229-1	n213	0	0	71	12.056611874999993
n231-1	n215	0	0	71	12.180810468749993
n230-1	n212	0	0	76	12.045928124999993
n233-1	n216	0	0	76	12.262274062499992
n235-1	deletion
n232-1	n214	0	0	79	12.156772031249993
n234-1	n217	0	0	79	12.264944999999992
n237-1	n220	0	0	79	12.505329374999992
n239-1	n222	0	0	79	12.616173281249992
n236-1	n218	0	0	83	12.362434218749993
n238-1	n219	0	0	83	12.487968281249993
n240-1	n223	0	0	88	12.617508749999992
n279-1	n233	0	0	60	13.19843765624999
n253-1	n226	0	0	65	12.74838468749999
n254-1	n229	0	0	67	12.95938874999999
n255-1	n235	0	0	76	13.22381156249999
n257-1	n236	0	0	76	13.358693906249988
n241-1	n225	0	0	77	12.741707343749992
n243-1	n228	0	0	77	12.859228593749991
n245-1	n231	0	0	77	13.01280749999999
n247-1	deletion
n246-1	n230	0	0	79	12.96740156249999
n256-1	n234	0	0	79	13.21846968749999
n242-1	n224	0	0	81	12.725681718749993
n248-1	n232	0	0	83	13.07423906249999
n258-1	n237	0	0	84	13.358693906249988
n244-1	n227	0	0	86	12.847209374999991
n281-1	n248	0	0	67	13.96232578124999
n280-1	n240	0	0	68	13.51093734374999
n267-1	n249	0	0	71	13.970338593749991
n269-1	n251	0	0	71	14.087859843749992
n263-1	n244	0	0	74	13.73128968749999
n265-1	n245	0	0	74	13.839462656249992
n268-1	n247	0	0	74	13.958319374999991
n259-1	n239	0	0	77	13.49891812499999
n261-1	n241	0	0	77	13.62044578124999
n264-1	n243	0	0	77	13.72327687499999
n270-1	n252	0	0	79	14.090530781249992
n260-1	n238	0	0	80	13.48689890624999
n266-1	n246	0	0	83	13.856823749999991
n262-1	n242	0	0	86	13.635135937499989
n308-1	n262	0	0	48	14.61136359374999
n283-1	n258	0	0	65	14.38433390624999
n282-1	n254	0	0	66	14.176000781249991
n271-1	n255	0	0	72	14.197368281249991
n273-1	n256	0	0	72	14.26948359374999
n277-1	n260	0	0	74	14.49250687499999
n275-1	deletion
n272-1	n253	0	0	75	14.161310624999992
n284-1	n264	0	0	76	14.63940843749999
n286-1	n266	0	0	76	14.76227156249999
n285-1	n263	0	0	79	14.62338281249999
n276-1	n259	0	0	80	14.38566937499999
n274-1	n257	0	0	81	14.278831874999991
n278-1	n261	0	0	83	14.52322265624999
n287-1	n265	0	0	84	14.75425874999999
