xml_id	midi_id	track	channel	pitch	onset
n27-1	n2	1	0	36	2.4492496875
n28-1	n3	1	0	48	2.4652753125
n31-1	n19	1	0	55	3.3293235937499985
n30-1	n13	1	0	56	3.0582234374999993
n15-1	n16	1	0	59	3.2331698437499994
n17-1	n20	1	0	59	3.3533620312499988
n11-1	n12	1	0	62	3.0088110937499994
n13-1	n14	1	0	62	3.098287499999999
n16-1	n17	1	0	62	3.234505312499999
n3-1	n4	1	0	64	2.47462359375
n5-1	n6	1	0	64	2.6842921875
n7-1	n8	1	0	65	2.7817814062499995
n9-1	n10	1	0	65	2.8819415624999993
n12-1	n11	1	0	65	2.9994628124999996
n4-1	n1	1	0	67	2.41853390625
n18-1	n18	1	0	67	3.3226462499999987
n8-1	n7	1	0	68	2.7524010937499996
n14-1	n15	1	0	71	3.142357968749999
n6-1	n5	1	0	72	2.6228606250000004
n10-1	n9	1	0	74	2.8712578124999997
n58-1	n31	1	0	36	3.8448145312499986
n33-1	n28	1	0	53	3.652507031249999
n32-1	n23	1	0	54	3.508276406249999
n19-1	n22	1	0	60	3.429483749999999
n21-1	n25	1	0	60	3.541663124999999
n23-1	n27	1	0	62	3.627133124999999
n25-1	deletion
n20-1	n21	1	0	63	3.424141874999999
n34-1	n30	1	0	64	3.836801718749999
n36-1	n34	1	0	64	3.9663421874999987
n35-1	n32	1	0	67	3.8474854687499986
n24-1	n26	1	0	68	3.615113906249999
n22-1	n24	1	0	69	3.536321249999999
n26-1	n29	1	0	71	3.735306093749999
n37-1	n33	1	0	72	3.956993906249999
n59-1	n37	1	0	48	4.071844218749999
n65-1	deletion
n61-1	n45	1	0	55	4.479162187500002
n60-1	n42	1	0	56	4.29353203125
n46-1	n47	1	0	59	4.500529687500002
n48-1	n49	1	0	59	4.615380000000002
n42-1	n41	1	0	62	4.2788418749999995
n44-1	n44	1	0	62	4.40036953125
n47-1	n46	1	0	62	4.499194218750002
n38-1	n36	1	0	65	4.050476718749999
n40-1	n39	1	0	65	4.1653270312499995
n43-1	n40	1	0	65	4.2761709375
n49-1	n48	1	0	67	4.587335156250002
n39-1	n35	1	0	68	4.046470312499999
n45-1	n43	1	0	71	4.39235671875
n41-1	n38	1	0	74	4.138617656249999
n91-1	n60	1	0	52	5.094813281250005
n63-1	n56	1	0	53	4.894492968750003
n62-1	n52	1	0	54	4.7075273437500025
n50-1	n51	1	0	60	4.706191875000003
n52-1	n54	1	0	60	4.822377656250002
n54-1	n57	1	0	62	4.909183125000004
n56-1	n59	1	0	62	5.061426562500005
n51-1	n50	1	0	63	4.691501718750002
n67-1	n62	1	0	64	5.112174375000005
n69-1	n64	1	0	64	5.224353750000005
n68-1	n61	1	0	67	5.104161562500005
n55-1	n55	1	0	68	4.890486562500003
n53-1	n53	1	0	69	4.807687500000003
n57-1	n58	1	0	71	5.005336875000004
n70-1	n63	1	0	72	5.196308906250005
n93-1	n70	1	0	49	5.494118437500005
n92-1	n65	1	0	50	5.275101562500005
n95-1	n76	1	0	61	5.785250625000008
n71-1	n67	1	0	65	5.324513906250005
n73-1	n69	1	0	65	5.447377031250006
n75-1	n72	1	0	67	5.523498750000006
n77-1	n73	1	0	67	5.633007187500007
n76-1	n71	1	0	70	5.512815000000006
n79-1	n75	1	0	70	5.774566875000008
n81-1	n78	1	0	70	5.929481250000009
n72-1	n66	1	0	71	5.309823750000005
n74-1	n68	1	0	74	5.4086484375000055
n80-1	n74	1	0	76	5.757205781250008
n78-1	deletion
n82-1	n77	1	0	79	5.884075312500009
n96-1	n80	1	0	50	6.0737118750000105
n98-1	n87	1	0	52	6.287386875000013
n124-1	n92	1	0	52	6.471681562500011
n99-1	n86	1	0	61	6.280709531250013
n125-1	n93	1	0	61	6.486371718750011
n97-1	n81	1	0	62	6.077718281250011
n87-1	n88	1	0	67	6.295399687500012
n89-1	n90	1	0	67	6.408914531250011
n100-1	n94	1	0	67	6.502397343750011
n102-1	n96	1	0	67	6.5892028125000115
n83-1	n82	1	0	69	6.111105000000011
n85-1	n84	1	0	69	6.2085942187500125
n88-1	n85	1	0	69	6.275367656250013
n101-1	n91	1	0	69	6.4703460937500115
n84-1	n79	1	0	74	6.067034531250011
n90-1	n89	1	0	76	6.392888906250011
n103-1	n95	1	0	76	6.586531875000012
n86-1	n83	1	0	77	6.171201093750012
n126-1	n98	1	0	53	6.68135015625001
n128-1	n104	1	0	54	6.891018750000011
n129-1	n107	1	0	55	7.079319843750013
n127-1	n99	1	0	62	6.68135015625001
n108-1	n105	1	0	63	6.897696093750011
n110-1	deletion
n112-1	n109	1	0	64	7.107364687500012
n114-1	n111	1	0	64	7.211531250000012
n104-1	n100	1	0	65	6.685356562500011
n106-1	n101	1	0	65	6.781510312500012
n113-1	n108	1	0	67	7.080655312500013
n105-1	n97	1	0	69	6.667995468750011
n109-1	n103	1	0	69	6.885676875000011
n111-1	n106	1	0	72	7.005869062500013
n115-1	n110	1	0	72	7.200847500000012
n107-1	n102	1	0	74	6.782845781250011
n130-1	n114	1	0	43	7.306349531250012
n156-1	n125	1	0	48	7.78845375000001
n131-1	n117	1	0	55	7.478625000000011
n120-1	n119	1	0	62	7.525366406250011
n122-1	n121	1	0	62	7.644223125000011
n116-1	n112	1	0	63	7.288988437500012
n118-1	n116	1	0	63	7.415857968750011
n132-1	n124	1	0	64	7.75506703125001
n134-1	n127	1	0	64	7.899297656250011
n121-1	n118	1	0	65	7.517353593750012
n117-1	n113	1	0	66	7.303678593750012
n133-1	n123	1	0	67	7.74972515625001
n123-1	n120	1	0	71	7.628197500000011
n119-1	n115	1	0	72	7.3771293750000115
n135-1	n126	1	0	72	7.85656265625001
n158-1	n137	1	0	55	8.436156093750009
n157-1	n129	1	0	56	7.987438593750011
n144-1	n138	1	0	59	8.46820734375001
n146-1	n140	1	0	59	8.593741406250011
n140-1	n134	1	0	62	8.24651953125001
n142-1	n136	1	0	62	8.356027968750011
n145-1	deletion
n136-1	n130	1	0	65	8.004799687500011
n138-1	n132	1	0	65	8.14635937500001
n141-1	n133	1	0	65	8.22648750000001
n147-1	n139	1	0	67	8.55234187500001
n137-1	n128	1	0	68	7.975419375000011
n143-1	n135	1	0	71	8.342673281250011
n139-1	n131	1	0	74	8.094276093750011
n185-1	n152	1	0	36	9.087864843750012
n160-1	n147	1	0	53	8.882202656250014
n159-1	n143	1	0	54	8.681882343750013
n148-1	n142	1	0	60	8.660514843750013
n150-1	deletion
n152-1	n146	1	0	62	8.859499687500014
n154-1	n149	1	0	62	8.990375625000013
n169-1	deletion
n149-1	n141	1	0	63	8.652502031250012
n161-1	n150	1	0	64	9.062490937500012
n163-1	n154	1	0	64	9.182683125000013
n162-1	n151	1	0	67	9.063826406250012
n153-1	n145	1	0	68	8.856828750000014
n151-1	n144	1	0	69	8.759339531250014
n155-1	n148	1	0	71	8.962330781250014
n164-1	n153	1	0	72	9.173334843750013
n192-1	n157	1	0	48	9.297533437500011
n186-1	deletion
n188-1	n166	1	0	55	9.75693468750001
n187-1	n159	1	0	56	9.528569531250012
n173-1	n167	1	0	59	9.76895390625001
n175-1	n169	1	0	59	9.88781062500001
n171-1	n164	1	0	62	9.647426250000011
n174-1	n165	1	0	62	9.75559921875001
n165-1	n156	1	0	65	9.27750140625001
n170-1	n161	1	0	65	9.535246875000011
n167-1	deletion
n176-1	n168	1	0	67	9.85709484375001
n166-1	n155	1	0	68	9.272159531250011
n172-1	n163	1	0	71	9.63807796875001
n168-1	n158	1	0	74	9.374990625000011
n219-1	n180	1	0	52	10.357895625000008
n190-1	n176	1	0	53	10.15223343750001
n189-1	n172	1	0	54	9.96660328125001
n177-1	n171	1	0	60	9.96126140625001
n179-1	n173	1	0	60	10.057415156250011
