onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.013887,1.1832253,67,38,1,0,n0,-10.0,-10.0
2.4185338,0.7785783,67,41,1,0,n1,-10.0,-10.0
2.4492497,0.7478625,36,25,1,0,n2,-10.0,-10.0
2.4652753,0.73183686,48,30,1,0,n3,2.4572625,0.0
2.4746237,0.7224886,64,32,1,0,n4,2.4572625,0.0
2.6228607,0.5742516,72,55,1,0,n5,2.4572625,0.0
2.684292,0.51282,64,28,1,0,n6,2.4572625,0.0
2.752401,0.4447111,68,58,1,0,n7,2.4572625,0.0
2.7817814,0.41533077,65,36,1,0,n8,2.4572625,0.0
2.8712578,0.32585436,74,47,1,0,n9,2.4572625,0.0
2.8819416,0.31517062,65,51,1,0,n10,2.4572625,0.0
2.9994628,0.19764937,65,65,1,0,n11,2.4572625,0.0
3.008811,0.18830109,62,43,1,0,n12,2.4572625,0.0
3.0582235,0.2310361,56,47,1,0,n13,2.4572625,0.0
3.0982876,0.09882469,62,73,1,0,n14,2.4572625,0.0
3.142358,0.060096093,71,18,1,0,n15,2.4572625,0.0
3.2331698,0.036057655,59,56,1,0,n16,2.4572625,0.0
3.2345054,0.046741407,62,68,1,0,n17,3.2338376,3.0
3.3226461,0.058760624,67,64,1,0,n18,3.2338376,3.0
3.3293235,0.11752125,55,37,1,0,n19,3.2338376,3.0
3.353362,0.036057655,59,60,1,0,n20,3.2338376,3.0
3.424142,0.057425156,63,66,1,0,n21,3.2338376,3.0
3.4294837,0.037393127,60,56,1,0,n22,3.2338376,3.0
3.5082765,0.10817297,54,47,1,0,n23,3.2338376,3.0
3.5363212,0.036057655,69,51,1,0,n24,3.2338376,3.0
3.5416632,0.037393127,60,59,1,0,n25,3.2338376,3.0
3.615114,0.116185784,68,69,1,0,n26,3.2338376,3.0
3.6271331,0.03205125,62,54,1,0,n27,3.2338376,3.0
3.652507,0.058760624,53,44,1,0,n28,3.2338376,3.0
3.735306,0.058760624,71,68,1,0,n29,3.2338376,3.0
3.8368018,0.04139953,64,60,1,0,n30,3.2338376,3.0
3.8448145,0.04139953,36,66,1,0,n31,3.2338376,3.0
3.8474855,0.05208328,67,59,1,0,n32,3.844815,6.0
3.9569938,0.30048046,72,68,1,0,n33,3.844815,6.0
3.9663422,0.29113218,64,68,1,0,n34,3.844815,6.0
4.04647,0.21100406,68,65,1,0,n35,3.844815,6.0
4.0504766,0.20699766,65,55,1,0,n36,3.844815,6.0
4.071844,1.0122854,48,59,1,0,n37,3.844815,6.0
4.1386175,0.11885672,74,74,1,0,n38,3.844815,6.0
4.165327,0.09214734,65,60,1,0,n39,3.844815,6.0
4.2761707,0.08146359,65,76,1,0,n40,3.844815,6.0
4.278842,0.034722187,62,56,1,0,n41,3.844815,6.0
4.293532,0.18162376,56,54,1,0,n42,3.844815,6.0
4.392357,0.038728595,71,42,1,0,n43,3.844815,6.0
4.4003696,0.03071578,62,63,1,0,n44,3.844815,6.0
4.479162,0.18563016,55,60,1,0,n45,3.844815,6.0
4.499194,0.060096093,62,63,1,0,n46,4.499194,9.0
4.50053,0.040064063,59,55,1,0,n47,4.499194,9.0
4.587335,0.09481828,67,74,1,0,n48,4.499194,9.0
4.61538,0.037393127,59,63,1,0,n49,4.499194,9.0
4.6915016,0.08680547,63,73,1,0,n50,4.499194,9.0
4.706192,0.04139953,60,64,1,0,n51,4.499194,9.0
4.707527,0.16292718,54,57,1,0,n52,4.499194,9.0
4.8076873,0.034722187,69,50,1,0,n53,4.499194,9.0
4.8223777,0.03205125,60,57,1,0,n54,4.499194,9.0
4.8904867,0.11885672,68,71,1,0,n55,4.499194,9.0
4.894493,0.17761734,53,56,1,0,n56,4.499194,9.0
4.909183,0.036057655,62,55,1,0,n57,4.499194,9.0
5.0053368,0.05208328,71,64,1,0,n58,4.499194,9.0
