onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491393,0.58226323,84,51,1,0,n0,2.049139,-1.0
2.226489,0.40491334,86,51,1,0,n1,2.049139,-1.0
2.2799077,0.3514947,84,55,1,0,n2,2.049139,-1.0
2.3611042,0.27029836,86,53,1,0,n3,2.049139,-1.0
2.403839,0.22756343,84,80,1,0,n4,2.049139,-1.0
2.4764884,0.15491407,83,63,1,0,n5,2.049139,-1.0
2.5705051,0.060897257,84,66,1,0,n6,2.049139,-1.0
2.627129,0.60683584,48,62,1,0,n7,2.049139,-1.0
2.6346076,0.077991225,93,72,1,0,n8,2.049139,-1.0
2.6378126,0.8664504,41,53,1,0,n9,2.634608,0.0
2.710462,0.5235027,91,79,1,0,n10,2.634608,0.0
2.7884533,0.44551152,89,68,1,0,n11,2.634608,0.0
2.850419,0.38354588,84,65,1,0,n12,2.634608,0.0
2.9348204,0.29914442,81,73,1,0,n13,2.93482,1.0
2.9978545,0.23611042,79,63,1,0,n14,2.93482,1.0
3.068367,0.1655978,77,65,1,0,n15,2.93482,1.0
3.1378112,0.096153565,72,66,1,0,n16,2.93482,1.0
3.1527684,0.081196345,47,59,1,0,n17,2.93482,1.0
3.214734,0.037393052,48,78,1,0,n18,3.1939006,2.0
3.2350333,0.040598173,69,68,1,0,n19,3.1939006,2.0
3.3012724,0.059828885,67,61,1,0,n20,3.1939006,2.0
3.3771267,0.0512819,65,65,1,0,n21,3.1939006,2.0
3.4529812,0.041666545,60,62,1,0,n22,3.1939006,2.0
3.5309725,0.030982815,48,60,1,0,n23,3.1939006,2.0
3.5448613,0.040598173,57,66,1,0,n24,3.5379164,3.0
3.6132371,0.057692137,55,62,1,0,n25,3.5379164,3.0
3.69016,0.05235027,53,63,1,0,n26,3.5379164,3.0
3.7425103,0.053418647,48,54,1,0,n27,3.5379164,3.0
3.8226383,0.035256308,41,72,1,0,n28,3.5379164,3.0
3.824775,0.03632468,29,72,1,0,n29,3.824775,4.0
3.836527,0.05235027,53,63,1,0,n30,3.824775,4.0
3.9155867,0.1933755,55,57,1,0,n31,3.824775,4.0
3.967937,0.14102523,57,73,1,0,n32,3.824775,4.0
4.0726376,0.048076782,60,68,1,0,n33,3.824775,4.0
4.139945,0.25854623,50,83,1,0,n34,3.824775,4.0
4.1559706,0.08974332,65,71,1,0,n35,4.147958,5.0
4.259603,0.10576892,67,63,1,0,n36,4.147958,5.0
4.3407993,0.024572577,69,58,1,0,n37,4.147958,5.0
4.394218,0.082264714,48,80,1,0,n38,4.147958,5.0
4.4358845,0.04487166,72,64,1,0,n39,4.147958,5.0
4.477551,0.30234954,57,82,1,0,n40,4.147958,5.0
4.509602,0.27029836,77,64,1,0,n41,4.4935765,6.0
4.587593,0.19230713,79,68,1,0,n42,4.4935765,6.0
4.6623793,0.11752102,81,63,1,0,n43,4.4935765,6.0
4.7478495,0.039529797,84,70,1,0,n44,4.4935765,6.0
4.8087463,0.29059744,53,78,1,0,n45,4.4935765,6.0
4.822635,0.27670857,89,73,1,0,n46,4.8156905,7.0
4.901695,0.19764899,91,67,1,0,n47,4.8156905,7.0
4.9583187,0.14102523,93,72,1,0,n48,4.8156905,7.0
5.0288315,0.088674955,91,79,1,0,n49,4.8156905,7.0
5.048062,0.07692285,45,75,1,0,n50,4.8156905,7.0
5.1239166,0.063034005,89,76,1,0,n51,4.8156905,7.0
5.1324635,0.62499815,48,82,1,0,n52,5.132463,8.0
5.1410103,0.88247603,41,77,1,0,n53,5.132463,8.0
5.196566,0.03632468,84,69,1,0,n54,5.132463,8.0
5.302335,0.45512685,81,56,1,0,n55,5.132463,8.0
5.332249,0.4252124,79,37,1,0,n56,5.132463,8.0
5.4273343,0.33012724,77,68,1,0,n57,5.427334,9.0
5.5160093,0.24145228,72,63,1,0,n58,5.427334,9.0
5.595069,0.16239269,69,69,1,0,n59,5.427334,9.0
5.652761,0.10470054,67,72,1,0,n60,5.427334,9.0
5.6794705,0.077991225,47,74,1,0,n61,5.427334,9.0
5.735026,0.0512819,65,76,1,0,n62,5.707248,10.0
5.7574615,0.03418793,48,83,1,0,n63,5.707248,10.0
5.806607,0.048076782,60,62,1,0,n64,5.707248,10.0
5.901692,0.03632468,57,73,1,0,n65,5.707248,10.0
5.9807515,0.029914442,55,72,1,0,n66,5.707248,10.0
6.048059,0.029914442,48,78,1,0,n67,5.707248,10.0
6.059811,0.060897257,53,69,1,0,n68,6.053935,11.0
6.0758367,0.0010683729,57,20,1,0,n69,6.053935,11.0
6.099341,0.0010683729,52,47,1,0,n70,6.053935,11.0
6.1410074,0.048076782,48,76,1,0,n71,6.053935,11.0
6.239298,0.050213527,53,71,1,0,n72,6.053935,11.0
6.3108788,0.049145155,57,72,1,0,n73,6.053935,11.0
6.371776,0.03632468,28,78,1,0,n74,6.371776,12.0
6.371776,0.028846068,40,75,1,0,n75,6.371776,12.0
6.3813915,0.045940034,55,67,1,0,n76,6.371776,12.0
6.4476304,0.032051187,48,64,1,0,n77,6.371776,12.0
6.5363054,0.067307495,55,76,1,0,n78,6.371776,12.0
6.6078863,0.081196345,57,70,1,0,n79,6.371776,12.0
6.686946,0.23717879,50,88,1,0,n80,6.371776,12.0
6.6880145,0.039529797,58,67,1,0,n81,6.68748,13.0
6.7713475,0.12713638,60,75,1,0,n82,6.68748,13.0
6.8685694,0.07264936,67,72,1,0,n83,6.68748,13.0
6.92733,0.06517075,48,81,1,0,n84,6.68748,13.0
6.939082,0.081196345,69,73,1,0,n85,6.68748,13.0
7.0031843,0.30128115,55,91,1,0,n86,6.68748,13.0
7.0181417,0.28632393,70,74,1,0,n87,7.010663,14.0
7.107885,0.19658062,72,72,1,0,n88,7.010663,14.0
7.208312,0.096153565,79,74,1,0,n89,7.010663,14.0
7.2809615,0.08012797,81,72,1,0,n90,7.010663,14.0
7.353611,0.30875978,82,77,1,0,n91,7.010663,14.0
7.3557477,0.30662304,62,78,1,0,n92,7.3546796,15.0
7.4209185,0.24145228,84,72,1,0,n93,7.3546796,15.0
7.5170717,0.14529872,91,78,1,0,n94,7.3546796,15.0
7.539508,0.12286288,40,71,1,0,n95,7.3546796,15.0
7.6068153,0.08440146,93,76,1,0,n96,7.3546796,15.0
7.6217723,0.056623764,48,66,1,0,n97,7.3546796,15.0
7.692285,0.038461424,60,80,1,0,n98,7.626046,16.0
7.712584,0.63354516,94,64,1,0,n99,7.626046,16.0
7.78096,0.5651693,93,73,1,0,n100,7.626046,16.0
7.861088,0.4850413,91,76,1,0,n101,7.626046,16.0
7.9401474,0.40598172,84,62,1,0,n102,7.626046,16.0
8.016002,0.33012724,82,80,1,0,n103,8.016002,17.0
8.100404,0.24572577,81,65,1,0,n104,8.016002,17.0
8.147412,0.19871736,79,30,1,0,n105,8.016002,17.0
8.256386,0.08974332,72,68,1,0,n106,8.016002,17.0
8.278822,0.067307495,47,65,1,0,n107,8.016002,17.0
8.334377,0.03418793,48,82,1,0,n108,8.312475,18.0
8.346129,0.05235027,70,75,1,0,n109,8.312475,18.0
8.418778,0.064102374,69,68,1,0,n110,8.312475,18.0
8.506385,0.039529797,67,68,1,0,n111,8.312475,18.0
8.587582,0.057692137,60,60,1,0,n112,8.312475,18.0
8.6591625,0.041666545,48,68,1,0,n113,8.312475,18.0
8.681599,0.0512819,58,67,1,0,n114,8.67038,19.0
8.757453,0.06196563,57,61,1,0,n115,8.67038,19.0
8.837581,0.049145155,55,63,1,0,n116,8.67038,19.0
8.91023,0.041666545,48,54,1,0,n117,8.67038,19.0
8.965786,0.029914442,40,77,1,0,n118,8.67038,19.0
8.976469,0.04700841,28,73,1,0,n119,8.976469,20.0
8.980742,0.064102374,55,68,1,0,n120,8.976469,20.0
9.054461,0.2126062,57,69,1,0,n121,8.976469,20.0
9.149546,0.11752102,58,73,1,0,n122,8.976469,20.0
9.242494,0.04487166,60,78,1,0,n123,8.976469,20.0
9.30446,0.24893089,50,85,1,0,n124,8.976469,20.0
9.333305,0.21153784,67,74,1,0,n125,9.318883,21.0
9.420913,0.12393126,69,71,1,0,n126,9.318883,21.0
9.517066,0.03311956,70,74,1,0,n127,9.318883,21.0
9.561937,0.3974347,48,80,1,0,n128,9.318883,21.0
9.602536,0.35683656,72,76,1,0,n129,9.318883,21.0
9.663433,0.2959393,58,87,1,0,n130,9.318883,21.0
9.702963,0.2564095,79,72,1,0,n131,9.683198,22.0
9.772408,0.18696526,81,75,1,0,n132,9.683198,22.0
9.853603,0.10576892,82,68,1,0,n133,9.683198,22.0
9.933731,0.43269104,84,72,1,0,n134,9.683198,22.0
10.011723,0.35469982,55,71,1,0,n135,9.683198,22.0
10.018133,0.34828958,91,80,1,0,n136,10.014928,23.0
10.101466,0.26495647,93,81,1,0,n137,10.014928,23.0
10.228602,0.13782011,94,16,1,0,n138,10.014928,23.0
10.2499695,0.11645265,93,73,1,0,n139,10.014928,23.0
10.29591,0.070512615,43,36,1,0,n140,10.014928,23.0
10.350397,0.042734917,91,78,1,0,n141,10.014928,23.0
10.366423,0.9273477,40,73,1,0,n142,10.366422,24.0
