onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491393,0.42948592,84,58,1,0,n0,2.049139,-1.0
2.1153784,0.3632468,86,54,1,0,n1,2.049139,-1.0
2.1559765,0.3226486,84,71,1,0,n2,2.049139,-1.0
2.2307627,0.24786252,86,74,1,0,n3,2.049139,-1.0
2.277771,0.20085411,84,67,1,0,n4,2.049139,-1.0
2.354694,0.12393126,83,77,1,0,n5,2.049139,-1.0
2.4252064,0.77563876,84,71,1,0,n6,2.049139,-1.0
2.5053344,0.69551075,48,88,1,0,n7,2.049139,-1.0
2.5074713,0.9188007,41,81,1,0,n8,2.507471,0.0
2.526702,0.6741433,93,82,1,0,n9,2.507471,0.0
2.6292658,0.5715795,91,81,1,0,n10,2.507471,0.0
2.6965733,0.50427204,89,71,1,0,n11,2.507471,0.0
2.753197,0.44764826,84,71,1,0,n12,2.507471,0.0
2.8611026,0.3397426,81,64,1,0,n13,2.507471,0.0
2.8643079,0.33653748,83,69,1,0,n14,2.861103,1.0
2.92841,0.2724351,79,78,1,0,n15,2.861103,1.0
2.9861023,0.21474296,77,73,1,0,n16,2.861103,1.0
3.068367,0.13247824,72,67,1,0,n17,2.861103,1.0
3.1292644,0.07158098,47,62,1,0,n18,2.861103,1.0
3.1698625,0.032051187,48,78,1,0,n19,3.152234,2.0
3.1752043,0.121794514,69,72,1,0,n20,3.152234,2.0
3.2564006,0.07905959,67,72,1,0,n21,3.152234,2.0
3.3322551,0.0512819,65,64,1,0,n22,3.152234,2.0
3.3942208,0.0512819,60,64,1,0,n23,3.152234,2.0
3.4754171,0.037393052,48,71,1,0,n24,3.152234,2.0
3.4989214,0.07692285,57,75,1,0,n25,3.487169,3.0
3.5833228,0.063034005,55,59,1,0,n26,3.487169,3.0
3.6378098,0.07692285,53,75,1,0,n27,3.487169,3.0
3.7286215,0.081196345,48,65,1,0,n28,3.487169,3.0
3.7895188,0.040598173,41,66,1,0,n29,3.487169,3.0
3.8002024,0.037393052,29,60,1,0,n30,3.800202,4.0
3.8290486,0.3354691,53,68,1,0,n31,3.800202,4.0
3.9038346,0.260683,55,53,1,0,n32,3.800202,4.0
3.9700737,0.19444387,57,67,1,0,n33,3.800202,4.0
4.0790477,0.085469835,60,63,1,0,n34,3.800202,4.0
4.1378083,0.030982815,62,12,1,0,n35,3.800202,4.0
4.1559706,0.2681616,50,77,1,0,n36,3.800202,4.0
4.1623807,0.118589394,65,75,1,0,n37,4.159176,5.0
4.271355,0.15277733,67,63,1,0,n38,4.159176,5.0
4.324774,0.09935868,69,71,1,0,n39,4.159176,5.0
4.4049015,0.09401682,48,73,1,0,n40,4.159176,5.0
4.438021,0.049145155,72,69,1,0,n41,4.159176,5.0
4.4989185,0.33226398,57,79,1,0,n42,4.159176,5.0
4.516012,0.31517002,77,76,1,0,n43,4.507465,6.0
4.6228495,0.20833272,79,67,1,0,n44,4.507465,6.0
4.6719947,0.15918757,81,74,1,0,n45,4.507465,6.0
4.777764,0.07371773,84,79,1,0,n46,4.507465,6.0
4.848276,0.05448702,53,71,1,0,n47,4.507465,6.0
4.861097,0.27670857,89,77,1,0,n48,4.8546867,7.0
4.939088,0.19871736,91,69,1,0,n49,4.8546867,7.0
5.013874,0.12393126,93,71,1,0,n50,4.8546867,7.0
5.071566,0.09188007,45,59,1,0,n51,4.8546867,7.0
5.097207,0.07158098,91,75,1,0,n52,4.8546867,7.0
5.170925,0.050213527,89,72,1,0,n53,4.8546867,7.0
5.1751986,0.64636564,48,67,1,0,n54,5.175198,8.0
5.179472,0.94123656,41,65,1,0,n55,5.175198,8.0
5.2403693,0.5811949,84,70,1,0,n56,5.175198,8.0
5.3290443,0.49251992,81,77,1,0,n57,5.175198,8.0
5.409172,0.41239196,79,74,1,0,n58,5.175198,8.0
5.472206,0.34935793,77,74,1,0,n59,5.472206,9.0
5.5566077,0.26495647,72,63,1,0,n60,5.472206,9.0
5.649556,0.17200804,69,71,1,0,n61,5.472206,9.0
5.741436,0.0865382,67,67,1,0,n62,5.472206,9.0
5.795923,0.03632468,47,67,1,0,n63,5.472206,9.0
5.8140855,0.05448702,65,68,1,0,n64,5.805004,10.0
5.8269057,0.029914442,48,71,1,0,n65,5.805004,10.0
5.886735,0.040598173,60,65,1,0,n66,5.805004,10.0
5.9978456,0.08760658,57,64,1,0,n67,5.805004,10.0
6.085452,0.057692137,55,62,1,0,n68,5.805004,10.0
6.1335287,0.035256308,48,66,1,0,n69,5.805004,10.0
6.1378026,0.07371773,53,67,1,0,n70,6.1356654,11.0
6.239298,0.04380329,48,65,1,0,n71,6.1356654,11.0
6.325836,0.070512615,53,61,1,0,n72,6.1356654,11.0
6.397417,0.3856826,57,66,1,0,n73,6.1356654,11.0
6.4412203,0.0512819,40,66,1,0,n74,6.1356654,11.0
6.455109,0.32799047,28,59,1,0,n75,6.455109,12.0
6.4786134,0.30448627,55,66,1,0,n76,6.455109,12.0
6.5598097,0.22328994,48,65,1,0,n77,6.455109,12.0
6.678399,0.12820475,55,63,1,0,n78,6.455109,12.0
6.761732,0.11004241,57,63,1,0,n79,6.455109,12.0
6.8343816,0.2553411,50,72,1,0,n80,6.455109,12.0
6.8429284,0.053418647,58,73,1,0,n81,6.8386555,13.0
6.9508343,0.10897404,60,77,1,0,n82,6.8386555,13.0
7.042714,0.12606801,67,72,1,0,n83,6.8386555,13.0
