onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0651648,0.053418647,84,18,1,0,n0,-10.0,-10.0
2.1271305,0.0512819,86,52,1,0,n1,2.065165,-1.0
2.220079,0.06196563,84,32,1,0,n2,2.065165,-1.0
2.2435832,0.055555392,86,57,1,0,n3,2.065165,-1.0
2.3130274,0.032051187,84,41,1,0,n4,2.065165,-1.0
2.3792665,0.041666545,83,52,1,0,n5,2.065165,-1.0
2.4316168,0.059828885,84,77,1,0,n6,2.065165,-1.0
2.5341806,0.5715795,41,51,1,0,n7,2.065165,-1.0
2.5437958,0.56196415,93,71,1,0,n8,2.065165,-1.0
2.5448642,0.5608958,48,33,1,0,n9,2.543796,0.0
2.592941,0.512819,91,75,1,0,n10,2.543796,0.0
2.6655905,0.44016963,89,75,1,0,n11,2.543796,0.0
2.7425132,0.3632468,84,64,1,0,n12,2.543796,0.0
2.8140943,0.2916658,81,68,1,0,n13,2.814094,1.0
2.873923,0.23183693,79,73,1,0,n14,2.814094,1.0
2.9433675,0.16239269,77,66,1,0,n15,2.814094,1.0
3.010675,0.09508519,72,68,1,0,n16,2.814094,1.0
3.0737088,0.035256308,47,57,1,0,n17,2.814094,1.0
3.0801191,0.039529797,48,47,1,0,n18,2.814094,1.0
3.0886662,0.07585448,69,72,1,0,n19,3.0811875,2.0
3.1549053,0.070512615,67,68,1,0,n20,3.0811875,2.0
3.2243495,0.038461424,65,63,1,0,n21,3.0811875,2.0
3.2959304,0.040598173,60,60,1,0,n22,3.0811875,2.0
3.37499,0.049145155,57,69,1,0,n23,3.0811875,2.0
3.4081097,0.0053418647,48,12,1,0,n24,3.39155,3.0
3.4497762,0.05876051,55,58,1,0,n25,3.39155,3.0
3.5106735,0.049145155,53,63,1,0,n26,3.39155,3.0
3.581186,0.05876051,48,70,1,0,n27,3.39155,3.0
3.6346047,0.045940034,29,58,1,0,n28,3.39155,3.0
3.6367414,0.038461424,41,54,1,0,n29,3.636741,4.0
3.6773396,0.056623764,53,57,1,0,n30,3.636741,4.0
3.7275531,0.04380329,55,68,1,0,n31,3.636741,4.0
3.7638779,0.038461424,57,67,1,0,n32,3.636741,4.0
3.879262,0.06837586,60,61,1,0,n33,3.636741,4.0
3.947638,0.23931554,50,64,1,0,n34,3.636741,4.0
3.9636636,0.10897404,65,73,1,0,n35,3.955651,5.0
4.042723,0.056623764,67,68,1,0,n36,3.955651,5.0
4.0982785,0.03418793,69,65,1,0,n37,3.955651,5.0
4.1645174,0.13354662,48,71,1,0,n38,3.955651,5.0
4.197637,0.04380329,72,62,1,0,n39,3.955651,5.0
4.288449,0.51922923,57,73,1,0,n40,3.955651,5.0
4.291654,0.5160241,77,71,1,0,n41,4.2900515,6.0
4.380329,0.42734918,79,65,1,0,n42,4.2900515,6.0
4.428406,0.37927237,81,64,1,0,n43,4.2900515,6.0
4.5427217,0.26495647,84,61,1,0,n44,4.2900515,6.0
4.6207128,0.18696526,53,62,1,0,n45,4.2900515,6.0
4.6207128,0.18696526,89,78,1,0,n46,4.2900515,6.0
4.690157,0.11752102,91,69,1,0,n47,4.620713,7.0
4.7553277,0.14636709,93,77,1,0,n48,4.620713,7.0
4.821567,0.08974332,45,60,1,0,n49,4.620713,7.0
4.840798,0.07264936,91,69,1,0,n50,4.620713,7.0
4.8781905,0.63354516,48,59,1,0,n51,4.620713,7.0
4.891011,0.6207247,41,52,1,0,n52,4.891011,8.0
4.9006267,0.038461424,89,77,1,0,n53,4.891011,8.0
4.993575,0.5181609,84,58,1,0,n54,4.891011,8.0
5.044857,0.46687895,83,72,1,0,n55,4.891011,8.0
5.148489,0.3632468,81,56,1,0,n56,4.891011,8.0
5.1570363,0.35469982,79,45,1,0,n57,4.891011,8.0
5.185882,0.32585374,77,57,1,0,n58,5.185882,9.0
5.2702837,0.24145228,72,55,1,0,n59,5.185882,9.0
5.3386593,0.1730764,69,51,1,0,n60,5.185882,9.0
5.3504114,0.1613243,71,44,1,0,n61,5.185882,9.0
5.380326,0.13140987,67,67,1,0,n62,5.185882,9.0
5.429471,0.082264714,65,68,1,0,n63,5.185882,9.0
5.497847,0.029914442,47,71,1,0,n64,5.463659,10.0
5.499984,0.030982815,48,63,1,0,n65,5.463659,10.0
5.529898,0.035256308,60,58,1,0,n66,5.463659,10.0
5.608958,0.056623764,57,54,1,0,n67,5.463659,10.0
5.6559663,0.050213527,55,64,1,0,n68,5.463659,10.0
5.7318206,0.040598173,53,44,1,0,n69,5.463659,10.0
5.75212,0.04380329,52,38,1,0,n70,5.7419705,11.0
5.7628036,0.08974332,48,69,1,0,n71,5.7419705,11.0
5.8792562,0.05235027,53,74,1,0,n72,5.7419705,11.0
5.950837,0.10470054,57,61,1,0,n73,5.7419705,11.0
6.010666,0.060897257,55,66,1,0,n74,5.7419705,11.0
6.033102,0.037393052,40,67,1,0,n75,6.033102,12.0
6.041649,0.041666545,28,67,1,0,n76,6.033102,12.0
6.0811787,0.060897257,48,64,1,0,n77,6.033102,12.0
6.1698537,0.0865382,55,68,1,0,n78,6.033102,12.0
6.2606654,0.07905959,57,58,1,0,n79,6.033102,12.0
6.3269043,0.04380329,58,67,1,0,n80,6.033102,12.0
6.3375883,0.23076855,50,72,1,0,n81,6.332246,13.0
6.424126,0.048076782,60,62,1,0,n82,6.332246,13.0
6.5288267,0.13782011,67,72,1,0,n83,6.332246,13.0
6.5469894,0.111110784,48,73,1,0,n84,6.332246,13.0
6.6175017,0.05448702,69,65,1,0,n85,6.332246,13.0
6.6452794,0.5373916,55,85,1,0,n86,6.332246,13.0
6.675194,0.030982815,70,67,1,0,n87,6.660237,14.0
6.74998,0.43269104,72,73,1,0,n88,6.660237,14.0
6.8418603,0.34081095,79,79,1,0,n89,6.660237,14.0
6.92092,0.26175135,81,73,1,0,n90,6.660237,14.0
6.9369454,0.24572577,62,81,1,0,n91,6.660237,14.0
6.9604497,0.22222157,82,71,1,0,n92,6.9486976,15.0
7.0395093,0.14316197,84,75,1,0,n93,6.9486976,15.0
7.1036115,0.07905959,40,68,1,0,n94,6.9486976,15.0
7.1207056,0.074786104,91,80,1,0,n95,6.9486976,15.0
7.179466,0.039529797,48,61,1,0,n96,6.9486976,15.0
7.193355,0.06837586,93,74,1,0,n97,7.182137,16.0
7.2606626,0.6666647,94,81,1,0,n98,7.182137,16.0
7.2756195,0.6517075,60,88,1,0,n99,7.182137,16.0
7.3461323,0.5811949,93,80,1,0,n100,7.182137,16.0
7.42626,0.5010669,91,77,1,0,n101,7.182137,16.0
7.535234,0.39209285,84,65,1,0,n102,7.182137,16.0
7.6110888,0.31623837,82,68,1,0,n103,7.182137,16.0
7.671986,0.2553411,81,73,1,0,n104,7.611089,17.0
7.737157,0.19017038,79,62,1,0,n105,7.611089,17.0
7.813011,0.114315905,72,64,1,0,n106,7.611089,17.0
7.893139,0.03418793,47,66,1,0,n107,7.611089,17.0
7.8942075,0.10149543,70,71,1,0,n108,7.893673,18.0
7.897413,0.037393052,48,55,1,0,n109,7.893673,18.0
7.9572415,0.055555392,69,68,1,0,n110,7.893673,18.0
8.011728,0.03311956,67,67,1,0,n111,7.893673,18.0
8.099335,0.050213527,60,62,1,0,n112,7.893673,18.0
8.17519,0.038461424,48,68,1,0,n113,7.893673,18.0
8.1805315,0.09508519,58,66,1,0,n114,8.17786,19.0
8.244634,0.055555392,57,63,1,0,n115,8.17786,19.0
8.303394,0.05235027,55,66,1,0,n116,8.17786,19.0
8.397411,0.05235027,48,46,1,0,n117,8.17786,19.0
8.463651,0.048076782,28,60,1,0,n118,8.46365,20.0
8.463651,0.04700841,40,59,1,0,n119,8.46365,20.0
8.473266,0.06944424,55,71,1,0,n120,8.46365,20.0
8.556599,0.048076782,57,67,1,0,n121,8.46365,20.0
8.602539,0.03418793,58,69,1,0,n122,8.46365,20.0
8.692282,0.041666545,60,72,1,0,n123,8.46365,20.0
8.774547,0.17841828,50,58,1,0,n124,8.46365,20.0
8.783093,0.081196345,67,76,1,0,n125,8.77882,21.0
8.869632,0.039529797,69,64,1,0,n126,8.77882,21.0
8.912367,0.030982815,70,68,1,0,n127,8.77882,21.0
8.962581,0.100427054,48,61,1,0,n128,8.77882,21.0
8.996768,0.042734917,72,70,1,0,n129,8.77882,21.0
9.086512,0.54380184,58,56,1,0,n130,8.77882,21.0
9.088649,0.070512615,79,72,1,0,n131,9.08758,22.0
9.183734,0.44657987,81,58,1,0,n132,9.08758,22.0
9.21899,0.41132358,82,67,1,0,n133,9.08758,22.0
9.307665,0.3226486,84,68,1,0,n134,9.08758,22.0
9.385656,0.2446574,91,77,1,0,n135,9.08758,22.0
9.399545,0.23076855,55,47,1,0,n136,9.3926,23.0
9.461511,0.16880292,93,74,1,0,n137,9.3926,23.0
9.523477,0.11217915,94,74,1,0,n138,9.3926,23.0
9.58651,0.088674955,43,50,1,0,n139,9.3926,23.0
9.607878,0.07158098,93,65,1,0,n140,9.3926,23.0
9.6783905,0.030982815,91,73,1,0,n141,9.3926,23.0
9.697621,0.56944275,40,43,1,0,n142,9.697621,24.0
9.699758,0.56730604,48,44,1,0,n143,9.697621,24.0
9.760655,0.50640875,84,64,1,0,n144,9.697621,24.0
9.841851,0.4252124,82,68,1,0,n145,9.697621,24.0
9.913432,0.35363144,81,63,1,0,n146,9.697621,24.0
9.970057,0.29700768,79,61,1,0,n147,9.970056,25.0
10.049115,0.21794808,72,62,1,0,n148,9.970056,25.0
10.128175,0.13888848,70,67,1,0,n149,9.970056,25.0
10.182662,0.08440146,69,63,1,0,n150,9.970056,25.0
10.247833,0.038461424,67,60,1,0,n151,9.970056,25.0
10.285226,0.03632468,47,57,1,0,n152,10.266529,26.0
10.287363,0.041666545,48,47,1,0,n153,10.266529,26.0
10.326893,0.040598173,60,59,1,0,n154,10.266529,26.0
10.399542,0.14102523,58,70,1,0,n155,10.266529,26.0
10.470055,0.05876051,57,58,1,0,n156,10.266529,26.0
10.540567,0.049145155,55,65,1,0,n157,10.266529,26.0
10.579029,0.049145155,48,61,1,0,n158,10.559798,27.0
10.629242,0.11324753,48,28,1,0,n159,10.559798,27.0
10.69014,0.085469835,55,58,1,0,n160,10.559798,27.0
10.763857,0.07371773,58,73,1,0,n161,10.559798,27.0
10.858942,0.03311956,41,75,1,0,n162,10.559798,27.0
10.861079,0.049145155,29,69,1,0,n163,10.861079,28.0
10.8642845,0.11538427,57,63,1,0,n164,10.861079,28.0
10.913429,0.07371773,48,67,1,0,n165,10.861079,28.0
10.995694,0.11004241,53,70,1,0,n166,10.861079,28.0
11.072617,0.08333309,55,61,1,0,n167,10.861079,28.0
