xml_id	midi_id	track	channel	pitch	onset
n31-1	n14	0	0	41	3.0170910000000073
n26-1	n13	0	0	48	3.008544000000007
n7-1	n10	0	0	83	2.775638250000005
n1-1	n0	0	0	84	2.0491432499999997
n4-1	n4	0	0	84	2.3472198750000026
n8-1	n11	0	0	84	2.8258518750000055
n6-1	n8	0	0	84	2.6111085000000047
n13-1	n17	0	0	84	3.172005375000008
n3-1	n1	0	0	86	2.161322625000001
n5-1	n5	0	0	86	2.4113223750000032
n12-1	n16	0	0	89	3.1111080000000073
n11-1	n15	0	0	91	3.0363217500000075
n10-1	n12	0	0	93	2.987176500000007
n17-1	n21	0	0	72	3.486107625000009
n16-1	n20	0	0	77	3.4166632500000094
n15-1	n19	0	0	79	3.352560750000009
n14-1	n18	0	0	81	3.302347125000009
n27-1	n22	0	0	47	3.5940135000000093
n28-1	n23	0	0	48	3.6239280000000096
n21-1	n27	0	0	60	3.81196200000001
n20-1	n26	0	0	65	3.7361073750000102
n19-1	n25	0	0	67	3.68696212500001
n18-1	n24	0	0	69	3.6239280000000096
n30-1	n28	0	0	48	3.8910217500000104
n25-1	n32	0	0	48	4.16238900000001
n24-1	n31	0	0	53	4.06730362500001
n23-1	n30	0	0	55	4.00213275000001
n22-1	n29	0	0	57	3.9423037500000104
n48-1	n33	0	0	29	4.23183337500001
n49-1	deletion
n32-1	n34	0	0	53	4.25106412500001
n33-1	n35	0	0	55	4.347217875000011
n34-1	n36	0	0	57	4.4230725000000115
n35-1	n37	0	0	60	4.543798875000012
n51-1	n42	0	0	48	4.853627625000015
n50-1	n38	0	0	50	4.624995375000013
n36-1	n39	0	0	65	4.644226125000013
n37-1	n40	0	0	67	4.7264910000000135
n38-1	n41	0	0	69	4.804482375000014
n39-1	n43	0	0	72	4.877131875000015
n52-1	n44	0	0	57	4.963670250000015
n40-1	n45	0	0	77	4.971148875000015
n41-1	n46	0	0	79	5.058755625000015
n42-1	n47	0	0	81	5.128200000000016
n43-1	n48	0	0	84	5.2168751250000165
n54-1	n53	0	0	45	5.480763750000018
n53-1	n50	0	0	53	5.318370750000017
n44-1	n49	0	0	89	5.288456250000016
n45-1	n51	0	0	91	5.353627125000017
n47-1	n54	0	0	91	5.499994500000018
n46-1	n52	0	0	93	5.436960375000018
n76-1	n58	0	0	41	5.66559262500002
n71-1	n56	0	0	48	5.64956700000002
n58-1	n60	0	0	79	5.8173018750000205
n57-1	n59	0	0	81	5.764951500000021
n56-1	n57	0	0	84	5.65277212500002
n55-1	n55	0	0	89	5.582259375000019
n62-1	n64	0	0	67	6.1132417500000225
n61-1	n63	0	0	69	6.063028125000022
n60-1	n62	0	0	72	5.954053875000022
n59-1	n61	0	0	77	5.902771875000021
n72-1	n65	0	0	47	6.170934000000023
n73-1	n67	0	0	48	6.214737375000023
n66-1	n70	0	0	55	6.4134551250000245
n65-1	n69	0	0	57	6.351489375000025
n64-1	n68	0	0	60	6.243583500000024
n63-1	n66	0	0	65	6.175207500000023
n75-1	n71	0	0	48	6.466873875000024
n68-1	n73	0	0	48	6.591873750000025
n67-1	n72	0	0	53	6.488241375000024
n69-1	n74	0	0	53	6.672001875000026
n70-1	n75	0	0	57	6.752130000000026
n93-1	n76	0	0	28	6.840805125000026
n94-1	deletion
n78-1	n78	0	0	48	6.918796500000027
n77-1	n77	0	0	55	6.857899125000026
n79-1	n79	0	0	55	7.013881875000028
n80-1	n80	0	0	57	7.089736500000028
n96-1	n85	0	0	48	7.389949875000031
n95-1	n81	0	0	50	7.154907375000029
n81-1	n82	0	0	58	7.175206500000029
n82-1	n83	0	0	60	7.27563375000003
n83-1	n84	0	0	67	7.364308875000031
n84-1	n86	0	0	69	7.431616500000032
n97-1	n87	0	0	55	7.476488250000032
n85-1	n88	0	0	70	7.506402750000032
n86-1	n89	0	0	72	7.608966750000033
n87-1	n91	0	0	79	7.684821375000034
n88-1	n92	0	0	81	7.755334125000035
n98-1	n93	0	0	62	7.804479375000035
n89-1	n94	0	0	82	7.822641750000035
n90-1	n95	0	0	84	7.913453625000035
n91-1	n98	0	0	91	7.996786875000035
n92-1	n101	0	0	93	8.09400900000003
n115-1	n96	0	0	40	7.973282625000035
n116-1	n100	0	0	48	8.037385125000032
n118-1	n102	0	0	60	8.178410625000026
n102-1	n107	0	0	84	8.440162500000024
n101-1	n106	0	0	91	8.374991625000025
n100-1	n105	0	0	93	8.294863500000025
n99-1	n103	0	0	94	8.200846500000026
n106-1	n111	0	0	72	8.752128000000024
n105-1	n110	0	0	79	8.674136625000026
n104-1	n109	0	0	81	8.618581125000025
n103-1	n108	0	0	82	8.556615375000025
n120-1	n112	0	0	47	8.835461250000025
