xml_id	midi_id	track	channel	pitch	onset
n31-1	n9	0	0	41	2.1207243750000004
n26-1	n8	0	0	48	2.1087051562500005
n7-1	n6	0	0	83	1.9123912500000004
n1-1	n0	0	0	84	1.5117506250000003
n4-1	n2	0	0	84	1.6506393750000004
n6-1	n4	0	0	84	1.7614832812500003
n8-1	n7	0	0	84	1.9978612500000006
n13-1	n13	0	0	84	2.4732881250000003
n3-1	n1	0	0	86	1.5825304687500001
n5-1	n3	0	0	86	1.7134064062500003
insertion	n5	0	0	86	1.8442823437500004
n12-1	n12	0	0	89	2.3878181250000003
n11-1	n11	0	0	91	2.3263865625
n10-1	n10	0	0	93	2.2142071875000005
n17-1	n17	0	0	72	2.7724331250000005
n16-1	n16	0	0	77	2.7016532812500005
n15-1	n15	0	0	79	2.6468990625000006
n14-1	n14	0	0	81	2.5774546875000004
n27-1	n18	0	0	47	2.8352001562500004
n28-1	n19	0	0	48	2.8779351562500004
n21-1	n23	0	0	60	3.110306718750001
n20-1	n22	0	0	65	3.039526875000001
n19-1	n21	0	0	67	2.9553923437500007
n18-1	n20	0	0	69	2.8832770312500005
n30-1	n24	0	0	48	3.219815156250001
n25-1	n28	0	0	48	3.500263593750001
n24-1	n27	0	0	53	3.417464531250001
n23-1	n26	0	0	55	3.333330000000001
n22-1	n25	0	0	57	3.251866406250001
n48-1	n29	0	0	29	3.568372500000001
n49-1	n30	0	0	41	3.572378906250001
n32-1	n31	0	0	53	3.593746406250001
n33-1	n32	0	0	55	3.693906562500001
n34-1	n33	0	0	57	3.7753701562500006
n35-1	n34	0	0	60	3.87152390625
n51-1	n39	0	0	48	4.213403906250002
n50-1	n35	0	0	50	3.93829734375
n36-1	n36	0	0	65	3.95966484375
n37-1	n37	0	0	67	4.05848953125
n38-1	n38	0	0	69	4.137282187500001
n39-1	n40	0	0	72	4.253467968750002
n52-1	n41	0	0	57	4.326918750000003
n40-1	n42	0	0	77	4.341608906250003
n41-1	n43	0	0	79	4.432420781250003
n42-1	n44	0	0	81	4.501865156250003
n43-1	n45	0	0	84	4.602025312500002
n54-1	n50	0	0	45	4.943905312500001
n53-1	n46	0	0	53	4.683488906250003
n44-1	n47	0	0	89	4.702185468750002
n45-1	n48	0	0	91	4.7876554687500015
n47-1	n51	0	0	91	4.9652728125
n46-1	n49	0	0	93	4.875796406250001
n76-1	n54	0	0	41	5.049407343750001
n71-1	n53	0	0	48	5.0427300000000015
n58-1	n57	0	0	79	5.3365331250000025
n57-1	n56	0	0	81	5.251063125000003
n56-1	n55	0	0	84	5.128200000000001
n55-1	n52	0	0	89	5.040059062500002
n62-1	n61	0	0	67	5.685090468750002
n61-1	n60	0	0	69	5.598285000000002
n60-1	n59	0	0	72	5.491447500000002
n59-1	n58	0	0	77	5.411319375000002
n72-1	n62	0	0	47	5.749192968750002
n73-1	n64	0	0	48	5.787921562500002
n75-1	deletion
n66-1	n67	0	0	55	6.055015312500002
n65-1	n66	0	0	57	5.960197031250002
n64-1	n65	0	0	60	5.846682187500002
n63-1	n63	0	0	65	5.761212187500002
n68-1	n69	0	0	48	6.240645468750002
n67-1	n68	0	0	53	6.144491718750002
n69-1	n70	0	0	53	6.356831250000002
n70-1	n71	0	0	57	6.435623906250001
n93-1	n72	0	0	28	6.515752031250001
n94-1	n73	0	0	40	6.52376484375
n78-1	n75	0	0	48	6.65196984375
