onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5117506,0.66372794,84,56,0,0,n0,-10.0,-10.0
1.5825305,0.59294814,86,59,0,0,n1,1.511751,-1.0
1.6506394,0.5248392,84,68,0,0,n2,1.511751,-1.0
1.7134064,0.4620722,86,69,0,0,n3,1.511751,-1.0
1.7614833,0.41399533,84,75,0,0,n4,1.511751,-1.0
1.8442824,0.33119625,86,65,0,0,n5,1.511751,-1.0
1.9123913,0.26308733,83,62,0,0,n6,1.511751,-1.0
1.9978613,0.22836515,84,76,0,0,n7,1.511751,-1.0
2.108705,0.8360034,48,60,0,0,n8,1.511751,-1.0
2.1207244,1.1525096,41,46,0,0,n9,2.120724,0.0
2.2142072,0.7305014,93,80,0,0,n10,2.120724,0.0
2.3263865,0.618322,91,73,0,0,n11,2.120724,0.0
2.387818,0.5568905,89,79,0,0,n12,2.120724,0.0
2.473288,0.47142047,84,56,0,0,n13,2.120724,0.0
2.5774548,0.3672539,81,69,0,0,n14,2.120724,0.0
2.646899,0.29780954,79,70,0,0,n15,2.577455,1.0
2.7016532,0.24305531,77,73,0,0,n16,2.577455,1.0
2.772433,0.17227547,72,66,0,0,n17,2.577455,1.0
2.8352,0.10950844,47,65,0,0,n18,2.577455,1.0
2.8779352,0.06677344,48,66,0,0,n19,2.8592384,2.0
2.883277,0.084134534,69,73,0,0,n20,2.8592384,2.0
2.9553924,0.06810891,67,72,0,0,n21,2.8592384,2.0
3.039527,0.038728595,65,68,0,0,n22,2.8592384,2.0
3.1103067,0.056089688,60,60,0,0,n23,2.8592384,2.0
3.2198153,0.03338672,48,68,0,0,n24,2.8592384,2.0
3.2518663,0.06276703,57,68,0,0,n25,3.2358406,3.0
3.33333,0.08680547,55,65,0,0,n26,3.2358406,3.0
3.4174645,0.049412344,53,65,0,0,n27,3.2358406,3.0
3.5002637,0.048076876,48,67,0,0,n28,3.2358406,3.0
3.5683725,0.04540594,29,60,0,0,n29,3.2358406,3.0
3.5723789,0.05208328,41,56,0,0,n30,3.2358406,3.0
3.5937464,0.45005298,53,61,0,0,n31,3.572379,4.0
3.6939065,0.34989282,55,70,0,0,n32,3.572379,4.0
3.7753701,0.26842922,57,70,0,0,n33,3.572379,4.0
3.8715239,0.17227547,60,71,0,0,n34,3.572379,4.0
3.9382973,0.3538992,50,84,0,0,n35,3.572379,4.0
3.9596648,0.097489215,65,78,0,0,n36,3.948981,5.0
4.0584893,0.23370703,67,69,0,0,n37,3.948981,5.0
4.1372824,0.15491438,69,73,0,0,n38,3.948981,5.0
4.2134037,0.47542688,48,79,0,0,n39,3.948981,5.0
4.253468,0.038728595,72,78,0,0,n40,3.948981,5.0
4.3269186,0.36191204,57,87,0,0,n41,3.948981,5.0
4.341609,0.34722188,77,78,0,0,n42,4.334264,6.0
4.4324207,0.25641,79,74,0,0,n43,4.334264,6.0
4.5018654,0.18696563,81,72,0,0,n44,4.334264,6.0
4.6020255,0.08680547,84,77,0,0,n45,4.334264,6.0
4.683489,0.05074781,53,81,0,0,n46,4.334264,6.0
4.7021856,0.32318345,89,77,0,0,n47,4.692837,7.0
4.7876554,0.23771344,91,77,0,0,n48,4.692837,7.0
4.8757963,0.1495725,93,74,0,0,n49,4.692837,7.0
4.9439054,0.08146359,45,68,0,0,n50,4.692837,7.0
4.965273,0.06944437,91,78,0,0,n51,4.692837,7.0
5.040059,0.057425156,89,78,0,0,n52,4.692837,7.0
5.04273,0.80528766,48,84,0,0,n53,5.04273,8.0
5.0494075,1.0844007,41,67,0,0,n54,5.04273,8.0
5.1282,0.71981764,84,59,0,0,n55,5.04273,8.0
5.2510633,0.5969545,81,72,0,0,n56,5.04273,8.0
5.336533,0.5114845,79,71,0,0,n57,5.04273,8.0
5.4113193,0.4366983,77,73,0,0,n58,5.411319,9.0
5.4914474,0.35657015,72,60,0,0,n59,5.411319,9.0
5.598285,0.24973266,69,68,0,0,n60,5.411319,9.0
5.6850905,0.16292718,67,70,0,0,n61,5.411319,9.0
5.749193,0.09882469,47,63,0,0,n62,5.411319,9.0
5.7612123,0.08680547,65,71,0,0,n63,5.7552023,10.0
5.7879214,0.060096093,48,66,0,0,n64,5.7552023,10.0
5.846682,0.04540594,60,58,0,0,n65,5.7552023,10.0
5.960197,0.088140935,57,65,0,0,n66,5.7552023,10.0
6.055015,0.078792654,55,63,0,0,n67,5.7552023,10.0
6.1444917,0.058760624,53,69,0,0,n68,5.7552023,10.0
6.2406454,0.0641025,48,48,0,0,n69,6.144492,11.0
6.356831,0.05341875,53,59,0,0,n70,6.144492,11.0
6.435624,0.06677344,57,59,0,0,n71,6.144492,11.0
6.515752,0.05208328,28,47,0,0,n72,6.144492,11.0
6.5237646,0.0641025,40,48,0,0,n73,6.144492,11.0
6.531778,0.07345078,55,52,0,0,n74,6.523765,12.0
6.65197,0.62099296,48,55,0,0,n75,6.523765,12.0
6.7708263,0.50213623,55,59,0,0,n76,6.523765,12.0
6.870987,0.4019761,57,66,0,0,n77,6.523765,12.0
6.9524503,0.3205125,50,84,0,0,n78,6.523765,12.0
6.9644694,0.3084933,58,62,0,0,n79,6.95846,13.0
7.0779843,0.19497843,60,66,0,0,n80,6.95846,13.0
7.1981764,0.08680547,67,72,0,0,n81,6.95846,13.0
7.2328987,0.83066154,48,82,0,0,n82,6.95846,13.0
7.27964,0.78392017,69,70,0,0,n83,6.95846,13.0
7.3263817,0.73717874,55,88,0,0,n84,6.95846,13.0
7.3544264,0.7091339,70,79,0,0,n85,7.340404,14.0
7.4545865,0.60897374,72,73,0,0,n86,7.340404,14.0
7.5494046,0.51415545,79,77,0,0,n87,7.340404,14.0
7.640217,0.4233436,81,72,0,0,n88,7.340404,14.0
7.6709323,0.3926278,62,79,0,0,n89,7.340404,14.0
7.7069902,0.35657015,82,83,0,0,n90,7.6889615,15.0
7.8124924,0.25106812,84,67,0,0,n91,7.6889615,15.0
7.8952913,0.16826907,91,82,0,0,n92,7.6889615,15.0
7.8992977,0.16426265,40,56,0,0,n93,7.6889615,15.0
7.940697,0.12286312,48,62,0,0,n94,7.6889615,15.0
7.9834323,0.080128126,93,76,0,0,n95,7.6889615,15.0
8.076915,0.80929404,94,82,0,0,n96,7.9881067,16.0
8.095612,0.7905975,60,85,0,0,n97,7.9881067,16.0
8.193101,0.69310826,93,81,0,0,n98,7.9881067,16.0
8.269222,0.6169866,91,83,0,0,n99,7.9881067,16.0
8.353357,0.53285205,86,51,0,0,n100,7.9881067,16.0
8.512278,0.37393126,83,28,0,0,n101,8.512278,17.0
8.537652,0.34855735,81,68,0,0,n102,8.512278,17.0
8.629799,0.25641,79,72,0,0,n103,8.512278,17.0
8.707256,0.17895281,72,59,0,0,n104,8.512278,17.0
8.775365,0.110843904,47,53,0,0,n105,8.512278,17.0
8.787384,0.09882469,48,72,0,0,n106,8.512278,17.0
8.804746,0.08146359,70,73,0,0,n107,8.790055,18.0
8.887545,0.06944437,69,65,0,0,n108,8.790055,18.0
8.958324,0.038728595,67,72,0,0,n109,8.790055,18.0
9.039788,0.04139953,60,56,0,0,n110,8.790055,18.0
9.165322,0.037393127,48,68,0,0,n111,9.165322,19.0
9.165322,0.060096093,58,67,0,0,n112,9.165322,19.0
9.257469,0.06143156,57,61,0,0,n113,9.165322,19.0
9.337598,0.049412344,55,64,0,0,n114,9.165322,19.0
9.420397,0.040064063,48,62,0,0,n115,9.165322,19.0
9.509873,0.04540594,28,53,0,0,n116,9.165322,19.0
9.517886,0.046741407,40,63,0,0,n117,9.517886,20.0
9.523228,0.08547,55,56,0,0,n118,9.517886,20.0
9.623387,0.32184798,57,60,0,0,n119,9.517886,20.0
9.679478,0.26575828,58,66,0,0,n120,9.517886,20.0
9.778302,0.1669336,60,74,0,0,n121,9.517886,20.0
9.874456,0.3378736,50,79,0,0,n122,9.517886,20.0
9.889146,0.09615375,67,70,0,0,n123,9.881801,21.0
9.986635,0.22569422,69,67,0,0,n124,9.881801,21.0
10.065428,0.14690156,70,70,0,0,n125,9.881801,21.0
10.122853,0.46607858,48,74,0,0,n126,9.881801,21.0
10.172265,0.040064063,72,73,0,0,n127,9.881801,21.0
10.2497225,0.33920905,58,83,0,0,n128,9.881801,21.0
10.261742,0.32718983,79,77,0,0,n129,10.255733,22.0
10.355225,0.23370703,81,69,0,0,n130,10.255733,22.0
10.421998,0.1669336,82,76,0,0,n131,10.255733,22.0
10.5275,0.06143156,84,75,0,0,n132,10.255733,22.0
10.588932,0.03338672,55,74,0,0,n133,10.255733,22.0
10.626325,0.299145,91,80,0,0,n134,10.607629,23.0
10.730492,0.19497843,93,77,0,0,n135,10.607629,23.0
10.789252,0.13621782,94,70,0,0,n136,10.607629,23.0
10.86938,0.06944437,43,69,0,0,n137,10.607629,23.0
10.890748,0.07478625,93,77,0,0,n138,10.607629,23.0
10.9682045,0.7785783,48,73,0,0,n139,10.607629,23.0
10.974882,0.77190095,40,68,0,0,n140,10.974882,24.0
10.980224,0.03205125,91,73,0,0,n141,10.974882,24.0
11.060352,0.68643093,84,58,0,0,n142,10.974882,24.0
11.183215,0.5635678,82,66,0,0,n143,10.974882,24.0
11.262008,0.48477516,81,68,0,0,n144,10.974882,24.0
11.351484,0.39529875,79,69,0,0,n145,11.351484,25.0
11.431613,0.31517062,72,58,0,0,n146,11.351484,25.0
11.542457,0.20432672,70,67,0,0,n147,11.351484,25.0
11.625256,0.12152766,69,66,0,0,n148,11.351484,25.0
11.669326,0.07745719,47,65,0,0,n149,11.351484,25.0
11.714732,0.03205125,67,68,0,0,n150,11.692029,26.0
11.72408,0.03205125,48,72,0,0,n151,11.692029,26.0
11.808215,0.038728595,60,58,0,0,n152,11.692029,26.0
11.912381,0.20699766,40,16,0,0,n153,11.692029,26.0
11.912381,0.0641025,58,66,0,0,n154,11.692029,26.0
12.005864,0.08146359,57,61,0,0,n155,11.692029,26.0
12.083322,0.03338672,48,57,0,0,n156,11.692029,26.0
12.100682,0.05341875,55,63,0,0,n157,12.092002,27.0
12.223545,0.03338672,48,58,0,0,n158,12.092002,27.0
12.298331,0.07612172,55,58,0,0,n159,12.092002,27.0
12.399827,0.05341875,58,51,0,0,n160,12.092002,27.0
12.474613,0.05074781,29,51,0,0,n161,12.092002,27.0
12.49064,0.06677344,41,36,0,0,n162,12.490639,28.0
12.499988,0.058760624,57,55,0,0,n163,12.490639,28.0
12.621515,0.57158065,48,52,0,0,n164,12.490639,28.0
12.719005,0.4740914,53,61,0,0,n165,12.490639,28.0
12.8111515,0.38194406,55,66,0,0,n166,12.490639,28.0
12.885938,0.3071578,50,84,0,0,n167,12.490639,28.0
12.887274,0.30582234,57,66,0,0,n168,12.886605,29.0
12.984762,0.20833312,60,75,0,0,n169,12.886605,29.0
13.078245,0.11485031,65,80,0,0,n170,12.886605,29.0
13.124987,0.14556609,48,83,0,0,n171,12.886605,29.0
13.177071,0.07612172,67,76,0,0,n172,12.886605,29.0
13.246514,0.75988173,53,92,0,0,n173,12.886605,29.0
13.250521,0.7558753,69,77,0,0,n174,13.248518,30.0
13.364036,0.64236045,72,81,0,0,n175,13.248518,30.0
13.445499,0.5608969,77,86,0,0,n176,13.248518,30.0
13.537646,0.46874952,79,78,0,0,n177,13.248518,30.0
13.608426,0.3979697,65,94,0,0,n178,13.248518,30.0
13.615104,0.39129233,81,78,0,0,n179,13.611766,31.0
13.7272835,0.27911296,84,79,0,0,n180,13.611766,31.0
13.815424,0.19097203,89,87,0,0,n181,13.611766,31.0
13.911578,0.09481828,93,80,0,0,n182,13.611766,31.0
13.985029,0.7625527,65,80,0,0,n183,13.611766,31.0
13.990371,0.7572108,62,72,0,0,n184,13.611766,31.0
13.994377,0.75320435,53,65,0,0,n185,13.994377,32.0
14.003725,0.7438561,58,64,0,0,n186,13.994377,32.0
14.014409,0.070779845,91,80,0,0,n187,13.994377,32.0
14.0918665,0.65571517,89,75,0,0,n188,13.994377,32.0
14.193362,0.55421954,86,64,0,0,n189,13.994377,32.0
14.28818,0.45940125,82,79,0,0,n190,13.994377,32.0
14.38834,0.3592411,79,71,0,0,n191,14.38834,33.0
14.457785,0.2897967,77,69,0,0,n192,14.38834,33.0
14.543255,0.20432672,74,66,0,0,n193,14.38834,33.0
14.651427,0.09615375,70,71,0,0,n194,14.38834,33.0
14.728885,0.037393127,65,69,0,0,n195,14.38834,33.0
14.74224,0.036057655,60,55,0,0,n196,14.38834,33.0
14.746246,0.03071578,57,57,0,0,n197,14.746246,34.0
14.750253,0.03338672,53,49,0,0,n198,14.746246,34.0
14.756929,0.037393127,72,67,0,0,n199,14.746246,34.0
14.846406,0.078792654,77,75,0,0,n200,14.746246,34.0
14.933211,0.07612172,79,71,0,0,n201,14.746246,34.0
15.009334,0.03205125,81,72,0,0,n202,14.746246,34.0
15.1014805,0.049412344,65,65,0,0,n203,14.746246,34.0
15.102816,0.06276703,53,60,0,0,n204,14.746246,34.0
15.105487,0.05074781,57,58,0,0,n205,15.105487,35.0
15.109493,0.040064063,60,58,0,0,n206,15.105487,35.0
15.1135,0.046741407,84,80,0,0,n207,15.105487,35.0
15.216331,0.093482815,89,81,0,0,n208,15.105487,35.0
15.301801,0.06677344,91,77,0,0,n209,15.105487,35.0
15.377923,0.09615375,93,73,0,0,n210,15.105487,35.0
15.459386,0.038728595,65,74,0,0,n211,15.105487,35.0
15.462057,0.83066154,62,67,0,0,n212,15.105487,35.0
15.472741,0.8199778,91,76,0,0,n213,15.472741,36.0
15.474076,0.8186423,53,57,0,0,n214,15.472741,36.0
15.479419,0.8133005,58,60,0,0,n215,15.472741,36.0
15.552869,0.7398497,89,77,0,0,n216,15.472741,36.0
15.662377,0.63034123,86,56,0,0,n217,15.472741,36.0
15.753189,0.5395294,82,75,0,0,n218,15.472741,36.0
15.849343,0.44337562,79,72,0,0,n219,15.849343,37.0
15.929471,0.3632475,77,70,0,0,n220,15.849343,37.0
16.020283,0.27243564,74,62,0,0,n221,15.849343,37.0
16.117773,0.17494641,70,73,0,0,n222,15.849343,37.0
16.216597,0.07612172,65,63,0,0,n223,15.849343,37.0
16.219269,0.07345078,60,61,0,0,n224,15.849343,37.0
16.229952,0.06276703,53,55,0,0,n225,16.229952,38.0
16.232622,0.060096093,57,52,0,0,n226,16.229952,38.0
16.235294,0.057425156,72,78,0,0,n227,16.229952,38.0
16.330112,0.09081188,77,81,0,0,n228,16.229952,38.0
16.418253,0.080128126,79,74,0,0,n229,16.229952,38.0
16.49571,0.036057655,81,73,0,0,n230,16.229952,38.0
16.587858,0.049412344,53,66,0,0,n231,16.229952,38.0
16.587858,0.03338672,65,73,0,0,n232,16.229952,38.0
16.593199,0.040064063,60,69,0,0,n233,16.593199,39.0
16.597206,0.049412344,84,82,0,0,n234,16.593199,39.0
16.609224,0.04139953,57,59,0,0,n235,16.593199,39.0
16.694695,0.093482815,89,83,0,0,n236,16.593199,39.0
16.777494,0.10149562,91,84,0,0,n237,16.593199,39.0
16.874983,0.097489215,93,79,0,0,n238,16.593199,39.0
16.971136,1.4997314,55,62,0,0,n239,16.593199,39.0
16.973808,1.4970604,65,67,0,0,n240,16.593199,39.0
16.985826,0.7612172,59,60,0,0,n241,16.979818,40.0
17.016542,0.08547,91,79,0,0,n242,16.979818,40.0
17.131393,0.10550203,93,71,0,0,n243,16.979818,40.0
17.234224,0.49278796,91,75,0,0,n244,16.979818,40.0
17.30901,0.4180017,89,76,0,0,n245,16.979818,40.0
17.386467,0.34054452,86,69,0,0,n246,16.979818,40.0
17.47728,0.24973266,83,79,0,0,n247,17.386469,41.0
17.554737,0.17227547,84,76,0,0,n248,17.386469,41.0
17.644213,0.08279906,81,79,0,0,n249,17.386469,41.0
17.700302,0.77056545,62,70,0,0,n250,17.386469,41.0
17.729683,0.034722187,79,71,0,0,n251,17.714993,42.0
17.829844,0.084134534,81,75,0,0,n252,17.714993,42.0
17.911306,0.55956143,79,73,0,0,n253,17.714993,42.0
