xml_id	midi_id	track	channel	pitch	onset
n31-1	n9	0	0	41	2.124730781249999
n26-1	n7	0	0	48	2.1127115624999995
n7-1	n5	0	0	83	1.9350942187499995
n1-1	n0	0	0	84	1.5090796875
n4-1	n2	0	0	84	1.7000517187499997
n6-1	n4	0	0	84	1.8522951562499996
n8-1	n6	0	0	84	2.0072095312499996
n13-1	n12	0	0	84	2.3637796874999983
n3-1	n1	0	0	86	1.61458171875
n5-1	n3	0	0	86	1.7668251562499997
n12-1	n11	0	0	89	2.278309687499999
n11-1	n10	0	0	91	2.198181562499999
n10-1	n8	0	0	93	2.1167179687499993
n17-1	n16	0	0	72	2.681621249999998
n16-1	n15	0	0	77	2.624196093749998
n15-1	n14	0	0	79	2.538726093749998
n14-1	n13	0	0	81	2.466610781249998
n27-1	n17	0	0	47	2.7657557812499975
n28-1	n18	0	0	48	2.7817814062499977
n21-1	n22	0	0	60	3.0355204687499975
n20-1	n21	0	0	65	2.976759843749998
n19-1	n20	0	0	67	2.8872834374999976
n18-1	n19	0	0	69	2.8098262499999977
n30-1	n23	0	0	48	3.1036293749999975
n25-1	n27	0	0	48	3.3947615624999967
n24-1	n26	0	0	53	3.310627031249997
n23-1	n25	0	0	55	3.227827968749997
n22-1	n24	0	0	57	3.1503707812499973
n48-1	n28	0	0	29	3.4695478124999966
n49-1	n30	0	0	41	3.4762251562499964
n32-1	n29	0	0	53	3.4722187499999966
n33-1	n31	0	0	55	3.563030624999996
n34-1	n32	0	0	57	3.639152343749996
n35-1	n33	0	0	60	3.744654374999996
n51-1	n38	0	0	48	4.062495937499995
n50-1	n35	0	0	50	3.8408081249999957
n36-1	n34	0	0	65	3.839472656249996
n37-1	n36	0	0	67	3.9155943749999955
n38-1	n37	0	0	69	3.9823678124999953
n39-1	n39	0	0	72	4.091876249999995
n52-1	n40	0	0	57	4.154643281249996
n40-1	n41	0	0	77	4.188029999999996
n41-1	n42	0	0	79	4.253467968749995
n42-1	n43	0	0	81	4.318905937499996
n43-1	n44	0	0	84	4.4457754687499955
n54-1	n49	0	0	45	4.715540156249996
n53-1	n45	0	0	53	4.481833124999995
n44-1	n46	0	0	89	4.5312454687499955
n45-1	n47	0	0	91	4.599354374999996
n47-1	n50	0	0	91	4.759610624999996
n46-1	n48	0	0	93	4.675476093749996
n76-1	n53	0	0	41	4.847751562499996
n71-1	n51	0	0	48	4.833061406249996
n58-1	n56	0	0	79	5.098819687499998
n57-1	n55	0	0	81	5.028039843749997
n56-1	n54	0	0	84	4.926544218749996
n55-1	n52	0	0	89	4.839738749999996
n62-1	n60	0	0	67	5.447377031249999
n61-1	n59	0	0	69	5.377932656249999
n60-1	n58	0	0	72	5.249727656249998
n59-1	n57	0	0	77	5.181618749999998
n72-1	n61	0	0	47	5.50213125
n73-1	n62	0	0	48	5.5261696874999995
n66-1	n66	0	0	55	5.79459890625
n65-1	n65	0	0	57	5.7238190625000005
n64-1	n64	0	0	60	5.6062978124999985
n63-1	n63	0	0	65	5.528840624999999
n75-1	n68	0	0	48	5.8253146875
n68-1	n70	0	0	48	5.9535196875
n67-1	n69	0	0	53	5.8680496875
n69-1	n71	0	0	53	6.02964140625
n70-1	n72	0	0	57	6.105763124999999
n93-1	n73	0	0	28	6.157846406249999
n94-1	n74	0	0	40	6.168530156249998
n78-1	n76	0	0	48	6.276703124999999
n77-1	n75	0	0	55	6.172536562499998
n79-1	n77	0	0	55	6.360837656249999
n80-1	n78	0	0	57	6.44363671875
n96-1	n83	0	0	48	6.793529531250003
n95-1	n80	0	0	50	6.54513234375
n81-1	n79	0	0	58	6.53444859375
n82-1	n81	0	0	60	6.651969843750001
n83-1	n82	0	0	67	6.752130000000002
n84-1	n84	0	0	69	6.818903437500002
n97-1	n85	0	0	55	6.899031562500003
n85-1	n86	0	0	70	6.9017025000000025
n86-1	n87	0	0	72	7.0085400000000035
n87-1	n88	0	0	79	7.099351875000005
n88-1	n89	0	0	81	7.1768090625000065
n98-1	n90	0	0	62	7.231563281250007
n89-1	n91	0	0	82	7.2556017187500075
n90-1	n92	0	0	84	7.381135781250007
n91-1	n93	0	0	91	7.458592968750008
n92-1	n94	0	0	93	7.556082187500009
n115-1	n95	0	0	40	7.564095000000009
n116-1	n97	0	0	48	7.634874843750009
n118-1	n99	0	0	60	7.79379562500001
n102-1	n101	0	0	84	7.887278437500011
n101-1	n100	0	0	91	7.80047296875001
n100-1	n98	0	0	93	7.73637046875001
n99-1	n96	0	0	94	7.630868437500009
n106-1	n105	0	0	72	8.241177656250011
n105-1	n104	0	0	79	8.157043125000012
n104-1	n103	0	0	81	8.083592343750011
n103-1	n102	0	0	82	8.012812500000011
n120-1	n106	0	0	47	8.298602812500011
n121-1	n107	0	0	48	8.330654062500011
n110-1	n111	0	0	60	8.599083281250007
n109-1	n110	0	0	67	8.521626093750008
n108-1	n109	0	0	69	8.44683984375001
n107-1	n108	0	0	70	8.37739546875001
n123-1	n112	0	0	48	8.664521250000007
n114-1	n116	0	0	48	8.95698890625001
n113-1	n115	0	0	55	8.892886406250007
n112-1	n114	0	0	57	8.798068125000007
n111-1	n113	0	0	58	8.716604531250008
n140-1	n117	0	0	28	9.017085000000009
n141-1	n118	0	0	40	9.019755937500008
n124-1	n119	0	0	55	9.058484531250008
n125-1	n120	0	0	57	9.117245156250007
n126-1	n121	0	0	58	9.213398906250008
n127-1	n122	0	0	60	9.314894531250008
n143-1	n127	0	0	48	9.623387812500008
n142-1	n123	0	0	50	9.401700000000007
n128-1	n124	0	0	67	9.417725625000008
n129-1	n125	0	0	69	9.492511875000009
n130-1	n126	0	0	70	9.575310937500008
n131-1	n128	0	0	72	9.676806562500008
n144-1	n129	0	0	58	9.722212500000008
n132-1	n130	0	0	79	9.760941093750008
n133-1	n131	0	0	81	9.837062812500008
n134-1	n132	0	0	82	9.91719093750001
n135-1	n133	0	0	84	10.02135750000001
n146-1	n138	0	0	43	10.277767500000012
n145-1	n134	0	0	55	10.036047656250009
n136-1	n135	0	0	91	10.09881468750001
n137-1	n136	0	0	93	10.180278281250011
n139-1	n139	0	0	93	10.340534531250013
n138-1	n137	0	0	94	10.245716250000012
n168-1	n142	0	0	40	10.428675468750011
n163-1	n141	0	0	48	10.42066265625001
n150-1	n145	0	0	81	10.695769218750016
n149-1	n144	0	0	82	10.623653906250015
n148-1	n143	0	0	84	10.502126250000012
n147-1	n140	0	0	91	10.417991718750011
n154-1	n149	0	0	69	11.045662031250016
n153-1	n148	0	0	70	10.969540312500015
n152-1	n147	0	0	72	10.858696406250015
n151-1	n146	0	0	79	10.769220000000015
n164-1	n150	0	0	47	11.069700468750016
n165-1	n152	0	0	48	11.125790156250014
n158-1	n155	0	0	57	11.396890312500012
n157-1	n154	0	0	58	11.316762187500013
n156-1	n153	0	0	60	11.19657000000001
n155-1	n151	0	0	67	11.117777343750015
n167-1	n156	0	0	48	11.436954375000013
n160-1	n158	0	0	48	11.563823906250013
n159-1	n157	0	0	55	11.481024843750012
n161-1	n159	0	0	55	11.654635781250015
n162-1	n160	0	0	58	11.706719062500015
n185-1	n161	0	0	29	11.782840781250014
n186-1	n162	0	0	41	11.782840781250014
n170-1	n164	0	0	48	11.893684687500011
n171-1	n165	0	0	53	12.02188968750001
n172-1	n166	0	0	55	12.08332125000001
n169-1	n163	0	0	57	11.793524531250014
n188-1	n171	0	0	48	12.387808125000012
n187-1	n167	0	0	50	12.14074640625001
n173-1	n168	0	0	57	12.16344937500001
n174-1	n169	0	0	60	12.278299687500011
n175-1	n170	0	0	65	12.385137187500012
n176-1	n172	0	0	67	12.445233281250012
n189-1	n173	0	0	53	12.514677656250013
n177-1	n174	0	0	69	12.518684062500013
