onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5090797,0.078792654,84,64,0,0,n0,-10.0,-10.0
1.6145817,0.040064063,86,65,0,0,n1,1.50908,-1.0
1.7000517,0.36057657,84,64,0,0,n2,1.50908,-1.0
1.7668252,0.29380313,86,68,0,0,n3,1.50908,-1.0
1.8522952,0.20833312,84,71,0,0,n4,1.50908,-1.0
1.9350942,0.12553406,83,58,0,0,n5,1.50908,-1.0
2.0072095,0.06143156,84,66,0,0,n6,1.50908,-1.0
2.1127117,0.6730763,48,71,0,0,n7,1.50908,-1.0
2.116718,0.078792654,93,78,0,0,n8,2.116718,0.0
2.1247308,1.0176272,41,66,0,0,n9,2.116718,0.0
2.1981816,0.58760625,91,70,0,0,n10,2.116718,0.0
2.2783096,0.5074781,89,64,0,0,n11,2.116718,0.0
2.3637798,0.42200813,84,62,0,0,n12,2.116718,0.0
2.4666107,0.31917703,81,78,0,0,n13,2.116718,0.0
2.538726,0.24706171,79,77,0,0,n14,2.466611,1.0
2.624196,0.16159172,77,64,0,0,n15,2.466611,1.0
2.6816213,0.10416656,72,64,0,0,n16,2.466611,1.0
2.765756,0.028044844,47,67,0,0,n17,2.466611,1.0
2.7817814,0.038728595,48,75,0,0,n18,2.466611,1.0
2.8098261,0.07478625,69,72,0,0,n19,2.787791,2.0
2.8872833,0.06810891,67,71,0,0,n20,2.787791,2.0
2.97676,0.03205125,65,51,0,0,n21,2.787791,2.0
3.0355206,0.037393127,60,54,0,0,n22,2.787791,2.0
3.1036294,0.03071578,48,59,0,0,n23,2.787791,2.0
3.1503708,0.065437965,57,69,0,0,n24,3.127,3.0
3.227828,0.060096093,55,57,0,0,n25,3.127,3.0
3.310627,0.037393127,53,49,0,0,n26,3.127,3.0
3.3947616,0.07478625,48,59,0,0,n27,3.127,3.0
3.4695477,0.036057655,29,50,0,0,n28,3.127,3.0
3.4722188,0.35256374,53,64,0,0,n29,3.127,3.0
3.4762251,0.04139953,41,45,0,0,n30,3.472219,4.0
3.5630307,0.26175186,55,58,0,0,n31,3.472219,4.0
3.6391523,0.18563016,57,45,0,0,n32,3.472219,4.0
3.7446544,0.09081188,60,65,0,0,n33,3.472219,4.0
3.8394728,0.08279906,65,67,0,0,n34,3.472219,4.0
3.8408082,0.28044844,50,76,0,0,n35,3.8401406,5.0
3.9155943,0.044070467,67,67,0,0,n36,3.8401406,5.0
3.9823678,0.13888875,69,51,0,0,n37,3.8401406,5.0
4.0624957,0.08680547,48,69,0,0,n38,3.8401406,5.0
4.091876,0.09882469,72,69,0,0,n39,3.8401406,5.0
4.154643,0.0641025,57,78,0,0,n40,3.8401406,5.0
4.18803,0.2817839,77,57,0,0,n41,4.1713367,6.0
4.253468,0.21634594,79,71,0,0,n42,4.1713367,6.0
4.318906,0.15090796,81,58,0,0,n43,4.1713367,6.0
4.4457755,0.08680547,84,73,0,0,n44,4.1713367,6.0
4.481833,0.057425156,53,70,0,0,n45,4.1713367,6.0
4.531245,0.07478625,89,74,0,0,n46,4.506539,7.0
4.5993543,0.24572624,91,70,0,0,n47,4.506539,7.0
4.675476,0.16960452,93,70,0,0,n48,4.506539,7.0
4.71554,0.12954047,45,62,0,0,n49,4.506539,7.0
4.7596107,0.08547,91,79,0,0,n50,4.506539,7.0
4.833061,0.5956191,48,71,0,0,n51,4.506539,7.0
4.839739,0.025373906,89,63,0,0,n52,4.839739,8.0
4.8477516,0.95085377,41,63,0,0,n53,4.839739,8.0
4.926544,0.028044844,84,49,0,0,n54,4.839739,8.0
5.02804,0.40064064,81,68,0,0,n55,4.839739,8.0
5.0988197,0.32986078,79,75,0,0,n56,4.839739,8.0
5.1816187,0.24706171,77,60,0,0,n57,4.839739,8.0
5.2497277,0.17895281,72,60,0,0,n58,5.181619,9.0
5.3779325,0.058760624,69,69,0,0,n59,5.181619,9.0
5.447377,0.056089688,67,64,0,0,n60,5.181619,9.0
5.5021315,0.04139953,47,44,0,0,n61,5.181619,9.0
5.52617,0.048076876,48,70,0,0,n62,5.515486,10.0
5.5288405,0.026709376,65,57,0,0,n63,5.515486,10.0
5.606298,0.03205125,60,53,0,0,n64,5.515486,10.0
5.7238193,0.06276703,57,63,0,0,n65,5.515486,10.0
5.794599,0.058760624,55,59,0,0,n66,5.515486,10.0
5.7986054,0.058760624,41,23,0,0,n67,5.515486,10.0
5.8253145,0.036057655,48,54,0,0,n68,5.515486,10.0
5.8680496,0.049412344,53,63,0,0,n69,5.8466825,11.0
5.95352,0.060096093,48,68,0,0,n70,5.8466825,11.0
6.0296416,0.06810891,53,60,0,0,n71,5.8466825,11.0
6.105763,0.0641025,57,58,0,0,n72,5.8466825,11.0
6.1578465,0.038728595,28,60,0,0,n73,5.8466825,11.0
6.16853,0.038728595,40,52,0,0,n74,6.16853,12.0
6.1725364,0.044070467,55,62,0,0,n75,6.16853,12.0
6.2767034,0.036057655,48,52,0,0,n76,6.16853,12.0
6.3608375,0.088140935,55,58,0,0,n77,6.16853,12.0
6.443637,0.08547,57,64,0,0,n78,6.16853,12.0
6.5344486,0.03338672,58,65,0,0,n79,6.16853,12.0
6.545132,0.22168781,50,81,0,0,n80,6.5397906,13.0
6.65197,0.07478625,60,67,0,0,n81,6.5397906,13.0
6.75213,0.07745719,67,65,0,0,n82,6.5397906,13.0
6.7935295,0.8520291,48,75,0,0,n83,6.5397906,13.0
6.8189034,0.82665515,69,70,0,0,n84,6.5397906,13.0
6.8990316,0.746527,55,82,0,0,n85,6.5397906,13.0
6.9017024,0.7438561,70,67,0,0,n86,6.9003677,14.0
7.00854,0.6370186,72,72,0,0,n87,6.9003677,14.0
7.099352,0.5462067,79,73,0,0,n88,6.9003677,14.0
7.176809,0.46874952,81,77,0,0,n89,6.9003677,14.0
7.231563,0.41399533,62,90,0,0,n90,6.9003677,14.0
7.255602,0.38995686,82,66,0,0,n91,7.2435827,15.0
7.381136,0.2644228,84,70,0,0,n92,7.2435827,15.0
7.458593,0.18696563,91,72,0,0,n93,7.2435827,15.0
7.5560822,0.08947641,93,68,0,0,n94,7.2435827,15.0
7.564095,0.08146359,40,59,0,0,n95,7.2435827,15.0
7.6308684,0.10016016,94,74,0,0,n96,7.5974817,16.0
7.634875,0.6663989,48,65,0,0,n97,7.5974817,16.0
7.7363706,0.06143156,93,78,0,0,n98,7.5974817,16.0
7.7937956,0.5074781,60,70,0,0,n99,7.5974817,16.0
7.8004727,0.5008008,91,72,0,0,n100,7.5974817,16.0
7.8872786,0.41399533,84,63,0,0,n101,7.5974817,16.0
8.012813,0.28846124,82,69,0,0,n102,8.012813,17.0
8.083592,0.21768141,81,69,0,0,n103,8.012813,17.0
8.157043,0.14423062,79,66,0,0,n104,8.012813,17.0
8.241178,0.060096093,72,60,0,0,n105,8.012813,17.0
8.298603,0.037393127,47,66,0,0,n106,8.012813,17.0
8.330654,0.04540594,48,72,0,0,n107,8.012813,17.0
8.377396,0.116185784,70,69,0,0,n108,8.337999,18.0
8.44684,0.06276703,69,63,0,0,n109,8.337999,18.0
8.521626,0.028044844,67,60,0,0,n110,8.337999,18.0
8.599083,0.05341875,60,63,0,0,n111,8.337999,18.0
8.664521,0.034722187,48,65,0,0,n112,8.337999,18.0
8.716604,0.10817297,58,67,0,0,n113,8.690563,19.0
8.798068,0.10149562,57,64,0,0,n114,8.690563,19.0
8.892886,0.046741407,55,50,0,0,n115,8.690563,19.0
8.956989,0.07745719,48,65,0,0,n116,8.690563,19.0
9.017085,0.036057655,28,55,0,0,n117,8.690563,19.0
9.019756,0.04540594,40,54,0,0,n118,9.019756,20.0
9.058484,0.31116423,55,62,0,0,n119,9.019756,20.0
9.117245,0.2524036,57,65,0,0,n120,9.019756,20.0
9.213399,0.15624985,58,55,0,0,n121,9.019756,20.0
9.314895,0.08146359,60,63,0,0,n122,9.019756,20.0
9.4017,0.28579032,50,71,0,0,n123,9.019756,20.0
9.417726,0.08680547,67,65,0,0,n124,9.409713,21.0
9.492512,0.19497843,69,72,0,0,n125,9.409713,21.0
9.575311,0.112179376,70,59,0,0,n126,9.409713,21.0
9.623387,0.088140935,48,66,0,0,n127,9.409713,21.0
9.676806,0.09081188,72,71,0,0,n128,9.409713,21.0
9.722213,0.078792654,58,77,0,0,n129,9.409713,21.0
9.7609415,0.26308733,79,72,0,0,n130,9.741577,22.0
9.837063,0.18696563,81,71,0,0,n131,9.741577,22.0
9.917191,0.1068375,82,65,0,0,n132,9.741577,22.0
10.021358,0.08146359,84,72,0,0,n133,9.741577,22.0
10.036048,0.058760624,55,67,0,0,n134,9.741577,22.0
10.098815,0.34989282,91,73,0,0,n135,10.067431,23.0
10.180278,0.26842922,93,68,0,0,n136,10.067431,23.0
10.245716,0.20299125,94,72,0,0,n137,10.067431,23.0
10.277767,0.17094,43,63,0,0,n138,10.067431,23.0
10.340534,0.10817297,93,76,0,0,n139,10.067431,23.0
10.417992,0.038728595,91,66,0,0,n140,10.067431,23.0
10.420663,0.641025,48,67,0,0,n141,10.420663,24.0
10.428676,1.068375,40,64,0,0,n142,10.420663,24.0
10.502127,0.05341875,84,59,0,0,n143,10.420663,24.0
10.623654,0.43803376,82,65,0,0,n144,10.420663,24.0
10.695769,0.36591843,81,69,0,0,n145,10.420663,24.0
10.76922,0.29246765,79,62,0,0,n146,10.76922,25.0
10.858696,0.20299125,72,58,0,0,n147,10.76922,25.0
10.969541,0.11351484,70,65,0,0,n148,10.76922,25.0
11.045662,0.056089688,69,63,0,0,n149,10.76922,25.0
11.0697,0.036057655,47,65,0,0,n150,10.76922,25.0
11.117777,0.028044844,67,56,0,0,n151,11.093739,26.0
11.125791,0.049412344,48,64,0,0,n152,11.093739,26.0
11.19657,0.044070467,60,57,0,0,n153,11.093739,26.0
11.316762,0.12419859,58,64,0,0,n154,11.093739,26.0
11.396891,0.078792654,57,64,0,0,n155,11.093739,26.0
11.4369545,0.036057655,48,63,0,0,n156,11.093739,26.0
11.481025,0.05475422,55,58,0,0,n157,11.458989,27.0
11.563824,0.09882469,48,66,0,0,n158,11.458989,27.0
11.654635,0.08547,55,59,0,0,n159,11.458989,27.0
11.706719,0.09081188,58,63,0,0,n160,11.458989,27.0
11.782841,0.037393127,29,55,0,0,n161,11.782841,28.0
11.782841,0.04540594,41,60,0,0,n162,11.782841,28.0
11.793525,0.0641025,57,65,0,0,n163,11.782841,28.0
11.893684,0.42601454,48,62,0,0,n164,11.782841,28.0
12.02189,0.29780954,53,57,0,0,n165,11.782841,28.0
12.083322,0.23637797,55,65,0,0,n166,11.782841,28.0
12.140746,0.20566219,50,79,0,0,n167,11.782841,28.0
12.163449,0.15624985,57,56,0,0,n168,12.152098,29.0
12.278299,0.10149562,60,69,0,0,n169,12.152098,29.0
12.385138,0.08947641,65,65,0,0,n170,12.152098,29.0
12.387808,0.15491438,48,70,0,0,n171,12.152098,29.0
12.445233,0.06143156,67,73,0,0,n172,12.152098,29.0
12.514678,0.6463669,53,81,0,0,n173,12.152098,29.0
12.518684,0.024038438,69,60,0,0,n174,12.516681,30.0
12.633534,0.52751017,72,75,0,0,n175,12.516681,30.0
12.72034,0.44070467,77,71,0,0,n176,12.516681,30.0
12.780436,0.3806086,79,72,0,0,n177,12.516681,30.0
12.845874,0.31517062,65,94,0,0,n178,12.516681,30.0
12.852551,0.3084933,81,62,0,0,n179,12.849213,31.0
12.958054,0.20299125,84,81,0,0,n180,12.849213,31.0
13.048865,0.112179376,89,71,0,0,n181,12.849213,31.0
13.098277,0.11885672,93,79,0,0,n182,12.849213,31.0
13.1757345,0.7077984,65,90,0,0,n183,12.849213,31.0
13.183747,0.69978565,58,76,0,0,n184,12.849213,31.0
13.183747,0.69978565,62,80,0,0,n185,12.849213,31.0
13.190425,0.69310826,53,72,0,0,n186,13.183748,32.0
13.194431,0.08947641,91,84,0,0,n187,13.183748,32.0
13.283908,0.038728595,89,73,0,0,n188,13.183748,32.0
13.382732,0.5008008,86,58,0,0,n189,13.183748,32.0
13.486899,0.39663422,82,77,0,0,n190,13.183748,32.0
13.595072,0.28846124,79,47,0,0,n191,13.595072,33.0
13.603085,0.28044844,81,53,0,0,n192,13.595072,33.0
13.649826,0.23370703,77,59,0,0,n193,13.595072,33.0
13.7272835,0.15624985,74,57,0,0,n194,13.595072,33.0
13.8314495,0.05208328,70,69,0,0,n195,13.595072,33.0
13.908907,0.037393127,65,79,0,0,n196,13.595072,33.0
13.9249325,0.1068375,72,68,0,0,n197,13.595072,33.0
13.926269,0.036057655,57,61,0,0,n198,13.926268,34.0
13.926269,0.029380312,60,60,0,0,n199,13.926268,34.0
13.9356165,0.03338672,53,47,0,0,n200,13.926268,34.0
14.019751,0.09882469,77,61,0,0,n201,13.926268,34.0
14.066492,0.04139953,76,39,0,0,n202,13.926268,34.0
14.086524,0.06810891,79,77,0,0,n203,13.926268,34.0
14.1546335,0.024038438,81,66,0,0,n204,13.926268,34.0
14.234761,0.044070467,65,82,0,0,n205,13.926268,34.0
14.240104,0.049412344,57,57,0,0,n206,13.926268,34.0
14.24678,0.03205125,60,50,0,0,n207,13.926268,34.0
14.249452,0.040064063,53,58,0,0,n208,14.246781,35.0
14.268148,0.10550203,84,79,0,0,n209,14.246781,35.0
14.348276,0.10817297,89,77,0,0,n210,14.246781,35.0
14.425734,0.07612172,91,78,0,0,n211,14.246781,35.0
14.50052,0.116185784,93,81,0,0,n212,14.246781,35.0
14.572635,0.68776643,65,89,0,0,n213,14.246781,35.0
14.577977,0.68242455,62,80,0,0,n214,14.246781,35.0
14.583319,0.6850955,58,75,0,0,n215,14.583319,36.0
14.584654,0.6757472,53,67,0,0,n216,14.583319,36.0
14.592667,0.07345078,91,83,0,0,n217,14.583319,36.0
14.664783,0.5956191,89,83,0,0,n218,14.583319,36.0
14.751588,0.5088136,86,68,0,0,n219,14.583319,36.0
14.863768,0.39663422,82,76,0,0,n220,14.583319,36.0
14.947902,0.3124997,79,71,0,0,n221,14.947902,37.0
15.029366,0.2310361,77,64,0,0,n222,14.947902,37.0
15.118842,0.14155969,74,56,0,0,n223,14.947902,37.0
15.214995,0.04540594,70,67,0,0,n224,14.947902,37.0
15.276427,0.05208328,65,80,0,0,n225,14.947902,37.0
15.289782,0.040064063,60,66,0,0,n226,14.947902,37.0
15.296459,0.048076876,53,51,0,0,n227,15.296459,38.0
15.296459,0.046741407,57,63,0,0,n228,15.296459,38.0
15.315156,0.120192185,72,70,0,0,n229,15.296459,38.0
15.412644,0.10416656,77,76,0,0,n230,15.296459,38.0
15.479419,0.080128126,79,82,0,0,n231,15.296459,38.0
15.559546,0.029380312,81,69,0,0,n232,15.296459,38.0
15.628991,0.04139953,65,74,0,0,n233,15.296459,38.0
15.635668,0.04139953,53,61,0,0,n234,15.296459,38.0
15.643681,0.05208328,57,63,0,0,n235,15.643681,39.0
15.647687,0.048076876,60,60,0,0,n236,15.643681,39.0
15.673061,0.11885672,84,84,0,0,n237,15.643681,39.0
15.747848,0.12286312,89,84,0,0,n238,15.643681,39.0
15.8306465,0.10016016,91,83,0,0,n239,15.643681,39.0
15.922794,0.10817297,93,79,0,0,n240,15.643681,39.0
16.04165,0.09081188,91,84,0,0,n241,15.643681,39.0
16.049664,0.72115314,59,62,0,0,n242,15.643681,39.0
16.052334,1.1671997,65,63,0,0,n243,16.050999,40.0
16.061682,1.1578515,55,50,0,0,n244,16.050999,40.0
16.15116,0.5942836,93,78,0,0,n245,16.050999,40.0
16.235294,0.51014906,91,77,0,0,n246,16.050999,40.0
16.314087,0.4313564,89,71,0,0,n247,16.050999,40.0
16.394215,0.35122827,86,63,0,0,n248,16.394215,41.0
16.506393,0.23904891,83,74,0,0,n249,16.394215,41.0
16.598541,0.14690156,84,67,0,0,n250,16.394215,41.0
16.69069,0.05475422,81,61,0,0,n251,16.394215,41.0
16.77883,0.042735,79,55,0,0,n252,16.394215,41.0
16.79352,0.42601454,62,41,0,0,n253,16.786175,42.0
16.857622,0.10550203,81,71,0,0,n254,16.786175,42.0
16.944427,0.27510655,79,69,0,0,n255,16.786175,42.0
17.021885,0.19764937,77,62,0,0,n256,16.786175,42.0
17.09667,0.12286312,74,61,0,0,n257,17.09667,43.0
17.191488,0.08947641,71,74,0,0,n258,17.09667,43.0
17.286308,0.28044844,72,70,0,0,n259,17.09667,43.0
17.370441,0.1963139,69,72,0,0,n260,17.09667,43.0
17.461254,0.10550203,67,64,0,0,n261,17.461254,44.0
17.541382,0.09081188,69,77,0,0,n262,17.461254,44.0
17.613497,0.21100406,67,78,0,0,n263,17.461254,44.0
17.685612,0.13888875,65,70,0,0,n264,17.461254,44.0
17.757729,0.06677344,62,66,0,0,n265,17.757729,45.0
17.852547,0.44738203,59,70,0,0,n266,17.757729,45.0
17.942022,0.35790563,60,72,0,0,n267,17.757729,45.0
18.024822,0.27510655,57,70,0,0,n268,17.757729,45.0
18.103615,0.1963139,55,67,0,0,n269,18.103615,46.0
18.194426,0.10950844,57,76,0,0,n270,18.103615,46.0
18.27856,0.078792654,55,74,0,0,n271,18.103615,46.0
18.370708,0.04139953,53,61,0,0,n272,18.103615,46.0
18.392076,0.45272392,43,89,0,0,n273,18.103615,46.0
18.43748,0.40731797,50,72,0,0,n274,18.41478,47.0
18.529629,0.31517062,53,68,0,0,n275,18.41478,47.0
18.62979,0.21501046,52,67,0,0,n276,18.41478,47.0
18.707247,0.13755327,50,64,0,0,n277,18.41478,47.0
18.798058,0.07345078,48,62,0,0,n278,18.41478,47.0
18.816755,1.3848811,36,87,0,0,n279,18.816755,48.0
18.816755,1.3848811,43,85,0,0,n280,18.816755,48.0
18.911573,0.084134534,57,70,0,0,n281,18.816755,48.0
19.006392,0.05341875,55,66,0,0,n282,18.816755,48.0
19.082514,1.1191229,59,67,0,0,n283,18.816755,48.0
19.181337,1.0202981,60,82,0,0,n284,19.181337,49.0
19.269478,0.93215716,69,71,0,0,n285,19.181337,49.0
19.349607,0.8520291,67,77,0,0,n286,19.181337,49.0
19.43374,0.7678945,71,77,0,0,n287,19.181337,49.0
19.547256,0.65437967,72,82,0,0,n288,19.547256,50.0
19.623379,0.578258,81,78,0,0,n289,19.547256,50.0
19.710184,0.4914525,79,77,0,0,n290,19.547256,50.0
19.766273,0.43536282,83,73,0,0,n291,19.547256,50.0
19.8878,0.31383514,83,55,0,0,n292,19.8878,51.0
19.8878,0.31383514,84,74,0,0,n293,19.8878,51.0
19.97327,0.22836515,93,64,0,0,n294,19.8878,51.0
19.977278,0.22435875,91,68,0,0,n295,19.8878,51.0
20.060076,0.14155969,48,70,0,0,n296,19.8878,51.0
20.10014,0.110843904,95,77,0,0,n297,19.8878,51.0
20.106817,0.8960995,55,72,0,0,n298,19.8878,51.0
20.201635,0.8012813,64,85,0,0,n299,20.136866,52.0
20.213655,0.12286312,96,80,0,0,n300,20.136866,52.0
20.303131,0.69978565,89,85,0,0,n301,20.136866,52.0
20.408634,0.5942836,88,79,0,0,n302,20.136866,52.0
20.49544,0.5074781,98,85,0,0,n303,20.136866,52.0
20.56889,0.43402734,96,79,0,0,n304,20.56889,53.0
20.647682,0.35523468,89,79,0,0,n305,20.56889,53.0
20.718462,0.28445485,88,81,0,0,n306,20.56889,53.0
20.79592,0.20699766,98,83,0,0,n307,20.56889,53.0
20.862692,0.15491438,96,83,0,0,n308,20.56889,53.0
20.964188,0.05475422,89,63,0,0,n309,20.862694,54.0
20.98155,0.088140935,48,62,0,0,n310,20.862694,54.0
21.024284,0.10817297,88,75,0,0,n311,20.862694,54.0
21.085716,0.34188,55,58,0,0,n312,20.862694,54.0
21.101742,0.32585436,98,72,0,0,n313,21.095064,55.0
21.1378,0.058760624,58,53,0,0,n314,21.095064,55.0
21.20858,0.21901688,96,79,0,0,n315,21.095064,55.0
21.221933,0.20566219,64,49,0,0,n316,21.095064,55.0
21.318089,0.10950844,93,75,0,0,n317,21.095064,55.0
21.431602,0.102831095,94,76,0,0,n318,21.095064,55.0
21.475674,0.046741407,41,50,0,0,n319,21.095064,55.0
21.543781,0.47809783,91,69,0,0,n320,21.095064,55.0
21.554466,0.46741405,48,37,0,0,n321,21.095064,55.0
21.625246,0.39663422,57,58,0,0,n322,21.57717,56.0
21.678665,0.34321547,93,70,0,0,n323,21.57717,56.0
21.778824,0.24305531,91,72,0,0,n324,21.57717,56.0
21.817553,0.20432672,65,47,0,0,n325,21.57717,56.0
21.862959,0.15892078,89,60,0,0,n326,21.57717,56.0
21.953772,0.06810891,84,51,0,0,n327,21.57717,56.0
22.044582,0.08547,81,63,0,0,n328,22.044582,57.0
22.12204,0.07612172,79,74,0,0,n329,22.044582,57.0
22.203503,0.03338672,77,61,0,0,n330,22.044582,57.0
22.27829,0.038728595,72,60,0,0,n331,22.044582,57.0
22.339722,0.037393127,47,69,0,0,n332,22.044582,57.0
22.383791,0.03338672,48,69,0,0,n333,22.367765,58.0
22.395811,0.07345078,69,73,0,0,n334,22.367765,58.0
22.46659,0.06677344,67,67,0,0,n335,22.367765,58.0
22.548054,0.028044844,65,56,0,0,n336,22.367765,58.0
22.613493,0.040064063,60,58,0,0,n337,22.367765,58.0
22.701633,0.036057655,48,70,0,0,n338,22.367765,58.0
22.731014,0.058760624,57,65,0,0,n339,22.716324,59.0
22.797787,0.060096093,55,60,0,0,n340,22.716324,59.0
22.863226,0.049412344,53,57,0,0,n341,22.716324,59.0
22.93534,0.09214734,48,56,0,0,n342,22.716324,59.0
23.026152,0.34321547,53,58,0,0,n343,22.716324,59.0
23.034164,0.037393127,29,56,0,0,n344,23.034164,60.0
23.040842,0.037393127,41,53,0,0,n345,23.034164,60.0
23.116964,0.2524036,55,55,0,0,n346,23.034164,60.0
23.195757,0.17361094,57,48,0,0,n347,23.034164,60.0
23.322626,0.065437965,60,43,0,0,n348,23.034164,60.0
23.373375,0.05074781,62,30,0,0,n349,23.034164,60.0
23.406761,0.16292718,50,72,0,0,n350,23.034164,60.0
23.41611,0.08947641,65,62,0,0,n351,23.411434,61.0
23.496237,0.04540594,67,61,0,0,n352,23.411434,61.0
23.557669,0.026709376,69,59,0,0,n353,23.411434,61.0
23.629784,0.07211531,48,61,0,0,n354,23.411434,61.0
23.679197,0.08947641,72,66,0,0,n355,23.411434,61.0
23.7433,0.044070467,57,75,0,0,n356,23.411434,61.0
23.766003,0.08547,77,66,0,0,n357,23.75465,62.0
23.84613,0.15758531,79,67,0,0,n358,23.75465,62.0
23.914238,0.08947641,81,54,0,0,n359,23.75465,62.0
24.029089,0.07345078,84,66,0,0,n360,23.75465,62.0
24.05847,0.057425156,53,65,0,0,n361,23.75465,62.0
24.106546,0.26308733,89,66,0,0,n362,24.082508,63.0
24.174656,0.19497843,91,66,0,0,n363,24.082508,63.0
24.24677,0.12286312,93,68,0,0,n364,24.082508,63.0
24.280157,0.09081188,45,51,0,0,n365,24.082508,63.0
24.324228,0.07345078,91,71,0,0,n366,24.082508,63.0
24.404356,0.040064063,89,66,0,0,n367,24.082508,63.0
24.405691,0.5582259,48,66,0,0,n368,24.405691,64.0
24.411034,0.99893063,41,62,0,0,n369,24.405691,64.0
24.488491,0.03205125,84,59,0,0,n370,24.405691,64.0
24.596663,0.3672539,81,72,0,0,n371,24.405691,64.0
24.66878,0.2951386,79,72,0,0,n372,24.405691,64.0
24.747572,0.21634594,77,58,0,0,n373,24.747572,65.0
24.831705,0.1322114,72,52,0,0,n374,24.747572,65.0
24.9332,0.06276703,69,68,0,0,n375,24.747572,65.0
25.006653,0.049412344,67,67,0,0,n376,24.747572,65.0
25.038704,0.03205125,47,54,0,0,n377,24.747572,65.0
25.077433,0.04139953,48,64,0,0,n378,25.058737,66.0
25.078768,0.029380312,65,55,0,0,n379,25.058737,66.0
25.149548,0.03071578,60,54,0,0,n380,25.058737,66.0
25.271074,0.058760624,57,65,0,0,n381,25.058737,66.0
25.336514,0.07211531,55,65,0,0,n382,25.058737,66.0
25.368565,0.03338672,48,53,0,0,n383,25.058737,66.0
25.429996,0.042735,53,57,0,0,n384,25.39928,67.0
25.494099,0.078792654,48,71,0,0,n385,25.39928,67.0
25.588917,0.06143156,53,52,0,0,n386,25.39928,67.0
25.65569,0.07612172,57,63,0,0,n387,25.39928,67.0
25.689077,0.038728595,28,61,0,0,n388,25.39928,67.0
25.69976,0.040064063,40,56,0,0,n389,25.69976,68.0
25.746502,0.046741407,55,53,0,0,n390,25.69976,68.0
25.805264,0.056089688,48,61,0,0,n391,25.69976,68.0
25.906757,0.08947641,55,60,0,0,n392,25.69976,68.0
25.989557,0.080128126,57,68,0,0,n393,25.69976,68.0
26.05366,0.21768141,50,74,0,0,n394,25.69976,68.0
26.077698,0.034722187,58,67,0,0,n395,26.06568,69.0
26.188541,0.07612172,60,69,0,0,n396,26.06568,69.0
26.296715,0.097489215,67,67,0,0,n397,26.06568,69.0
26.31274,0.20299125,48,72,0,0,n398,26.06568,69.0
26.38352,0.07612172,69,68,0,0,n399,26.06568,69.0
26.455635,0.7251595,55,82,0,0,n400,26.06568,69.0
26.460978,0.03338672,70,68,0,0,n401,26.458307,70.0
26.570486,0.61030924,72,74,0,0,n402,26.458307,70.0
26.679995,0.5008008,79,72,0,0,n403,26.458307,70.0
26.746769,0.43402734,81,73,0,0,n404,26.458307,70.0
