onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-1.0041667,1.0,-1.0041667,1.0,0,480,84,1,n1-1,-10.0,-10.0
-0.8625,0.14375,-0.8625,0.14375,68,69,86,2,n3-1,-1.0,1.50908
-0.71875,0.14375,-0.71875,0.14375,137,69,84,2,n4-1,-1.0,1.50908
-0.575,0.14375,-0.575,0.14375,206,69,86,2,n5-1,-1.0,1.50908
-0.43125,0.14375,-0.43125,0.14375,275,69,84,2,n6-1,-1.0,1.50908
-0.2875,0.14375,-0.2875,0.14375,344,69,83,2,n7-1,-1.0,1.50908
-0.14375,0.14375,-0.14375,0.14375,413,69,84,2,n8-1,-1.0,1.50908
0.0,4.0,0.0,4.0,482,1920,41,6,n31-1,0.0,1.953791
0.0,2.0,0.0,2.0,482,960,48,5,n26-1,0.0,1.953791
0.0,0.25,0.0,0.25,482,120,93,1,n10-1,0.0,1.953791
0.25,0.25,0.25,0.25,602,120,91,1,n11-1,0.0,1.953791
0.5,0.25,0.5,0.25,722,120,89,1,n12-1,0.0,1.953791
0.75,0.25,0.75,0.25,842,120,84,1,n13-1,0.0,1.953791
1.0,0.25,1.0,0.25,962,120,81,1,n14-1,1.0,2.288993
1.25,0.25,1.25,0.25,1082,120,79,1,n15-1,1.0,2.288993
1.5,0.25,1.5,0.25,1202,120,77,1,n16-1,1.0,2.288993
1.75,0.25,1.75,0.25,1322,120,72,1,n17-1,1.0,2.288993
2.0,0.0,2.0,0.0,1442,0,47,5,n27-1,2.0,2.601493
2.0,0.5,2.0,0.5,1442,240,48,5,n28-1,2.0,2.601493
2.0,0.25,2.0,0.25,1442,120,69,1,n18-1,2.0,2.601493
2.25,0.25,2.25,0.25,1562,120,67,1,n19-1,2.0,2.601493
2.5,0.25,2.5,0.25,1682,120,65,1,n20-1,2.0,2.601493
2.75,0.25,2.75,0.25,1802,120,60,1,n21-1,2.0,2.601493
3.0,0.5,3.0,0.5,1922,240,48,5,n30-1,3.0,2.9046445
3.0,0.25,3.0,0.25,1922,120,57,1,n22-1,3.0,2.9046445
3.25,0.25,3.25,0.25,2042,120,55,1,n23-1,3.0,2.9046445
3.5,0.25,3.5,0.25,2162,120,53,1,n24-1,3.0,2.9046445
3.75,0.25,3.75,0.25,2282,120,48,1,n25-1,3.0,2.9046445
4.0,0.5,4.0,0.5,2402,240,29,5,n48-1,4.0,3.227828
4.0,0.5,4.0,0.5,2402,240,41,5,n49-1,4.0,3.227828
4.0,0.25,4.0,0.25,2402,120,53,1,n32-1,4.0,3.227828
4.25,0.25,4.25,0.25,2522,120,55,1,n33-1,4.0,3.227828
4.5,0.25,4.5,0.25,2642,120,57,1,n34-1,4.0,3.227828
4.75,0.25,4.75,0.25,2762,120,60,1,n35-1,4.0,3.227828
5.0,0.75,5.0,0.75,2882,360,50,5,n50-1,5.0,3.56904
5.0,0.25,5.0,0.25,2882,120,65,1,n36-1,5.0,3.56904
5.25,0.25,5.25,0.25,3002,120,67,1,n37-1,5.0,3.56904
5.5,0.25,5.5,0.25,3122,120,69,1,n38-1,5.0,3.56904
5.75,0.25,5.75,0.25,3242,120,48,5,n51-1,5.0,3.56904
5.75,0.25,5.75,0.25,3242,120,72,1,n39-1,5.0,3.56904
6.0,1.0,6.0,1.0,3362,480,57,5,n52-1,6.0,3.9109204
6.0,0.25,6.0,0.25,3362,120,77,1,n40-1,6.0,3.9109204
6.25,0.25,6.25,0.25,3482,120,79,1,n41-1,6.0,3.9109204
6.5,0.25,6.5,0.25,3602,120,81,1,n42-1,6.0,3.9109204
6.75,0.25,6.75,0.25,3722,120,84,1,n43-1,6.0,3.9109204
7.0,0.75,7.0,0.75,3842,360,53,5,n53-1,7.0,4.2554717
7.0,0.25,7.0,0.25,3842,120,89,1,n44-1,7.0,4.2554717
7.25,0.25,7.25,0.25,3962,120,91,1,n45-1,7.0,4.2554717
7.5,0.25,7.5,0.25,4082,120,93,1,n46-1,7.0,4.2554717
7.75,0.25,7.75,0.25,4202,120,45,5,n54-1,7.0,4.2554717
7.75,0.25,7.75,0.25,4202,120,91,1,n47-1,7.0,4.2554717
8.0,4.0,8.0,4.0,4322,1920,41,6,n76-1,8.0,4.580658
8.0,2.0,8.0,2.0,4322,960,48,5,n71-1,8.0,4.580658
8.0,0.25,8.0,0.25,4322,120,89,1,n55-1,8.0,4.580658
