onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5090797,0.03071578,84,71,0,0,n0,-10.0,-10.0
1.5424664,0.048076876,86,72,0,0,n1,1.50908,-1.0
1.6225945,0.048076876,84,79,0,0,n2,1.50908,-1.0
1.6653296,0.0641025,86,76,0,0,n3,1.50908,-1.0
1.7467932,0.14155969,84,58,0,0,n4,1.50908,-1.0
1.7975409,0.09081188,83,76,0,0,n5,1.50908,-1.0
1.8736627,0.05341875,84,79,0,0,n6,1.50908,-1.0
1.9444425,0.58760625,48,82,0,0,n7,1.50908,-1.0
1.9537908,0.59962547,41,67,0,0,n8,1.50908,-1.0
1.9577972,0.1068375,93,88,0,0,n9,1.953791,0.0
2.0405962,0.08947641,91,80,0,0,n10,1.953791,0.0
2.114047,0.048076876,89,75,0,0,n11,1.953791,0.0
2.2008524,0.03205125,84,73,0,0,n12,1.953791,0.0
2.2889934,0.24305531,81,79,0,0,n13,2.288993,1.0
2.3664505,0.16559812,79,71,0,0,n14,2.288993,1.0
2.4265468,0.10550203,77,71,0,0,n15,2.288993,1.0
2.504004,0.034722187,72,66,0,0,n16,2.288993,1.0
2.5814612,0.028044844,48,58,0,0,n17,2.288993,1.0
2.6014931,0.07745719,69,65,0,0,n18,2.601493,2.0
2.6829567,0.049412344,67,59,0,0,n19,2.601493,2.0
2.7430527,0.046741407,65,64,0,0,n20,2.601493,2.0
2.8124971,0.04139953,60,66,0,0,n21,2.601493,2.0
2.8966317,0.036057655,48,55,0,0,n22,2.601493,2.0
2.9126573,0.05208328,57,62,0,0,n23,2.9046445,3.0
2.986108,0.04139953,55,52,0,0,n24,2.9046445,3.0
3.0435333,0.05074781,53,58,0,0,n25,2.9046445,3.0
3.1209905,0.08146359,48,52,0,0,n26,2.9046445,3.0
3.2264924,0.04139953,41,50,0,0,n27,2.9046445,3.0
3.227828,0.08279906,53,59,0,0,n28,3.227828,4.0
3.2518663,0.07345078,29,14,0,0,n29,3.227828,4.0
3.307956,0.07345078,55,65,0,0,n30,3.227828,4.0
3.3693876,0.042735,57,60,0,0,n31,3.227828,4.0
3.4815671,0.042735,60,72,0,0,n32,3.227828,4.0
3.561695,0.24439079,50,56,0,0,n33,3.227828,4.0
3.5763853,0.10016016,65,65,0,0,n34,3.56904,5.0
3.655178,0.07745719,67,62,0,0,n35,3.56904,5.0
3.7192805,0.037393127,69,65,0,0,n36,3.56904,5.0
3.8154342,0.38327953,48,64,0,0,n37,3.56904,5.0
3.8341308,0.040064063,72,65,0,0,n38,3.56904,5.0
3.9102526,0.20566219,57,65,0,0,n39,3.56904,5.0
