onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.23177083,0.8151042,75,52,1,0,n0,-10.0,-10.0
1.0351562,3.0104167,75,56,1,0,n1,0.231771,-1.0
1.0625,2.983073,32,34,1,0,n2,1.048828,0.0
1.4348959,2.610677,68,41,1,0,n3,1.048828,0.0
1.5716146,2.4739583,51,50,1,0,n4,1.048828,0.0
1.6796875,2.3658855,72,50,1,0,n5,1.048828,0.0
1.7486979,2.296875,56,29,1,0,n6,1.048828,0.0
1.8710938,2.1744792,63,51,1,0,n7,1.048828,0.0
1.8867188,2.1588542,60,48,1,0,n8,1.048828,0.0
2.014323,2.03125,56,42,1,0,n9,1.048828,0.0
2.0221355,2.0234375,68,55,1,0,n10,1.048828,0.0
2.1328125,1.9127604,51,45,1,0,n11,1.048828,0.0
2.141927,1.9036459,72,50,1,0,n12,1.048828,0.0
2.2604167,1.7851562,75,77,1,0,n13,1.048828,0.0
2.2773438,1.7682291,44,44,1,0,n14,2.2688806,1.0
2.375,1.6705729,51,24,1,0,n15,2.2688806,1.0
2.4348958,1.6106771,68,47,1,0,n16,2.2688806,1.0
2.5494792,1.4960938,56,28,1,0,n17,2.2688806,1.0
2.561198,1.484375,72,55,1,0,n18,2.2688806,1.0
2.6184895,1.4270834,60,50,1,0,n19,2.2688806,1.0
2.6614583,1.3841146,63,20,1,0,n20,2.2688806,1.0
2.7265625,1.3190104,68,58,1,0,n21,2.2688806,1.0
2.734375,1.3111979,56,31,1,0,n22,2.2688806,1.0
2.8177083,1.2278646,51,48,1,0,n23,2.2688806,1.0
2.8229167,1.2226562,72,60,1,0,n24,2.2688806,1.0
2.9309895,1.1145834,75,85,1,0,n25,2.2688806,1.0
2.9335938,1.1119791,44,53,1,0,n26,2.932292,2.0
3.079427,0.9661458,68,68,1,0,n27,2.932292,2.0
3.1809895,0.8645833,56,11,1,0,n28,2.932292,2.0
3.2057292,0.83984375,72,62,1,0,n29,2.932292,2.0
3.21875,0.82682294,60,61,1,0,n30,2.932292,2.0
3.2278645,0.8177083,63,60,1,0,n31,2.932292,2.0
3.3216145,0.7239583,68,69,1,0,n32,2.932292,2.0
3.3828125,0.66276044,51,53,1,0,n33,2.932292,2.0
3.40625,0.63932294,72,67,1,0,n34,2.932292,2.0
3.5039062,0.5416667,75,82,1,0,n35,2.932292,2.0
3.516927,0.5286458,44,54,1,0,n36,3.5104165,3.0
3.6289062,0.41666666,51,13,1,0,n37,3.5104165,3.0
3.6432292,0.40234375,68,75,1,0,n38,3.5104165,3.0
3.7070312,0.33854166,56,44,1,0,n39,3.5104165,3.0
3.7695312,0.27604166,72,66,1,0,n40,3.5104165,3.0
3.7851562,0.26041666,63,62,1,0,n41,3.5104165,3.0
3.7916667,0.25390625,60,54,1,0,n42,3.5104165,3.0
3.8776042,0.16796875,68,67,1,0,n43,3.5104165,3.0
3.8815105,0.1640625,56,43,1,0,n44,3.5104165,3.0
3.9557292,2.576823,51,54,1,0,n45,3.5104165,3.0
3.9739583,0.14713542,72,61,1,0,n46,3.5104165,3.0
4.075521,2.4570312,44,59,1,0,n47,3.5104165,3.0
4.078125,2.454427,77,80,1,0,n48,4.076823,4.0
4.1966147,2.3359375,51,24,1,0,n49,4.076823,4.0
4.2239585,2.3085938,68,64,1,0,n50,4.076823,4.0
4.341146,2.1914062,56,36,1,0,n51,4.076823,4.0
4.359375,2.173177,72,48,1,0,n52,4.076823,4.0
4.4075522,2.125,60,52,1,0,n53,4.076823,4.0
