onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0351562,0.109375,66,38,1,0,n0,-10.0,-10.0
1.0507812,0.110677086,30,39,1,0,n1,1.0429685,0.0
1.1471354,0.20833333,29,50,1,0,n2,1.0429685,0.0
1.1523438,0.19140625,65,54,1,0,n3,1.0429685,0.0
1.3216146,0.08203125,66,58,1,0,n4,1.0429685,0.0
1.3229166,0.048177082,42,48,1,0,n5,1.0429685,0.0
1.3385416,0.055989582,30,48,1,0,n6,1.0429685,0.0
1.4114584,0.1484375,43,50,1,0,n7,1.0429685,0.0
1.4479166,0.111979164,55,33,1,0,n8,1.0429685,0.0
1.4609375,0.098958336,31,52,1,0,n9,1.4544275,1.0
1.4895834,0.076822914,67,43,1,0,n10,1.4544275,1.0
1.5052084,0.0546875,65,23,1,0,n11,1.4544275,1.0
1.5885416,0.05078125,56,64,1,0,n12,1.4544275,1.0
1.5911459,0.071614586,32,48,1,0,n13,1.4544275,1.0
1.5924479,0.109375,68,62,1,0,n14,1.4544275,1.0
1.6041666,0.041666668,44,51,1,0,n15,1.4544275,1.0
1.6757812,0.0546875,45,56,1,0,n16,1.4544275,1.0
1.6979166,0.09765625,69,66,1,0,n17,1.4544275,1.0
1.7109375,0.0703125,33,57,1,0,n18,1.4544275,1.0
1.8294271,0.12760417,68,63,1,0,n19,1.4544275,1.0
1.8398438,0.125,32,55,1,0,n20,1.4544275,1.0
1.8606771,0.096354164,56,45,1,0,n21,1.8502605,2.0
1.8763021,0.080729164,44,42,1,0,n22,1.8502605,2.0
1.9388021,0.08984375,67,63,1,0,n23,1.8502605,2.0
1.9700521,0.080729164,31,55,1,0,n24,1.8502605,2.0
2.0729167,0.12109375,68,67,1,0,n25,1.8502605,2.0
2.095052,0.098958336,32,52,1,0,n26,1.8502605,2.0
2.0989583,0.095052086,44,45,1,0,n27,1.8502605,2.0
2.1028645,0.091145836,56,44,1,0,n28,1.8502605,2.0
2.170573,0.045572918,45,59,1,0,n29,1.8502605,2.0
2.1848958,0.08984375,69,64,1,0,n30,1.8502605,2.0
2.2122395,0.052083332,57,28,1,0,n31,2.198568,3.0
2.217448,0.0625,33,56,1,0,n32,2.198568,3.0
2.326823,0.19401042,70,69,1,0,n33,2.198568,3.0
2.342448,0.17838542,58,54,1,0,n34,2.198568,3.0
2.3567708,0.1640625,46,55,1,0,n35,2.198568,3.0
2.358073,0.16276042,34,46,1,0,n36,2.198568,3.0
2.4427083,0.095052086,71,68,1,0,n37,2.198568,3.0
2.4453125,0.075520836,47,51,1,0,n38,2.198568,3.0
2.4583333,0.071614586,35,61,1,0,n39,2.198568,3.0
2.5690105,0.20833333,70,64,1,0,n40,2.198568,3.0
2.5989583,0.045572918,58,58,1,0,n41,2.198568,3.0
2.6041667,0.17317708,34,59,1,0,n42,2.6015625,4.0
2.6276042,0.14973958,46,48,1,0,n43,2.6015625,4.0
2.6901042,0.087239586,69,64,1,0,n44,2.6015625,4.0
2.704427,0.080729164,33,65,1,0,n45,2.6015625,4.0
2.8203125,0.072916664,34,66,1,0,n46,2.6015625,4.0
2.828125,0.42708334,70,62,1,0,n47,2.6015625,4.0
2.8385417,0.05859375,46,60,1,0,n48,2.6015625,4.0
2.8502605,0.0390625,58,56,1,0,n49,2.6015625,4.0
2.9348958,0.3203125,71,71,1,0,n50,2.6015625,4.0
2.936198,0.3190104,59,70,1,0,n51,2.936198,5.0
2.9401042,0.31510416,35,74,1,0,n52,2.936198,5.0
3.0507812,0.20442708,72,72,1,0,n53,2.936198,5.0
3.0520833,0.203125,36,66,1,0,n54,2.936198,5.0
3.1744792,0.14192708,73,78,1,0,n55,2.936198,5.0
3.1770833,0.15364583,37,67,1,0,n56,2.936198,5.0
3.1901042,0.065104164,61,62,1,0,n57,2.936198,5.0
3.1940105,0.072916664,49,64,1,0,n58,2.936198,5.0
3.2851562,0.104166664,72,84,1,0,n59,2.936198,5.0
3.295573,0.092447914,36,72,1,0,n60,3.295573,6.0
3.3125,0.03515625,60,29,1,0,n61,3.295573,6.0
3.4010417,0.16145833,35,66,1,0,n62,3.295573,6.0
3.4192708,0.122395836,71,74,1,0,n63,3.295573,6.0
3.421875,0.119791664,59,61,1,0,n64,3.295573,6.0
3.4505208,0.091145836,60,56,1,0,n65,3.295573,6.0
3.501302,0.079427086,36,76,1,0,n66,3.295573,6.0
3.532552,0.20703125,72,89,1,0,n67,3.295573,6.0
3.610677,0.12890625,37,74,1,0,n68,3.295573,6.0
3.6432292,0.12109375,73,86,1,0,n69,3.295573,6.0
3.6484375,0.091145836,49,72,1,0,n70,3.6458335,7.0
3.657552,0.08203125,61,65,1,0,n71,3.6458335,7.0
3.751302,0.13671875,38,71,1,0,n72,3.6458335,7.0
3.7552083,0.037760418,50,47,1,0,n73,3.6458335,7.0
3.7617188,0.119791664,74,69,1,0,n74,3.6458335,7.0
3.7786458,0.033854168,62,43,1,0,n75,3.6458335,7.0
3.8007812,0.041666668,72,43,1,0,n76,3.6458335,7.0
3.875,0.41927084,75,84,1,0,n77,3.6458335,7.0
3.8776042,0.07421875,39,70,1,0,n78,3.6458335,7.0
3.8854167,0.067708336,51,71,1,0,n79,3.6458335,7.0
3.8880208,0.045572918,63,66,1,0,n80,3.6458335,7.0
3.984375,0.30989584,52,51,1,0,n81,3.6458335,7.0
3.9934895,0.30078125,74,85,1,0,n82,3.6458335,7.0
3.998698,0.2955729,62,60,1,0,n83,3.6458335,7.0
4.002604,0.29166666,38,66,1,0,n84,4.000651,8.0
4.0117188,0.2825521,50,43,1,0,n85,4.000651,8.0
4.0625,0.23177083,40,30,1,0,n86,4.000651,8.0
4.1054688,0.18880208,75,81,1,0,n87,4.000651,8.0
4.1197915,0.17447917,39,74,1,0,n88,4.000651,8.0
4.125,0.16927083,51,80,1,0,n89,4.000651,8.0
4.138021,0.15625,63,66,1,0,n90,4.000651,8.0
4.2200522,0.092447914,76,83,1,0,n91,4.000651,8.0
4.234375,0.13671875,40,73,1,0,n92,4.000651,8.0
4.2421875,0.052083332,52,47,1,0,n93,4.000651,8.0
4.3385415,0.102864586,75,75,1,0,n94,4.000651,8.0
4.3398438,0.06640625,63,86,1,0,n95,4.000651,8.0
4.3541665,0.07421875,39,81,1,0,n96,4.3470054,9.0
4.3580728,0.087239586,51,81,1,0,n97,4.3470054,9.0
4.361979,0.045572918,73,70,1,0,n98,4.3470054,9.0
4.4518228,0.2513021,76,83,1,0,n99,4.3470054,9.0
4.455729,0.24739583,64,81,1,0,n100,4.3470054,9.0
4.4648438,0.23828125,40,82,1,0,n101,4.3470054,9.0
4.4739585,0.22916667,52,51,1,0,n102,4.3470054,9.0
4.4804688,0.22265625,74,32,1,0,n103,4.3470054,9.0
4.559896,0.14322917,77,93,1,0,n104,4.3470054,9.0
4.5611978,0.14192708,41,77,1,0,n105,4.3470054,9.0
4.5898438,0.11328125,52,46,1,0,n106,4.3470054,9.0
4.6666665,0.14453125,76,76,1,0,n107,4.3470054,9.0
4.6770835,0.069010414,64,93,1,0,n108,4.677083,10.0
4.6822915,0.2565104,40,82,1,0,n109,4.677083,10.0
4.7135415,0.032552082,72,49,1,0,n110,4.677083,10.0
4.7825522,0.15625,41,67,1,0,n111,4.677083,10.0
4.7851562,0.15364583,77,88,1,0,n112,4.677083,10.0
4.8971353,0.072916664,42,83,1,0,n113,4.677083,10.0
4.8984375,0.2591146,78,97,1,0,n114,4.677083,10.0
4.9023438,0.0703125,66,84,1,0,n115,4.677083,10.0
4.919271,0.06640625,54,89,1,0,n116,4.677083,10.0
5.0065103,0.15104167,77,93,1,0,n117,4.677083,10.0
5.0117188,0.14583333,53,70,1,0,n118,4.677083,10.0
5.015625,0.14192708,65,69,1,0,n119,5.013672,11.0
5.0169272,0.15104167,41,86,1,0,n120,5.013672,11.0
5.0768228,0.080729164,67,20,1,0,n121,5.013672,11.0
5.122396,0.26302084,78,97,1,0,n122,5.013672,11.0
5.1289062,0.0859375,66,96,1,0,n123,5.013672,11.0
5.1328125,0.25260416,42,77,1,0,n124,5.013672,11.0
5.1497397,0.065104164,54,86,1,0,n125,5.013672,11.0
5.2356772,0.14973958,55,70,1,0,n126,5.013672,11.0
5.2408853,0.14453125,79,98,1,0,n127,5.013672,11.0
5.247396,0.13802083,67,75,1,0,n128,5.013672,11.0
5.2773438,0.125,43,65,1,0,n129,5.013672,11.0
5.2851562,0.106770836,41,67,1,0,n130,5.013672,11.0
5.359375,0.24348958,78,95,1,0,n131,5.013672,11.0
5.3645835,0.071614586,66,100,1,0,n132,5.013672,11.0
5.3802085,0.040364582,42,85,1,0,n133,5.3723955,12.0
5.3854165,0.21744792,56,76,1,0,n134,5.3723955,12.0
5.3893228,0.053385418,54,67,1,0,n135,5.3723955,12.0
5.419271,0.18359375,44,48,1,0,n136,5.3723955,12.0
5.4778647,0.14453125,79,93,1,0,n137,5.3723955,12.0
5.4804688,0.122395836,55,65,1,0,n138,5.3723955,12.0
5.4830728,0.119791664,67,83,1,0,n139,5.3723955,12.0
5.4947915,0.14192708,43,87,1,0,n140,5.3723955,12.0
5.5872397,1.3125,68,97,1,0,n141,5.3723955,12.0
5.5872397,1.3125,80,97,1,0,n142,5.3723955,12.0
5.606771,1.2929688,44,85,1,0,n143,5.3723955,12.0
5.609375,1.2903646,56,91,1,0,n144,5.3723955,12.0
5.6289062,1.2708334,78,59,1,0,n145,5.3723955,12.0
5.6992188,1.2005209,79,96,1,0,n146,5.3723955,12.0
5.705729,1.1940104,67,89,1,0,n147,5.3723955,12.0
5.7135415,1.1861979,55,85,1,0,n148,5.7096357,13.0
5.716146,1.1835938,43,85,1,0,n149,5.7096357,13.0
5.815104,1.0846354,80,97,1,0,n150,5.7096357,13.0
5.8190103,1.0807291,68,100,1,0,n151,5.7096357,13.0
5.8320312,1.0677084,56,100,1,0,n152,5.7096357,13.0
5.924479,0.97526044,81,92,1,0,n153,5.7096357,13.0
5.9283853,0.9713542,69,93,1,0,n154,5.7096357,13.0
5.9414062,0.9583333,57,89,1,0,n155,5.7096357,13.0
5.9453125,0.95442706,45,86,1,0,n156,5.7096357,13.0
6.065104,0.83463544,79,101,1,0,n157,5.7096357,13.0
6.0677085,0.83203125,43,101,1,0,n158,5.7096357,13.0
6.0703125,0.82942706,55,99,1,0,n159,6.06901,14.0
6.0729165,0.82682294,67,88,1,0,n160,6.06901,14.0
6.111979,0.78776044,44,48,1,0,n161,6.06901,14.0
6.111979,0.78776044,69,48,1,0,n162,6.06901,14.0
6.1757812,0.7239583,68,100,1,0,n163,6.06901,14.0
6.1809897,0.71875,80,98,1,0,n164,6.06901,14.0
6.1875,0.71223956,56,97,1,0,n165,6.06901,14.0
6.190104,0.70963544,44,85,1,0,n166,6.06901,14.0
6.3111978,0.5885417,81,94,1,0,n167,6.06901,14.0
6.3203125,0.57942706,45,97,1,0,n168,6.06901,14.0
6.3203125,0.57942706,57,97,1,0,n169,6.06901,14.0
6.3203125,0.57942706,67,89,1,0,n170,6.06901,14.0
6.3229165,0.57682294,69,84,1,0,n171,6.06901,14.0
6.3229165,0.57682294,79,92,1,0,n172,6.06901,14.0
6.3359375,0.56380206,55,65,1,0,n173,6.06901,14.0
6.341146,0.55859375,44,62,1,0,n174,6.06901,14.0
6.4309897,0.46875,68,101,1,0,n175,6.06901,14.0
6.4375,0.4622396,80,92,1,0,n176,6.06901,14.0
6.4414062,0.45833334,56,107,1,0,n177,6.439453,15.0
6.4440103,0.45572916,44,90,1,0,n178,6.439453,15.0
6.4466147,0.453125,45,64,1,0,n179,6.439453,15.0
6.4622397,0.4375,78,75,1,0,n180,6.439453,15.0
6.4804688,0.41927084,46,56,1,0,n181,6.439453,15.0
6.5572915,0.3424479,81,98,1,0,n182,6.439453,15.0
6.5585938,0.34114584,69,105,1,0,n183,6.439453,15.0
6.5638022,0.3359375,45,91,1,0,n184,6.439453,15.0
6.565104,0.3346354,57,102,1,0,n185,6.439453,15.0
6.5976562,0.30208334,79,43,1,0,n186,6.439453,15.0
6.6015625,0.2981771,46,59,1,0,n187,6.439453,15.0
6.6705728,0.22916667,68,92,1,0,n188,6.439453,15.0
6.6757812,0.22395833,80,98,1,0,n189,6.439453,15.0
6.6822915,0.21744792,46,88,1,0,n190,6.439453,15.0
6.6875,0.21223958,70,79,1,0,n191,6.439453,15.0
6.6875,0.21223958,81,66,1,0,n192,6.439453,15.0
6.690104,0.20963542,58,104,1,0,n193,6.439453,15.0
6.700521,0.19921875,69,75,1,0,n194,6.439453,15.0
6.9322915,0.9140625,59,99,1,0,n195,6.439453,15.0
6.934896,0.91276044,50,36,1,0,n196,6.934896,16.0
6.934896,0.9114583,74,80,1,0,n197,6.934896,16.0
6.934896,0.9114583,83,102,1,0,n198,6.934896,16.0
6.9388022,0.90755206,47,91,1,0,n199,6.934896,16.0
6.9414062,0.90494794,71,101,1,0,n200,6.934896,16.0
6.953125,0.0013020834,69,79,1,0,n201,6.934896,16.0
6.955729,0.040364582,51,54,1,0,n202,6.934896,16.0
6.9596353,0.02734375,75,71,1,0,n203,6.934896,16.0
6.9882812,0.85807294,80,55,1,0,n204,6.934896,16.0
6.9947915,0.0013020834,53,35,1,0,n205,6.934896,16.0
7.0039062,0.84244794,49,29,1,0,n206,6.934896,16.0
7.2421875,0.6041667,46,76,1,0,n207,6.934896,16.0
7.2421875,0.6041667,70,90,1,0,n208,6.934896,16.0
7.2460938,0.60026044,82,89,1,0,n209,6.934896,16.0
7.263021,0.5833333,58,80,1,0,n210,6.934896,16.0
7.377604,0.46875,83,61,1,0,n211,6.934896,16.0
7.3867188,0.4596354,47,82,1,0,n212,6.934896,16.0
7.393229,0.453125,71,51,1,0,n213,6.934896,16.0
7.4296875,0.41666666,72,29,1,0,n214,6.934896,16.0
7.5195312,0.3268229,46,70,1,0,n215,6.934896,16.0
7.5208335,0.32552084,82,95,1,0,n216,6.934896,16.0
7.5260415,0.3203125,70,86,1,0,n217,7.5234375,17.0
7.5403647,0.3059896,58,81,1,0,n218,7.5234375,17.0
7.5559897,0.2903646,45,59,1,0,n219,7.5234375,17.0
7.5742188,0.2721354,56,49,1,0,n220,7.5234375,17.0
7.6354165,0.2109375,81,88,1,0,n221,7.5234375,17.0
7.6419272,0.20442708,57,83,1,0,n222,7.5234375,17.0
7.6458335,0.20052083,74,48,1,0,n223,7.5234375,17.0
7.6549478,0.19140625,69,76,1,0,n224,7.5234375,17.0
7.6627603,0.18359375,45,82,1,0,n225,7.5234375,17.0
7.674479,0.171875,43,71,1,0,n226,7.5234375,17.0
7.7304688,0.87890625,80,95,1,0,n227,7.5234375,17.0
7.7695312,0.076822914,68,52,1,0,n228,7.5234375,17.0
7.7760415,0.122395836,44,82,1,0,n229,7.5234375,17.0
7.8658853,0.74348956,50,61,1,0,n230,7.5234375,17.0
7.8671875,0.029947916,68,90,1,0,n231,7.5234375,17.0
7.872396,0.7369792,81,95,1,0,n232,7.5234375,17.0
7.8815103,0.037760418,56,75,1,0,n233,7.5234375,17.0
7.8815103,0.72786456,74,87,1,0,n234,7.5234375,17.0
7.888021,0.01953125,53,85,1,0,n235,7.8854165,18.0
7.8893228,0.72005206,46,40,1,0,n236,7.8854165,18.0
7.8893228,0.72005206,69,89,1,0,n237,7.8854165,18.0
7.890625,0.71875,57,92,1,0,n238,7.8854165,18.0
7.8919272,0.71744794,45,80,1,0,n239,7.8854165,18.0
7.8945312,0.028645834,67,85,1,0,n240,7.8854165,18.0
7.8997397,0.026041666,55,72,1,0,n241,7.8854165,18.0
8.0859375,0.5234375,80,81,1,0,n242,7.8854165,18.0
8.087239,0.52213544,44,77,1,0,n243,7.8854165,18.0
8.092448,0.51692706,68,81,1,0,n244,7.8854165,18.0
8.0963545,0.5130208,56,84,1,0,n245,7.8854165,18.0
8.2109375,0.3984375,45,80,1,0,n246,7.8854165,18.0
8.2109375,0.3984375,81,84,1,0,n247,7.8854165,18.0
8.2213545,0.38802084,69,63,1,0,n248,7.8854165,18.0
8.3359375,0.2734375,44,86,1,0,n249,7.8854165,18.0
8.337239,0.2721354,80,84,1,0,n250,7.8854165,18.0
8.339844,0.26953125,68,90,1,0,n251,8.338542,19.0
8.34375,0.265625,56,85,1,0,n252,8.338542,19.0
8.40625,0.203125,78,25,1,0,n253,8.338542,19.0
8.4505205,0.15885417,79,93,1,0,n254,8.338542,19.0
8.453125,0.15625,55,83,1,0,n255,8.338542,19.0
8.459636,0.14973958,67,83,1,0,n256,8.338542,19.0
8.462239,0.14713542,43,85,1,0,n257,8.338542,19.0
8.5625,0.46354166,78,69,1,0,n258,8.338542,19.0
8.5755205,0.10546875,42,82,1,0,n259,8.338542,19.0
8.589844,0.044270832,66,75,1,0,n260,8.338542,19.0
8.613281,0.075520836,54,71,1,0,n261,8.338542,19.0
8.6432295,0.76953125,47,48,1,0,n262,8.338542,19.0
8.670573,0.35546875,55,77,1,0,n263,8.338542,19.0
8.680989,0.3450521,43,76,1,0,n264,8.338542,19.0
8.683594,0.3424479,67,95,1,0,n265,8.682292,20.0
8.6848955,0.34114584,71,91,1,0,n266,8.682292,20.0
8.686198,0.33984375,79,99,1,0,n267,8.682292,20.0
8.8098955,0.21614583,78,78,1,0,n268,8.682292,20.0
8.829427,0.19661458,56,70,1,0,n269,8.682292,20.0
8.8359375,0.19010417,42,76,1,0,n270,8.682292,20.0
8.8359375,0.19010417,66,77,1,0,n271,8.682292,20.0
8.925781,0.100260414,79,92,1,0,n272,8.682292,20.0
8.930989,0.095052086,55,18,1,0,n273,8.682292,20.0
8.944011,0.08203125,67,63,1,0,n274,8.682292,20.0
8.959636,0.071614586,71,48,1,0,n275,8.682292,20.0
8.963542,0.0625,53,40,1,0,n276,8.682292,20.0
8.96875,0.114583336,43,59,1,0,n277,8.682292,20.0
9.045573,0.3671875,71,70,1,0,n278,8.682292,20.0
9.048177,0.36458334,66,89,1,0,n279,8.682292,20.0
9.050781,0.36197916,78,76,1,0,n280,9.050781,21.0
9.066406,0.34635416,54,102,1,0,n281,9.050781,21.0
9.0703125,0.3424479,42,82,1,0,n282,9.050781,21.0
9.170573,0.2421875,77,88,1,0,n283,9.050781,21.0
9.180989,0.23177083,65,53,1,0,n284,9.050781,21.0
9.1875,0.22526042,53,77,1,0,n285,9.050781,21.0
9.1901045,0.22265625,41,87,1,0,n286,9.050781,21.0
9.2942705,0.118489586,76,73,1,0,n287,9.050781,21.0
9.307292,0.10546875,52,76,1,0,n288,9.050781,21.0
9.328125,0.084635414,64,70,1,0,n289,9.050781,21.0
9.3307295,0.109375,40,89,1,0,n290,9.050781,21.0
9.432292,0.33333334,66,88,1,0,n291,9.050781,21.0
9.4348955,0.33072916,42,84,1,0,n292,9.050781,21.0
9.4348955,0.33072916,63,80,1,0,n293,9.050781,21.0
9.438802,0.3268229,51,99,1,0,n294,9.436849,22.0
