onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0178933,3.5590243,66,34,1,0,n0,-10.0,-10.0
2.0726476,3.50427,30,29,1,0,n1,-10.0,-10.0
2.0953505,3.4815671,54,18,1,0,n2,2.083999,0.0
2.099357,3.4775605,42,13,1,0,n3,2.083999,0.0
2.4425724,3.134345,65,36,1,0,n4,2.083999,0.0
2.4545915,3.122326,29,30,1,0,n5,2.083999,0.0
2.5293777,3.0475397,41,5,1,0,n6,2.083999,0.0
2.7163434,2.860574,66,42,1,0,n7,2.083999,0.0
2.740382,2.8365357,30,46,1,0,n8,2.083999,0.0
2.9500504,2.626867,67,48,1,0,n9,2.083999,0.0
2.9901145,2.586803,31,33,1,0,n10,2.083999,0.0
3.011482,2.5654354,43,34,1,0,n11,2.990115,1.0
3.16239,2.4145274,68,47,1,0,n12,2.990115,1.0
3.1784155,2.3985019,32,41,1,0,n13,2.990115,1.0
3.341343,2.2355747,69,48,1,0,n14,2.990115,1.0
3.373394,2.2035234,45,30,1,0,n15,2.990115,1.0
3.396097,2.1808205,33,21,1,0,n16,2.990115,1.0
3.5323148,2.0446026,68,50,1,0,n17,2.990115,1.0
3.5937464,1.9831711,32,33,1,0,n18,3.593746,2.0
3.6004238,1.9764937,56,25,1,0,n19,3.593746,2.0
3.7807121,1.7962055,67,51,1,0,n20,3.593746,2.0
3.7913957,1.7855217,55,31,1,0,n21,3.593746,2.0
3.7954023,1.7815154,43,23,1,0,n22,3.593746,2.0
3.803415,1.7735025,31,44,1,0,n23,3.593746,2.0
3.9663422,1.6105753,32,52,1,0,n24,3.593746,2.0
3.9703486,1.6065689,68,54,1,0,n25,3.593746,2.0
3.9957225,1.581195,56,33,1,0,n26,3.593746,2.0
4.0304446,1.5464728,44,10,1,0,n27,3.593746,2.0
4.1372824,1.4396353,69,60,1,0,n28,3.593746,2.0
4.1559787,1.4209387,45,46,1,0,n29,3.593746,2.0
4.1573143,1.4196032,33,44,1,0,n30,4.155979,3.0
4.284184,1.2927338,70,62,1,0,n31,4.155979,3.0
4.3095574,1.2673599,34,59,1,0,n32,4.155979,3.0
4.328254,1.2486633,58,30,1,0,n33,4.155979,3.0
4.3376026,1.239315,46,48,1,0,n34,4.155979,3.0
4.4324207,1.1444967,71,63,1,0,n35,4.155979,3.0
4.479162,1.0977553,35,50,1,0,n36,4.155979,3.0
4.481833,1.0950844,47,40,1,0,n37,4.155979,3.0
4.5993543,0.97756314,70,61,1,0,n38,4.155979,3.0
4.619386,0.9575311,34,57,1,0,n39,4.155979,3.0
4.6367474,0.94017,46,49,1,0,n40,4.628067,4.0
4.6647925,0.9121252,58,34,1,0,n41,4.628067,4.0
4.7903266,0.7865911,69,58,1,0,n42,4.628067,4.0
4.7996745,0.77724284,45,49,1,0,n43,4.628067,4.0
4.803681,0.7732364,33,59,1,0,n44,4.628067,4.0
4.8076873,0.76923,57,41,1,0,n45,4.628067,4.0
4.954589,0.62232846,34,63,1,0,n46,4.628067,4.0
